City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Leon Valley,Texas,12279,3276,San Antonio-New Braunfels,2590732,96,63,33,33,84,220,0,67.9,55.9,8,23,90,38,25.75%,$60040,9.7%,$1022,843,$240000,1678,$143,41,55.70%,7%,42%,42%,58,24 mins,3.30%,N/A,12.40%,Bexar County,53.70%,40.40%,3.1%,7.1%,30.3%,58.8%,13.1%,Central Standard Time,794,6.3,52.10%,53,N/A,49,16.6%,0.00,19,1,2,N/A,N/A,TX-42388
Live Oak,Texas,16118,3224,San Antonio-New Braunfels,2590732,96,63,33,34,79,221,0,67.9,55.9,11,16,55,37,26.63%,$59286,4.2%,$1082,795,$249900,1772,$141,28,53.40%,8%,44%,48%,60,25 mins,3.30%,N/A,23.40%,Bexar County,53.70%,40.40%,3.9%,12.4%,48.1%,31.7%,8.9%,Central Standard Time,794,6.3,52.80%,20,N/A,29,16.8%,0.00,22,2,2,N/A,N/A,TX-43096
Lytle,Texas,2429,575,San Antonio-New Braunfels,2590732,97,64,33,30,76,225,0,67.5,55.9,8,9,70,45,15.99%,$42010,7.8%,N/A,N/A,$388900,2160,$180,39,63.60%,7%,38%,44%,72,28 mins,3.80%,N/A,-9.80%,Atascosa County,34.00%,63.00%,0.0%,0.0%,40.2%,58.7%,1.7%,Central Standard Time,794,6.1,50.90%,44,N/A,45,11.7%,N/A,N/A,1,N/A,N/A,N/A,TX-45288
Macdona,Texas,258,174,San Antonio-New Braunfels,2590732,97,64,33,30,75,224,0,68,56.2,8,19,35,61,N/A,$57552,12.1%,N/A,N/A,$97300,N/A,N/A,48,49.60%,7%,36%,39%,69,25 mins,3.30%,N/A,-41.90%,Bexar County,53.70%,40.40%,0.0%,0.0%,14.4%,85.6%,3.3%,Central Standard Time,794,6.3,65.60%,7,N/A,27,12.4%,564.10,20,2,2,N/A,N/A,TX-45576
Marion,Texas,886,1232,San Antonio-New Braunfels,2590732,95,62,33,34,77,223,0,67.8,55.9,7,12,28,44,9.47%,$48438,6.5%,N/A,N/A,$397500,2196,$181,44,58.40%,8%,37%,42%,72,33 mins,3.20%,N/A,-14.90%,Guadalupe County,31.60%,63.00%,0.2%,7.9%,49.0%,42.7%,5.7%,Central Standard Time,794,5.9,57.60%,40,N/A,36,17.7%,109.59,22,1,1,N/A,N/A,TX-46692
McQueeney,Texas,2907,655,San Antonio-New Braunfels,2590732,96,62,34,34,72,223,0,67.6,55.7,7,16,30,47,19.71%,$71512,4.6%,N/A,N/A,$999000,3456,$289,36,52.50%,10%,37%,43%,70,27 mins,3.20%,N/A,21.00%,Guadalupe County,31.60%,63.00%,0.0%,2.3%,63.8%,30.8%,5%,Central Standard Time,794,5.9,42.60%,9,N/A,29,18.5%,0.00,21,2,0,N/A,N/A,TX-45948
Natalia,Texas,1059,863,San Antonio-New Braunfels,2590732,96,65,31,30,81,221,0,67.2,55.5,8,9,34,40,11.48%,$31713,12.5%,N/A,N/A,$390000,2142,$182,33,58.20%,7%,37%,44%,69,31 mins,3.30%,N/A,-31.50%,Medina County,26.90%,70.10%,0.0%,0.7%,8.1%,90.7%,14.4%,Central Standard Time,794,6,55.70%,31,N/A,29,18.0%,75.76,20,2,4,N/A,N/A,TX-50400
New Berlin,Texas,849,58,San Antonio-New Braunfels,2590732,96,63,33,33,70,223,0,67.6,55.6,N/A,9,18,44,38.65%,$66667,3.9%,$1034,815,$225000,1347,$167,22,83.00%,8%,37%,42%,73,36 mins,3.20%,N/A,10.60%,Guadalupe County,31.60%,63.00%,0.0%,0.0%,91.3%,7.9%,0%,Central Standard Time,794,5.9,29.70%,13,N/A,27,11.9%,0.00,22,2,4,N/A,N/A,TX-50796
New Braunfels,Texas,84622,1564,San Antonio-New Braunfels,2590732,95,62,33,34,76,226,0,67.5,55.4,7,16,40,36,34.73%,$59083,6.5%,$1316,894,$395000,2057,$192,21,55.80%,6%,39%,44%,59,24 mins,3.00%,N/A,30.00%,Comal County,22.90%,72.60%,1.4%,2.2%,60.8%,34.0%,7.4%,Central Standard Time,794,6.4,44.00%,25,N/A,34,17.5%,N/A,N/A,1,N/A,N/A,N/A,TX-50820
Olmos Park,Texas,1856,3187,San Antonio-New Braunfels,2590732,96,63,33,33,84,225,0,67.9,55.9,8,6,28,42,76.36%,$111359,2%,$1131,769,$799000,2560,$312,73,65.40%,4%,29%,40%,59,25 mins,3.30%,N/A,-12.10%,Bexar County,53.70%,40.40%,0.0%,6.8%,75.1%,17.3%,5.8%,Central Standard Time,794,6.3,36.40%,47,N/A,38,14.9%,0.00,21,2,2,N/A,N/A,TX-53988
