City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Jolivue,Virginia,894,476,Staunton-Waynesboro,124475,$40777,14.0%,51,$205000,1289,$159,43,67.11%,$1031,58.56%,N/A,N/A,22.93%,1.61%,60.36%,Augusta County,22.50%,72.00%,0.0%,3.24%,91.95%,0.0%,0.0%,Eastern Standard Time,85,43,42,41,117,205,21,60.8,42.8,N/A,80,1391,4.3,1.88,VA-41144,38.1148421,-79.0668148
Lyndhurst,Virginia,1772,294,Staunton-Waynesboro,124475,$57991,14.95%,49,$483000,3242,$149,36,82.51%,$1048,46.15%,N/A,N/A,8.27%,2.68%,60.9%,Augusta County,22.50%,72.00%,4.8%,1.35%,85.21%,7.62%,5.59%,Eastern Standard Time,85,43,42,43,117,219,20,61.2,43,5,80,1391,4.3,6.03,VA-47720,38.0221101,-78.9515998
Middlebrook,Virginia,184,25,Staunton-Waynesboro,124475,$26453,N/A,N/A,N/A,N/A,N/A,31,0.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Augusta County,22.50%,72.00%,0.0%,0.0%,0.0%,0.0%,0.0%,Eastern Standard Time,84,41,43,43,110,204,21,59.8,42,5,79,1391,4.3,7.41,VA-51432,38.0552137,-79.2182386
Mount Sidney,Virginia,606,365,Staunton-Waynesboro,124475,$71250,58.25%,32,N/A,N/A,N/A,42,62.87%,N/A,9.51%,N/A,N/A,3.63%,0.0%,82.37%,Augusta County,22.50%,72.00%,3.63%,0.0%,67.82%,5.78%,7.59%,Eastern Standard Time,85,42,43,41,119,204,21,62,43.7,5,77,1391,4.3,1.66,VA-54120,38.258538,-78.9654064
New Hope,Virginia,447,77,Staunton-Waynesboro,124475,$67651,21.87%,52,$350000,2333,$150,36,88.81%,N/A,70.48%,N/A,N/A,0.0%,0.0%,61.9%,Augusta County,22.50%,72.00%,0.0%,0.0%,91.05%,6.26%,5.59%,Eastern Standard Time,85,42,43,41,120,204,19,62.6,44.2,6,78,1391,4.3,5.79,VA-55720,38.195415,-78.9044169
Sherando,Virginia,549,78,Staunton-Waynesboro,124475,$65893,3.39%,42,N/A,N/A,N/A,64,90.16%,N/A,31.18%,N/A,N/A,8.2%,0.0%,61.94%,Augusta County,22.50%,72.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,43,42,43,116,204,21,60.8,42.8,5,80,1391,4.3,7.07,VA-71904,37.9889065,-78.9442573
Staunton,Virginia,24660,1238,Staunton-Waynesboro,124475,$52292,31.11%,42,$253000,1687,$150,55,60.75%,$864,54.18%,204,1897,12.17%,3.68%,61.1%,Staunton County,47.40%,45.60%,1.44%,11.04%,80.54%,3.39%,4.18%,Eastern Standard Time,85,43,42,41,117,216,21,61.3,43.1,5,70,1391,4.6,19.92,VA-75216,38.1593008,-79.0611168
Stuarts Draft,Virginia,11380,388,Staunton-Waynesboro,124475,$63679,20.46%,44,$328000,1673,$196,29,73.61%,$975,39.6%,N/A,N/A,10.84%,1.93%,63.76%,Augusta County,22.50%,72.00%,0.37%,4.31%,91.48%,1.56%,1.33%,Eastern Standard Time,85,43,42,43,117,202,21,61.6,43.3,5,81,1391,4.3,29.31,VA-76272,38.0187581,-79.0353953
Verona,Virginia,3965,517,Staunton-Waynesboro,124475,$51675,11.02%,39,$256000,1778,$144,44,78.73%,$862,52.16%,N/A,N/A,3.8%,4.67%,57.64%,Augusta County,22.50%,72.00%,0.0%,5.17%,87.52%,5.85%,2.04%,Eastern Standard Time,85,42,43,41,118,203,21,62.3,43.9,5,73,1391,4.3,7.67,VA-80864,38.193708,-79.008225
Waynesboro,Virginia,22300,1490,Staunton-Waynesboro,124475,$43480,28.9%,41,$301000,1824,$165,52,64.32%,$790,55.73%,250,2091,14.85%,4.62%,63.3%,Waynesboro County,40.90%,52.20%,1.7%,12.54%,74.5%,8.57%,4.63%,Eastern Standard Time,85,42,43,42,120,219,19,61.7,43.4,5,69,1391,4.3,14.97,VA-83680,38.0684693,-78.8894682
Weyers Cave,Virginia,2068,313,Staunton-Waynesboro,124475,$56453,34.94%,38,$315000,1676,$188,21,77.42%,$887,45.7%,N/A,N/A,1.31%,1.18%,63.29%,Augusta County,22.50%,72.00%,0.0%,0.0%,91.88%,8.12%,2.71%,Eastern Standard Time,85,42,43,41,122,209,19,62.6,44.2,5,77,1391,4.3,6.6,VA-85184,38.2844238,-78.9124841
Wintergreen,Virginia,494,56,Staunton-Waynesboro,124475,$73902,75.51%,72,$255000,1004,$254,31,86.76%,N/A,25.1%,N/A,N/A,0.61%,0.0%,38.46%,Nelson County,44.40%,50.00%,0.0%,22.06%,77.94%,0.0%,25.91%,Eastern Standard Time,86,45,41,45,104,219,14,62.9,44.7,5,82,1391,4.2,8.8,VA-87008,37.9161314,-78.9382046
