City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
El Dorado Hills,California,47107,972,Sacramento--Roseville--Arden-Arcade,2374749,94,56,38,30,62,250,0,42.9,37.5,4,12,22,45,54.33%,$132130,4.14%,$1915,N/A,$862500,2809,$307,19,86.64%,5%,36%,43%,59,31 mins,3.19%,1.70%,4.50%,El Dorado County,38.30%,51.80%,11.35%,1.65%,72.17%,8.11%,12.59%,Pacific Standard Time,25,4.8,34.80%,12,N/A,18,21.3%,6.85,0,0,9,N/A,N/A,CA-21880,48.46,59.26%
Elk Grove,California,173370,4129,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,61,266,0,51.7,46.2,5,18,26,38,36.74%,$101776,7.97%,$1734,997,$559500,1977,$283,18,74.02%,5%,45%,56%,38,31 mins,5.54%,1.40%,17.70%,Sacramento County,58.00%,33.80%,28.92%,10.98%,33.52%,19.03%,24.18%,Pacific Standard Time,25,5.2,44.10%,32,N/A,46,21.3%,10.69,0,1,33,211,1480,CA-22020,41.99,64.81%
Elverta,California,5235,592,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,62,265,0,51.7,46.2,4,19,32,42,16.94%,$77746,13.64%,$1531,N/A,$544500,1587,$343,37,80.91%,8%,55%,61%,37,30 mins,5.86%,1.40%,11.10%,Sacramento County,58.00%,33.80%,4.83%,2.71%,69.84%,17.33%,9.99%,Pacific Standard Time,25,5.2,48.70%,2,N/A,N/A,20.5%,26.29,0,1,35,N/A,N/A,CA-22524,8.84,56.37%
Esparto,California,4009,872,Sacramento--Roseville--Arden-Arcade,2374749,96,55,41,24,66,266,0,51,45.4,5,19,32,30,19.43%,$81181,12.47%,$1249,N/A,$532500,1393,$382,29,70.57%,7%,62%,49%,73,28 mins,3.19%,0.90%,37.20%,Yolo County,66.70%,25.30%,1.72%,0.0%,48.32%,47.29%,20.38%,Pacific Standard Time,25,4.8,43.60%,38,N/A,N/A,18.9%,14.34,0,0,626,N/A,N/A,CA-22846,4.6,70.45%
Fair Oaks,California,30882,2838,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,59,264,0,51.7,46.2,4,16,32,47,47.13%,$89217,8.17%,$1426,858,$599500,2018,$297,41,71.45%,5%,41%,45%,42,27 mins,4.47%,1.40%,0.00%,Sacramento County,58.00%,33.80%,6.25%,2.17%,72.1%,13.65%,10.26%,Pacific Standard Time,25,5.2,46.60%,37,23,40,18.2%,18.69,0,0,13,N/A,N/A,CA-23294,10.88,62.37%
Florin,California,48839,5607,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,268,0,51.7,46.2,N/A,22,42,35,12.4%,$47125,23.59%,$1205,N/A,$400000,1438,$278,35,53.8%,5%,51%,67%,35,26 mins,11.16%,1.40%,2.80%,Sacramento County,58.00%,33.80%,35.87%,10.18%,16.12%,29.2%,33.49%,Pacific Standard Time,25,5.2,54.40%,42,N/A,46,19.6%,0.00,0,1,40,N/A,N/A,CA-24498,8.71,56.49%
Folsom,California,79584,2855,Sacramento--Roseville--Arden-Arcade,2374749,94,55,39,21,59,267,0,51.7,46.2,4,9,26,40,50.23%,$118006,5.01%,$1818,956,$695000,2093,$332,22,72.27%,5%,36%,49%,53,25 mins,3.9%,1.40%,9.90%,Sacramento County,58.00%,33.80%,16.83%,4.25%,57.34%,15.69%,16.57%,Pacific Standard Time,25,5.2,42.00%,30,N/A,55,19.8%,6.13,0,0,12,102,1856,CA-24638,27.88,62.07%
Foothill Farms,California,35711,8503,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,60,263,0,51.7,46.2,N/A,21,40,33,15.58%,$55474,18.19%,$1267,N/A,$389000,1369,$284,40,48.16%,5%,44%,55%,21,26 mins,8.11%,1.40%,2.50%,Sacramento County,58.00%,33.80%,8.45%,12.74%,49.25%,23.88%,23.66%,Pacific Standard Time,25,5.2,52.80%,41,N/A,56,21.2%,0.00,0,0,27,N/A,N/A,CA-24722,4.2,60.21%
Foresthill,California,1545,138,Sacramento--Roseville--Arden-Arcade,2374749,90,51,39,54,74,251,14,44.5,38.9,5,20,39,51,16.93%,$34821,15.21%,N/A,N/A,$474300,1810,$262,34,70.87%,2%,47%,36%,67,27 mins,10.23%,1.40%,-22.20%,Placer County,39.50%,51.10%,0.0%,0.0%,75.66%,24.34%,0.0%,Pacific Standard Time,25,4.8,32.40%,30,N/A,N/A,21.2%,120.07,0,0,94,N/A,N/A,CA-24834,11.19,57.49%
Franklin (Sacramento Cnty),California,26,12,Sacramento--Roseville--Arden-Arcade,2374749,92,54,38,20,61,265,0,N/A,N/A,N/A,17,34,68,19.23%,$24531,19.23%,N/A,N/A,$422200,N/A,N/A,42,61.54%,5%,47%,51%,45,26 mins,0.0%,1.40%,100.00%,Sacramento County,58.00%,33.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,25,5.2,65.70%,25,N/A,34,N/A,N/A,N/A,1,N/A,N/A,N/A,CA-25506,2.11,19.23%
