City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Haverhill,New Hampshire,4610,90,Claremont-Lebanon,217783,79,26,53,40,142,190,70,N/A,N/A,6,17,37,46,23.16%,$46892,N/A,N/A,N/A,$146400,N/A,N/A,42,57.70%,8%,19%,7%,88,24 mins,2.10%,1.50%,-1.40%,Grafton County,55.70%,37.10%,N/A,N/A,97.20%,2.00%,N/A,N/A,N/A,3.1,50.20%,8,N/A,19,N/A,0.00,13,0,8
Hebron,New Hampshire,580,35,Claremont-Lebanon,217783,79,27,52,46,136,199,72,N/A,N/A,6,7,20,59,64.95%,$64000,N/A,N/A,N/A,$317300,N/A,N/A,38,38.50%,9%,19%,9%,89,25 mins,2.10%,1.50%,19.30%,Grafton County,55.70%,37.10%,N/A,N/A,95.34%,5.00%,N/A,N/A,N/A,3.1,38.30%,0,N/A,N/A,N/A,0.00,17,0,32
Holderness,New Hampshire,2296,75,Claremont-Lebanon,217783,80,29,51,46,133,194,73,N/A,N/A,N/A,9,20,44,30.89%,$67100,N/A,N/A,N/A,$326500,N/A,N/A,41,38.60%,8%,22%,7%,89,23 mins,2.10%,1.50%,25.50%,Grafton County,55.70%,37.10%,2.36%,N/A,96.06%,N/A,N/A,N/A,N/A,3.1,40.60%,27,N/A,N/A,N/A,0.00,17,1,27
Landaff,New Hampshire,453,16,Claremont-Lebanon,217783,81,27,54,40,156,194,77,N/A,N/A,5,8,20,52,33.08%,$52000,N/A,N/A,N/A,$222500,N/A,N/A,34,66.00%,8%,23%,8%,91,23 mins,2.10%,1.50%,-9.20%,Grafton County,55.70%,37.10%,N/A,1.81%,96.98%,N/A,N/A,N/A,N/A,3.1,35.20%,0,N/A,5,N/A,0.00,12,0,6
Langdon,New Hampshire,887,55,Claremont-Lebanon,217783,80,29,51,47,137,199,69,N/A,N/A,6,10,17,42,30.59%,$73214,N/A,N/A,N/A,$220500,N/A,N/A,34,68.60%,5%,23%,5%,87,34 mins,2.20%,0.50%,15.50%,Sullivan County,45.00%,47.60%,1.26%,N/A,93.68%,1.80%,N/A,N/A,N/A,3.3,35.50%,3,N/A,3,N/A,0.00,20,0,1
Lebanon,New Hampshire,13544,336,Claremont-Lebanon,217783,82,29,53,41,138,194,68,55.7,35.3,6,20,44,39,N/A,$52825,7.8%,N/A,N/A,$239800,N/A,N/A,44,47.00%,5%,18%,9%,75,17 mins,2.00%,1.10%,3.20%,Grafton County,55.70%,37.10%,N/A,N/A,N/A,4.40%,10.4%,N/A,N/A,3.1,50.00%,83,N/A,53,19.4%,15.07,16,0,4
Lempster,New Hampshire,858,27,Claremont-Lebanon,217783,79,29,50,48,137,199,74,N/A,N/A,6,8,21,51,22.17%,$61161,N/A,N/A,N/A,$165300,N/A,N/A,34,52.90%,6%,24%,6%,90,24 mins,2.20%,0.50%,-26.00%,Sullivan County,45.00%,47.60%,3.47%,N/A,94.91%,N/A,N/A,N/A,N/A,3.3,44.50%,0,N/A,N/A,N/A,0.00,20,0,16
Lincoln,New Hampshire,1283,10,Claremont-Lebanon,217783,78,26,52,41,149,199,79,N/A,N/A,5,15,54,49,29.65%,$41548,3.1%,N/A,N/A,$205300,N/A,N/A,32,9.60%,7%,23%,8%,94,22 mins,2.10%,1.50%,3.10%,Grafton County,55.70%,37.10%,3.70%,N/A,95.03%,1.00%,11.4%,N/A,N/A,3.1,52.60%,0,N/A,N/A,20.9%,0.00,16,0,13
Lisbon,New Hampshire,1662,63,Claremont-Lebanon,217783,81,27,54,40,157,194,78,N/A,N/A,5,8,20,43,20.89%,$48090,8.3%,N/A,N/A,$143800,N/A,N/A,56,56.90%,10%,24%,10%,91,20 mins,2.10%,1.50%,-3.80%,Grafton County,55.70%,37.10%,N/A,N/A,95.72%,N/A,2.6%,N/A,N/A,3.1,50.60%,34,N/A,N/A,22.4%,0.00,12,0,6
Littleton,New Hampshire,5911,118,Claremont-Lebanon,217783,79,26,53,38,162,194,81,N/A,N/A,5,14,31,43,27.18%,$43201,14.5%,N/A,N/A,$172700,N/A,N/A,53,42.90%,6%,26%,6%,88,17 mins,2.10%,1.50%,-0.60%,Grafton County,55.70%,37.10%,N/A,N/A,96.77%,1.40%,4.6%,N/A,N/A,3.1,51.30%,74,N/A,N/A,20.1%,0.00,14,0,5
Lyman,New Hampshire,636,22,Claremont-Lebanon,217783,81,27,54,40,157,194,78,N/A,N/A,5,7,20,47,42.70%,$49297,N/A,N/A,N/A,$179800,N/A,N/A,42,60.20%,8%,23%,7%,91,28 mins,2.10%,1.50%,22.50%,Grafton County,55.70%,37.10%,1.38%,N/A,97.24%,N/A,N/A,N/A,N/A,3.1,39.00%,0,N/A,N/A,N/A,0.00,13,0,6
Lyme,New Hampshire,1696,32,Claremont-Lebanon,217783,81,28,53,40,141,197,67,N/A,N/A,6,6,16,48,66.39%,$110781,N/A,N/A,N/A,$407600,N/A,N/A,46,74.20%,9%,20%,15%,89,23 mins,2.10%,1.50%,-19.00%,Grafton County,55.70%,37.10%,N/A,N/A,95.19%,5.50%,N/A,N/A,N/A,3.1,32.20%,27,N/A,26,N/A,0.00,15,0,10
Monroe,New Hampshire,983,44,Claremont-Lebanon,217783,80,27,53,39,151,168,74,N/A,N/A,5,6,17,45,31.09%,$61458,N/A,N/A,N/A,$192000,N/A,N/A,40,79.10%,8%,22%,8%,91,30 mins,2.10%,1.50%,-0.10%,Grafton County,55.70%,37.10%,N/A,N/A,100.00%,N/A,N/A,N/A,N/A,3.1,34.30%,3,N/A,N/A,N/A,0.00,14,0,5
Mountain Lakes,New Hampshire,393,111,Claremont-Lebanon,217783,79,26,53,40,142,194,69,54.4,34.1,N/A,6,16,57,17.28%,$57727,1.6%,N/A,N/A,$157300,N/A,N/A,31,38.80%,8%,22%,7%,89,22 mins,2.10%,1.50%,-12.10%,Grafton County,55.70%,37.10%,N/A,N/A,93.20%,5.10%,1.7%,N/A,N/A,3.1,26.90%,0,N/A,10,16.1%,0.00,13,0,6
Newport,New Hampshire,6385,147,Claremont-Lebanon,217783,79,28,51,47,134,199,70,N/A,N/A,6,16,35,43,21.19%,$53900,10.8%,N/A,N/A,$150400,N/A,N/A,51,61.90%,3%,19%,1%,86,24 mins,2.20%,0.50%,-2.30%,Sullivan County,45.00%,47.60%,N/A,N/A,94.62%,N/A,1.5%,N/A,N/A,3.3,58.40%,50,N/A,N/A,18.6%,0.00,18,0,15
North Haverhill,New Hampshire,1082,355,Claremont-Lebanon,217783,80,27,53,39,142,194,71,54.4,34.1,6,8,21,52,24.27%,$70885,0%,N/A,N/A,$168800,N/A,N/A,35,65.60%,8%,22%,8%,88,22 mins,2.10%,1.50%,0.00%,Grafton County,55.70%,37.10%,N/A,N/A,90.83%,1.40%,4.1%,N/A,N/A,3.1,N/A,1,N/A,N/A,25.1%,0.00,14,0,6
North Woodstock,New Hampshire,322,384,Claremont-Lebanon,217783,79,28,51,42,144,194,72,54.4,34.1,5,10,28,58,27.80%,$46806,4.3%,N/A,N/A,$205800,N/A,N/A,34,15.80%,8%,21%,8%,94,22 mins,2.10%,1.50%,-30.80%,Grafton County,55.70%,37.10%,N/A,N/A,95.50%,8.10%,1.4%,N/A,N/A,3.1,51.70%,42,N/A,28,16.5%,0.00,15,0,15
Orange,New Hampshire,199,9,Claremont-Lebanon,217783,78,28,50,46,135,194,72,N/A,N/A,6,8,21,56,40.67%,$63750,N/A,N/A,N/A,$194200,N/A,N/A,44,67.30%,8%,22%,7%,90,22 mins,2.10%,1.50%,-38.40%,Grafton County,55.70%,37.10%,1.14%,N/A,94.70%,N/A,N/A,N/A,N/A,3.1,44.60%,0,N/A,4,N/A,0.00,17,0,28
Orford,New Hampshire,1581,34,Claremont-Lebanon,217783,77,26,51,45,140,195,71,N/A,N/A,6,7,8,43,28.54%,$76339,N/A,N/A,N/A,$199800,N/A,N/A,38,59.10%,8%,23%,7%,90,25 mins,2.10%,1.50%,29.40%,Grafton County,55.70%,37.10%,18.14%,6.72%,71.75%,3.70%,N/A,N/A,N/A,3.1,48.40%,27,N/A,33,N/A,0.00,16,0,11
Piermont,New Hampshire,866,23,Claremont-Lebanon,217783,78,26,52,42,144,190,71,N/A,N/A,6,7,18,48,40.30%,$72841,N/A,N/A,N/A,$186800,N/A,N/A,42,61.20%,8%,22%,7%,90,29 mins,2.10%,1.50%,-7.30%,Grafton County,55.70%,37.10%,1.61%,N/A,98.04%,1.20%,N/A,N/A,N/A,3.1,39.20%,15,N/A,N/A,N/A,0.00,16,0,11
Plainfield,New Hampshire,2439,47,Claremont-Lebanon,217783,81,29,52,40,135,199,66,N/A,N/A,6,6,17,46,45.64%,$99625,0%,N/A,N/A,$284200,N/A,N/A,41,74.60%,6%,25%,12%,85,24 mins,2.20%,0.50%,-4.40%,Sullivan County,45.00%,47.60%,3.25%,N/A,95.26%,N/A,9.6%,N/A,N/A,3.3,43.00%,0,N/A,19,12.5%,0.00,16,0,1
Plymouth,New Hampshire,6690,238,Claremont-Lebanon,217783,81,29,52,45,143,194,73,N/A,N/A,6,21,41,22,37.95%,$32459,10.8%,N/A,N/A,$182400,N/A,N/A,38,47.60%,6%,20%,6%,88,16 mins,2.10%,1.50%,-2.10%,Grafton County,55.70%,37.10%,3.75%,1.67%,91.96%,2.90%,4.8%,N/A,N/A,3.1,73.90%,80,N/A,39,16.8%,0.00,16,1,28
Rumney,New Hampshire,1634,39,Claremont-Lebanon,217783,79,27,52,43,133,199,72,N/A,N/A,6,9,23,47,27.12%,$51667,N/A,N/A,N/A,$168800,N/A,N/A,45,52.50%,10%,25%,4%,92,31 mins,2.10%,1.50%,-0.90%,Grafton County,55.70%,37.10%,N/A,N/A,96.62%,N/A,N/A,N/A,N/A,3.1,49.90%,25,N/A,23,N/A,0.00,16,1,23
Springfield,New Hampshire,1011,23,Claremont-Lebanon,217783,79,28,51,46,132,199,71,N/A,N/A,6,6,8,51,N/A,$76207,N/A,N/A,N/A,$235800,N/A,N/A,32,55.40%,5%,22%,6%,87,27 mins,2.20%,0.50%,1.70%,Sullivan County,45.00%,47.60%,N/A,N/A,99.17%,N/A,N/A,N/A,N/A,3.3,34.90%,1,N/A,5,N/A,0.00,18,0,33
Sugar Hill,New Hampshire,643,38,Claremont-Lebanon,217783,78,26,52,40,157,194,86,N/A,N/A,5,7,19,59,55.66%,$78056,N/A,N/A,N/A,$295900,N/A,N/A,63,55.70%,8%,21%,8%,93,19 mins,2.10%,1.50%,-2.90%,Grafton County,55.70%,37.10%,N/A,N/A,92.36%,1.40%,N/A,N/A,N/A,3.1,27.30%,19,N/A,22,N/A,0.00,12,0,6
Sunapee,New Hampshire,3404,161,Claremont-Lebanon,217783,79,28,51,47,134,199,70,N/A,N/A,6,9,11,48,41.80%,$72863,N/A,N/A,N/A,$341300,N/A,N/A,37,40.30%,6%,24%,9%,88,23 mins,2.20%,0.50%,1.60%,Sullivan County,45.00%,47.60%,N/A,N/A,98.93%,N/A,N/A,N/A,N/A,3.3,54.20%,37,N/A,N/A,N/A,0.00,18,0,31
Thornton,New Hampshire,2032,40,Claremont-Lebanon,217783,79,28,51,45,140,194,68,N/A,N/A,6,10,13,48,35.35%,$57708,N/A,N/A,N/A,$207700,N/A,N/A,30,41.90%,9%,22%,7%,94,29 mins,2.10%,1.50%,-16.50%,Grafton County,55.70%,37.10%,N/A,N/A,96.01%,3.10%,N/A,N/A,N/A,3.1,37.60%,1,N/A,11,N/A,0.00,15,0,21
Unity,New Hampshire,1498,41,Claremont-Lebanon,217783,80,29,51,44,134,199,70,N/A,N/A,N/A,8,20,55,16.01%,$57917,N/A,N/A,N/A,$190200,N/A,N/A,34,73.80%,4%,22%,6%,87,26 mins,2.20%,0.50%,-14.00%,Sullivan County,45.00%,47.60%,N/A,N/A,97.77%,1.40%,N/A,N/A,N/A,3.3,49.10%,3,N/A,20,N/A,0.00,18,0,9
Warren,New Hampshire,831,17,Claremont-Lebanon,217783,78,27,51,42,145,198,72,N/A,N/A,6,9,24,48,14.79%,$45000,N/A,N/A,N/A,$165900,N/A,N/A,42,48.60%,9%,27%,5%,94,32 mins,2.10%,1.50%,20.40%,Grafton County,55.70%,37.10%,N/A,N/A,99.54%,3.40%,N/A,N/A,N/A,3.1,45.00%,12,N/A,37,N/A,0.00,15,0,12
Washington,New Hampshire,1265,28,Claremont-Lebanon,217783,79,29,50,47,134,199,73,N/A,N/A,6,8,20,47,21.45%,$59375,N/A,N/A,N/A,$195800,N/A,N/A,35,43.00%,7%,25%,6%,90,37 mins,2.20%,0.50%,14.30%,Sullivan County,45.00%,47.60%,N/A,N/A,96.50%,2.20%,N/A,N/A,N/A,3.3,34.70%,13,N/A,15,N/A,0.00,21,1,24
Waterville Valley,New Hampshire,191,3,Claremont-Lebanon,217783,80,29,51,48,141,194,72,N/A,N/A,6,21,95,53,N/A,$73750,N/A,N/A,N/A,$196900,N/A,N/A,39,7.00%,7%,13%,0%,94,22 mins,2.10%,1.50%,-52.30%,Grafton County,55.70%,37.10%,N/A,N/A,98.39%,N/A,N/A,N/A,N/A,3.1,48.30%,20,N/A,N/A,N/A,0.00,18,0,19
Wentworth,New Hampshire,828,20,Claremont-Lebanon,217783,80,28,52,43,145,198,72,N/A,N/A,6,7,18,50,33.00%,$48125,N/A,N/A,N/A,$165400,N/A,N/A,36,52.50%,8%,22%,7%,90,33 mins,2.10%,1.50%,-9.50%,Grafton County,55.70%,37.10%,2.46%,1.68%,94.74%,N/A,N/A,N/A,N/A,3.1,36.90%,2,N/A,N/A,N/A,0.00,16,0,20
Woodstock,New Hampshire,1216,21,Claremont-Lebanon,217783,79,28,51,42,144,194,72,N/A,N/A,6,11,37,41,38.94%,$50357,N/A,N/A,N/A,$188800,N/A,N/A,34,26.40%,9%,20%,0%,94,22 mins,2.10%,1.50%,-9.00%,Grafton County,55.70%,37.10%,6.04%,N/A,92.45%,2.10%,N/A,N/A,N/A,3.1,47.90%,0,N/A,6,N/A,0.00,N/A,0,17
Woodsville,New Hampshire,827,943,Claremont-Lebanon,217783,78,26,52,40,142,194,68,54.4,34.1,6,12,31,33,10.66%,$38816,6.5%,N/A,N/A,$110200,N/A,N/A,78,42.30%,8%,23%,8%,88,22 mins,2.10%,1.50%,-31.80%,Grafton County,55.70%,37.10%,N/A,N/A,100.00%,2.90%,0.6%,N/A,N/A,3.1,71.10%,49,N/A,N/A,24.2%,71.77,12,0,6
