City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Dustin Acres,California,568,154,Bakersfield,901362,97,55,42,6,41,274,0,46,38.8,N/A,21,41,32,2.64%,$46667,22.04%,$821,654,$138400,N/A,N/A,33,74.12%,7%,37%,25%,79,23 mins,0.0%,1.20%,12.10%,Kern County,40.40%,53.10%,0.7%,4.58%,82.92%,11.09%,1.58%,Pacific Standard Time,492,5.6,48.50%,1,N/A,25,17.5%,0.00,1,0,611,N/A,N/A,CA-20284,3.68,52.12%
Edmundson Acres,California,341,4871,Bakersfield,901362,97,57,40,7,38,274,0,46,38.8,N/A,28,55,26,6.63%,$60694,22.58%,$766,757,$138600,N/A,N/A,59,70.97%,7%,35%,25%,63,23 mins,8.49%,1.20%,80.80%,Kern County,40.40%,53.10%,0.0%,0.0%,17.89%,74.78%,9.97%,Pacific Standard Time,492,5.6,58.10%,7,N/A,26,11.9%,0.00,1,0,2460,N/A,N/A,CA-21558,0.07,46.49%
Edwards AFB,California,2676,141,Bakersfield,901362,98,58,40,7,26,279,1,46,38.8,9,18,37,24,44.39%,$72273,1.27%,N/A,N/A,$281300,N/A,N/A,18,0.0%,7%,35%,26%,81,23 mins,13.42%,1.20%,-32.40%,Kern County,40.40%,53.10%,4.9%,4.52%,65.55%,18.09%,4.93%,Pacific Standard Time,492,5.6,16.10%,8,N/A,40,N/A,0.00,1,0,1963,N/A,N/A,CA-21600,17.13,71.57%
Fellows,California,54,77,Bakersfield,901362,96,57,39,7,39,272,0,46,38.8,4,17,34,51,2.86%,$63250,0.0%,N/A,N/A,$104800,N/A,N/A,73,88.89%,7%,35%,24%,83,23 mins,0.0%,1.20%,-64.80%,Kern County,40.40%,53.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,492,5.6,35.40%,5,N/A,N/A,9.0%,84.75,1,0,447,N/A,N/A,CA-23812,0.7,52.27%
Ford City,California,4909,3188,Bakersfield,901362,97,55,42,6,41,276,0,46,38.8,N/A,26,44,26,5.08%,$43538,41.01%,$821,654,$121400,N/A,N/A,61,39.44%,7%,36%,26%,78,31 mins,15.57%,1.20%,19.10%,Kern County,40.40%,53.10%,2.06%,0.0%,35.04%,60.24%,32.63%,Pacific Standard Time,492,5.6,52.90%,61,N/A,N/A,19.5%,0.00,1,0,527,N/A,N/A,CA-24764,1.54,66.61%
Frazier Park,California,3121,598,Bakersfield,901362,87,51,36,12,38,269,3,46,38.8,N/A,26,53,45,20.99%,$42273,25.47%,N/A,N/A,$342500,1364,$251,40,69.18%,7%,34%,25%,78,23 mins,8.66%,1.20%,2.00%,Kern County,40.40%,53.10%,0.32%,0.0%,79.56%,17.27%,4.77%,Pacific Standard Time,492,5.6,54.50%,0,N/A,N/A,30.8%,69.90,1,0,1917,N/A,N/A,CA-25534,5.22,61.19%
Fuller Acres,California,634,845,Bakersfield,901362,98,57,41,7,38,274,0,46,38.8,N/A,29,57,25,1.3%,$34539,51.13%,$1129,870,$160800,N/A,N/A,64,53.31%,7%,34%,26%,60,23 mins,18.15%,1.20%,-12.30%,Kern County,40.40%,53.10%,0.0%,0.0%,10.57%,89.43%,30.28%,Pacific Standard Time,492,5.6,54.40%,0,17,25,24.2%,0.00,1,0,1852,N/A,N/A,CA-27190,0.75,56.11%
Golden Hills,California,10234,938,Bakersfield,901362,86,50,36,12,42,272,14,46,38.8,8,20,33,39,20.82%,$77586,7.94%,$1186,815,$374900,1768,$212,30,78.93%,7%,35%,25%,78,23 mins,3.58%,1.20%,3.70%,Kern County,40.40%,53.10%,0.36%,0.95%,66.88%,30.17%,9.32%,Pacific Standard Time,492,5.6,43.10%,5,N/A,N/A,20.0%,0.00,N/A,0,3501,N/A,N/A,CA-30282,10.91,62.86%
Greenacres,California,5255,2751,Bakersfield,901362,98,57,41,7,38,274,0,46,38.8,4,19,32,34,16.95%,$77240,7.83%,$1530,1039,$256200,N/A,N/A,40,75.4%,7%,35%,26%,50,23 mins,7.3%,1.20%,4.40%,Kern County,40.40%,53.10%,1.03%,0.55%,68.77%,24.62%,3.81%,Pacific Standard Time,492,5.6,44.90%,20,18,41,18.4%,0.00,1,0,807,N/A,N/A,CA-30938,1.91,61.54%
Greenfield CDP,California,3777,2840,Bakersfield,901362,98,57,41,7,38,274,0,N/A,N/A,N/A,21,36,26,11.26%,$58136,17.27%,N/A,N/A,$171100,N/A,N/A,43,54.96%,7%,35%,25%,45,23 mins,9.1%,1.20%,-14.80%,Kern County,40.40%,53.10%,2.73%,0.64%,21.58%,77.79%,22.11%,Pacific Standard Time,492,5.6,41.90%,26,21,35,N/A,N/A,N/A,0,N/A,N/A,N/A,CA-30987,1.33,57.84%
Inyokern,California,645,59,Bakersfield,901362,102,59,43,6,23,273,0,46,38.8,7,24,48,57,24.29%,$51172,36.43%,$884,915,$211300,N/A,N/A,34,68.99%,7%,35%,26%,84,23 mins,0.0%,1.20%,-56.40%,Kern County,40.40%,53.10%,0.0%,0.0%,84.5%,15.5%,0.0%,Pacific Standard Time,492,5.6,45.30%,43,N/A,44,17.2%,80.86,1,0,34562,N/A,N/A,CA-36658,10.93,36.36%
Keene,California,257,27,Bakersfield,901362,95,57,38,12,37,272,3,46,38.8,7,17,34,63,71.91%,$89115,0.0%,N/A,N/A,$308200,N/A,N/A,31,84.05%,7%,35%,25%,79,23 mins,0.0%,1.20%,10.10%,Kern County,40.40%,53.10%,0.0%,0.0%,84.05%,15.95%,12.06%,Pacific Standard Time,492,5.6,22.60%,10,N/A,N/A,22.7%,31.45,1,0,3585,N/A,N/A,CA-37946,9.44,57.59%
Kernville,California,791,63,Bakersfield,901362,96,58,38,14,43,272,3,46,38.8,6,15,32,41,29.86%,$23288,16.31%,N/A,N/A,$310000,1455,$213,50,68.6%,7%,28%,17%,82,23 mins,0.59%,1.20%,-32.80%,Kern County,40.40%,53.10%,0.0%,0.25%,92.41%,6.95%,0.0%,Pacific Standard Time,492,5.6,41.10%,48,N/A,N/A,24.4%,33.62,N/A,0,3284,N/A,N/A,CA-38310,12.64,57.53%
Lake Isabella,California,3621,167,Bakersfield,901362,87,51,36,13,46,274,14,46,38.8,6,22,38,41,6.13%,$31288,24.11%,N/A,N/A,$190000,1428,$133,45,43.05%,9%,27%,18%,80,23 mins,13.09%,1.20%,30.40%,Kern County,40.40%,53.10%,1.33%,0.0%,80.86%,10.63%,6.32%,Pacific Standard Time,492,5.6,50.80%,43,N/A,37,17.9%,125.85,1,0,3650,N/A,N/A,CA-39570,21.71,42.94%
Lake of the Woods,California,1260,358,Bakersfield,901362,87,51,36,12,38,274,3,46,38.8,6,19,38,31,17.18%,$33750,0%,N/A,N/A,$315000,1369,$230,34,52.20%,7%,34%,25%,78,23 mins,8.40%,1.20%,27.80%,Kern County,40.40%,53.10%,3.0%,0.0%,96.1%,0.9%,8.7%,Pacific Standard Time,492,5.6,34.20%,12,N/A,N/A,21.8%,0.00,1,0,1833,N/A,N/A,N/A,3.52,N/A
Lamont,California,14724,3080,Bakersfield,901362,98,57,41,7,38,278,0,46,38.8,4,27,51,30,4.59%,$42948,26.5%,N/A,N/A,$214900,1334,$161,46,45.33%,2%,46%,26%,51,24 mins,8.02%,1.20%,1.50%,Kern County,40.40%,53.10%,1.09%,0.0%,4.55%,93.82%,40.36%,Pacific Standard Time,492,5.6,50.20%,64,N/A,47,19.4%,12.43,1,0,1785,N/A,N/A,CA-40088,4.78,63.05%
Lebec,California,1474,96,Bakersfield,901362,86,50,36,13,39,273,6,46,38.8,5,27,53,46,14.97%,$33778,18.59%,N/A,N/A,$285000,1325,$215,38,71.3%,7%,34%,24%,87,23 mins,22.42%,1.20%,-3.80%,Kern County,40.40%,53.10%,6.92%,0.0%,53.19%,38.26%,21.37%,Pacific Standard Time,492,5.6,54.70%,17,N/A,22,23.7%,24.52,1,0,1757,N/A,N/A,CA-40956,15.32,54.87%
Lost Hills,California,1742,314,Bakersfield,901362,98,56,42,7,37,277,0,46,38.8,4,26,51,23,2.26%,$36458,23.82%,N/A,N/A,$135400,N/A,N/A,27,38.92%,7%,34%,25%,75,20 mins,3.6%,1.20%,-4.10%,Kern County,40.40%,53.10%,0.92%,0.0%,3.16%,96.84%,44.2%,Pacific Standard Time,492,5.6,45.10%,30,N/A,N/A,19.5%,4.77,0,0,372,N/A,N/A,CA-44280,5.55,65.7%
Maricopa,California,2157,1374,Bakersfield,901362,97,56,41,7,40,272,0,46,38.8,4,27,54,35,7.79%,$40208,21.33%,N/A,N/A,$131900,1268,$104,46,52.62%,7%,36%,25%,83,23 mins,11.45%,1.20%,-6.50%,Kern County,40.40%,53.10%,0.65%,0.0%,54.94%,37.55%,9.36%,Pacific Standard Time,492,5.6,55.80%,16,N/A,N/A,13.2%,84.10,1,0,686,N/A,N/A,CA-45736,1.57,51.1%
McFarland,California,13244,4942,Bakersfield,901362,98,57,41,7,37,274,0,46,38.8,4,27,27,27,3.96%,$36586,29.23%,N/A,N/A,$261500,1334,$196,30,53.77%,7%,36%,25%,59,20 mins,15.16%,1.20%,13.20%,Kern County,40.40%,53.10%,0.45%,1.12%,6.37%,91.77%,34.26%,Pacific Standard Time,492,5.6,47.60%,70,N/A,N/A,23.9%,10.35,0,0,220,431,1049,CA-44826,2.68,55.31%
McKittrick,California,130,50,Bakersfield,901362,98,56,42,7,39,273,0,46,38.8,4,24,47,54,5.41%,$38333,25.0%,N/A,N/A,$53000,N/A,N/A,56,63.85%,7%,34%,26%,79,23 mins,4.08%,1.20%,33.00%,Kern County,40.40%,53.10%,0.0%,0.0%,76.92%,16.15%,0.0%,Pacific Standard Time,492,5.6,48.50%,18,N/A,N/A,9.0%,0.00,0,0,261,N/A,N/A,CA-44924,2.62,43.36%
Mexican Colony,California,337,11233,Bakersfield,901362,98,57,41,7,38,274,0,46,38.8,N/A,29,48,31,2.0%,$35167,49.55%,N/A,N/A,$110600,N/A,N/A,51,34.72%,7%,36%,25%,65,23 mins,3.36%,1.20%,181.30%,Kern County,40.40%,53.10%,0.0%,0.0%,0.0%,100.0%,23.44%,Pacific Standard Time,492,5.6,56.90%,2,N/A,27,14.6%,0.00,1,0,350,N/A,N/A,CA-47192,0.03,70.28%
Mojave,California,3780,65,Bakersfield,901362,98,57,41,7,25,279,1,46,38.8,9,28,48,36,5.59%,$34450,29.55%,N/A,N/A,$160000,1000,$160,38,32.22%,7%,36%,24%,81,21 mins,11.59%,1.20%,16.20%,Kern County,40.40%,53.10%,0.74%,22.7%,29.74%,42.86%,7.46%,Pacific Standard Time,492,5.6,54.30%,42,N/A,40,11.8%,31.29,1,0,2546,N/A,N/A,CA-48452,58.37,54.28%
Mountain Mesa,California,1011,1162,Bakersfield,901362,87,51,36,13,46,270,14,46,38.8,6,30,49,56,25.03%,$39796,5.14%,N/A,N/A,$148700,N/A,N/A,43,89.73%,7%,36%,24%,82,23 mins,14.92%,1.20%,-23.70%,Kern County,40.40%,53.10%,0.89%,0.4%,90.11%,4.45%,1.29%,Pacific Standard Time,492,5.6,90.30%,41,N/A,49,24.1%,0.00,1,0,3733,N/A,N/A,CA-49600,0.87,23.6%
North Edwards,California,906,71,Bakersfield,901362,98,58,40,7,26,270,1,46,38.8,N/A,23,45,44,7.95%,$55417,24.94%,N/A,N/A,$64900,N/A,N/A,58,57.51%,7%,35%,26%,83,23 mins,16.86%,1.20%,-26.50%,Kern County,40.40%,53.10%,3.53%,4.97%,53.53%,26.27%,4.3%,Pacific Standard Time,492,5.6,46.60%,16,N/A,N/A,19.8%,32.40,2,0,2305,N/A,N/A,CA-51812,12.75,61.67%
Oildale,California,35520,4491,Bakersfield,901362,98,57,41,7,38,277,0,46,38.8,N/A,25,47,34,8.35%,$40773,28.78%,$1390,983,$199900,1175,$170,50,31.46%,7%,28%,27%,51,23 mins,14.16%,1.20%,5.30%,Kern County,40.40%,53.10%,3.54%,1.57%,66.85%,23.48%,5.17%,Pacific Standard Time,492,5.6,61.60%,44,33,48,19.8%,0.00,1,0,1418,N/A,N/A,CA-53448,7.91,57.9%
Onyx,California,576,50,Bakersfield,901362,96,58,38,13,41,272,3,46,38.8,7,26,53,57,21.33%,$45391,26.04%,N/A,N/A,$56600,N/A,N/A,50,81.77%,7%,36%,25%,82,23 mins,0.0%,1.20%,381.40%,Kern County,40.40%,53.10%,0.0%,0.0%,97.92%,0.0%,0.0%,Pacific Standard Time,492,5.6,73.90%,4,N/A,N/A,25.4%,178.57,1,0,4450,N/A,N/A,CA-53910,11.45,25.99%
Pine Mountain Club,California,2011,119,Bakersfield,901362,88,52,36,12,38,274,3,46,38.8,5,23,45,57,37.94%,$50859,14.27%,N/A,N/A,$385000,1503,$256,31,85.58%,12%,44%,21%,87,23 mins,4.43%,1.20%,7.60%,Kern County,40.40%,53.10%,15.17%,0.0%,70.36%,7.06%,8.5%,Pacific Standard Time,492,5.6,57.50%,3,N/A,2,25.0%,0.00,1,0,1354,N/A,N/A,CA-57240,16.85,43.72%
Randsburg,California,99,52,Bakersfield,901362,98,55,43,7,23,279,2,46,38.8,7,18,35,74,8.08%,$20700,26.26%,N/A,N/A,$67500,N/A,N/A,78,100.0%,7%,36%,24%,83,23 mins,0.0%,1.20%,240.50%,Kern County,40.40%,53.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,492,5.6,28.00%,3,N/A,N/A,22.1%,0.00,2,0,27655,N/A,N/A,CA-59668,1.91,8.08%
Ridgecrest,California,28905,1386,Bakersfield,901362,103,59,44,5,20,279,0,46,38.8,7,29,29,37,32.03%,$71774,11.68%,$884,915,$255000,1583,$161,38,62.74%,4%,24%,25%,72,23 mins,8.48%,1.20%,4.90%,Kern County,40.40%,53.10%,4.34%,4.69%,66.78%,20.04%,7.23%,Pacific Standard Time,492,5.6,46.70%,33,N/A,50,14.1%,19.64,1,0,34569,487,1377,CA-60704,20.86,63.68%
Rosamond,California,20255,389,Bakersfield,901362,97,58,39,8,26,275,1,46,38.8,7,22,41,32,17.4%,$64218,17.37%,$1234,972,$351500,1681,$209,24,69.94%,7%,46%,40%,76,29 mins,12.96%,1.20%,17.60%,Kern County,40.40%,53.10%,1.46%,10.39%,44.14%,40.95%,11.14%,Pacific Standard Time,492,5.6,47.50%,18,N/A,33,19.1%,24.98,1,0,1473,N/A,N/A,CA-62826,52.12,60.58%
Rosedale,California,19003,649,Bakersfield,901362,97,57,40,7,38,275,0,46,38.8,N/A,14,26,37,34.18%,$108477,7.26%,$1732,1154,$539100,2507,$215,20,81.78%,3%,18%,19%,56,24 mins,5.07%,1.20%,18.60%,Kern County,40.40%,53.10%,1.62%,2.47%,67.31%,22.1%,6.55%,Pacific Standard Time,492,5.6,32.10%,0,N/A,N/A,19.1%,0.00,1,0,551,N/A,N/A,CA-62854,29.27,66.22%
Shafter,California,19743,510,Bakersfield,901362,98,57,41,7,38,271,0,46,38.8,4,21,43,27,11.3%,$47433,23.35%,N/A,N/A,$295000,1552,$190,32,55.43%,5%,33%,24%,56,24 mins,9.01%,1.20%,12.60%,Kern County,40.40%,53.10%,0.64%,2.26%,12.76%,84.22%,26.64%,Pacific Standard Time,492,5.6,48.70%,43,N/A,46,21.6%,11.22,1,0,384,259,2507,CA-71106,38.7,56.13%
Smith Corner,California,413,1877,Bakersfield,901362,98,57,41,7,38,274,0,46,38.8,N/A,20,40,25,0.0%,$66174,0.0%,N/A,N/A,$198100,N/A,N/A,47,9.69%,7%,34%,26%,61,23 mins,8.54%,1.20%,155.40%,Kern County,40.40%,53.10%,0.0%,0.0%,10.17%,89.83%,38.98%,Pacific Standard Time,492,5.6,56.10%,9,N/A,29,12.8%,0.00,1,0,335,N/A,N/A,CA-72338,0.22,44.09%
South Taft,California,2120,1963,Bakersfield,901362,97,55,42,6,41,269,0,46,38.8,N/A,26,51,31,7.05%,$28452,36.08%,$821,654,$120000,1025,$117,59,44.67%,7%,36%,26%,76,23 mins,24.72%,1.20%,-34.90%,Kern County,40.40%,53.10%,0.0%,0.38%,39.39%,58.92%,12.97%,Pacific Standard Time,492,5.6,45.70%,45,N/A,33,17.3%,0.00,1,0,534,N/A,N/A,CA-73388,1.08,53.52%
Squirrel Mountain Valley,California,1146,637,Bakersfield,901362,87,51,36,13,46,274,14,46,38.8,N/A,16,32,64,10.43%,$42596,14.31%,N/A,N/A,$334900,1981,$169,37,84.55%,7%,35%,26%,82,23 mins,16.47%,1.20%,102.30%,Kern County,40.40%,53.10%,0.0%,0.0%,98.08%,0.0%,6.46%,Pacific Standard Time,492,5.6,39.70%,5,N/A,7,20.4%,0.00,1,0,3751,N/A,N/A,CA-73815,1.8,23.16%
Stallion Springs,California,2996,221,Bakersfield,901362,86,50,36,12,42,274,14,46,38.8,7,10,11,45,18.91%,$64028,12.22%,$1186,815,$396500,1897,$209,21,77.64%,7%,36%,25%,81,23 mins,5.58%,1.20%,39.20%,Kern County,40.40%,53.10%,0.0%,0.0%,72.1%,21.6%,1.57%,Pacific Standard Time,492,5.6,45.50%,1,N/A,N/A,26.3%,0.00,1,0,2806,264,717,CA-73868,13.58,41.81%
Tehachapi,California,12718,1240,Bakersfield,901362,86,50,36,12,42,278,14,46,38.8,8,21,35,38,14.71%,$47039,11.36%,$1186,815,$390000,1839,$212,39,64.37%,4%,33%,25%,76,21 mins,10.68%,1.20%,-8.00%,Kern County,40.40%,53.10%,2.43%,7.04%,51.49%,35.94%,12.97%,Pacific Standard Time,492,5.6,61.60%,78,N/A,53,19.3%,21.88,1,0,3447,491,2677,CA-78092,10.26,29.61%
Tupman,California,134,253,Bakersfield,901362,98,57,41,7,38,272,0,46,38.8,4,28,54,36,9.47%,$45313,10.45%,N/A,N/A,$81300,N/A,N/A,34,63.43%,7%,35%,26%,79,23 mins,0.0%,1.20%,33.60%,Kern County,40.40%,53.10%,0.0%,0.0%,85.82%,11.94%,0.0%,Pacific Standard Time,492,5.6,58.90%,3,N/A,N/A,9.0%,0.00,1,0,560,N/A,N/A,CA-80784,0.53,50.0%
Valley Acres,California,641,156,Bakersfield,901362,97,55,42,6,41,274,0,46,38.8,N/A,16,32,40,8.79%,$70046,20.28%,$821,654,$136400,N/A,N/A,59,63.49%,7%,35%,25%,79,23 mins,26.95%,1.20%,-23.50%,Kern County,40.40%,53.10%,0.0%,0.0%,60.69%,38.38%,15.6%,Pacific Standard Time,492,5.6,29.40%,13,N/A,29,15.0%,0.00,1,0,587,N/A,N/A,CA-81722,4.12,58.18%
Wasco,California,27553,2934,Bakersfield,901362,98,57,41,7,37,276,0,46,38.8,4,23,44,30,4.39%,$39291,18.97%,N/A,N/A,$260000,1436,$181,30,65.23%,5%,30%,25%,51,25 mins,9.88%,1.20%,4.90%,Kern County,40.40%,53.10%,0.85%,6.01%,7.41%,84.11%,29.82%,Pacific Standard Time,492,5.6,56.60%,35,N/A,40,21.4%,8.18,0,0,260,N/A,N/A,CA-83542,9.39,46.34%
Weedpatch,California,2879,809,Bakersfield,901362,98,57,41,7,38,273,0,46,38.8,N/A,30,50,29,0.45%,$18943,50.43%,N/A,N/A,$106000,N/A,N/A,50,39.08%,7%,34%,24%,54,23 mins,21.86%,1.20%,-15.50%,Kern County,40.40%,53.10%,0.0%,0.0%,6.32%,93.68%,38.52%,Pacific Standard Time,492,5.6,55.40%,25,N/A,N/A,19.8%,0.00,1,0,1910,N/A,N/A,CA-83863,3.56,56.93%
Weldon,California,2160,81,Bakersfield,901362,92,56,36,14,45,272,7,46,38.8,6,21,42,58,10.7%,$37535,42.18%,N/A,N/A,$175500,1244,$141,40,70.14%,7%,36%,25%,82,23 mins,8.24%,1.20%,-5.20%,Kern County,40.40%,53.10%,0.0%,2.59%,84.35%,1.11%,15.32%,Pacific Standard Time,492,5.6,44.50%,0,N/A,26,13.2%,48.85,1,0,3835,N/A,N/A,CA-83948,26.66,48.45%
Wofford Heights,California,1870,292,Bakersfield,901362,94,57,37,15,47,270,4,46,38.8,6,19,38,58,12.41%,$28669,28.45%,N/A,N/A,$255000,1349,$189,38,62.03%,15%,37%,20%,82,23 mins,8.74%,1.20%,-35.70%,Kern County,40.40%,53.10%,0.0%,0.0%,88.5%,11.5%,10.8%,Pacific Standard Time,492,5.6,44.10%,43,N/A,25,17.9%,99.75,1,0,3522,N/A,N/A,CA-86174,6.4,27.54%
