City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Vermontville township,Michigan,1903,53,Lansing-East Lansing,548248,83,31,52,36,135,175,51,N/A,N/A,N/A,13,27,38,N/A,$45086,N/A,N/A,N/A,$116600,N/A,N/A,46,74.80%,5%,31%,17%,83,32 mins,4.60%,1.30%,2.40%,Eaton County,44.10%,48.80%,0.0%,0.0%,93.8%,2.6%,N/A,Eastern Standard Time,841,3.4,44.40%,0,N/A,25,N/A,0.00,7,2,1
Vevay,Michigan,3593,114,Lansing-East Lansing,548248,82,31,51,34,131,175,43,N/A,N/A,N/A,9,18,45,26.47%,$73860,N/A,N/A,N/A,$173800,N/A,N/A,41,83.90%,6%,36%,20%,77,23 mins,4.90%,1.30%,0.90%,Ingham County,59.90%,33.20%,0.0%,0.5%,96.4%,1.7%,N/A,Eastern Standard Time,841,3.2,34.70%,0,N/A,25,N/A,N/A,N/A,2,N/A
Victor,Michigan,3489,103,Lansing-East Lansing,548248,82,30,52,32,127,175,44,N/A,N/A,N/A,9,17,45,33.97%,$68548,N/A,N/A,N/A,$171800,N/A,N/A,38,94.10%,7%,38%,22%,83,26 mins,3.80%,1.10%,0.60%,Clinton County,40.30%,52.90%,0.0%,1.0%,97.9%,0.5%,N/A,Eastern Standard Time,841,3.2,33.30%,0,N/A,20,N/A,N/A,N/A,2,N/A
Wacousta,Michigan,1416,159,Lansing-East Lansing,548248,82,30,52,34,133,175,46,57.7,39,N/A,8,18,53,40.54%,$77113,2.1%,$989,933,$189200,N/A,N/A,49,87.50%,7%,37%,23%,78,23 mins,3.80%,1.10%,23.60%,Clinton County,40.30%,52.90%,1.6%,0.0%,98.0%,0.0%,2%,Eastern Standard Time,841,3.2,37.00%,12,N/A,N/A,16.0%,0.00,7,2,1
Walton,Michigan,2240,64,Lansing-East Lansing,548248,83,31,52,36,129,175,49,N/A,N/A,N/A,10,22,42,21.06%,$55529,N/A,N/A,N/A,$115300,N/A,N/A,39,83.60%,5%,32%,18%,83,30 mins,4.60%,1.30%,6.50%,Eaton County,44.10%,48.80%,0.1%,0.5%,93.9%,5.4%,N/A,Eastern Standard Time,841,3.4,36.10%,0,N/A,30,N/A,N/A,N/A,2,N/A
Watertown charter township,Michigan,5185,146,Lansing-East Lansing,548248,82,30,52,33,132,175,46,N/A,N/A,N/A,9,17,42,N/A,$76445,N/A,N/A,N/A,$199000,N/A,N/A,34,86.50%,7%,39%,22%,78,22 mins,3.80%,1.10%,8.80%,Clinton County,40.30%,52.90%,1.1%,2.0%,89.1%,4.4%,N/A,Eastern Standard Time,841,3.2,35.20%,5,N/A,24,N/A,0.00,6,2,1
Waverly,Michigan,24589,2712,Lansing-East Lansing,548248,82,30,52,34,133,174,47,58.1,39.4,N/A,20,34,39,38.87%,$53360,5.7%,$967,874,$150800,N/A,N/A,38,50.20%,5%,32%,18%,65,18 mins,4.60%,1.30%,-0.60%,Eaton County,44.10%,48.80%,6.0%,14.3%,66.7%,9.1%,9%,Eastern Standard Time,841,3.4,50.80%,27,N/A,46,15.7%,1.68,6,2,1
Webberville,Michigan,1156,635,Lansing-East Lansing,548248,83,30,53,32,123,175,38,58,39.2,8,12,26,38,18.06%,$47700,3.5%,N/A,N/A,$185000,1594,$116,44,72.30%,5%,38%,26%,79,23 mins,4.90%,1.30%,-21.60%,Ingham County,59.90%,33.20%,0.0%,0.0%,99.5%,0.5%,0%,Eastern Standard Time,841,3.2,45.90%,30,N/A,N/A,17.0%,102.12,6,2,1
Westphalia,Michigan,961,876,Lansing-East Lansing,548248,82,30,52,34,126,177,44,57.7,39,9,9,19,38,27.77%,$51500,3%,N/A,N/A,$182700,N/A,N/A,49,85.00%,8%,42%,26%,83,23 mins,3.80%,1.10%,12.90%,Clinton County,40.30%,52.90%,0.2%,0.0%,94.5%,5.0%,3.2%,Eastern Standard Time,841,3.2,31.40%,32,N/A,34,13.7%,11.89,6,2,1
Westphalia township,Michigan,2550,72,Lansing-East Lansing,548248,82,30,52,34,128,175,45,N/A,N/A,N/A,9,19,36,N/A,$61389,N/A,N/A,N/A,$162500,N/A,N/A,45,91.50%,7%,38%,23%,83,23 mins,3.80%,1.10%,-0.20%,Clinton County,40.30%,52.90%,0.2%,0.2%,93.4%,5.0%,N/A,Eastern Standard Time,841,3.2,35.20%,0,N/A,28,N/A,0.00,6,2,1
Wheatfield,Michigan,1889,65,Lansing-East Lansing,548248,83,30,53,33,127,175,44,N/A,N/A,N/A,8,18,43,43.17%,$82125,N/A,$945,895,$263400,N/A,N/A,44,84.20%,5%,38%,19%,77,23 mins,4.90%,1.30%,24.00%,Ingham County,59.90%,33.20%,1.2%,1.2%,88.1%,6.7%,N/A,Eastern Standard Time,841,3.2,32.40%,0,N/A,25,N/A,N/A,N/A,2,N/A
White Oak,Michigan,1170,32,Lansing-East Lansing,548248,82,30,52,33,122,175,37,N/A,N/A,N/A,10,21,44,16.93%,$60139,N/A,N/A,N/A,$177800,N/A,N/A,47,75.70%,6%,36%,20%,79,30 mins,4.90%,1.30%,11.10%,Ingham County,59.90%,33.20%,0.0%,0.0%,98.0%,0.0%,N/A,Eastern Standard Time,841,3.2,34.20%,0,N/A,34,N/A,N/A,N/A,2,N/A
Williamston,Michigan,3891,1586,Lansing-East Lansing,548248,83,30,53,32,126,176,44,58,39.2,9,7,13,34,51.64%,$54129,0%,$945,895,$222500,1838,$121,37,60.30%,8%,41%,22%,74,27 mins,4.90%,1.30%,2.90%,Ingham County,59.90%,33.20%,0.7%,0.0%,90.9%,7.0%,2.8%,Eastern Standard Time,841,3.2,50.80%,65,N/A,47,17.8%,28.69,6,2,1
Williamstown,Michigan,5058,174,Lansing-East Lansing,548248,83,30,53,32,127,175,44,N/A,N/A,N/A,8,15,53,51.85%,$94677,N/A,N/A,N/A,$199700,N/A,N/A,39,87.40%,6%,36%,19%,76,25 mins,4.90%,1.30%,1.70%,Ingham County,59.90%,33.20%,0.7%,1.4%,95.1%,2.1%,N/A,Eastern Standard Time,841,3.2,27.20%,0,N/A,30,N/A,N/A,N/A,2,N/A
Windsor charter township,Michigan,6905,200,Lansing-East Lansing,548248,82,30,52,34,131,175,46,N/A,N/A,N/A,9,18,49,N/A,$58304,N/A,N/A,N/A,$176900,N/A,N/A,38,84.30%,5%,34%,18%,79,21 mins,4.60%,1.30%,0.20%,Eaton County,44.10%,48.80%,2.0%,2.9%,86.7%,4.7%,N/A,Eastern Standard Time,841,3.4,35.70%,33,N/A,N/A,N/A,0.00,6,2,1
