City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Brown township (Darke Cnty),Ohio,2299,78,Greenville,106541,$36406,N/A,N/A,N/A,N/A,N/A,54,68.70%,N/A,31.40%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,1.40%,N/A,N/A,85,36,49,42.38,29.3,8.3,80,915,3.8,29.47,OH-09414,40.2217406,-84.6619508,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.34,8.7,35.48%,33.63%,37.0%,16
Burkettsville,Ohio,249,1465,Greenville,106541,$74375,11.7%,39,N/A,N/A,N/A,62,94.78%,N/A,25.0%,N/A,N/A,0.8%,0.0%,83.16%,Mercer County,15.50%,80.20%,0.0%,0.0%,97.19%,2.81%,0.0%,N/A,84,34,50,40.52,29.3,8.3,82,876,3.6,0.17,OH-10296,40.3529464,-84.6425809,53%,66%,41%,60%,55%,38.6,41,61,63,19,11.93,8.34,29.37%,28.46%,30.78%,16
Butler township (Darke Cnty),Ohio,1534,1407,Greenville,106541,$73417,N/A,N/A,N/A,N/A,N/A,66,64.10%,N/A,28.70%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,1.40%,N/A,N/A,85,36,49,43.8,26.3,8.3,80,1014,3.8,1.09,OH-10576,39.9603817,-84.6510598,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.82,9.42,35.48%,33.63%,37.0%,23
Castine,Ohio,138,1725,Greenville,106541,$41667,1.45%,28,N/A,N/A,N/A,78,55.8%,$825,55.88%,N/A,N/A,24.64%,0.0%,68.37%,Darke County,17.50%,78.20%,0.0%,0.0%,94.93%,1.45%,1.45%,N/A,85,36,49,43.8,26.3,8.3,80,1014,3.8,0.08,OH-12504,39.9310426,-84.6247177,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.82,9.42,35.48%,33.63%,37.0%,23
Franklin township (Darke Cnty),Ohio,992,107,Greenville,106541,$57386,N/A,N/A,$215000,1680,$128,78,84.40%,N/A,32.80%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,42.33,26.3,8.3,79,930,3.8,9.26,OH-28266,40.0502673,-84.468607,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.87,9.06,36.55%,36.04%,39.44%,23
Gettysburg,Ohio,653,1484,Greenville,106541,$46250,10.91%,37,$83000,1153,$72,79,58.19%,$789,48.66%,N/A,N/A,9.56%,5.68%,57.39%,Darke County,17.50%,78.20%,0.0%,0.0%,99.39%,0.0%,0.31%,N/A,85,36,49,40.36,26.3,8.3,79,912,3.8,0.44,OH-29974,40.1155933,-84.496371,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.53,8.46,36.36%,36.81%,35.44%,23
Gordon,Ohio,159,935,Greenville,106541,$61750,9.26%,41,N/A,N/A,N/A,78,72.33%,$638,40.6%,N/A,N/A,6.92%,0.0%,67.42%,Darke County,17.50%,78.20%,0.0%,0.0%,98.11%,0.0%,0.0%,N/A,85,36,49,42.33,26.3,8.3,78,930,3.8,0.17,OH-30912,39.9302672,-84.5090675,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.87,9.06,36.55%,36.04%,39.44%,23
Greenville,Ohio,12743,1916,Greenville,106541,$40347,16.99%,45,$133000,1773,$75,63,57.23%,$618,54.76%,N/A,N/A,14.16%,4.31%,55.32%,Darke County,17.50%,78.20%,0.21%,1.0%,96.21%,1.35%,0.49%,N/A,85,36,49,41.82,29.3,8.3,62,942,3.8,6.65,OH-32340,40.1041945,-84.6209193,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Greenville township,Ohio,12743,1916,Greenville,106541,$40347,16.99%,45,$133000,1773,$75,63,57.23%,$618,54.76%,N/A,N/A,14.16%,4.31%,55.32%,Darke County,17.50%,78.20%,0.21%,1.0%,96.21%,1.35%,0.49%,N/A,85,36,49,41.82,29.3,8.3,65,942,3.8,6.65,OH-32340,40.1041945,-84.6209193,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Harrison township (Darke Cnty),Ohio,2450,459,Greenville,106541,$54861,N/A,N/A,$215000,1287,$167,78,82.30%,N/A,38.20%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,43.8,29.3,8.3,80,1014,3.8,5.34,OH-33810,39.9603393,-84.7584769,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.82,9.42,35.48%,33.63%,37.0%,16
Hollansburg,Ohio,273,2275,Greenville,106541,$49083,21.88%,42,N/A,N/A,N/A,78,58.61%,N/A,53.85%,N/A,N/A,26.37%,1.45%,62.44%,Darke County,17.50%,78.20%,0.0%,0.0%,86.08%,0.0%,0.0%,N/A,85,36,49,44.67,29.3,8.3,80,1068,3.8,0.12,OH-35896,39.9984929,-84.793009,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,35.48%,33.63%,37.0%,16
Ithaca,Ohio,114,3800,Greenville,106541,$45769,3.9%,41,N/A,N/A,N/A,78,38.6%,$733,49.48%,N/A,N/A,10.53%,9.21%,78.35%,Darke County,17.50%,78.20%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,85,36,49,42.33,26.3,8.3,78,930,3.8,0.03,OH-37604,39.9377367,-84.553332,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.87,9.06,35.48%,33.63%,37.0%,23
Jackson township (Darke Cnty),Ohio,2808,310,Greenville,106541,$35823,N/A,N/A,$100000,1087,$92,55,51.90%,N/A,52.50%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,9.90%,N/A,N/A,85,36,49,41.82,29.3,8.3,80,942,3.8,9.05,OH-37758,40.2226346,-84.7572001,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Liberty township (Darke Cnty),Ohio,1220,37,Greenville,106541,$41024,N/A,N/A,$412000,2438,$169,78,82.70%,N/A,28.50%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,41.82,29.3,8.3,80,942,3.8,32.97,OH-43092,40.0478435,-84.75796,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Mississinawa,Ohio,581,20,Greenville,106541,$53375,N/A,N/A,N/A,N/A,N/A,75,91.00%,N/A,28.80%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,84,34,50,39.33,29.3,8.3,82,855,3.8,29.05,OH-50960,40.3096845,-84.7567535,53%,66%,41%,60%,55%,38.6,41,61,62,18,11.49,7.79,29.37%,28.46%,30.78%,16
Monroe township (Darke Cnty),Ohio,1453,91,Greenville,106541,$55179,N/A,N/A,$300000,2174,$138,73,70.80%,N/A,41.80%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,86,38,48,42.33,26.3,8.3,78,930,3.8,15.89,OH-51366,39.9627352,-84.4667627,53%,66%,41%,60%,55%,38.6,41,61,66,22,11.87,9.06,36.55%,36.04%,39.44%,23
Neave,Ohio,1831,80,Greenville,106541,$43363,14.54%,N/A,N/A,N/A,N/A,50,63.60%,N/A,45.30%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,1.60%,N/A,N/A,85,36,49,41.82,29.3,8.3,80,942,3.8,22.89,OH-53732,40.0337062,-84.6524361,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
New Madison,Ohio,1086,2311,Greenville,106541,$55326,12.19%,39,$119000,1566,$76,69,67.22%,$763,47.33%,N/A,N/A,11.51%,2.64%,58.41%,Darke County,17.50%,78.20%,2.95%,0.0%,92.82%,1.57%,3.41%,N/A,85,36,49,43.8,29.3,8.3,80,1014,3.8,0.47,OH-54978,39.9671143,-84.7081493,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.82,9.42,35.48%,33.63%,37.0%,16
New Weston,Ohio,67,258,Greenville,106541,$44688,4.08%,48,N/A,N/A,N/A,78,76.12%,$595,57.41%,N/A,N/A,2.99%,0.0%,53.85%,Darke County,17.50%,78.20%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,85,36,49,40.52,29.3,8.3,82,876,3.8,0.26,OH-55818,40.3370242,-84.6436095,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.93,8.34,29.37%,28.46%,30.78%,16
North Star,Ohio,189,371,Greenville,106541,$74063,35.71%,35,N/A,N/A,N/A,57,96.83%,N/A,38.16%,N/A,N/A,0.0%,0.0%,77.48%,Darke County,17.50%,78.20%,0.0%,0.0%,92.59%,0.0%,0.0%,N/A,85,36,49,40.52,29.3,8.3,82,876,3.8,0.51,OH-57064,40.3243075,-84.5689327,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.93,8.34,29.37%,28.46%,30.78%,16
Osgood,Ohio,262,749,Greenville,106541,$76458,18.34%,36,N/A,N/A,N/A,48,91.6%,$710,38.46%,N/A,N/A,1.91%,0.71%,68.45%,Darke County,17.50%,78.20%,0.0%,0.0%,100.0%,0.0%,0.76%,N/A,84,34,50,40.52,29.3,8.3,82,876,3.8,0.35,OH-58912,40.339539,-84.4960178,53%,66%,41%,60%,55%,38.6,41,61,63,19,11.93,8.34,36.36%,36.81%,35.44%,16
Palestine,Ohio,252,1680,Greenville,106541,$44583,4.22%,36,$249000,2465,$101,72,60.71%,$665,56.04%,N/A,N/A,8.33%,6.25%,85.02%,Darke County,17.50%,78.20%,2.78%,0.0%,93.65%,2.78%,2.78%,N/A,85,36,49,41.82,29.3,8.3,80,942,3.8,0.15,OH-59598,40.0501517,-84.7443205,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Patterson township,Ohio,1255,13944,Greenville,106541,$63646,N/A,N/A,N/A,N/A,N/A,51,78.10%,N/A,32.50%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,42.04,29.3,8.3,82,897,3.8,0.09,OH-61168,40.309574,-84.4784941,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.62,8.52,36.36%,36.81%,35.44%,16
Pitsburg,Ohio,260,1529,Greenville,106541,$59464,9.76%,38,N/A,N/A,N/A,78,79.62%,$769,39.8%,N/A,N/A,11.92%,2.36%,64.47%,Darke County,17.50%,78.20%,0.0%,0.0%,98.08%,0.0%,0.0%,N/A,85,36,49,42.33,26.3,8.3,78,930,3.8,0.17,OH-62890,39.9871556,-84.4878296,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.87,9.06,36.55%,36.04%,39.44%,23
Richland township (Darke Cnty),Ohio,1086,51,Greenville,106541,$61111,N/A,N/A,N/A,N/A,N/A,75,81.00%,N/A,31.60%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,3.70%,N/A,N/A,85,36,49,42.38,29.3,8.3,80,915,3.8,21.29,OH-66656,40.1879237,-84.5688446,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.34,8.7,36.36%,36.81%,35.44%,16
Wayne Lakes,Ohio,834,1574,Greenville,106541,$48092,16.56%,40,$78000,729,$107,53,70.74%,$631,39.01%,N/A,N/A,6.4%,1.74%,67.45%,Darke County,17.50%,78.20%,6.59%,0.0%,84.89%,0.0%,7.07%,N/A,85,36,49,41.82,29.3,8.3,80,942,3.8,0.53,OH-82348,40.0216263,-84.6624784,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.65,8.79,35.48%,33.63%,37.0%,16
Wayne township (Darke Cnty),Ohio,4372,13663,Greenville,106541,$49659,N/A,N/A,N/A,N/A,N/A,59,73.60%,N/A,39.00%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,42.04,26.3,8.3,79,882,3.8,0.32,OH-82152,40.2248857,-84.4827359,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.77,8.99,36.36%,36.81%,35.44%,23
York township (Darke Cnty),Ohio,344,16,Greenville,106541,$43036,N/A,N/A,N/A,N/A,N/A,25,84.70%,N/A,36.90%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,42.38,29.3,8.3,80,915,3.8,21.5,OH-87010,40.2597021,-84.5748075,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.34,8.7,36.36%,36.81%,35.44%,16
Yorkshire,Ohio,95,339,Greenville,106541,$59792,0.0%,28,N/A,N/A,N/A,78,74.74%,N/A,50.72%,N/A,N/A,1.06%,0.0%,82.35%,Darke County,17.50%,78.20%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,34,50,40.52,29.3,8.3,82,876,3.8,0.28,OH-87164,40.325309,-84.4950258,53%,66%,41%,60%,55%,38.6,41,61,63,19,11.93,8.34,36.36%,36.81%,35.44%,16
