City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Lindon,Utah,11072,1326,Provo-Orem,663181,$95233,43.88%,26,$644000,3444,$187,23,87.31%,$1196,37.44%,N/A,N/A,4.3%,2.72%,65.83%,Utah County,14.00%,50.20%,2.12%,0.2%,88.23%,4.5%,4.42%,Mountain Standard Time,N/A,N/A,N/A,17.55,86,42,8.4,78,4227,4.5,8.35,UT-45090,40.3413953,-111.7186968,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.51,5.25
Mapleton,Utah,10270,769,Provo-Orem,663181,$110417,48.49%,32,$690000,3770,$183,20,93.13%,$1208,30.81%,N/A,N/A,2.18%,1.69%,59.7%,Utah County,14.00%,50.20%,0.0%,0.56%,91.98%,5.47%,2.62%,Mountain Standard Time,N/A,N/A,N/A,19.43,97,57,8.4,86,4227,4.5,13.35,UT-47950,40.1187653,-111.5742389,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Mona,Utah,1699,641,Provo-Orem,663181,$81806,19.26%,31,N/A,N/A,N/A,22,97.53%,N/A,31.89%,N/A,N/A,1.53%,1.71%,64.6%,Juab County,10.50%,67.00%,0.0%,0.0%,92.35%,4.94%,1.65%,Mountain Standard Time,N/A,N/A,N/A,12.23,83,47,8.4,96,4227,4.5,2.65,UT-51140,39.8121502,-111.8494449,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,1.71,3.52
Nephi,Utah,6168,1299,Provo-Orem,663181,$69118,21.49%,31,$590000,3665,$161,45,72.68%,$808,40.5%,N/A,N/A,11.63%,2.88%,66.33%,Juab County,10.50%,67.00%,0.26%,0.71%,89.87%,6.73%,3.89%,Mountain Standard Time,N/A,N/A,N/A,12.23,83,50,8.4,83,4227,4.5,4.75,UT-54220,39.7069155,-111.8325834,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,1.71,3.52
Orem,Utah,97883,5260,Provo-Orem,663181,$65622,40.83%,27,$500000,2381,$210,34,64.33%,$1057,42.81%,N/A,N/A,10.98%,3.85%,70.21%,Utah County,14.00%,50.20%,1.82%,0.66%,75.77%,16.96%,12.07%,Mountain Standard Time,N/A,N/A,N/A,15.48,89,42,8.4,68,4227,4.5,18.61,UT-57300,40.2980618,-111.6994206,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,1.69,5.02
Palmyra,Utah,551,80,Provo-Orem,663181,$87898,16.02%,46,N/A,N/A,N/A,37,77.5%,N/A,33.96%,N/A,N/A,0.54%,2.68%,62.47%,Utah County,14.00%,50.20%,0.0%,0.0%,100.0%,0.0%,0.18%,Mountain Standard Time,N/A,N/A,N/A,19.43,95,51,8.4,84,4227,4.5,6.88,UT-57630,40.1345708,-111.6925247,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Payson,Utah,20181,1548,Provo-Orem,663181,$69014,24.39%,27,$450000,2250,$200,27,82.95%,$1103,42.52%,N/A,N/A,8.38%,5.09%,68.5%,Utah County,14.00%,50.20%,0.78%,0.16%,83.87%,11.6%,5.1%,Mountain Standard Time,N/A,N/A,N/A,19.62,89,51,8.4,85,4227,4.5,13.04,UT-58730,40.0355124,-111.7390583,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Pleasant Grove,Utah,38474,4191,Provo-Orem,663181,$76672,40.9%,28,$488000,1960,$249,23,72.4%,$1227,39.71%,N/A,N/A,6.59%,3.63%,69.99%,Utah County,14.00%,50.20%,0.96%,0.45%,85.29%,9.36%,6.0%,Mountain Standard Time,N/A,N/A,N/A,17.55,85,42,8.4,76,4227,4.5,9.18,UT-60930,40.3715421,-111.7411622,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.51,5.25
Provo,Utah,116886,2804,Provo-Orem,663181,$50072,42.88%,24,$440000,1705,$258,39,43.17%,$901,55.11%,N/A,N/A,25.82%,5.0%,71.38%,Utah County,14.00%,50.20%,2.77%,1.09%,72.87%,17.67%,11.18%,Mountain Standard Time,N/A,N/A,N/A,15.48,90,43,8.4,67,4227,4.5,41.69,UT-62470,40.2457123,-111.6457072,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,1.69,5.02
Rocky Ridge,Utah,1069,625,Provo-Orem,663181,$58654,6.67%,15,N/A,N/A,N/A,16,66.42%,$523,61.48%,N/A,N/A,19.64%,0.49%,84.57%,Juab County,10.50%,67.00%,0.0%,0.0%,98.69%,1.31%,0.75%,Mountain Standard Time,N/A,N/A,N/A,19.62,83,47,8.4,96,4227,4.5,1.71,UT-64590,39.9197482,-111.8257465,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Salem,Utah,8403,800,Provo-Orem,663181,$86745,41.76%,28,$651000,3115,$209,20,92.3%,$1222,31.78%,N/A,N/A,2.38%,3.53%,68.06%,Utah County,14.00%,50.20%,0.18%,0.32%,90.81%,4.14%,2.37%,Mountain Standard Time,N/A,N/A,N/A,19.43,89,53,8.4,90,4227,4.5,10.5,UT-65770,40.0538568,-111.671806,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Santaquin,Utah,12276,1176,Provo-Orem,663181,$76071,19.46%,26,$454000,2640,$172,19,87.64%,$964,34.04%,N/A,N/A,5.81%,3.9%,72.3%,Utah County,14.00%,50.20%,0.0%,0.98%,83.59%,13.42%,4.56%,Mountain Standard Time,N/A,N/A,N/A,19.62,80,51,8.4,91,4227,4.5,10.44,UT-67770,39.9707858,-111.7941779,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Saratoga Springs,Utah,31273,1346,Provo-Orem,663181,$101592,45.81%,22,$526000,2630,$200,11,85.52%,$1603,28.58%,N/A,N/A,4.03%,2.54%,69.83%,Utah County,14.00%,50.20%,1.28%,0.27%,86.9%,7.13%,4.65%,Mountain Standard Time,N/A,N/A,N/A,16.17,80,33,8.4,84,4227,4.5,23.23,UT-67825,40.345035,-111.9154132,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.65,4.57
Spanish Fork,Utah,40069,2472,Provo-Orem,663181,$79846,34.82%,26,$485000,2594,$187,23,78.22%,$1144,35.43%,N/A,N/A,6.35%,1.81%,69.43%,Utah County,14.00%,50.20%,0.24%,0.48%,84.03%,11.46%,5.07%,Mountain Standard Time,N/A,N/A,N/A,19.43,95,51,8.4,79,4227,4.5,16.21,UT-71290,40.1100448,-111.6404927,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Spring Lake,Utah,470,280,Provo-Orem,663181,$81250,15.21%,36,$693000,3316,$209,37,78.94%,N/A,41.02%,N/A,N/A,21.06%,0.0%,67.41%,Utah County,14.00%,50.20%,0.0%,0.0%,96.6%,0.0%,0.0%,Mountain Standard Time,N/A,N/A,N/A,19.62,89,51,8.4,91,4227,4.5,1.68,UT-72170,40.0059324,-111.7503111,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Springville,Utah,33251,2312,Provo-Orem,663181,$72356,36.68%,26,$488000,2008,$243,27,70.83%,$1151,38.03%,N/A,N/A,7.2%,2.96%,66.83%,Utah County,14.00%,50.20%,0.93%,0.23%,79.2%,16.72%,7.82%,Mountain Standard Time,N/A,N/A,N/A,19.43,95,51,8.4,76,4227,4.5,14.38,UT-72280,40.1637755,-111.6204847,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Vineyard,Utah,8628,1798,Provo-Orem,663181,$80868,45.11%,24,$711000,3322,$214,1,53.29%,$1458,41.75%,N/A,N/A,9.31%,1.73%,79.55%,Utah County,14.00%,50.20%,2.31%,2.53%,81.47%,10.23%,7.75%,Mountain Standard Time,N/A,N/A,N/A,17.55,90,42,8.4,77,4227,4.5,4.8,UT-80420,40.3059337,-111.7545093,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.51,5.25
West Mountain,Utah,1370,130,Provo-Orem,663181,$85833,23.07%,29,$1731000,4285,$404,37,87.45%,N/A,37.19%,N/A,N/A,0.0%,3.62%,68.59%,Utah County,14.00%,50.20%,0.0%,0.0%,87.81%,6.79%,3.14%,Mountain Standard Time,N/A,N/A,N/A,19.62,89,51,8.4,89,4227,4.5,10.57,UT-83252,40.050923,-111.7850003,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Woodland Hills,Utah,1422,562,Provo-Orem,663181,$121750,55.69%,36,N/A,N/A,N/A,22,86.99%,$2667,31.69%,N/A,N/A,1.83%,1.63%,59.88%,Utah County,14.00%,50.20%,0.14%,0.0%,94.51%,5.34%,1.97%,Mountain Standard Time,N/A,N/A,N/A,19.43,89,53,8.4,93,4227,4.5,2.53,UT-85050,40.0131852,-111.6557961,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
