City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Butler township (Schuylkill Cnty),Pennsylvania,4947,190,Pottsville,140709,82,34,48,50,124,193,37,N/A,N/A,N/A,8,11,43,N/A,$56378,N/A,N/A,N/A,$104200,N/A,N/A,58,85.30%,5%,11%,13%,83,26 mins,5.40%,-1.10%,-5.30%,Schuylkill County,26.50%,69.40%,0.0%,16.5%,75.9%,6.4%,N/A,N/A,N/A,3.7,51.30%,3,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Cass township (Schuylkill Cnty),Pennsylvania,1889,131,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,10,15,43,N/A,$43480,N/A,N/A,N/A,$54500,N/A,N/A,78,77.70%,3%,10%,10%,81,23 mins,5.40%,-1.10%,-4.90%,Schuylkill County,26.50%,69.40%,1.1%,1.4%,95.6%,1.5%,N/A,N/A,N/A,3.7,44.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Coaldale borough (Schuylkill Cnty),Pennsylvania,2208,1015,Pottsville,140709,85,37,48,52,123,195,38,N/A,N/A,N/A,10,9,41,N/A,$31089,N/A,N/A,N/A,$37600,N/A,N/A,78,61.80%,3%,9%,11%,78,27 mins,5.40%,-1.10%,-16.50%,Schuylkill County,26.50%,69.40%,0.1%,2.6%,91.8%,3.7%,N/A,N/A,N/A,3.7,54.70%,35,N/A,25,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Cressona,Pennsylvania,1350,1644,Pottsville,140709,85,37,48,49,123,191,30,60,40.7,6,12,22,43,14.18%,$55962,13.48%,N/A,N/A,$76200,N/A,N/A,72,65.00%,1%,8%,10%,74,18 mins,5.40%,-1.10%,-4.90%,Schuylkill County,26.50%,69.40%,0.74%,1.33%,93.63%,2.37%,2.15%,N/A,N/A,3.7,50.80%,32,N/A,26,19.2%,0.00,19,1,19,N/A,N/A,PA-17152
Cumbola,Pennsylvania,281,1093,Pottsville,140709,84,36,48,51,127,193,33,59,39.6,6,11,20,38,8.61%,$36250,14.23%,N/A,N/A,$57700,N/A,N/A,78,59.90%,3%,10%,10%,81,25 mins,5.40%,-1.10%,10.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,92.17%,7.83%,1.42%,N/A,N/A,3.7,48.70%,1,N/A,N/A,18.2%,0.00,19,1,16,N/A,N/A,PA-17680
Deer Lake borough,Pennsylvania,743,1692,Pottsville,140709,85,37,48,49,122,189,30,N/A,N/A,N/A,8,14,42,N/A,$71250,N/A,N/A,N/A,$143500,N/A,N/A,38,88.70%,3%,10%,10%,76,26 mins,5.40%,-1.10%,3.10%,Schuylkill County,26.50%,69.40%,0.7%,0.0%,98.4%,0.9%,N/A,N/A,N/A,3.7,34.00%,11,N/A,31,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Delano,Pennsylvania,221,522,Pottsville,140709,80,33,47,52,128,187,42,59,39.6,6,11,19,56,7.82%,$48636,4.07%,N/A,N/A,$36900,N/A,N/A,78,83.60%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-11.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.1%,0.0%,0.0%,N/A,N/A,3.7,53.80%,7,N/A,28,16.4%,0.00,18,1,1,N/A,N/A,PA-18664
Delano township,Pennsylvania,384,47,Pottsville,140709,81,33,48,52,128,193,42,N/A,N/A,N/A,5,6,56,N/A,$45500,N/A,N/A,N/A,$38400,N/A,N/A,78,77.30%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-27.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.2%,0.8%,N/A,N/A,N/A,3.7,53.50%,0,N/A,9,N/A,0.00,19,1,1,N/A,N/A,N/A
Donaldson,Pennsylvania,313,2211,Pottsville,140709,83,35,48,47,126,193,32,59,39.6,7,11,20,41,2.28%,$43750,12.46%,N/A,N/A,$48200,N/A,N/A,78,64.00%,3%,10%,11%,78,30 mins,5.40%,-1.10%,-30.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,47.00%,0,N/A,N/A,17.5%,0.00,17,1,13,N/A,N/A,PA-19432
East Brunswick,Pennsylvania,1682,55,Pottsville,140709,84,37,47,51,118,193,36,N/A,N/A,6,8,15,45,31.34%,$54028,N/A,N/A,N/A,$167900,N/A,N/A,33,78.90%,4%,11%,12%,78,30 mins,5.40%,-1.10%,-7.30%,Schuylkill County,26.50%,69.40%,2.5%,0.9%,92.8%,2.0%,N/A,N/A,N/A,3.7,36.00%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-20880
East Norwegian,Pennsylvania,910,223,Pottsville,140709,84,36,48,51,126,193,36,N/A,N/A,N/A,6,7,47,16.15%,$55909,N/A,N/A,N/A,$65300,N/A,N/A,71,78.30%,3%,9%,10%,75,22 mins,5.40%,-1.10%,-1.40%,Schuylkill County,26.50%,69.40%,0.0%,0.4%,98.7%,0.9%,N/A,N/A,N/A,3.7,40.90%,9,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-21616
East Union,Pennsylvania,1808,70,Pottsville,140709,81,33,48,50,126,193,40,N/A,N/A,N/A,9,7,47,16.74%,$46779,N/A,N/A,N/A,$103700,N/A,N/A,48,58.20%,3%,10%,11%,84,20 mins,5.40%,-1.10%,22.90%,Schuylkill County,26.50%,69.40%,4.3%,1.1%,90.7%,2.8%,N/A,N/A,N/A,3.7,44.10%,12,N/A,19,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-21952
Eldred township (Schuylkill Cnty),Pennsylvania,800,36,Pottsville,140709,83,34,49,46,126,193,34,N/A,N/A,N/A,9,16,48,N/A,$53295,N/A,N/A,N/A,$105600,N/A,N/A,50,71.70%,3%,10%,10%,81,33 mins,5.40%,-1.10%,53.60%,Schuylkill County,26.50%,69.40%,0.0%,0.1%,97.4%,1.0%,N/A,N/A,N/A,3.7,39.50%,0,N/A,10,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Englewood,Pennsylvania,698,962,Pottsville,140709,81,33,48,50,125,193,39,59,39.6,6,11,21,52,57.37%,$95109,7.45%,N/A,N/A,$99200,N/A,N/A,45,73.30%,3%,9%,10%,83,25 mins,5.40%,-1.10%,-5.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,35.10%,34,N/A,N/A,25.9%,0.00,17,1,2,N/A,N/A,PA-23688
Forestville,Pennsylvania,529,547,Pottsville,140709,84,36,48,50,125,193,37,59,39.6,6,8,15,42,26.28%,$76375,0.0%,N/A,N/A,$66300,N/A,N/A,78,73.70%,3%,9%,10%,81,25 mins,5.40%,-1.10%,28.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,28.40%,0,N/A,15,13.9%,0.00,17,1,14,N/A,N/A,PA-26704
Foster township (Schuylkill Cnty),Pennsylvania,291,22,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,5,6,41,N/A,$31250,N/A,N/A,N/A,$54500,N/A,N/A,78,79.10%,3%,10%,10%,78,25 mins,5.40%,-1.10%,60.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.6%,1.4%,N/A,N/A,N/A,3.7,47.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A
Fountain Springs,Pennsylvania,251,552,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,6,11,20,46,7.22%,$35844,33.33%,N/A,N/A,$99600,N/A,N/A,78,100.00%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-12.40%,Schuylkill County,26.50%,69.40%,1.2%,3.19%,93.63%,0.0%,1.2%,N/A,N/A,3.7,59.20%,4,N/A,10,18.1%,0.00,17,1,2,N/A,N/A,PA-27024
Frackville,Pennsylvania,3632,6198,Pottsville,140709,81,33,48,50,125,189,39,59.6,39.6,6,12,11,42,11.67%,$69342,11.19%,N/A,N/A,$55400,N/A,N/A,78,54.10%,3%,10%,11%,63,25 mins,5.40%,-1.10%,-5.00%,Schuylkill County,26.50%,69.40%,0.61%,0.28%,97.03%,1.65%,2.26%,N/A,N/A,3.7,44.50%,59,N/A,N/A,16.4%,10.50,18,1,2,N/A,N/A,PA-27232
Frailey,Pennsylvania,375,41,Pottsville,140709,83,35,48,47,126,193,32,N/A,N/A,7,11,20,41,3.19%,$46667,N/A,N/A,N/A,$50800,N/A,N/A,78,65.00%,3%,10%,11%,78,26 mins,5.40%,-1.10%,-21.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.7%,0.3%,N/A,N/A,N/A,3.7,48.90%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-27248
Friedensburg,Pennsylvania,889,679,Pottsville,140709,85,37,48,48,122,193,27,59,39.6,6,9,17,51,13.83%,$77598,0.0%,N/A,N/A,$111200,N/A,N/A,41,82.00%,3%,10%,10%,78,25 mins,5.40%,-1.10%,35.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,1.69%,N/A,N/A,3.7,32.80%,23,N/A,21,22.6%,0.00,18,1,19,N/A,N/A,PA-27936
Gilberton,Pennsylvania,537,660,Pottsville,140709,81,33,48,50,125,190,39,58.1,38.9,6,6,6,41,10.1%,$43036,18.06%,N/A,N/A,$25200,N/A,N/A,78,56.10%,3%,9%,10%,79,22 mins,5.40%,-1.10%,12.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.88%,0.56%,0.37%,N/A,N/A,3.7,59.00%,3,N/A,15,15.0%,0.00,18,1,2,N/A,N/A,PA-29088
Girardville,Pennsylvania,1376,2828,Pottsville,140709,82,34,48,50,124,192,37,58.7,39.2,6,19,15,41,8.55%,$28917,31.83%,N/A,N/A,$23000,N/A,N/A,78,50.60%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-3.80%,Schuylkill County,26.50%,69.40%,0.29%,0.29%,93.6%,4.8%,1.02%,N/A,N/A,3.7,53.70%,30,N/A,10,15.7%,0.00,17,1,2,N/A,N/A,PA-29264
Gordon,Pennsylvania,969,1290,Pottsville,140709,82,34,48,50,124,189,37,59.1,39.6,6,11,20,40,20.93%,$56691,6.4%,N/A,N/A,$83100,N/A,N/A,78,71.60%,3%,10%,11%,83,23 mins,5.40%,-1.10%,0.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.62%,N/A,N/A,3.7,53.70%,7,N/A,7,16.8%,0.00,17,1,2,N/A,N/A,PA-30128
Grier City,Pennsylvania,239,1031,Pottsville,140709,81,33,48,52,127,193,41,59,39.6,N/A,5,10,55,16.9%,$76985,2.51%,N/A,N/A,$78500,N/A,N/A,78,100.00%,3%,9%,10%,83,25 mins,5.40%,-1.10%,223.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,22.50%,1,N/A,18,22.9%,0.00,19,1,2,N/A,N/A,PA-31536
Heckscherville,Pennsylvania,237,383,Pottsville,140709,84,36,48,50,125,193,37,59,39.6,7,12,23,51,12.59%,$53047,7.59%,N/A,N/A,$39700,N/A,N/A,78,64.10%,3%,10%,11%,81,25 mins,5.40%,-1.10%,-56.10%,Schuylkill County,26.50%,69.40%,0.0%,2.95%,90.3%,6.75%,0.0%,N/A,N/A,3.7,62.00%,0,N/A,N/A,12.4%,0.00,18,1,10,N/A,N/A,PA-33528
Hegins,Pennsylvania,1205,477,Pottsville,140709,83,34,49,47,127,193,34,59,39.6,7,10,17,41,26.34%,$76032,2.24%,N/A,N/A,$107400,N/A,N/A,67,68.20%,7%,15%,10%,80,25 mins,5.40%,-1.10%,22.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,37.40%,16,N/A,30,16.4%,0.00,17,1,1,N/A,N/A,PA-33576
Hegins township,Pennsylvania,3450,108,Pottsville,140709,83,35,48,46,124,193,32,N/A,N/A,N/A,11,17,41,N/A,$46636,N/A,N/A,N/A,$96800,N/A,N/A,63,65.90%,3%,9%,10%,80,28 mins,5.40%,-1.10%,-1.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.0%,0.3%,N/A,N/A,N/A,3.7,42.30%,5,N/A,1,N/A,0.00,17,1,1,N/A,N/A,N/A
Hometown,Pennsylvania,1540,586,Pottsville,140709,84,36,48,52,124,190,38,59,39.6,6,8,14,47,23.7%,$91250,0.0%,N/A,N/A,$119900,N/A,N/A,51,73.80%,3%,10%,11%,83,25 mins,5.40%,-1.10%,-19.90%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.57%,0.0%,0.0%,N/A,N/A,3.7,27.00%,34,N/A,36,17.7%,0.00,20,1,2,N/A,N/A,PA-35448
Hubley,Pennsylvania,715,54,Pottsville,140709,83,35,48,45,124,193,30,N/A,N/A,7,11,21,48,14.77%,$42000,N/A,N/A,N/A,$95900,N/A,N/A,76,64.30%,3%,9%,10%,80,27 mins,5.40%,-1.10%,-18.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.7%,0.3%,N/A,N/A,N/A,3.7,41.10%,3,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-36072
Kelayres,Pennsylvania,429,4191,Pottsville,140709,79,32,47,50,126,193,47,59,39.6,6,12,22,34,7.72%,$50481,18.41%,N/A,N/A,$65300,N/A,N/A,78,57.00%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-13.00%,Schuylkill County,26.50%,69.40%,1.86%,7.23%,85.78%,12.35%,5.13%,N/A,N/A,3.7,44.90%,27,N/A,38,18.6%,0.00,19,1,1,N/A,N/A,PA-39056
Klingerstown,Pennsylvania,96,132,Pottsville,140709,84,35,49,43,125,197,30,59,39.6,7,10,18,54,27.42%,$60417,5.21%,N/A,N/A,$55200,N/A,N/A,78,25.70%,3%,9%,10%,81,25 mins,5.40%,-1.10%,-38.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,91.67%,8.33%,0.0%,N/A,N/A,3.7,41.70%,0,N/A,23,9.0%,0.00,17,1,0,N/A,N/A,PA-40136
Lake Wynonah,Pennsylvania,2697,783,Pottsville,140709,85,37,48,49,123,195,32,59.6,40.3,6,8,15,47,32.12%,$76298,3.08%,N/A,N/A,$170800,N/A,N/A,26,79.50%,4%,10%,10%,78,37 mins,5.40%,-1.10%,-2.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.81%,2.04%,1.89%,N/A,N/A,3.7,37.50%,0,N/A,N/A,19.1%,0.00,19,1,21,N/A,N/A,PA-41099
Landingville,Pennsylvania,292,121,Pottsville,140709,85,37,48,49,122,195,27,59,39.6,6,8,15,48,23.3%,$71813,19.18%,N/A,N/A,$94900,N/A,N/A,74,73.80%,3%,10%,10%,78,25 mins,5.40%,-1.10%,-46.70%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.63%,0.34%,0.0%,N/A,N/A,3.7,41.10%,3,N/A,18,14.1%,0.00,19,1,21,N/A,N/A,PA-41264
Lavelle,Pennsylvania,503,487,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,6,9,16,56,9.09%,$61439,0.0%,N/A,N/A,$86200,N/A,N/A,74,78.90%,3%,10%,10%,83,25 mins,5.40%,-1.10%,-39.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,88.87%,9.54%,0.0%,N/A,N/A,3.7,39.50%,14,N/A,13,20.9%,0.00,17,1,2,N/A,N/A,PA-41904
Mahanoy,Pennsylvania,3277,155,Pottsville,140709,81,33,48,50,126,193,40,N/A,N/A,6,6,6,41,4.76%,$44583,N/A,N/A,N/A,$44600,N/A,N/A,78,68.20%,3%,10%,10%,83,28 mins,5.40%,-1.10%,2.90%,Schuylkill County,26.50%,69.40%,1.0%,35.6%,46.8%,12.4%,N/A,N/A,N/A,3.7,75.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-46584
Mahanoy City,Pennsylvania,3963,7914,Pottsville,140709,81,33,48,52,127,189,41,57.9,38.5,6,11,27,31,5.78%,$29552,43.81%,N/A,N/A,$21600,N/A,N/A,78,39.90%,3%,10%,10%,66,23 mins,5.40%,-1.10%,-4.70%,Schuylkill County,26.50%,69.40%,0.98%,4.19%,87.69%,5.63%,1.74%,N/A,N/A,3.7,65.50%,71,N/A,48,20.2%,0.00,18,1,2,N/A,N/A,PA-46592
Marlin,Pennsylvania,389,444,Pottsville,140709,84,35,49,50,125,193,37,59.6,40.2,6,10,18,59,10.96%,$125043,0.0%,N/A,N/A,$103300,N/A,N/A,58,60.90%,3%,9%,10%,76,25 mins,5.40%,-1.10%,-38.30%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,1.03%,N/A,N/A,3.7,37.70%,31,N/A,26,17.3%,0.00,18,1,17,N/A,N/A,PA-47600
McAdoo,Pennsylvania,2631,6749,Pottsville,140709,79,32,47,50,126,191,47,59,39,6,11,28,37,8.23%,$34046,24.67%,N/A,N/A,$48200,N/A,N/A,78,50.40%,3%,10%,10%,72,25 mins,5.40%,-1.10%,-5.10%,Schuylkill County,26.50%,69.40%,0.19%,0.76%,66.25%,26.91%,11.86%,N/A,N/A,3.7,52.80%,55,N/A,46,20.1%,0.00,19,1,1,N/A,N/A,PA-45824
McKeansburg,Pennsylvania,106,482,Pottsville,140709,84,36,48,51,117,193,38,59,39.6,6,9,16,35,15.85%,$62500,3.77%,N/A,N/A,$116200,N/A,N/A,78,89.90%,3%,10%,10%,76,25 mins,5.40%,-1.10%,-5.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.17%,0.0%,2.83%,N/A,N/A,3.7,35.50%,15,N/A,18,22.6%,0.00,19,1,18,N/A,N/A,PA-46232
Mechanicsville,Pennsylvania,407,1362,Pottsville,140709,84,36,48,50,125,191,37,59,39.6,6,11,19,44,14.94%,$63750,17.0%,N/A,N/A,$60500,N/A,N/A,78,76.20%,3%,10%,10%,71,21 mins,5.40%,-1.10%,9.10%,Schuylkill County,26.50%,69.40%,0.0%,0.49%,98.28%,0.98%,0.0%,N/A,N/A,3.7,50.90%,0,N/A,32,15.0%,0.00,18,1,17,N/A,N/A,PA-48448
Middleport,Pennsylvania,319,982,Pottsville,140709,84,36,48,51,127,193,34,58.8,39.4,6,11,19,48,9.09%,$49375,9.78%,N/A,N/A,$48100,N/A,N/A,78,58.30%,3%,9%,10%,81,25 mins,5.40%,-1.10%,2.40%,Schuylkill County,26.50%,69.40%,1.25%,0.0%,98.12%,0.0%,2.82%,N/A,N/A,3.7,53.40%,6,N/A,29,20.0%,0.00,19,1,15,N/A,N/A,PA-49048
Minersville,Pennsylvania,4174,6457,Pottsville,140709,84,36,48,50,125,196,37,59.7,40.3,7,16,16,42,12.44%,$30814,16.66%,N/A,N/A,$43400,N/A,N/A,78,58.50%,3%,9%,10%,63,25 mins,5.40%,-1.10%,-3.50%,Schuylkill County,26.50%,69.40%,0.38%,0.0%,92.41%,3.91%,0.53%,N/A,N/A,3.7,48.60%,69,N/A,25,18.5%,4.56,18,1,16,N/A,N/A,PA-50088
Mount Carbon,Pennsylvania,56,1058,Pottsville,140709,84,36,48,50,125,189,37,59,39.6,N/A,10,19,51,13.64%,$57917,5.36%,N/A,N/A,$55000,N/A,N/A,78,58.50%,3%,10%,10%,74,25 mins,5.40%,-1.10%,-27.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,92.86%,7.14%,1.79%,N/A,N/A,3.7,53.50%,38,N/A,13,17.1%,0.00,18,1,18,N/A,N/A,PA-51488
Muir,Pennsylvania,448,970,Pottsville,140709,83,36,47,48,123,193,34,59.8,40.4,7,7,13,47,26.35%,$100750,3.13%,N/A,N/A,$65300,N/A,N/A,78,86.90%,3%,10%,11%,78,25 mins,5.40%,-1.10%,26.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,34.70%,15,N/A,23,14.8%,0.00,17,1,1,N/A,N/A,PA-52224
New Castle township,Pennsylvania,389,32,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,12,37,36,N/A,$40500,N/A,N/A,N/A,$44700,N/A,N/A,78,67.40%,3%,9%,10%,81,25 mins,5.40%,-1.10%,-13.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.5%,1.5%,N/A,N/A,N/A,3.7,55.00%,0,N/A,21,N/A,0.00,18,1,9,N/A,N/A,N/A
New Philadelphia,Pennsylvania,971,677,Pottsville,140709,84,36,48,51,127,191,34,59,39.5,6,11,8,45,13.04%,$49628,15.31%,N/A,N/A,$39400,N/A,N/A,78,54.70%,3%,10%,11%,81,28 mins,5.40%,-1.10%,-9.90%,Schuylkill County,26.50%,69.40%,0.21%,0.62%,90.94%,4.53%,1.03%,N/A,N/A,3.7,54.00%,34,N/A,N/A,14.8%,0.00,19,1,16,N/A,N/A,PA-53944
