City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Clarendon,Michigan,1220,34,Battle Creek,133580,$53438,12.96%,N/A,N/A,N/A,N/A,45,74.80%,N/A,46.10%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,0.0%,97.0%,2.9%,N/A,Eastern Standard Time,82,30,52,37,133,47,N/A,84,830,3.2,35.88,MI-16020,42.115948,-84.8845145,50%,66%,39%,62%,56%,33.6,38,58
Convis,Michigan,1575,45,Battle Creek,133580,$46453,18.79%,N/A,N/A,N/A,N/A,44,83.50%,$876,44.40%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,1.8%,96.3%,1.1%,N/A,Eastern Standard Time,83,32,51,37,135,53,8.1,82,830,3.2,35.0,MI-17880,42.3779269,-85.0049383,50%,66%,39%,62%,56%,33.6,38,58
Eckford,Michigan,1304,37,Battle Creek,133580,$51100,23.53%,N/A,N/A,N/A,N/A,56,71.80%,N/A,30.30%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,2.2%,96.0%,0.7%,N/A,Eastern Standard Time,82,31,51,37,132,48,8.1,82,830,3.2,35.24,MI-24700,42.2028076,-84.8849614,50%,66%,39%,62%,56%,33.6,38,58
Emmett charter township,Michigan,11646,7764,Battle Creek,133580,$50692,N/A,N/A,$306000,1779,$172,46,65.00%,N/A,48.50%,368,5150,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,1.6%,3.0%,89.9%,3.0%,N/A,Eastern Standard Time,84,32,52,36,133,51,8.1,73,830,3.2,1.5,MI-25935,42.2869362,-85.1161066,50%,66%,39%,62%,56%,33.6,38,58
Fredonia,Michigan,1539,45,Battle Creek,133580,$50238,21.01%,N/A,N/A,N/A,N/A,45,81.30%,$876,36.30%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,0.3%,96.8%,1.5%,N/A,Eastern Standard Time,83,31,52,37,131,50,8.1,81,830,3.2,34.2,MI-30500,42.2017155,-85.0036997,50%,66%,39%,62%,56%,33.6,38,58
Homer,Michigan,1550,1107,Battle Creek,133580,$40729,12.9%,28,$180000,1667,$108,63,64.32%,$665,47.2%,N/A,N/A,14.27%,7.08%,66.92%,Calhoun County,41.00%,53.50%,0.52%,0.0%,86.58%,4.0%,0.71%,Eastern Standard Time,82,30,52,38,133,46,8.1,83,830,3.2,1.4,MI-38920,42.1461345,-84.8103354,50%,66%,39%,62%,56%,33.6,38,58
Homer township (Calhoun Cnty),Michigan,1550,1107,Battle Creek,133580,$40729,12.9%,28,$180000,1667,$108,63,64.32%,$665,47.2%,N/A,N/A,14.27%,7.08%,66.92%,Calhoun County,41.00%,53.50%,0.52%,0.0%,86.58%,4.0%,0.71%,Eastern Standard Time,82,30,52,38,133,46,8.1,83,830,3.2,1.4,MI-38920,42.1461345,-84.8103354,50%,66%,39%,62%,56%,33.6,38,58
Lee township (Calhoun Cnty),Michigan,919,25,Battle Creek,133580,$45750,N/A,N/A,N/A,N/A,N/A,52,76.40%,N/A,44.30%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.4%,0.0%,91.1%,5.6%,N/A,Eastern Standard Time,83,32,51,36,130,50,8.1,82,830,3.2,36.76,MI-46620,42.3781231,-84.8877516,50%,66%,39%,62%,56%,33.6,38,58
Leroy township (Calhoun Cnty),Michigan,3692,103,Battle Creek,133580,$66304,N/A,N/A,N/A,N/A,N/A,42,90.00%,N/A,33.80%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,4.0%,0.1%,89.5%,4.4%,N/A,Eastern Standard Time,84,32,52,36,137,52,8.1,79,830,3.2,35.84,MI-47060,42.2027637,-85.2373939,50%,66%,39%,62%,56%,33.6,38,58
Level Park-Oak Park,Michigan,3638,700,Battle Creek,133580,$51174,18.11%,41,$167000,1325,$126,61,92.94%,$636,45.91%,N/A,N/A,14.43%,6.94%,60.54%,Calhoun County,41.00%,53.50%,0.0%,0.88%,91.73%,3.6%,0.71%,Eastern Standard Time,84,32,52,36,139,57,8.1,74,830,3.2,5.2,MI-47230,42.364187,-85.2664155,50%,66%,39%,62%,56%,33.6,38,58
Marengo,Michigan,2265,65,Battle Creek,133580,$53500,25.94%,N/A,N/A,N/A,N/A,48,78.00%,N/A,37.70%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.1%,0.7%,96.1%,1.9%,N/A,Eastern Standard Time,83,31,52,36,131,49,8.1,79,830,3.2,34.85,MI-51520,42.2906229,-84.8860779,50%,66%,39%,62%,56%,33.6,38,58
Marshall,Michigan,7016,1081,Battle Creek,133580,$43809,35.02%,N/A,$175000,1400,$125,64,62.30%,$876,52.90%,142,1157,8.7%,5.20%,N/A,Calhoun County,41.00%,53.50%,1.6%,1.4%,89.2%,6.0%,2.8%,Eastern Standard Time,83,31,52,37,131,50,8.1,77,830,3.2,6.49,MI-51960,42.2933821,-85.0092096,50%,66%,39%,62%,56%,33.6,38,58
Marshall township,Michigan,3109,479,Battle Creek,133580,$74583,N/A,N/A,$175000,1400,$125,43,78.40%,N/A,41.10%,142,1157,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,0.4%,95.3%,3.4%,N/A,Eastern Standard Time,83,31,52,37,131,50,8.1,79,830,3.2,6.49,MI-51960,42.2933821,-85.0092096,50%,66%,39%,62%,56%,33.6,38,58
Newton township (Calhoun Cnty),Michigan,2549,71,Battle Creek,133580,$63750,N/A,N/A,N/A,N/A,N/A,38,85.20%,N/A,32.00%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,1.3%,0.0%,94.8%,2.7%,N/A,Eastern Standard Time,83,32,51,36,132,50,8.1,79,830,3.2,35.9,MI-57620,42.2031927,-85.1195062,50%,66%,39%,62%,56%,33.6,38,58
Pennfield charter township,Michigan,8837,258,Battle Creek,133580,$46650,N/A,N/A,N/A,N/A,N/A,53,71.40%,N/A,47.90%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.4%,3.5%,88.6%,3.5%,N/A,Eastern Standard Time,84,32,52,36,137,55,8.1,74,830,3.2,34.25,MI-63440,42.378561,-85.1210032,50%,66%,39%,62%,56%,33.6,38,58
Sheridan township (Calhoun Cnty),Michigan,2104,1913,Battle Creek,133580,$40326,N/A,N/A,$237000,1203,$197,51,74.20%,N/A,43.40%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.6%,3.4%,85.5%,5.7%,N/A,Eastern Standard Time,82,30,52,35,127,43,8.1,81,830,3.2,1.1,MI-72980,42.29326,-84.7740363,50%,66%,39%,62%,56%,33.6,38,58
Springfield,Michigan,5188,1417,Battle Creek,133580,$36005,10.88%,33,$160000,1088,$147,47,49.41%,$661,58.73%,N/A,N/A,23.41%,5.77%,68.72%,Calhoun County,41.00%,53.50%,12.55%,9.64%,65.75%,6.26%,14.38%,Eastern Standard Time,84,32,52,36,139,57,8.1,71,830,3.2,3.66,MI-75700,42.3245839,-85.2370156,50%,66%,39%,62%,56%,33.6,38,58
Tekonsha,Michigan,628,661,Battle Creek,133580,$44063,11.7%,38,N/A,N/A,N/A,78,75.0%,$725,57.87%,N/A,N/A,19.17%,4.47%,60.31%,Calhoun County,41.00%,53.50%,0.0%,0.8%,93.63%,2.87%,0.0%,Eastern Standard Time,82,31,51,36,132,50,N/A,82,830,3.2,0.95,MI-79160,42.0963817,-84.9903006,50%,66%,39%,62%,56%,33.6,38,58
Tekonsha township,Michigan,628,661,Battle Creek,133580,$44063,11.7%,38,N/A,N/A,N/A,78,75.0%,$725,57.87%,N/A,N/A,19.17%,4.47%,60.31%,Calhoun County,41.00%,53.50%,0.0%,0.8%,93.63%,2.87%,0.0%,Eastern Standard Time,82,31,51,36,132,50,N/A,82,830,3.2,0.95,MI-79160,42.0963817,-84.9903006,50%,66%,39%,62%,56%,33.6,38,58
