City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Milford,Indiana,1664,1148,Warsaw,109529,$40625,5.04%,31,$187000,1247,$150,62,72.53%,$664,50.56%,N/A,N/A,12.28%,2.31%,66.75%,Kosciusko County,19.50%,73.80%,0.42%,0.0%,72.36%,23.62%,10.94%,N/A,84,33,51,40.62,47.3,N/A,82,765,3.7,1.45,IN-49320,41.4142754,-85.8446529,60%,75%,47%,61%,56%,41.1,40,60,63,19,12.51,7.47,38.36%,38.46%,35.78%,38,86
Monroe township (Kosciusko Cnty),Indiana,1133,1666,Warsaw,109529,$75690,N/A,N/A,$135000,1262,$107,39,80.10%,N/A,33.20%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,5.90%,N/A,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,0.68,IN-50364,41.1475226,-85.7421544,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
North Webster,Indiana,1088,1343,Warsaw,109529,$53594,11.93%,46,$180000,1098,$164,51,82.08%,$853,53.44%,N/A,N/A,7.65%,2.65%,62.93%,Kosciusko County,19.50%,73.80%,0.0%,0.28%,97.7%,1.01%,1.56%,N/A,83,32,51,42.19,47.3,N/A,81,789,3.7,0.81,IN-55134,41.3240076,-85.6978543,60%,75%,47%,61%,55%,36.1,40,60,63,18,13.15,8.04,40.77%,36.15%,45.89%,38,85
Pierceton,Indiana,1145,916,Warsaw,109529,$49141,22.28%,35,$69000,1232,$56,76,64.8%,$746,58.18%,N/A,N/A,13.77%,2.81%,69.43%,Kosciusko County,19.50%,73.80%,2.97%,0.0%,84.45%,9.69%,3.41%,N/A,84,33,51,42.19,47.3,N/A,82,789,3.7,1.25,IN-59598,41.1991697,-85.7031936,60%,75%,47%,61%,55%,36.1,40,60,62,17,13.15,8.04,40.77%,36.15%,45.89%,38,86
Plain,Indiana,7807,230,Warsaw,109529,$57230,25.02%,N/A,N/A,N/A,N/A,32,59.10%,N/A,37.90%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,3.20%,N/A,N/A,21.20%,N/A,N/A,84,33,51,39.86,47.3,N/A,82,744,3.7,33.94,IN-60228,41.306032,-85.8250348,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,40.77%,36.15%,45.89%,38,86
Prairie township (Kosciusko Cnty),Indiana,1857,53,Warsaw,109529,$57500,N/A,N/A,N/A,N/A,N/A,38,77.90%,N/A,33.60%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,1.50%,N/A,N/A,84,33,51,39.86,30.8,N/A,83,744,3.7,35.04,IN-61578,41.3043286,-85.9416357,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
Scott township (Kosciusko Cnty),Indiana,1761,75,Warsaw,109529,$56587,N/A,N/A,N/A,N/A,N/A,46,78.00%,N/A,26.30%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,1.70%,N/A,N/A,84,33,51,40.62,51.2,N/A,82,765,3.7,23.48,IN-68400,41.3845191,-86.018206,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.51,7.47,46.63%,42.53%,50.11%,38,86
Seward,Indiana,2582,74,Warsaw,109529,$57059,15.01%,N/A,N/A,N/A,N/A,47,56.00%,N/A,38.60%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,N/A,N/A,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,34.89,IN-68796,41.1084964,-85.9465062,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
Sidney,Indiana,64,492,Warsaw,109529,$37750,4.0%,38,$133000,1317,$101,78,79.69%,N/A,57.14%,N/A,N/A,17.19%,3.57%,50.0%,Kosciusko County,19.50%,73.80%,0.0%,0.0%,89.06%,10.94%,4.69%,N/A,83,33,50,42.04,30.3,N/A,83,696,3.7,0.13,IN-69678,41.1049995,-85.7426326,60%,75%,47%,61%,55%,36.1,40,60,62,17,13.02,7.75,37.62%,33.41%,42.11%,18,85
Silver Lake,Indiana,1059,1998,Warsaw,109529,$48611,6.84%,45,N/A,N/A,N/A,68,69.88%,$805,58.38%,N/A,N/A,24.68%,4.31%,58.11%,Kosciusko County,19.50%,73.80%,0.38%,0.09%,97.64%,0.19%,0.38%,N/A,83,33,50,40.07,30.8,N/A,82,777,3.7,0.53,IN-69768,41.074259,-85.8923363,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,85
Syracuse,Indiana,2874,1459,Warsaw,109529,$48240,24.4%,46,$195000,1653,$118,51,55.74%,$826,57.11%,N/A,N/A,11.1%,5.32%,60.81%,Kosciusko County,19.50%,73.80%,0.35%,0.52%,86.4%,5.88%,6.96%,N/A,83,32,51,39.79,47.3,N/A,80,783,3.7,1.97,IN-74744,41.4225568,-85.7491257,60%,75%,47%,61%,56%,41.1,40,60,63,18,11.85,7.69,40.77%,36.15%,45.89%,38,85
Tippecanoe township (Kosciusko Cnty),Indiana,6677,220,Warsaw,109529,$51161,N/A,N/A,N/A,N/A,N/A,41,46.30%,N/A,36.70%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,N/A,N/A,N/A,83,32,51,42.19,47.3,N/A,82,789,3.7,30.35,IN-75842,41.3076281,-85.7094357,60%,75%,47%,61%,55%,36.1,40,60,63,18,13.15,8.04,40.77%,36.15%,45.89%,38,85
Turkey Creek,Indiana,8473,296,Warsaw,109529,$51926,26.50%,N/A,N/A,N/A,N/A,41,47.90%,N/A,44.30%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,7.40%,N/A,N/A,83,32,51,39.79,47.3,N/A,80,783,3.7,28.63,IN-76760,41.393443,-85.7108109,60%,75%,47%,61%,56%,41.1,40,60,63,18,11.85,7.69,40.77%,36.15%,45.89%,38,85
Van Buren township (Kosciusko Cnty),Indiana,4183,7212,Warsaw,109529,$53688,N/A,N/A,N/A,N/A,N/A,37,66.60%,N/A,38.50%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,14.20%,N/A,N/A,83,32,51,40.62,47.3,N/A,82,765,3.7,0.58,IN-78488,41.391964,-85.827036,60%,75%,47%,61%,56%,41.1,40,60,63,18,12.51,7.47,40.77%,36.15%,45.89%,38,85
Warsaw,Indiana,15757,1176,Warsaw,109529,$53006,33.15%,34,$270000,1901,$142,43,53.52%,$828,58.03%,N/A,N/A,14.8%,4.91%,67.85%,Kosciusko County,19.50%,73.80%,4.89%,1.99%,75.99%,14.13%,9.71%,N/A,84,33,51,39.86,30.8,N/A,70,744,3.7,13.4,IN-80306,41.2447715,-85.8464913,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
Washington township (Kosciusko Cnty),Indiana,3025,456,Warsaw,109529,$50216,N/A,N/A,$145000,1160,$125,51,63.10%,N/A,41.50%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,9.00%,N/A,N/A,84,33,51,42.19,47.3,N/A,82,789,3.7,6.63,IN-80756,41.2216485,-85.7085224,60%,75%,47%,61%,55%,36.1,40,60,62,17,13.15,8.04,40.77%,36.15%,45.89%,38,86
Wayne township (Kosciusko Cnty),Indiana,28623,670,Warsaw,109529,$50983,N/A,N/A,N/A,N/A,N/A,38,62.40%,N/A,46.80%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,8.60%,N/A,N/A,84,33,51,39.86,30.8,N/A,74,744,3.7,42.72,IN-81782,41.2197938,-85.8376286,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
Winona Lake,Indiana,4902,1770,Warsaw,109529,$70778,50.58%,29,$240000,1727,$139,40,69.08%,$997,53.91%,N/A,N/A,6.75%,2.05%,71.97%,Kosciusko County,19.50%,73.80%,1.53%,1.14%,88.66%,5.88%,3.61%,N/A,84,33,51,39.86,30.8,N/A,78,744,3.7,2.77,IN-84950,41.2166234,-85.810592,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
