City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Avalon,Pennsylvania,4753,7666,Pittsburgh,2366544,$43873,31.11%,42,$145000,1261,$115,67,52.06%,$830,69.61%,396,1123,12.98%,2.99%,65.43%,Allegheny County,55.90%,39.50%,1.96%,14.12%,77.32%,1.56%,3.22%,Eastern Standard Time,86,39,47,64,21,57%,54%,39,58,89,42%,52%,29%,43.97,12.6,10.28,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,34,657,3.4,0.62,PA-03608,40.5011009,-80.0680327
Avella,Pennsylvania,907,1008,Pittsburgh,2366544,$46912,10.16%,31,$950000,1816,$523,80,62.23%,$894,63.96%,N/A,N/A,31.86%,23.38%,62.79%,Washington County,35.50%,60.00%,0.0%,0.0%,96.47%,0.0%,0.0%,Eastern Standard Time,84,37,47,63,20,57%,54%,39,58,86,42%,52%,29%,43.73,11.99,10.01,41.7%,41.98%,42.89%,12.4,11,7.8,34.4,72,906,3.6,0.9,PA-03616,40.2736573,-80.4672155
Avonmore,Pennsylvania,1049,714,Pittsburgh,2366544,$47083,16.41%,48,$180000,1875,$96,75,76.38%,$688,51.47%,N/A,N/A,10.57%,3.9%,60.45%,Westmoreland County,32.50%,63.50%,0.19%,0.0%,98.28%,0.48%,0.76%,Eastern Standard Time,83,36,47,61,20,57%,54%,39,58,85,42%,52%,29%,48.65,15.26,10.47,49.12%,46.92%,56.11%,25.0,22,7.8,34.4,64,1014,3.5,1.47,PA-03688,40.5271692,-79.4692924
Baden,Pennsylvania,3937,1742,Pittsburgh,2366544,$55455,21.34%,47,$157000,969,$162,67,76.53%,$569,55.19%,N/A,N/A,9.76%,3.3%,56.01%,Beaver County,38.50%,57.00%,0.0%,0.86%,93.93%,3.86%,3.53%,Eastern Standard Time,84,36,48,65,21,57%,54%,39,58,86,42%,52%,29%,39.86,12.22,8.64,39.29%,37.69%,42.0%,44.4,37,7.8,34.4,65,648,3.7,2.26,PA-03736,40.6396609,-80.2228356
Baidland,Pennsylvania,1859,869,Pittsburgh,2366544,$114188,45.76%,39,$265000,1828,$145,50,92.11%,N/A,25.08%,N/A,N/A,0.81%,0.0%,63.36%,Washington County,35.50%,60.00%,0.0%,0.0%,96.45%,0.0%,1.67%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,40.66%,37.91%,47.44%,25.0,22,7.8,34.4,51,684,3.6,2.14,PA-03768,40.1887374,-79.9549852
Bairdford,Pennsylvania,640,408,Pittsburgh,2366544,$110597,13.96%,53,N/A,N/A,N/A,77,95.04%,N/A,20.85%,N/A,N/A,3.59%,0.0%,66.34%,Allegheny County,55.90%,39.50%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,84,36,48,63,19,57%,54%,39,58,86,42%,52%,29%,47.89,14.48,10.46,44.33%,39.56%,54.56%,25.0,22,7.8,34.4,64,684,3.4,1.57,PA-03816,40.6279042,-79.8812535
Bakerstown,Pennsylvania,3037,1250,Pittsburgh,2366544,$126574,68.09%,42,$330000,1146,$288,32,87.73%,$2301,47.24%,N/A,N/A,13.63%,0.84%,61.5%,Allegheny County,55.90%,39.50%,3.95%,0.0%,91.01%,0.0%,5.8%,Eastern Standard Time,84,36,48,63,19,57%,54%,39,58,86,42%,52%,29%,46.24,14.37,9.89,44.33%,39.56%,54.56%,44.4,37,7.8,34.4,65,1125,3.4,2.43,PA-03864,40.6537704,-79.9394572
Baldwin,Pennsylvania,2039,353,Pittsburgh,2366544,N/A,N/A,N/A,$204000,1259,$162,N/A,N/A,N/A,N/A,207,467,N/A,N/A,N/A,Allegheny County,55.90%,39.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,37,46,65,23,57%,54%,39,58,85,42%,52%,29%,43.46,13.73,9.15,44.3%,43.52%,45.78%,44.4,37,7.8,34.4,54,1140,3.4,5.77,PA-03932,40.3801273,-80.0142754
Baldwin borough,Pennsylvania,19743,3422,Pittsburgh,2366544,N/A,N/A,N/A,$204000,1259,$162,N/A,N/A,N/A,N/A,207,467,N/A,N/A,N/A,Allegheny County,55.90%,39.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,37,46,65,23,57%,54%,39,58,85,42%,52%,29%,43.46,13.73,9.15,44.3%,43.52%,45.78%,44.4,37,7.8,34.4,51,1140,3.4,5.77,PA-03932,40.3801273,-80.0142754
Beallsville,Pennsylvania,402,165,Pittsburgh,2366544,$65536,22.41%,47,N/A,N/A,N/A,74,84.5%,$881,50.58%,N/A,N/A,2.49%,4.81%,61.36%,Washington County,35.50%,60.00%,0.0%,0.25%,98.51%,0.0%,0.0%,Eastern Standard Time,85,39,46,64,22,57%,54%,39,58,87,42%,52%,29%,44.45,13.52,10.05,40.66%,37.91%,47.44%,30.5,14,7.8,34.4,64,684,3.6,2.43,PA-04568,40.061904,-80.0302309
Bear Rocks,Pennsylvania,1111,343,Pittsburgh,2366544,$70257,22.26%,57,$330000,1341,$246,39,98.72%,N/A,42.95%,N/A,N/A,4.68%,4.93%,58.0%,Fayette County,33.20%,63.90%,0.0%,0.0%,100.0%,0.0%,0.72%,Eastern Standard Time,81,37,44,61,19,57%,54%,39,58,82,42%,52%,29%,53.93,14.45,15.38,47.92%,44.84%,57.44%,137.6,57,7.8,34.4,77,1647,3.6,3.24,PA-04616,40.1288425,-79.4648905
