City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Fairwater,Wisconsin,328,443,Fond du Lac,102902,$66250,15.54%,32,N/A,N/A,N/A,65,62.5%,$867,51.87%,N/A,N/A,28.66%,7.14%,71.79%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,88.11%,7.01%,0.3%,Central Standard Time,81,26,55,33,108,37,8.1,86,750,3.4,0.74,WI-25075,43.7423726,-88.8680324,52%,64%,45%,60%,57%,40.5,37,58
Fond du Lac,Wisconsin,42910,2231,Fond du Lac,102902,$45914,23.96%,N/A,$200000,1527,$131,53,53.10%,N/A,51.00%,311,1855,9%,3.70%,N/A,Fond du Lac County,33.60%,59.90%,2.2%,2.0%,84.4%,7.9%,4.4%,Central Standard Time,81,26,55,30,107,35,8.1,68,750,3.4,19.23,WI-26300,43.7628848,-88.504048,53%,66%,44%,63%,61%,34.2,37,58
Fond du Lac town,Wisconsin,3627,189,Fond du Lac,102902,$69632,N/A,N/A,$200000,1527,$131,31,71.40%,N/A,34.70%,311,1855,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,3.4%,1.0%,94.4%,1.1%,N/A,Central Standard Time,81,26,55,30,107,35,8.1,76,750,3.4,19.23,WI-26300,43.7628848,-88.504048,53%,66%,44%,63%,61%,34.2,37,58
Forest (Fond du Lac Cnty),Wisconsin,963,27,Fond du Lac,102902,$63889,N/A,N/A,N/A,N/A,N/A,45,85.80%,N/A,32.10%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.5%,0.0%,99.2%,0.0%,N/A,Central Standard Time,81,26,55,32,114,41,8.1,86,750,3.4,35.67,WI-26450,43.7612295,-88.2208681,53%,66%,44%,63%,61%,34.2,37,58
Friendship,Wisconsin,2625,2917,Fond du Lac,102902,$50878,11.37%,N/A,N/A,N/A,N/A,32,87.10%,N/A,40.70%,N/A,N/A,17.4%,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.7%,0.9%,91.8%,5.7%,7.2%,Central Standard Time,81,26,55,30,107,35,8.1,81,750,3.4,0.9,WI-27975,43.8520944,-88.4636964,53%,66%,44%,63%,61%,34.2,37,58
Lamartine,Wisconsin,1827,50,Fond du Lac,102902,$68125,22.32%,N/A,N/A,N/A,N/A,44,83.60%,N/A,32.50%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,1.8%,0.4%,92.2%,4.2%,N/A,Central Standard Time,81,26,55,30,107,36,8.1,86,750,3.4,36.54,WI-42125,43.7634097,-88.5841318,53%,66%,44%,63%,61%,34.2,37,58
Marshfield (Fond du Lac Cnty),Wisconsin,1184,87,Fond du Lac,102902,$74479,N/A,N/A,$200000,1905,$105,46,77.50%,N/A,32.40%,159,1712,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.4%,0.0%,99.2%,0.0%,N/A,Central Standard Time,81,26,55,32,114,41,8.1,86,750,3.4,13.66,WI-49650,43.8496486,-88.2225803,53%,66%,44%,63%,61%,34.2,37,58
Metomen,Wisconsin,804,23,Fond du Lac,102902,$76667,20.37%,N/A,N/A,N/A,N/A,56,78.80%,N/A,39.30%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,99.0%,0.6%,N/A,Central Standard Time,81,26,55,32,107,36,8.1,86,750,3.4,34.96,WI-51450,43.7652517,-88.825323,52%,64%,45%,60%,57%,40.5,37,58
Mount Calvary,Wisconsin,602,568,Fond du Lac,102902,$71563,20.66%,38,$187000,1299,$144,55,91.57%,$625,41.37%,N/A,N/A,3.83%,3.94%,69.74%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,99.34%,0.0%,1.0%,Central Standard Time,81,26,55,32,115,42,8.1,86,750,3.4,1.06,WI-54650,43.8262845,-88.2460699,53%,66%,44%,63%,61%,34.2,37,58
North Fond du Lac,Wisconsin,5076,2394,Fond du Lac,102902,$56096,14.51%,38,$161000,1464,$110,43,68.85%,$918,40.37%,137,568,15.21%,7.03%,66.8%,Fond du Lac County,33.60%,59.90%,0.02%,0.02%,90.25%,7.05%,0.95%,Central Standard Time,81,26,55,30,107,35,8.1,77,750,3.4,2.12,WI-58000,43.8107642,-88.4860611,53%,66%,44%,63%,61%,34.2,37,58
Oakfield,Wisconsin,797,813,Fond du Lac,102902,$71875,23.44%,N/A,$252000,4065,$62,52,87.10%,N/A,30.30%,N/A,N/A,7.2%,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.6%,0.0%,94.0%,4.8%,4.2%,Central Standard Time,81,26,55,31,106,37,8.1,86,750,3.4,0.98,WI-58925,43.6757088,-88.5843311,53%,66%,44%,63%,61%,34.2,37,58
Osceola (Fond du Lac Cnty),Wisconsin,1818,448,Fond du Lac,102902,$62750,N/A,N/A,N/A,N/A,N/A,48,61.20%,N/A,34.10%,836,597,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.4%,0.6%,96.4%,1.5%,N/A,Central Standard Time,81,27,54,33,112,44,8.1,86,750,3.4,4.06,WI-60425,43.6740841,-88.2204156,53%,66%,44%,63%,61%,34.2,37,58
Ripon,Wisconsin,7738,1557,Fond du Lac,102902,$47008,23.82%,N/A,$175000,1549,$113,51,55.90%,N/A,54.80%,0,0,10.8%,3.20%,N/A,Fond du Lac County,33.60%,59.90%,1.5%,0.9%,92.1%,4.1%,4.6%,Central Standard Time,81,26,55,33,108,37,8.1,81,750,3.4,4.97,WI-68200,43.8513305,-88.7951252,52%,64%,45%,60%,57%,40.5,37,58
Ripon town,Wisconsin,1370,276,Fond du Lac,102902,$63264,N/A,N/A,$175000,1549,$113,45,81.50%,N/A,35.80%,0,0,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.6%,0.0%,97.0%,0.9%,N/A,Central Standard Time,81,26,55,33,108,37,8.1,81,750,3.4,4.97,WI-68200,43.8513305,-88.7951252,52%,64%,45%,60%,57%,40.5,37,58
Rosendale,Wisconsin,655,533,Fond du Lac,102902,$79318,23.99%,N/A,$210000,2258,$93,57,90.10%,N/A,35.40%,0,0,9.5%,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.3%,99.1%,0.0%,0.4%,Central Standard Time,81,26,55,31,107,36,8.1,86,750,3.4,1.23,WI-69550,43.8519376,-88.7056402,52%,64%,45%,60%,57%,40.5,37,58
Springvale (Fond du Lac Cnty),Wisconsin,641,18,Fond du Lac,102902,$60781,N/A,N/A,N/A,N/A,N/A,56,86.50%,N/A,36.80%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,98.8%,0.0%,N/A,Central Standard Time,81,26,55,31,107,35,8.1,86,750,3.4,35.61,WI-76250,43.7633165,-88.7053932,52%,64%,45%,60%,57%,40.5,37,58
St. Cloud,Wisconsin,504,548,Fond du Lac,102902,$75000,17.81%,44,$305000,1510,$202,65,91.27%,$656,35.12%,N/A,N/A,4.64%,1.72%,71.43%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,96.83%,2.58%,2.18%,Central Standard Time,81,26,55,32,115,43,8.1,86,750,3.4,0.92,WI-70500,43.8244836,-88.1687404,53%,66%,44%,63%,61%,34.2,37,58
St. Peter,Wisconsin,1362,375,Fond du Lac,102902,$100662,42.41%,41,$260000,1667,$156,32,94.2%,N/A,28.4%,N/A,N/A,0.0%,3.28%,69.09%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,94.05%,5.95%,5.95%,Central Standard Time,81,26,55,30,108,36,8.1,84,750,3.4,3.63,WI-71050,43.8377509,-88.346576,53%,66%,44%,63%,61%,34.2,37,58
Taycheedah,Wisconsin,652,836,Fond du Lac,102902,$93141,32.16%,51,$312000,1773,$176,22,89.26%,N/A,28.81%,N/A,N/A,0.0%,0.0%,82.75%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,81,26,55,30,108,36,8.1,84,750,3.4,0.78,WI-79100,43.8117539,-88.3916313,53%,66%,44%,63%,61%,34.2,37,58
Van Dyne,Wisconsin,236,299,Fond du Lac,102902,$65391,14.71%,49,$340000,2297,$148,47,83.9%,$571,42.15%,N/A,N/A,4.24%,0.0%,62.84%,Fond du Lac County,33.60%,59.90%,6.78%,0.0%,93.22%,0.0%,6.78%,Central Standard Time,81,26,55,30,107,35,8.1,86,750,3.4,0.79,WI-82450,43.8862326,-88.5011784,55%,67%,48%,63%,59%,31.6,35,57
Waupun town,Wisconsin,1382,299,Fond du Lac,102902,$70625,N/A,N/A,$174000,1403,$124,46,94.10%,N/A,33.60%,26,547,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.3%,0.0%,98.6%,0.4%,N/A,Central Standard Time,81,26,55,34,108,37,8.1,84,750,3.4,4.62,WI-84450,43.6789445,-88.7025627,52%,64%,45%,60%,57%,40.5,37,58
