City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Mashantucket,Connecticut,225,92,Norwich-New London,264999,81,38,43,50,117,204,29,59.3,39.7,N/A,7,15,32,28.81%,$132250,2.68%,$900,850,$248800,N/A,N/A,28,79.80%,1%,10%,-7%,82,7 mins,3.50%,N/A,-21.40%,New London County,50.40%,43.80%,0.89%,1.33%,12.89%,1.33%,0.89%,Eastern Standard Time,7,3.3,51.30%,15,N/A,25,9.0%,0.00,N/A,0,16,N/A,N/A,CT-45995
Montville,Connecticut,19384,462,Norwich-New London,264999,81,37,44,51,119,205,29,N/A,N/A,10,7,20,43,20.15%,$67044,N/A,$990,798,$193500,N/A,N/A,48,72.50%,1%,9%,-9%,79,23 mins,3.20%,N/A,-0.40%,New London County,50.40%,43.80%,6.9%,4.6%,73.7%,7.9%,N/A,Eastern Standard Time,7,3.3,49.40%,14,N/A,17,N/A,0.00,N/A,0,16,N/A,N/A,CT-48900
Mystic,Connecticut,4776,1273,Norwich-New London,264999,80,38,42,48,121,203,27,59.3,39.7,12,7,14,55,60.95%,$112246,4.89%,$1978,894,$398100,N/A,N/A,68,60.60%,1%,10%,-8%,72,22 mins,3.50%,N/A,7.80%,New London County,50.40%,43.80%,1.53%,1.55%,83.0%,2.83%,8.25%,Eastern Standard Time,7,3.3,40.70%,60,N/A,N/A,20.8%,0.00,36,0,15,N/A,N/A,CT-49810
New London,Connecticut,27001,4830,Norwich-New London,264999,81,38,43,50,118,203,26,59.3,39.7,10,35,40,30,27.19%,$47424,23.93%,$1295,696,$159800,N/A,N/A,78,32.40%,1%,10%,-10%,58,17 mins,5.00%,N/A,-1.30%,New London County,50.40%,43.80%,2.83%,15.04%,46.22%,33.51%,18.79%,Eastern Standard Time,7,3.3,69.10%,53,N/A,43,22.7%,0.00,36,0,16,294,1716,CT-52280
Niantic,Connecticut,3083,1969,Norwich-New London,264999,81,38,43,50,118,200,26,59.3,39.7,10,8,17,53,50.92%,$75050,4.22%,$1450,1024,$279700,N/A,N/A,70,48.60%,0%,11%,-4%,78,23 mins,3.50%,N/A,-0.50%,New London County,50.40%,43.80%,1.52%,0.32%,90.69%,1.23%,6.07%,Eastern Standard Time,7,3.3,51.70%,50,N/A,53,18.7%,0.00,38,0,14,N/A,N/A,CT-53120
Noank,Connecticut,1454,1050,Norwich-New London,264999,80,38,42,48,118,204,27,59.3,39.7,12,7,15,49,66.16%,$144063,1.93%,$1391,857,$423300,N/A,N/A,54,60.20%,8%,13%,-12%,76,23 mins,3.50%,N/A,-11.10%,New London County,50.40%,43.80%,4.54%,0.14%,89.48%,0.07%,9.28%,Eastern Standard Time,7,3.3,44.80%,36,N/A,N/A,17.8%,0.00,36,0,15,N/A,N/A,CT-53260
North Stonington,Connecticut,5255,97,Norwich-New London,264999,81,38,43,49,116,210,30,N/A,N/A,12,6,14,45,32.16%,$78854,N/A,N/A,N/A,$261800,N/A,N/A,48,70.90%,1%,12%,-4%,80,29 mins,3.50%,N/A,0.10%,New London County,50.40%,43.80%,2.2%,3.3%,83.7%,1.8%,N/A,Eastern Standard Time,7,3.3,36.60%,0,N/A,19,N/A,0.00,37,0,15,N/A,N/A,CT-55500
Norwich,Connecticut,39112,1421,Norwich-New London,264999,81,38,43,51,119,200,27,59.3,39.7,8,19,28,37,21.42%,$57565,10.27%,$1270,938,$155500,N/A,N/A,63,43.20%,1%,10%,-12%,71,22 mins,3.90%,N/A,0.10%,New London County,50.40%,43.80%,7.31%,11.88%,61.24%,15.75%,14.41%,Eastern Standard Time,7,3.3,59.60%,34,N/A,25,21.1%,0.99,36,0,16,382,1367,CT-56200
Old Lyme,Connecticut,7494,326,Norwich-New London,264999,80,38,42,48,118,194,26,N/A,N/A,9,7,14,51,53.97%,$87817,N/A,N/A,N/A,$376200,N/A,N/A,56,51.50%,1%,10%,-8%,81,31 mins,3.50%,N/A,-1.30%,New London County,50.40%,43.80%,1.3%,1.3%,95.1%,1.1%,N/A,Eastern Standard Time,7,3.3,35.80%,36,N/A,40,N/A,0.00,38,0,15,N/A,N/A,CT-57040
Old Mystic,Connecticut,3302,833,Norwich-New London,264999,80,38,42,48,121,204,27,59.3,39.7,12,6,13,44,43.74%,$88462,6.65%,$1978,894,$227300,N/A,N/A,48,79.30%,0%,9%,-8%,78,22 mins,3.50%,N/A,-4.10%,New London County,50.40%,43.80%,6.81%,7.33%,78.1%,4.45%,9.3%,Eastern Standard Time,7,3.3,40.30%,20,N/A,33,19.2%,0.00,36,0,15,N/A,N/A,CT-57180
Oxoboxo River,Connecticut,2772,687,Norwich-New London,264999,81,38,43,51,120,204,27,59.3,39.7,N/A,8,16,50,20.84%,$67059,10.15%,$990,798,$176800,N/A,N/A,50,61.40%,1%,10%,-7%,80,23 mins,3.50%,N/A,-10.80%,New London County,50.40%,43.80%,0.18%,5.27%,85.64%,7.83%,3.32%,Eastern Standard Time,7,3.3,47.00%,11,N/A,12,22.0%,0.00,36,0,15,N/A,N/A,CT-58520
Pawcatuck,Connecticut,5024,1465,Norwich-New London,264999,80,38,42,48,121,203,27,59.3,39.7,12,10,21,44,33.62%,$67373,5.37%,$1740,1374,$234600,N/A,N/A,62,51.30%,1%,10%,-8%,80,21 mins,3.50%,N/A,-13.80%,New London County,50.40%,43.80%,0.86%,3.48%,85.59%,5.73%,4.14%,Eastern Standard Time,7,3.3,56.60%,88,N/A,N/A,20.4%,0.00,35,0,12,N/A,N/A,CT-59140
Poquonock Bridge,Connecticut,1640,1664,Norwich-New London,264999,80,38,42,48,118,205,27,59.3,39.7,10,12,24,25,17.98%,$44544,27.17%,N/A,N/A,$141200,N/A,N/A,63,28.70%,1%,10%,-8%,77,23 mins,3.50%,N/A,46.00%,New London County,50.40%,43.80%,7.8%,21.4%,30.24%,25.49%,16.95%,Eastern Standard Time,7,3.3,64.00%,55,N/A,46,21.7%,0.00,36,0,15,N/A,N/A,CT-61730
Preston,Connecticut,4693,152,Norwich-New London,264999,82,37,45,51,117,207,30,N/A,N/A,8,7,14,47,24.46%,$67069,N/A,N/A,N/A,$218900,N/A,N/A,46,77.90%,1%,10%,-8%,80,25 mins,3.50%,N/A,-0.60%,New London County,50.40%,43.80%,5.2%,1.0%,86.6%,1.1%,N/A,Eastern Standard Time,7,3.3,38.50%,0,N/A,13,N/A,0.00,37,0,17,N/A,N/A,CT-62150
Salem,Connecticut,4162,144,Norwich-New London,264999,83,36,47,51,117,192,32,N/A,N/A,9,6,12,43,47.83%,$104583,N/A,N/A,N/A,$263500,N/A,N/A,36,82.10%,2%,8%,-7%,82,30 mins,3.50%,N/A,1.30%,New London County,50.40%,43.80%,5.0%,3.1%,87.9%,2.5%,N/A,Eastern Standard Time,7,3.3,34.10%,2,N/A,N/A,N/A,0.00,36,0,17,N/A,N/A,CT-66210
Sprague,Connecticut,2942,222,Norwich-New London,264999,83,36,47,50,117,204,32,N/A,N/A,8,8,16,42,22.32%,$67076,N/A,N/A,N/A,$203000,N/A,N/A,67,58.00%,2%,14%,-7%,80,24 mins,3.50%,N/A,-1.60%,New London County,50.40%,43.80%,0.0%,1.7%,88.3%,2.7%,N/A,Eastern Standard Time,7,3.3,47.40%,6,N/A,27,N/A,0.00,37,0,17,N/A,N/A,CT-71670
Stonington,Connecticut,899,478,Norwich-New London,264999,80,38,42,48,121,204,27,59.3,39.7,12,9,25,49,63.87%,$88382,6.12%,N/A,N/A,$404400,N/A,N/A,53,62.80%,1%,10%,-8%,79,23 mins,3.50%,N/A,-0.10%,New London County,50.40%,43.80%,1.56%,1.11%,89.43%,6.79%,7.79%,Eastern Standard Time,7,3.3,45.20%,19,N/A,49,23.1%,0.00,36,0,13,81,862,CT-73700
Stonington borough,Connecticut,955,2801,Norwich-New London,264999,80,38,42,48,121,203,27,N/A,N/A,N/A,8,17,58,N/A,$70515,N/A,N/A,N/A,$535800,N/A,N/A,78,44.20%,1%,10%,-7%,83,28 mins,3.50%,N/A,-5.70%,New London County,50.40%,43.80%,0.5%,0.2%,97.9%,0.0%,N/A,Eastern Standard Time,7,3.3,49.90%,47,N/A,50,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A
Voluntown,Connecticut,2570,66,Norwich-New London,264999,81,36,45,51,117,203,33,N/A,N/A,8,6,13,45,23.32%,$75086,N/A,N/A,N/A,$217300,N/A,N/A,41,75.90%,1%,10%,-7%,82,34 mins,3.50%,N/A,-1.30%,New London County,50.40%,43.80%,1.1%,0.0%,92.5%,3.5%,N/A,Eastern Standard Time,7,3.3,40.50%,34,N/A,31,N/A,0.00,37,0,14,N/A,N/A,CT-78600
Waterford,Connecticut,2922,587,Norwich-New London,264999,81,38,43,50,118,209,26,N/A,N/A,10,19,33,48,25.54%,$62014,12.03%,N/A,N/A,$227500,N/A,N/A,56,75.00%,1%,10%,-7%,78,20 mins,3.40%,N/A,-1.20%,New London County,50.40%,43.80%,7.15%,5.78%,80.25%,4.93%,5.51%,Eastern Standard Time,7,3.3,45.00%,20,N/A,14,26.1%,0.00,36,0,17,42,1004,CT-80210
