City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Columbia,Maryland,103170,3231,Baltimore-Columbia-Towson,2414613,88,42,46,45,114,212,17,62.3,43.6,7,29,49,37,62.67%,$100252,5.5%,$1806,949,$399500,2007,$199,34,62.20%,1%,10%,2%,48,30 mins,3.20%,0.70%,4.90%,Howard County,63.30%,29.30%,12.71%,26.57%,53.75%,8.30%,21.1%,Eastern Standard Time,32,3.9,46.70%,32,27,34,19.0%,5.19,28,2,16
Crofton,Maryland,28282,4277,Baltimore-Columbia-Towson,2414613,88,43,45,45,112,212,14,63,44.3,8,25,38,35,58.79%,$109633,1.9%,$1730,907,$348000,N/A,N/A,32,77.20%,2%,10%,3%,48,35 mins,3.50%,0.70%,2.40%,Anne Arundel County,47.50%,45.30%,5.76%,17.15%,71.42%,5.60%,9.6%,Eastern Standard Time,32,4,40.80%,27,N/A,33,18.4%,4.00,29,2,12
Crownsville,Maryland,1679,330,Baltimore-Columbia-Towson,2414613,88,43,45,45,112,208,14,63.9,45.2,8,15,28,48,N/A,$101094,18.5%,N/A,N/A,$469700,N/A,N/A,29,100.00%,3%,15%,6%,59,30 mins,3.50%,0.70%,-12.80%,Anne Arundel County,47.50%,45.30%,N/A,8.10%,91.50%,1.30%,6.4%,Eastern Standard Time,32,4,45.60%,25,N/A,12,14.7%,41.03,30,2,12
Darlington,Maryland,485,464,Baltimore-Columbia-Towson,2414613,88,41,47,47,124,211,18,61.8,42.9,7,12,22,49,N/A,$71042,0%,N/A,N/A,$255000,N/A,N/A,66,89.00%,5%,17%,0%,71,35 mins,4.00%,0.60%,8.00%,Harford County,35.20%,58.20%,N/A,N/A,93.79%,N/A,1.6%,Eastern Standard Time,32,3.9,38.40%,25,N/A,29,20.0%,144.63,28,2,10
Deale,Maryland,5148,976,Baltimore-Columbia-Towson,2414613,87,43,44,45,109,208,13,64.5,46,8,16,30,43,39.21%,$99293,0.7%,N/A,N/A,$343800,N/A,N/A,41,77.40%,2%,15%,3%,68,36 mins,3.50%,0.70%,-4.30%,Anne Arundel County,47.50%,45.30%,2.27%,7.31%,86.44%,3.00%,3.8%,Eastern Standard Time,32,4,39.80%,25,N/A,33,19.7%,12.89,N/A,2,2
Dundalk,Maryland,62516,4784,Baltimore-Columbia-Towson,2414613,90,44,46,42,113,213,15,64.5,45.8,8,21,32,39,12.91%,$49225,11.4%,$1339,857,$185000,1217,$152,63,57.40%,5%,23%,-2%,51,27 mins,4.10%,0.70%,0.10%,Baltimore County,55.90%,38.30%,2.97%,12.61%,78.51%,6.30%,7.7%,Eastern Standard Time,32,4.1,58.00%,49,34,46,18.6%,29.79,25,2,13
Edgemere,Maryland,8732,804,Baltimore-Columbia-Towson,2414613,89,44,45,43,112,209,15,65,46.4,N/A,20,37,46,18.86%,$55500,5%,$1155,765,$246200,N/A,N/A,55,70.20%,4%,24%,2%,57,29 mins,4.10%,0.70%,-3.60%,Baltimore County,55.90%,38.30%,N/A,5.28%,91.64%,3.40%,3.5%,Eastern Standard Time,32,4.1,50.80%,52,N/A,48,21.4%,7.05,26,2,13
Edgewater,Maryland,9912,3313,Baltimore-Columbia-Towson,2414613,87,43,44,45,110,212,12,64.6,45.8,8,18,34,40,34.05%,$95773,6.4%,N/A,N/A,$397500,N/A,N/A,35,76.20%,3%,14%,5%,61,30 mins,3.50%,0.70%,14.00%,Anne Arundel County,47.50%,45.30%,1.19%,4.20%,91.09%,9.00%,6.4%,Eastern Standard Time,32,4,50.70%,20,N/A,38,21.2%,23.86,31,1,12
Edgewood,Maryland,25858,1454,Baltimore-Columbia-Towson,2414613,88,42,46,47,120,213,18,64.3,45.6,8,36,54,34,22.77%,$56025,9.9%,N/A,N/A,$170900,N/A,N/A,36,64.50%,6%,21%,-1%,64,31 mins,4.00%,0.60%,1.80%,Harford County,35.20%,58.20%,1.45%,48.02%,42.41%,8.70%,6.8%,Eastern Standard Time,32,3.9,54.60%,21,21,29,22.0%,27.02,25,1,4
Eldersburg,Maryland,32064,805,Baltimore-Columbia-Towson,2414613,87,42,45,44,114,208,20,61.9,43.1,7,23,35,42,47.77%,$108169,2.2%,$1473,991,$442500,2117,$209,32,86.00%,3%,15%,3%,65,36 mins,3.40%,0.70%,1.40%,Carroll County,28.90%,63.40%,3.57%,3.45%,89.94%,2.60%,4.6%,Eastern Standard Time,32,3.8,38.00%,13,N/A,18,18.7%,3.25,25,2,16
