City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Quinebaug,Connecticut,1266,292,Worcester,945752,$75355,24.32%,55,$300000,1007,$298,55,76.78%,N/A,44.50%,N/A,N/A,0.95%,6.99%,68.69%,Windham County,42.90%,50.70%,0.0%,0.0%,99.05%,0.0%,0.55%,Eastern Standard Time,81,34,47,50,124,200,40,58.3,38.3,7,81,470,3.5,4.34,CT-63270
Scotland,Connecticut,1691,91,Worcester,945752,$77344,24.59%,N/A,N/A,N/A,N/A,36,78.30%,$1395,38.20%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.1%,0.3%,95.0%,4.0%,N/A,Eastern Standard Time,81,35,46,51,117,198,34,N/A,N/A,8,81,470,3.5,18.58,CT-67400
South Windham,Connecticut,1475,473,Worcester,945752,$57111,21.28%,38,$220000,1982,$111,78,58.64%,$981,54.70%,N/A,N/A,18.63%,1.5%,69.31%,Windham County,42.90%,50.70%,1.42%,2.1%,88.2%,6.98%,4.95%,Eastern Standard Time,82,35,47,51,117,197,33,58.3,38.3,8,77,470,3.5,3.12,CT-71250
South Woodstock,Connecticut,1031,212,Worcester,945752,$56176,35.97%,35,$349000,1601,$218,48,55.67%,$980,52.70%,N/A,N/A,2.62%,0.0%,79.92%,Windham County,42.90%,50.70%,0.0%,0.0%,100.0%,0.0%,4.75%,Eastern Standard Time,81,34,47,50,133,194,48,58.3,38.3,8,81,470,3.5,4.86,CT-71530
Sterling,Connecticut,3748,138,Worcester,945752,$71696,21.56%,N/A,N/A,N/A,N/A,32,86.50%,$1050,45.90%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.0%,2.0%,94.2%,1.9%,N/A,Eastern Standard Time,80,35,45,51,123,201,43,N/A,N/A,8,82,470,3.5,27.16,CT-73420
Thompson,Connecticut,9299,198,Worcester,945752,$67519,28.08%,N/A,N/A,N/A,N/A,51,67.10%,N/A,41.80%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.5%,0.1%,95.9%,1.3%,N/A,Eastern Standard Time,81,34,47,50,126,197,42,N/A,N/A,8,80,470,3.5,46.96,CT-75870
Wauregan,Connecticut,1486,906,Worcester,945752,$82279,11.34%,40,$236000,1054,$224,68,48.84%,$894,43.40%,N/A,N/A,19.85%,7.37%,75.4%,Windham County,42.90%,50.70%,0.2%,3.5%,81.36%,6.86%,0.54%,Eastern Standard Time,81,35,46,50,121,193,39,58.3,38.3,8,77,470,3.5,1.64,CT-80630
Willimantic,Connecticut,18669,3444,Worcester,945752,$35630,20.29%,29,$205000,1486,$138,66,38.37%,$881,77.80%,124,673,30.95%,9.61%,58.98%,Windham County,42.90%,50.70%,2.02%,8.14%,42.26%,47.78%,11.65%,Eastern Standard Time,82,35,47,51,117,196,33,58.3,38.3,8,70,470,3.5,5.42,CT-85810
Windham,Connecticut,24839,928,Worcester,945752,$41019,18.63%,N/A,N/A,N/A,N/A,61,42.60%,$1136,71.90%,N/A,N/A,N/A,5.20%,N/A,Windham County,42.90%,50.70%,2.3%,4.3%,51.7%,39.4%,N/A,Eastern Standard Time,82,35,47,51,117,192,33,N/A,N/A,8,72,470,3.5,26.77,CT-86790
Woodstock,Connecticut,7827,129,Worcester,945752,$70927,41.27%,N/A,N/A,N/A,N/A,36,75.80%,N/A,32.80%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.5%,0.0%,95.4%,2.0%,N/A,Eastern Standard Time,81,34,47,50,132,197,47,N/A,N/A,8,81,470,3.5,60.67,CT-88190
Ashburnham,Massachusetts,6210,162,Worcester,945752,$85662,39.82%,N/A,$425000,1977,$215,42,71.80%,N/A,38.70%,126,442,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.1%,1.4%,95.0%,1.2%,N/A,Eastern Standard Time,79,31,48,48,120,197,77,N/A,N/A,N/A,85,470,3.3,38.33,MA-01885
Athol,Massachusetts,8323,1016,Worcester,945752,$54500,18.79%,39,$287000,1428,$201,78,70.82%,$809,54.80%,402,864,14.58%,8.35%,62.54%,Worcester County,51.00%,40.40%,0.47%,1.63%,85.85%,8.42%,6.0%,Eastern Standard Time,82,32,50,50,132,197,52,N/A,N/A,7,79,470,3.3,8.19,MA-02515
Auburn,Massachusetts,16552,1069,Worcester,945752,$72695,40.41%,N/A,$420000,1556,$270,55,81.70%,N/A,46.00%,167,1823,N/A,2.90%,N/A,Worcester County,51.00%,40.40%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,80,33,47,48,128,197,49,N/A,N/A,7,68,470,3.3,15.48,MA-02760
Baldwinville,Massachusetts,2137,832,Worcester,945752,$55774,33.41%,34,$267000,1978,$135,71,91.01%,$1063,54.00%,N/A,N/A,8.98%,19.15%,58.95%,Worcester County,51.00%,40.40%,2.29%,0.0%,91.67%,6.04%,4.45%,Eastern Standard Time,80,31,49,47,123,196,60,57.4,37.3,7,82,470,3.3,2.57,MA-03355
Barre,Massachusetts,950,601,Worcester,945752,$55625,43.29%,55,$778000,4251,$183,59,94.84%,N/A,54.90%,N/A,N/A,4.63%,3.34%,74.1%,Worcester County,51.00%,40.40%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,80,32,48,51,132,197,55,N/A,N/A,7,82,470,3.3,1.58,MA-03705
Berlin,Massachusetts,3098,239,Worcester,945752,$88681,50.55%,N/A,$686000,2690,$255,36,77.70%,N/A,39.70%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.7%,0.7%,96.9%,0.8%,N/A,Eastern Standard Time,83,34,49,49,122,197,44,N/A,N/A,N/A,75,470,3.3,12.96,MA-05490
Blackstone,Massachusetts,9201,831,Worcester,945752,$72699,35.40%,N/A,$390000,1653,$236,44,72.90%,N/A,41.60%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.4%,2.4%,92.5%,2.2%,N/A,Eastern Standard Time,83,37,46,50,124,200,41,N/A,N/A,7,73,470,3.3,11.07,MA-06015
Bolton,Massachusetts,5167,259,Worcester,945752,$144461,N/A,N/A,N/A,N/A,N/A,31,87.80%,N/A,31.00%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,4.5%,0.4%,90.2%,3.7%,N/A,Eastern Standard Time,83,34,49,49,125,197,48,N/A,N/A,7,75,470,3.3,19.95,MA-06365
Boylston,Massachusetts,4524,282,Worcester,945752,$102422,57.45%,N/A,$520000,1919,$271,45,82.20%,N/A,38.30%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,4.3%,1.0%,91.8%,1.9%,N/A,Eastern Standard Time,81,33,48,48,128,197,49,N/A,N/A,7,76,470,3.3,16.04,MA-07525
Brookfield,Massachusetts,716,623,Worcester,945752,$70945,21.62%,33,$265000,1480,$179,41,70.25%,$998,44.20%,N/A,N/A,6.28%,3.16%,76.95%,Worcester County,51.00%,40.40%,3.49%,1.54%,79.05%,0.0%,6.15%,Eastern Standard Time,81,34,47,49,128,197,50,N/A,N/A,7,79,470,3.3,1.15,MA-09070
Charlton,Massachusetts,13379,317,Worcester,945752,$91287,37.16%,N/A,$445000,2099,$212,33,74.00%,$1164,41.80%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.7%,0.9%,95.2%,1.9%,N/A,Eastern Standard Time,81,34,47,50,132,197,49,N/A,N/A,7,78,470,3.3,42.21,MA-12715
Clinton,Massachusetts,7058,4737,Worcester,945752,$61034,28.54%,36,$345000,1590,$217,78,54.85%,$1105,50.00%,N/A,N/A,9.46%,3.49%,72.73%,Worcester County,51.00%,40.40%,0.0%,4.77%,76.52%,18.73%,13.74%,Eastern Standard Time,83,34,49,48,123,197,44,N/A,N/A,7,70,470,3.3,1.49,MA-14430
Cordaville,Massachusetts,2884,1585,Worcester,945752,$167593,68.58%,38,$724000,2374,$305,31,94.89%,$830,35.10%,N/A,N/A,1.18%,1.82%,79.06%,Worcester County,51.00%,40.40%,20.84%,0.59%,75.76%,0.38%,15.29%,Eastern Standard Time,83,36,47,49,124,194,44,57.4,37.3,N/A,72,470,3.3,1.82,MA-15340
Douglas,Massachusetts,8722,240,Worcester,945752,$84616,39.51%,N/A,$599000,2951,$203,36,75.70%,$1781,41.30%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.7%,0.5%,87.4%,7.5%,N/A,Eastern Standard Time,81,34,47,49,124,197,41,N/A,N/A,7,78,470,3.3,36.34,MA-17300
Dudley,Massachusetts,11637,559,Worcester,945752,$68053,32.02%,N/A,$370000,1402,$264,46,63.40%,N/A,52.90%,N/A,N/A,N/A,3.40%,N/A,Worcester County,51.00%,40.40%,2.7%,1.7%,91.5%,2.6%,N/A,Eastern Standard Time,81,34,47,50,132,197,49,N/A,N/A,7,76,470,3.3,20.82,MA-17685
East Brookfield,Massachusetts,1273,786,Worcester,945752,$72857,24.3%,46,$261000,1442,$181,64,77.14%,$896,42.80%,N/A,N/A,4.25%,2.03%,69.42%,Worcester County,51.00%,40.40%,0.0%,0.0%,94.19%,5.34%,3.38%,Eastern Standard Time,81,34,47,50,132,197,49,57.4,37.3,7,79,470,3.3,1.62,MA-18595
East Brookfield CDP,Massachusetts,1273,786,Worcester,945752,$72857,24.3%,46,$261000,1442,$181,64,77.14%,$896,50.70%,N/A,N/A,4.25%,2.03%,69.42%,Worcester County,51.00%,40.40%,0.0%,0.0%,94.19%,5.34%,3.38%,Eastern Standard Time,81,34,47,50,132,197,49,N/A,N/A,N/A,79,470,3.3,1.62,MA-18595
East Douglas,Massachusetts,2985,875,Worcester,945752,$75263,29.09%,40,$497000,2249,$221,73,71.73%,$1138,49.20%,N/A,N/A,4.12%,1.58%,67.67%,Worcester County,51.00%,40.40%,4.22%,0.0%,81.27%,11.69%,5.9%,Eastern Standard Time,81,34,47,49,124,195,41,57.4,37.3,N/A,78,470,3.3,3.41,MA-18875
Fiskdale,Massachusetts,3015,951,Worcester,945752,$72606,33.9%,39,$387000,1471,$263,38,72.46%,$1062,45.70%,N/A,N/A,7.13%,5.71%,67.72%,Worcester County,51.00%,40.40%,3.95%,0.03%,93.83%,2.16%,5.7%,Eastern Standard Time,81,34,47,50,129,197,50,57.4,37.3,7,73,470,3.3,3.17,MA-23840
Fitchburg,Massachusetts,40576,1459,Worcester,945752,$54683,21.36%,36,$352000,1787,$197,70,54.19%,$964,58.40%,N/A,N/A,14.48%,7.98%,66.56%,Worcester County,51.00%,40.40%,2.14%,7.01%,59.57%,29.44%,10.2%,Eastern Standard Time,81,32,49,48,127,198,71,57.1,37,7,73,470,3.3,27.82,MA-23875
Gardner,Massachusetts,20605,934,Worcester,945752,$51708,18.87%,43,$280000,1379,$203,72,59.46%,$867,56.40%,N/A,N/A,13.73%,4.96%,59.65%,Worcester County,51.00%,40.40%,3.16%,2.52%,82.11%,8.93%,8.0%,Eastern Standard Time,80,31,49,48,123,198,68,55.7,35.7,7,74,470,3.3,22.07,MA-25485
Grafton,Massachusetts,18517,812,Worcester,945752,$81250,50.43%,N/A,$415000,1653,$251,37,74.30%,$1505,41.70%,N/A,N/A,N/A,2.90%,N/A,Worcester County,51.00%,40.40%,7.9%,4.6%,78.8%,5.6%,N/A,Eastern Standard Time,83,35,48,49,120,197,44,N/A,N/A,7,73,470,3.3,22.8,MA-26430
Hardwick,Massachusetts,3024,78,Worcester,945752,$59148,31.27%,N/A,$281000,2927,$96,53,59.60%,$865,51.10%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.0%,0.8%,96.7%,2.1%,N/A,Eastern Standard Time,80,32,48,50,122,197,54,N/A,N/A,7,82,470,3.3,38.77,MA-28740
Harvard,Massachusetts,6542,247,Worcester,945752,$131563,63.63%,N/A,$790000,2423,$326,42,90.80%,$1384,44.90%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,3.4%,6.0%,83.1%,4.4%,N/A,Eastern Standard Time,83,34,49,48,127,197,54,N/A,N/A,7,75,470,3.3,26.49,MA-28950
Holden,Massachusetts,18558,529,Worcester,945752,$97972,57.65%,N/A,$478000,1797,$266,49,85.90%,$2054,40.20%,N/A,N/A,N/A,2.70%,N/A,Worcester County,51.00%,40.40%,2.3%,1.4%,90.1%,4.1%,N/A,Eastern Standard Time,80,32,48,47,130,197,59,N/A,N/A,7,76,470,3.3,35.08,MA-30560
Hopedale,Massachusetts,3643,2082,Worcester,945752,$108611,33.48%,47,$519000,2327,$223,64,77.56%,$1332,43.60%,N/A,N/A,5.23%,8.5%,72.98%,Worcester County,51.00%,40.40%,0.6%,0.77%,96.24%,1.65%,2.83%,Eastern Standard Time,83,36,47,49,117,197,45,N/A,N/A,7,71,470,3.3,1.75,MA-30980
Hubbardston,Massachusetts,4581,112,Worcester,945752,$83438,31.60%,N/A,$435000,2023,$215,32,80.70%,N/A,39.20%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.3%,3.5%,93.9%,1.7%,N/A,Eastern Standard Time,80,31,49,48,122,197,61,N/A,N/A,7,84,470,3.3,40.9,MA-31435
Lancaster,Massachusetts,7978,291,Worcester,945752,$81833,39.46%,N/A,$493000,2098,$235,54,71.90%,N/A,52.20%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.1%,4.8%,85.2%,6.3%,N/A,Eastern Standard Time,83,34,49,48,129,197,48,N/A,N/A,7,76,470,3.3,27.42,MA-34165
Leicester,Massachusetts,11277,485,Worcester,945752,$68790,28.69%,N/A,$368000,1410,$261,57,72.40%,N/A,50.70%,N/A,N/A,N/A,2.90%,N/A,Worcester County,51.00%,40.40%,0.8%,1.7%,92.6%,3.4%,N/A,Eastern Standard Time,80,32,48,48,132,197,57,N/A,N/A,7,79,470,3.3,23.25,MA-34795
Leominster,Massachusetts,41581,1443,Worcester,945752,$63119,29.78%,42,$365000,1601,$228,55,65.61%,$1006,51.70%,N/A,N/A,10.98%,5.42%,68.31%,Worcester County,51.00%,40.40%,2.8%,5.89%,69.87%,17.17%,16.09%,Eastern Standard Time,83,34,49,48,127,199,51,57.5,37.4,7,72,470,3.3,28.82,MA-35075
Lunenburg,Massachusetts,1593,419,Worcester,945752,$112273,39.93%,44,$511000,2004,$255,66,92.82%,$1782,43.60%,N/A,N/A,5.7%,3.69%,72.84%,Worcester County,51.00%,40.40%,0.0%,0.56%,94.29%,1.82%,6.59%,Eastern Standard Time,83,33,50,47,123,197,64,N/A,N/A,7,78,470,3.3,3.8,MA-37385
Mendon,Massachusetts,5995,337,Worcester,945752,$112104,46.21%,N/A,$638000,2270,$281,35,85.50%,N/A,33.80%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.2%,0.5%,93.6%,0.8%,N/A,Eastern Standard Time,83,36,47,49,120,198,43,N/A,N/A,7,75,470,3.3,17.79,MA-40255
Milford,Massachusetts,26072,2569,Worcester,945752,$83233,32.27%,39,$390000,1542,$253,51,69.68%,$1286,46.90%,N/A,N/A,10.05%,4.52%,72.32%,Worcester County,51.00%,40.40%,2.76%,3.11%,72.07%,14.45%,22.29%,Eastern Standard Time,83,36,47,49,117,197,45,N/A,N/A,7,68,470,3.3,10.15,MA-41200
Millbury,Massachusetts,13521,861,Worcester,945752,$71676,32.47%,N/A,$444000,1626,$273,53,68.10%,$2053,46.50%,N/A,N/A,N/A,2.70%,N/A,Worcester County,51.00%,40.40%,2.6%,0.8%,92.4%,1.3%,N/A,Eastern Standard Time,82,35,47,49,122,197,43,N/A,N/A,7,73,470,3.3,15.7,MA-41340
Millville,Massachusetts,3237,661,Worcester,945752,$88281,27.89%,N/A,$225000,1082,$208,44,73.20%,N/A,43.20%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.5%,0.0%,94.9%,1.6%,N/A,Eastern Standard Time,83,36,47,49,120,200,43,N/A,N/A,7,74,470,3.3,4.9,MA-41585
New Braintree,Massachusetts,1247,60,Worcester,945752,$81136,29.72%,N/A,$475000,2714,$175,37,81.50%,N/A,44.40%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.5%,0.5%,97.8%,1.2%,N/A,Eastern Standard Time,80,32,48,48,120,197,57,N/A,N/A,7,82,470,3.3,20.78,MA-45105
North Brookfield,Massachusetts,2423,1637,Worcester,945752,$64079,19.81%,46,$204000,1606,$127,62,55.72%,$836,41.70%,N/A,N/A,5.61%,1.26%,64.76%,Worcester County,51.00%,40.40%,0.45%,1.36%,95.96%,1.77%,2.68%,Eastern Standard Time,80,32,48,48,121,197,58,57.4,37.3,7,80,470,3.3,1.48,MA-47100
North Brookfield CDP,Massachusetts,2423,1637,Worcester,945752,$64079,19.81%,46,$204000,1606,$127,78,55.72%,$836,45.90%,N/A,N/A,5.61%,1.26%,64.76%,Worcester County,51.00%,40.40%,0.45%,1.36%,95.96%,1.77%,2.68%,Eastern Standard Time,80,32,48,48,121,196,58,N/A,N/A,N/A,80,470,3.3,1.48,MA-47100
Northborough,Massachusetts,6532,1985,Worcester,945752,$131373,63.84%,47,$530000,2000,$265,53,81.92%,$1243,36.50%,N/A,N/A,2.22%,3.16%,72.83%,Worcester County,51.00%,40.40%,6.74%,1.1%,84.29%,4.94%,8.74%,Eastern Standard Time,83,34,49,49,122,197,44,N/A,N/A,7,72,470,3.3,3.29,MA-46785
Northbridge,Massachusetts,16425,951,Worcester,945752,$70399,36.15%,N/A,$514000,1985,$259,54,60.20%,N/A,47.30%,N/A,N/A,N/A,3.40%,N/A,Worcester County,51.00%,40.40%,1.9%,1.4%,91.0%,4.4%,N/A,Eastern Standard Time,82,35,47,49,120,197,44,N/A,N/A,7,75,470,3.3,17.27,MA-46925
Oakham,Massachusetts,1849,89,Worcester,945752,$80577,36.72%,N/A,$489000,1881,$260,36,89.10%,N/A,43.00%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.2%,0.2%,95.4%,3.0%,N/A,Eastern Standard Time,79,31,48,48,130,197,58,N/A,N/A,7,82,470,3.3,20.78,MA-50670
Oxford,Massachusetts,5926,1713,Worcester,945752,$66235,29.41%,40,$340000,1478,$230,62,90.24%,$667,52.30%,N/A,N/A,2.91%,3.76%,66.18%,Worcester County,51.00%,40.40%,1.35%,0.34%,91.95%,4.83%,5.64%,Eastern Standard Time,81,34,47,49,125,197,42,N/A,N/A,7,73,470,3.3,3.46,MA-51790
Paxton,Massachusetts,4845,330,Worcester,945752,$99375,56.26%,N/A,$525000,2386,$220,54,90.00%,$1105,49.70%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.7%,7.0%,88.5%,2.9%,N/A,Eastern Standard Time,79,31,48,48,131,197,59,N/A,N/A,7,81,470,3.3,14.68,MA-52420
Petersham,Massachusetts,256,208,Worcester,945752,$56771,52.45%,54,$335000,1851,$181,69,73.44%,$1330,50.00%,N/A,N/A,4.8%,0.0%,66.67%,Worcester County,51.00%,40.40%,0.0%,1.95%,88.28%,11.72%,1.17%,Eastern Standard Time,80,31,49,51,124,197,62,N/A,N/A,7,84,470,3.3,1.23,MA-53085
Phillipston,Massachusetts,1640,68,Worcester,945752,$78490,22.50%,N/A,$401000,1346,$298,38,72.60%,N/A,39.40%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.2%,1.5%,93.5%,0.7%,N/A,Eastern Standard Time,82,32,50,50,132,197,52,N/A,N/A,7,84,470,3.3,24.12,MA-53225
Princeton,Massachusetts,3438,97,Worcester,945752,$114688,61.54%,N/A,$468000,2127,$220,41,91.40%,N/A,38.90%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,1.0%,0.6%,92.5%,3.3%,N/A,Eastern Standard Time,79,31,48,48,129,197,71,N/A,N/A,7,83,470,3.3,35.44,MA-55395
Royalston,Massachusetts,1307,31,Worcester,945752,$60568,19.93%,N/A,$176000,513,$343,40,69.50%,N/A,35.90%,N/A,N/A,N/A,3.20%,N/A,Worcester County,51.00%,40.40%,0.6%,0.3%,97.0%,1.4%,N/A,Eastern Standard Time,81,31,50,47,122,197,58,N/A,N/A,7,86,470,3.3,42.16,MA-58580
Rutland,Massachusetts,1749,591,Worcester,945752,$74255,35.4%,44,$435000,2014,$216,46,72.07%,$1157,39.80%,N/A,N/A,2.13%,5.23%,65.98%,Worcester County,51.00%,40.40%,1.72%,0.0%,96.63%,1.66%,1.03%,Eastern Standard Time,79,31,48,47,131,197,64,N/A,N/A,7,82,470,3.3,2.96,MA-58790
Shrewsbury,Massachusetts,36716,1771,Worcester,945752,$97365,58.53%,N/A,$531000,1794,$296,41,67.90%,$2027,40.10%,N/A,N/A,N/A,2.60%,N/A,Worcester County,51.00%,40.40%,17.9%,3.3%,70.7%,5.0%,N/A,Eastern Standard Time,81,33,48,48,128,197,49,N/A,N/A,7,70,470,3.3,20.73,MA-61800
South Ashburnham,Massachusetts,883,296,Worcester,945752,$80990,16.71%,50,$430000,2544,$169,37,100.0%,N/A,35.00%,N/A,N/A,0.0%,5.16%,64.86%,Worcester County,51.00%,40.40%,0.0%,0.0%,87.32%,12.68%,0.0%,Eastern Standard Time,79,31,48,48,120,199,77,57.4,37.3,7,85,470,3.3,2.98,MA-62780
South Lancaster,Massachusetts,1575,1184,Worcester,945752,$110088,48.78%,46,$415000,1365,$304,76,71.81%,$357,48.60%,N/A,N/A,7.81%,10.11%,61.03%,Worcester County,51.00%,40.40%,0.95%,0.7%,82.35%,11.37%,5.78%,Eastern Standard Time,83,34,49,48,128,199,47,57.8,37.7,7,76,470,3.3,1.33,MA-64460
