Company Name,Median Salary
Seismic,132
Blackbaud,131
Constant-Contact,131
KAYAK,131
AIG,130
Ally,130
Auth0,130
Bluecore,130
C2FO,130
Chase,130
Clover-Health,130
Cradlepoint,130
Datto,130
Envestnet,130
Esurance,130
Expeditors,130
Fair,130
Funding-Circle,130
General-Mills,130
Guild-Education,130
Humana,130
LifeOmic,130
loanDepot,130
Omnicom-Group,130
Policygenius,130
PTC,130
Pulse-Secure,130
Qualia,130
Raymond-James,130
Sandia-National-Labs,130
Schlumberger,130
SmartNews,130
TD-Ameritrade,130
ThoughtSpot,130
AffiniPay,129
Deliveroo,129
Hopin,129
iManage,128
Monzo,128
PathAI,128
Samsung,128
15Five,127
Cox-Automotive,127
Illumina,127
Peapod-Digital-Labs,127
Toyota-USA,127
Autonomic,126
Ellucian,126
Planview,126
TIBCO-Software,126
Acorns,125
CME-Group,125
CoStar-Group,125
Delta-Air-Lines,125
Drift,125
Fetch-Rewards,125
Flyhomes,125
Ginkgo-Bioworks,125
InterSystems,125
Intrado,125
Ironclad,125
IXL-Learning,125
MicroStrategy,125
National-Instruments,125
Nomura,125
Paycor,125
Paylocity,125
Puppet,125
RingCentral,125
Salsify,125
SimpliSafe,125
Stellantis,125
Apptio,124
Babylon-Health,124
Boston-Scientific,124
Comscore,124
Rackspace,124
Randstad,124
State-Street,124
ActiveCampaign,123
Activision,123
Fieldwire,123
Michelin,123
Miro,123
Sonatype,123
Cigna,122
CVS-Health,122
Dialpad,122
Keysight,122
Tipalti,122
Cambia-Health-Solutions,121
Collibra,121
KLA,121
Mark43,121
McAfee,121
Quest-Software,121
AlphaSights,120
Arcadia,120
Ascension,120
Bank-of-America,120
Bank-of-America-Merrill-Lynch,120
Canva,120
Caterpillar-Financial-Services,120
Chevron,120
Commure,120
Dun-and-Bradstreet,120
EquipmentShare,120
Esri,120
Fivetran,120
Genesys,120
Improbable,120
KeyBank,120
Lam-Research,120
Liberty-Mutual,120
M1-Finance,120
Man-Group,120
Medly-Pharmacy,120
Mindbody,120
Morningstar,120
NASA,120
NBCUniversal,120
Parity-Technologies,120
Quick-Base,120
Riverbed-Technology,120
Rock-Central,120
Rocket-Mortgage,120
SAS-Software,120
Skyworks-Solutions,120
Slalom,120
Sophos,120
SparkCognition,120
Squarepoint-Capital,120
The-Home-Depot,120
Anthem,119
Asurion,119
Skillz,119
System1,119
Truist,119
Castlight-Health,118
FareHarbor,118
KeepTruckin,118
MITRE,118
FabFitFun,117
Procter-and-Gamble,117
Eventbrite,116
Loblaw-Digital,116
ActionIQ,115
Bandwidth,115
Barclays,115
Bose,115
Fannie-Mae,115
General-Atomics,115
HCA-Healthcare,115
Johnson-Controls,115
Nielsen,115
NTT-DATA,115
Numerator,115
ResMed,115
Automattic,114
Nokia,114
Analog-Devices,113
EverQuote,113
Nerdery,113
Rakuten,113
SPS-Commerce,113
American-Family-Insurance,112
Huawei,112
Infor,112
Personio,112
iRobot,111
Kaiser-Permanente,111
Northwestern-Mutual,111
ACV-Auctions,110
Arrow-Electronics,110
Best-Buy,110
BNY-Mellon,110
Booz-Allen-Hamilton,110
Ciena,110
Citizens-Bank,110
CommerceHub,110
Corning-Incorporated,110
Edwards-Lifesciences,110
Enverus,110
Experian,110
Fivestars,110
FloQast,110
MGM-Resorts-International,110
Morgan-Stanley,110
Nylas,110
Philips,110
Podium,110
Rapid7,110
Redbubble,110
RentPath,110
Shield-AI,110
Skytap,110
Sonder,110
Sprout-Social,110
Target,110
The-Clorox-Company,110
The-Washington-Post,110
TIAA,110
Truecaller,110
Criteo,109
Curriculum-Associates,109
Daimler,109
John-Hancock,109
PointClickCare,109
PwC,109
SugarCRM,109
Curve,108
Dematic,108
Equifax,108
FactSet,108
Grab,108
ManTech-International,108
Maxar-Technologies,108
MyCase,108
Root-Insurance,108
Thinkific,108
8th-Light,107
Buffer,107
ExxonMobil,107
Fifth-Third-Bank,107
Fujitsu,107
GEICO,107
Global-Payments,107
Markforged,107
Nationwide,107
Optum,107
App-Annie,106
BigCommerce,106
Bounteous,106
Deutsche-Telekom,106
HomeAdvisor,106
iCIMS,106
Marathon-Petroleum,106
Northern-Trust,106
Paycom,106
American-Express,105
Costco-Wholesale,105
Drop,105
Fiserv,105
GlobalLogic,105
Hiretual,105
Integral-Ad-Science,105
J2-Global,105
Mphasis,105
Mutual-of-Omaha,105
Rockwell-Automation,105
Synchrony,105
The-Aerospace-Corporation,105
Avanade,104
Beyond-Limits,104
Copart,104
CSG,104
DAZN-Group,104
Excella,104
Fast-Enterprises,104
MessageBird,104
NICE,104
Slalom-Build,104
Stack-Overflow,104
TransUnion,104
Chick-fil-A,103
Duo-Security,103
HERE-Technologies,103
Jamf,103
JB-Hunt,103
Lockheed-Martin,103
Memorial-Sloan-Kettering,103
REI-Systems,103
Resideo,103
Teradyne,103
ThoughtWorks,103
TriNet,103
Seagate,102
Thomson-Reuters,102
Dimensional-Fund-Advisors,101
Discover,101
Epsilon,101
KPMG,101
Lenovo,101
Relativity,101
Thermo-Fisher-Scientific,101
Agilent-Technologies,100
ApplyBoard,100
Black-Knight,100
Brock-Solutions,100
Contentful,100
CoreLogic,100
Delivery-Hero,100
FloSports,100
InComm,100
Infineon-Technologies,100
Jacobs,100
Kraken,100
Laserfiche,100
Meijer,100
Merck,100
New-York-Life-Insurance,100
Office-Depot,100
QuantumBlack,100
RBS,100
Securonix,100
Shopee,100
Southwest-Airlines,100
SpotOn,100
Trainline,100
Travelers,100
CoverMyMeds,99
GoCardless,99
L3Harris-Technologies,99
Micron-Technology,99
RealPage,99
Tektronix,99
1Password,98
Amdocs,98
Cox-Enterprises,98
Honeywell,98
LogMeIn,98
nCino,98
Signify,98
Texas-Instruments,98
Nelnet,97
OneTrust,97
State-Farm,97
3M,96
Aptiv,96
Ernst-and-Young,96
Northrop-Grumman,96
RBC,96
ADP,95
Allscripts,95
Axway,95
Benevity,95
Blackhawk-Network,95
Bosch-Global,95
Clever-Devices,95
Cvent,95
DISH-Network,95
Ford-Motor,95
GE-Aviation,95
Ingram-Micro,95
LexisNexis,95
Lumen,95
Medtronic,95
Sabre,95
Schneider-Electric,95
SolarWinds,95
The-Hartford,95
Total-Quality-Logistics,95
Eaton,94
Insight-Enterprises,94
Kinaxis,94
Assurant,93
Charter,93
Manhattan-Associates,93
Microchip-Technology,93
Red-Ventures,93
Abbott,92
Boeing,92
Coveo,92
Cummins,92
ING,92
TELUS,92
Cognizant,91
Everbridge,91
FedEx,91
Financial-Times,91
IHS-Markit,91
Just-Eat,91
Kwai,91
Sezzle,91
Swisscom,91
BlackBerry,90
ConnectWise,90
Dev-Technology-Group,90
DTCC,90
FIS,90
General-Dynamics-Information-Technology,90
Hitachi,90
Hyland,90
John-Deere,90
Mendix,90
Nexient,90
Nisum,90
Nuance-Communications,90
Prudential-Financial,90
Raytheon,90
Sanofi,90
SoundCloud,90
Altair,89
American-Airlines,89
Clearwater-Analytics,89
Freddie-Mac,89
Hootsuite,89
Parsons,89
Allstate,88
Arrival,88
BMW,88
Elsevier,88
Garmin,88
Mayo-Clinic,88
N26,88
Principal-Financial-Group,88
Skyscanner,88
Thought-Machine,88
Top-Hat,88
Carrier,87
Emerson,87
League,87
Mentor-Graphics,87
Narrative-Science,87
Omio,87
PACCAR,87
Adobe-Workfront,86
General-Dynamics,86
Storable,86
Backbase,85
BAE-Systems,85
CACI-International,85
Ceridian,85
Conduent,85
Deloitte,85
Fidelity-Investments,85
HelloFresh,85
Leidos,85
Lutron-Electronics,85
Mindtree,85
NCR,85
Perficient,85
Robert-Half,85
Synaptics,85
Broadridge,84
General-Dynamics-Mission-Systems,84
Lloyds-Banking-Group,84
Motorola,84
Phillips-66,84
Travelport,84
Ansys,83
Glovo,83
MediaTek,83
SAIC,83
Supermicro,83
TD-bank,83
Trimble,83
Centene,82
Continental,82
Credit-Suisse,82
Crestron,82
Houzz,82
KPIT,82
Limelight-Networks,82
Tesco,82
Adidas,81
Benefitfocus,81
IGT,81
Progressive,81
CDK-Global,80
CGI-Group,80
CIBC,80
Ericsson,80
Exelon,80
Galvanize,80
Kaseya,80
Mercari,80
Milwaukee-Tool,80
Murex,80
Paychex,80
Perspecta,80
Pfizer,80
Ping-Identity,80
PNC,80
Publicis-Sapient,80
Ritual,80
Stryker,80
The-Coca-Cola-Company,80
Adjust,79
AppDirect,79
Bankers-Healthcare-Group,79
Cargill,79
