City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Salem,Utah,7504,732,Provo-Orem,663181,93,38,55,18,89,225,53,40.3,30.3,5,8,19,28,36.43%,$74495,2.3%,N/A,N/A,$489500,2704,$181,21,89.00%,10%,46%,39%,90,23 mins,2.90%,N/A,23.80%,Utah County,14.00%,50.20%,N/A,N/A,94.58%,3.80%,2.6%,Mountain Standard Time,4227,4.5,32.90%,42,N/A,45,18.4%,13.94,0,0,118
Salina,Utah,2512,407,None,0,91,40,51,10,73,250,39,37.5,27.3,6,14,50,36,14.07%,$47232,17.9%,N/A,N/A,$177400,N/A,N/A,50,66.90%,9%,34%,29%,94,19 mins,3.50%,-0.10%,-4.50%,Sevier County,8.00%,77.90%,N/A,N/A,93.57%,4.40%,3.1%,N/A,N/A,4.9,38.70%,43,N/A,50,16.7%,56.22,0,0,450
Salt Lake City,Utah,194188,1746,Salt Lake City,1240029,91,38,53,20,91,222,54,42.7,32.9,5,42,95,31,46.55%,$45833,10.6%,$1394,832,$470000,1760,$267,60,44.30%,13%,58%,52%,54,19 mins,2.90%,1.50%,5.30%,Salt Lake County,41.50%,32.60%,5.42%,2.61%,72.84%,21.30%,16.7%,Mountain Standard Time,4260,4.7,56.20%,59,44,73,18.0%,90.86,0,0,377
Samak,Utah,300,64,Summit Park,42499,84,35,49,19,97,226,96,35.5,25.1,N/A,11,29,44,N/A,$58214,0%,N/A,N/A,$252200,N/A,N/A,45,37.80%,12%,41%,29%,96,25 mins,2.70%,0.40%,-35.90%,Summit County,50.30%,35.10%,N/A,N/A,98.10%,N/A,2.8%,N/A,N/A,4.7,54.20%,0,N/A,N/A,28.9%,0.00,0,0,139
Sandy,Utah,94556,3974,Salt Lake City,1240029,92,39,53,20,90,229,61,41.2,31.9,5,13,45,35,41.82%,$78048,3.7%,$1345,922,$540000,2535,$213,34,75.40%,9%,48%,41%,73,22 mins,3.00%,1.50%,8.50%,Salt Lake County,41.50%,32.60%,3.75%,N/A,90.09%,8.90%,8.2%,Mountain Standard Time,4260,4.7,39.90%,34,27,37,16.6%,19.70,0,0,393
Santa Clara,Utah,6835,1120,St. George,184913,101,54,47,10,42,259,2,40.6,29.5,6,7,16,33,39.95%,$64357,2.1%,N/A,N/A,$349900,N/A,N/A,16,75.80%,11%,44%,26%,79,18 mins,3.40%,3.50%,14.60%,Washington County,16.50%,68.40%,N/A,N/A,94.96%,3.30%,3.3%,Mountain Standard Time,2880,6,32.20%,33,N/A,37,20.0%,18.05,1,0,220
Santaquin,Utah,10740,1052,Provo-Orem,663181,91,37,54,16,80,225,51,39.2,29.2,5,6,17,23,21.03%,$61250,5.6%,N/A,N/A,$397000,2594,$153,18,83.90%,14%,56%,37%,91,24 mins,2.90%,N/A,28.40%,Utah County,14.00%,50.20%,N/A,N/A,95.58%,14.80%,5.7%,Mountain Standard Time,4227,4.5,33.90%,42,N/A,39,20.6%,30.71,0,0,119
Saratoga Springs,Utah,25671,1127,Provo-Orem,663181,93,38,55,15,80,230,33,41,31.1,5,8,15,21,48.26%,$76682,1.7%,$1279,939,$457500,2739,$167,11,80.80%,13%,48%,39%,84,30 mins,2.90%,N/A,74.70%,Utah County,14.00%,50.20%,1.27%,N/A,92.03%,5.30%,4.4%,Mountain Standard Time,4227,4.5,28.50%,8,4,27,20.0%,18.54,0,1,337
Scipio,Utah,378,363,None,0,91,38,53,15,69,255,45,37.6,27.6,5,8,20,47,15.21%,$53125,0%,N/A,N/A,$248900,N/A,N/A,78,66.10%,11%,36%,21%,96,17 mins,3.20%,-2.10%,95.90%,Millard County,8.20%,73.30%,N/A,N/A,98.38%,1.10%,0.6%,N/A,N/A,4.9,29.90%,0,N/A,28,15.1%,0.00,0,0,137
Scofield,Utah,15,16,Price,20760,90,36,54,11,61,233,33,36.9,25.2,6,7,18,73,N/A,$64375,0%,N/A,N/A,$225500,N/A,N/A,66,13.30%,7%,36%,33%,94,17 mins,4.40%,1.30%,-11.80%,Carbon County,21.50%,65.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,0.00%,0,N/A,N/A,9.0%,0.00,N/A,0,568
Sigurd,Utah,528,539,None,0,91,40,51,10,73,254,39,37.6,27.4,6,9,24,31,10.41%,$46250,4.3%,N/A,N/A,$202900,N/A,N/A,63,74.00%,9%,33%,29%,93,16 mins,3.50%,-0.10%,27.20%,Sevier County,8.00%,77.90%,N/A,N/A,100.00%,1.90%,0%,N/A,N/A,4.9,35.60%,0,N/A,25,15.7%,0.00,0,0,221
Silver Summit,Utah,4205,248,Summit Park,42499,84,35,49,20,99,226,94,35.5,25.1,N/A,9,26,40,58.98%,$133523,0%,$1425,690,$718700,N/A,N/A,16,61.90%,12%,40%,30%,88,24 mins,2.70%,0.40%,43.30%,Summit County,50.30%,35.10%,1.18%,N/A,95.89%,2.40%,6.5%,N/A,N/A,4.7,35.90%,0,N/A,5,16.6%,0.00,0,0,288
Smithfield,Utah,10832,2080,Logan,144219,89,31,58,17,101,221,56,39.7,29.7,5,8,11,27,37.53%,$57697,4.9%,$1125,1298,$271400,N/A,N/A,24,80.30%,12%,37%,34%,90,19 mins,2.70%,1.00%,20.90%,Cache County,18.30%,45.20%,1.09%,N/A,95.99%,5.50%,4.1%,Mountain Standard Time,4507,4.7,33.20%,47,N/A,39,17.2%,18.93,0,0,242
Snowville,Utah,133,86,Ogden-Clearfield,691359,91,33,58,15,80,217,33,39,29.3,5,9,23,36,N/A,$54375,3.1%,N/A,N/A,$196700,N/A,N/A,43,55.60%,13%,47%,44%,93,23 mins,3.00%,0.40%,-18.40%,Box Elder County,11.50%,61.50%,N/A,N/A,100.00%,9.80%,4.2%,Mountain Standard Time,4300,4.7,29.50%,22,N/A,29,13.0%,153.85,0,0,289
Snyderville,Utah,6271,582,Summit Park,42499,84,35,49,20,99,226,94,35.5,25.1,5,10,30,41,73.15%,$105436,2.5%,$1425,690,$697800,N/A,N/A,18,39.00%,12%,40%,30%,89,21 mins,2.70%,0.40%,19.50%,Summit County,50.30%,35.10%,1.36%,N/A,95.25%,9.70%,11%,N/A,N/A,4.7,35.90%,28,N/A,56,17.4%,0.00,0,0,419
South Jordan,Utah,65523,2950,Salt Lake City,1240029,92,39,53,18,85,225,44,41.7,32.2,5,10,34,32,42.25%,$91228,1.6%,$1389,1014,$540000,2983,$181,14,77.90%,8%,41%,34%,77,24 mins,3.00%,1.50%,41.30%,Salt Lake County,41.50%,32.60%,3.78%,N/A,88.36%,5.30%,5.9%,Mountain Standard Time,4260,4.7,33.40%,25,22,44,17.9%,7.66,0,0,359
South Ogden,Utah,16918,4586,Ogden-Clearfield,691359,90,35,55,23,89,224,49,40.5,30.6,5,9,29,34,27.49%,$54685,4%,$1059,952,$264200,N/A,N/A,39,65.70%,14%,53%,42%,75,19 mins,3.30%,0.90%,5.90%,Weber County,26.90%,46.80%,N/A,1.51%,92.11%,14.20%,7.4%,Mountain Standard Time,4300,4.5,42.30%,40,34,39,16.4%,3.04,0,0,234
South Salt Lake,Utah,24722,3561,Salt Lake City,1240029,92,38,54,18,89,226,44,43.6,33.5,5,44,95,30,25.25%,$37238,16.5%,$1168,810,$375000,1500,$250,43,37.10%,12%,58%,49%,50,21 mins,2.90%,1.50%,6.40%,Salt Lake County,41.50%,32.60%,10.42%,7.21%,65.02%,21.00%,25.3%,Mountain Standard Time,4260,4.7,58.40%,58,48,58,21.5%,3.75,0,1,378
South Weber,Utah,6921,1494,Ogden-Clearfield,691359,91,36,55,23,79,223,33,42.3,32.5,5,7,22,29,42.03%,$84390,1.4%,N/A,N/A,$386100,N/A,N/A,20,85.90%,11%,41%,36%,78,21 mins,2.80%,1.00%,21.30%,Davis County,20.50%,44.40%,1.22%,N/A,94.92%,6.50%,2.8%,Mountain Standard Time,4300,4.5,32.90%,1,N/A,27,18.5%,0.00,0,0,330
South Willard,Utah,1650,283,Ogden-Clearfield,691359,92,36,56,19,75,220,33,39.5,29.9,N/A,7,19,36,N/A,$72875,5.9%,N/A,N/A,$386900,N/A,N/A,15,84.60%,13%,47%,45%,90,23 mins,3.00%,0.40%,6.10%,Box Elder County,11.50%,61.50%,N/A,N/A,92.35%,8.50%,0.7%,Mountain Standard Time,4300,4.7,38.40%,1,N/A,22,18.3%,0.00,0,0,173
Spanish Fork,Utah,38171,2382,Provo-Orem,663181,93,38,55,20,95,226,51,41.6,31.4,5,7,20,25,32.17%,$63376,6%,N/A,N/A,$385000,2069,$186,21,74.00%,12%,50%,41%,79,21 mins,2.80%,N/A,19.80%,Utah County,14.00%,50.20%,N/A,N/A,94.21%,10.80%,6.2%,Mountain Standard Time,4227,4.5,35.50%,32,N/A,44,18.7%,20.44,0,0,107
Spanish Valley,Utah,594,42,None,0,98,42,56,10,59,254,9,42.4,28.7,N/A,11,29,30,N/A,$75192,0%,N/A,N/A,$340500,N/A,N/A,28,65.20%,4%,23%,21%,96,20 mins,5.20%,1.30%,181.50%,San Juan County,36.90%,47.80%,N/A,N/A,100.00%,3.50%,0%,N/A,N/A,6,61.90%,0,N/A,26,20.3%,0.00,0,1,9
Spring City,Utah,995,705,None,0,88,36,52,13,76,242,39,35.3,25.5,6,5,27,46,26.71%,$44643,6.8%,N/A,N/A,$252200,N/A,N/A,74,69.60%,14%,42%,35%,97,21 mins,4.00%,2.40%,-18.70%,Sanpete County,10.40%,65.10%,N/A,N/A,95.76%,7.40%,1.7%,N/A,N/A,4.7,28.40%,18,N/A,30,15.6%,27.12,0,0,613
