City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Cambridge village,Vermont,244,197,None,8027993,$72500,27.33%,32,N/A,N/A,N/A,78,41.49%,$1016,53.03%,N/A,N/A,4.92%,5.52%,91.41%,Lamoille County,56.70%,28.00%,0.0%,0.0%,88.11%,9.02%,0.82%,N/A,70,22,48,50.16,86.2,8.2,91,855,3.1,1.24,VT-11425,44.6389286,-72.8787618,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.98,9.53,52.96%,50.99%,60.78%,49
Canaan,Vermont,341,217,Berlin,40670,$46094,7.17%,54,N/A,N/A,N/A,61,73.31%,$1013,31.49%,N/A,N/A,18.77%,10.61%,59.47%,Essex County,34.80%,51.50%,0.0%,13.49%,86.51%,0.0%,8.5%,N/A,76,23,53,44.85,146.6,8.2,94,1554,3,1.57,VT-11725,45.0045569,-71.5344498,49%,60%,42%,58%,54%,23.6,36,57,54,2,13.95,8.55,51.23%,49.89%,59.56%,67
Castleton,Vermont,1141,898,Rutland,61186,$18564,45.5%,21,N/A,N/A,N/A,45,25.0%,$1086,97.37%,0,0,40.38%,3.37%,54.69%,Rutland County,46.00%,42.10%,1.67%,5.26%,89.83%,2.1%,3.68%,N/A,81,30,51,44.71,73.4,8.2,87,621,2.9,1.27,VT-11875,43.6054575,-73.1850584,49%,60%,42%,58%,54%,23.6,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Cavendish,Vermont,184,222,Claremont-Lebanon,228819,$49565,21.01%,41,N/A,N/A,N/A,37,68.48%,$1318,38.96%,N/A,N/A,3.8%,10.26%,75.97%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,83,31,52,46.66,68.9,6.0,90,888,3.3,0.83,VT-12175,43.3853834,-72.6062919,55%,62%,53%,53%,51%,17.7,35,57,59,12,13.47,10.45,40.44%,49.23%,37.11%,27
Charlotte,Vermont,3818,93,Burlington-South Burlington,231329,$111667,69.85%,N/A,N/A,N/A,N/A,36,74.70%,N/A,31.00%,N/A,N/A,N/A,1.80%,N/A,Chittenden County,65.70%,22.30%,N/A,1.23%,N/A,N/A,N/A,Eastern Standard Time,83,30,53,39.59,86.2,8.2,86,180,3,41.05,VT-13300,44.3089404,-73.2359132,49%,60%,42%,58%,54%,23.6,35,57,61,12,12.2,7.12,43.81%,42.64%,48.67%,49
Chelsea,Vermont,463,520,Claremont-Lebanon,228819,$38631,21.6%,34,$235000,2304,$102,45,68.53%,$709,51.98%,N/A,N/A,22.14%,8.02%,51.1%,Orange County,51.50%,34.20%,0.0%,0.0%,86.18%,3.89%,0.43%,N/A,77,27,50,45.97,118.2,8.2,88,1080,3.1,0.89,VT-13450,43.990237,-72.4485435,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,45.53%,46.92%,47.22%,69
Chester,Vermont,1023,639,Claremont-Lebanon,228819,$58462,44.6%,55,$287000,1761,$163,44,73.02%,$842,25.09%,99,931,2.93%,0.0%,57.83%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,9.68%,N/A,83,31,52,41.18,68.9,6.0,89,528,3.3,1.6,VT-13600,43.2650996,-72.592715,55%,62%,53%,53%,51%,17.7,35,57,59,12,11.99,8.8,40.44%,49.23%,37.11%,27
Chittenden,Vermont,110,244,Rutland,61186,$104167,30.95%,56,N/A,N/A,N/A,56,89.09%,N/A,42.86%,N/A,N/A,3.64%,0.0%,76.53%,Rutland County,46.00%,42.10%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,81,30,51,47.87,84.9,8.2,93,1065,2.9,0.45,VT-14275,43.7038915,-72.9493482,49%,60%,42%,58%,54%,23.6,35,57,57,10,15.3,9.38,41.32%,44.18%,43.11%,34
Clarendon,Vermont,2403,77,Rutland,61186,$52645,28.23%,N/A,N/A,N/A,N/A,41,75.90%,N/A,42.50%,N/A,N/A,N/A,2.70%,N/A,Rutland County,46.00%,42.10%,N/A,N/A,N/A,3.50%,N/A,N/A,81,30,51,44.71,73.4,8.2,90,621,2.9,31.21,VT-14500,43.5303913,-72.9853379,49%,60%,42%,58%,54%,23.6,37,58,57,10,14.72,8.98,40.0%,40.44%,43.0%,33
Colchester,Vermont,17309,476,Burlington-South Burlington,231329,$68440,43.05%,N/A,N/A,N/A,N/A,36,62.50%,N/A,56.70%,92,1132,N/A,1.90%,N/A,Chittenden County,65.70%,22.30%,1.95%,2.86%,N/A,1.70%,N/A,Eastern Standard Time,83,29,54,36.54,48.8,8.2,80,102,3,36.36,VT-14875,44.5545173,-73.2168443,49%,60%,42%,58%,54%,23.6,35,57,63,13,12.05,6.22,36.74%,40.22%,36.33%,30
Concord,Vermont,176,160,Berlin,40670,$46250,27.13%,47,N/A,N/A,N/A,45,64.74%,N/A,59.01%,N/A,N/A,11.36%,0.0%,82.17%,Essex County,34.80%,51.50%,2.27%,0.0%,97.73%,0.0%,0.0%,N/A,82,30,52,42.5,88.5,8.2,91,639,3,1.1,VT-15175,44.4322388,-71.8862515,49%,60%,42%,58%,54%,23.6,35,57,59,10,13.46,8.46,46.93%,45.93%,53.33%,57
Corinth,Vermont,1376,28,Claremont-Lebanon,228819,$56719,32.38%,N/A,N/A,N/A,N/A,37,65.50%,N/A,49.80%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,N/A,4.64%,N/A,N/A,N/A,N/A,77,27,50,45.97,74.3,8.2,90,1080,3.1,49.14,VT-15700,44.0375438,-72.2898809,49%,60%,42%,58%,54%,23.6,35,57,56,7,13.98,9.99,45.53%,46.92%,47.22%,35
Danby,Vermont,219,304,Rutland,61186,$62212,33.15%,53,N/A,N/A,N/A,42,64.84%,$781,40.91%,N/A,N/A,7.76%,3.73%,67.68%,Rutland County,46.00%,42.10%,2.74%,0.0%,94.98%,0.0%,9.59%,N/A,76,28,48,52.16,73.4,7.9,93,1554,2.9,0.72,VT-16750,43.3451731,-72.9946655,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,40.0%,40.44%,43.0%,33
Derby Center,Vermont,713,513,None,8027993,$39297,10.9%,51,N/A,N/A,N/A,52,53.21%,$905,47.35%,N/A,N/A,22.45%,1.95%,52.92%,Orleans County,43.00%,42.80%,0.0%,0.0%,97.9%,2.1%,7.43%,N/A,79,25,54,46.05,109.5,8.2,89,723,3,1.39,VT-17425,44.9548898,-72.1360894,49%,60%,42%,58%,54%,23.6,35,57,57,6,14.65,8.9,51.78%,53.52%,56.33%,60
Derby Line,Vermont,668,915,None,8027993,$56563,40.73%,42,N/A,N/A,N/A,76,68.56%,$675,52.93%,N/A,N/A,20.81%,2.1%,61.44%,Orleans County,43.00%,42.80%,0.0%,0.0%,94.16%,1.65%,8.38%,N/A,79,25,54,46.05,109.5,8.2,90,723,3,0.73,VT-17500,45.0008502,-72.1034225,49%,60%,42%,58%,54%,23.6,35,57,57,6,14.65,8.9,51.78%,53.52%,56.33%,60
Dorset,Vermont,387,186,Bennington,39057,$87368,87.46%,61,$725000,2923,$248,63,96.38%,N/A,28.8%,N/A,N/A,12.66%,0.0%,43.04%,Bennington County,54.90%,34.10%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,76,28,48,52.16,73.4,7.9,92,1554,3.4,2.08,VT-17650,43.2574146,-73.102048,50%,58%,45%,57%,55%,22.7,37,58,58,9,14.75,12.4,40.0%,40.44%,43.0%,33
Duxbury,Vermont,1260,29,Barre,66247,$71964,47.35%,N/A,N/A,N/A,N/A,34,72.30%,N/A,42.60%,N/A,N/A,N/A,2.00%,N/A,Washington County,59.80%,25.70%,2.07%,N/A,N/A,N/A,N/A,N/A,78,29,49,52.88,118.2,8.2,90,420,2.9,43.45,VT-18550,44.3050803,-72.8235573,49%,60%,42%,58%,54%,23.6,35,57,57,12,15.87,11.38,51.92%,49.89%,60.78%,69
East Barre,Vermont,807,305,Barre,66247,$67935,13.23%,42,$255000,1118,$228,38,61.71%,$1069,58.35%,N/A,N/A,6.01%,5.94%,68.36%,Washington County,59.80%,25.70%,0.0%,0.0%,100.0%,0.0%,0.87%,N/A,79,27,52,42.14,118.2,8.2,84,1029,2.9,2.65,VT-19075,44.1499808,-72.4498155,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
East Burke,Vermont,69,130,None,8027993,$57917,21.54%,45,N/A,N/A,N/A,41,56.52%,N/A,72.31%,N/A,N/A,4.35%,0.0%,66.15%,Caledonia County,45.80%,39.30%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,79,25,54,45.55,141.7,8.2,91,915,3.1,0.53,VT-19600,44.587441,-71.940262,49%,60%,42%,58%,54%,23.6,35,57,52,1,14.1,9.03,54.49%,50.44%,67.0%,84
East Haven,Vermont,315,8,Berlin,40670,$39519,N/A,N/A,N/A,N/A,N/A,47,52.50%,N/A,36.80%,N/A,N/A,N/A,2.90%,N/A,Essex County,34.80%,51.50%,N/A,N/A,N/A,1.60%,N/A,N/A,79,25,54,45.55,109.5,8.2,91,915,3,39.38,VT-21250,44.6555144,-71.8228531,49%,60%,42%,58%,54%,23.6,35,57,52,1,14.1,9.03,51.78%,53.52%,56.33%,60
East Montpelier,Vermont,82,357,Barre,66247,$66719,100.0%,36,$450000,2432,$185,44,100.0%,N/A,32.0%,N/A,N/A,0.0%,0.0%,68.0%,Washington County,59.80%,25.70%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,81,26,55,43.29,118.2,8.2,86,732,2.9,0.23,VT-21850,44.2684612,-72.4902629,49%,60%,42%,58%,54%,23.6,35,57,54,4,14.19,8.42,45.53%,46.92%,47.22%,69
Enosburg Falls,Vermont,1350,381,Burlington-South Burlington,231329,$44167,13.13%,37,$275000,3313,$83,77,73.54%,$775,53.7%,N/A,N/A,24.88%,10.9%,58.3%,Franklin County,43.70%,40.90%,1.85%,3.93%,70.44%,0.3%,1.26%,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,3.54,VT-24025,44.9083299,-72.8026176,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
