City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment Sqft,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home Ownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score, % of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Casper Mountain,Wyoming,628,61,Casper,72826,88,36,52,13,79,218,70,39.8,27,N/A,12,16,44,N/A,$116071,8.1%,N/A,N/A,$421900,N/A,N/A,44,46.10%,5%,14%,11%,95,17 mins,3.90%,-1.40%,84.70%,Natrona County,19.70%,70.60%,N/A,N/A,100.00%,4.00%,0%,Mountain Standard Time,5237,4.9,39.80%,0,N/A,5,15.1%,0.00,0,1,4
Centennial,Wyoming,217,13,Laramie,32529,77,33,44,14,101,229,98,37.9,23.5,12,11,14,57,N/A,$39167,9.8%,N/A,N/A,$213200,N/A,N/A,45,44.30%,3%,12%,12%,97,12 mins,4.00%,-2.20%,-41.00%,Albany County,40.40%,44.60%,N/A,N/A,98.05%,16.60%,0%,N/A,N/A,5,30.40%,11,N/A,29,16.7%,0.00,0,0,1
Cheyenne,Wyoming,62986,2210,Cheyenne,82593,84,39,45,17,92,236,58,44.7,29,11,15,47,35,30.38%,$54845,8.1%,N/A,N/A,$253900,N/A,N/A,45,60.40%,7%,27%,33%,72,14 mins,3.60%,-2.10%,8.70%,Laramie County,28.20%,60.60%,1.53%,1.98%,89.45%,14.10%,2.6%,Mountain Standard Time,6115,4.7,48.40%,37,N/A,51,18.3%,42.98,0,2,0
Chugcreek,Wyoming,281,148,None,8027993,88,40,48,15,71,231,42,44.9,29.6,N/A,9,11,34,N/A,$123571,0%,N/A,N/A,$234600,N/A,N/A,43,100.00%,0%,10%,13%,94,16 mins,3.70%,-1.60%,111.30%,Platte County,15.90%,75.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,20.60%,0,N/A,10,N/A,0.00,0,1,1
Chugwater,Wyoming,268,88,None,8027993,86,39,47,17,84,227,64,44.8,29.8,N/A,16,20,51,19.41%,$40250,15.9%,N/A,N/A,$94100,N/A,N/A,59,57.50%,0%,11%,13%,94,16 mins,3.70%,-1.60%,21.30%,Platte County,15.90%,75.90%,2.16%,N/A,97.84%,4.50%,0.8%,N/A,N/A,4.6,59.00%,12,N/A,N/A,12.4%,0.00,0,1,0
Clearmont,Wyoming,125,749,Sheridan,21409,86,35,51,14,73,208,42,43.6,29.3,N/A,19,24,57,21.56%,$48750,11.5%,N/A,N/A,$126300,N/A,N/A,41,49.40%,3%,15%,8%,91,16 mins,3.50%,-1.80%,52.40%,Sheridan County,20.20%,70.80%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.7,56.00%,3,N/A,N/A,9.0%,0.00,0,0,6
Clearview Acres,Wyoming,1416,1181,Rock Springs,43061,86,33,53,9,72,234,41,35.2,23.7,N/A,14,18,36,6.10%,$50813,11.8%,N/A,N/A,$109600,N/A,N/A,39,62.50%,0%,16%,20%,84,20 mins,4.10%,-2.00%,216.80%,Sweetwater County,18.90%,71.00%,N/A,N/A,98.01%,34.90%,3.9%,N/A,N/A,4.6,34.00%,18,N/A,30,12.9%,0.00,0,0,10
Cody,Wyoming,9826,965,None,8027993,81,38,43,10,64,213,41,39.2,25.6,7,12,29,41,37.51%,$53598,4.2%,N/A,N/A,$277400,N/A,N/A,42,56.90%,4%,19%,19%,89,17 mins,3.50%,-2.00%,5.00%,Park County,16.80%,73.60%,N/A,N/A,94.16%,6.40%,3%,N/A,N/A,3.6,41.90%,63,N/A,55,18.0%,17.84,0,0,0
Cokeville,Wyoming,661,562,None,8027993,83,27,56,10,70,215,58,36,24.2,8,9,12,39,27.07%,$63438,3.5%,N/A,N/A,$165100,N/A,N/A,44,67.00%,-1%,10%,13%,93,26 mins,3.20%,-0.60%,-20.60%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,N/A,0.3%,N/A,N/A,4.5,23.30%,12,N/A,42,17.3%,0.00,0,0,63
Cora,Wyoming,54,11,None,8027993,76,26,50,13,90,236,79,N/A,N/A,7,13,16,59,N/A,$0,0%,N/A,N/A,$292600,N/A,N/A,32,35.60%,-1%,12%,8%,99,21 mins,4.10%,1.50%,-80.10%,Sublette County,14.70%,77.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.7,31.50%,5,N/A,N/A,N/A,0.00,0,0,8
Cowley,Wyoming,790,932,None,8027993,87,32,55,6,44,203,11,41.6,27.9,7,13,17,33,20.80%,$65938,6.7%,N/A,N/A,$224300,N/A,N/A,35,73.70%,-1%,12%,8%,93,18 mins,4.40%,-3.30%,39.80%,Big Horn County,11.40%,76.50%,N/A,N/A,97.59%,1.10%,0.4%,N/A,N/A,3.6,48.10%,20,N/A,N/A,13.1%,16.78,0,0,1
Crowheart,Wyoming,88,3,Riverton,26687,83,35,48,9,41,236,33,37.2,25.1,7,16,20,70,N/A,$31750,36.7%,N/A,N/A,$103400,N/A,N/A,44,48.90%,2%,15%,14%,98,17 mins,4.60%,-2.40%,-47.90%,Fremont County,24.70%,65.60%,N/A,N/A,56.00%,N/A,0%,N/A,N/A,3.7,56.80%,9,N/A,N/A,13.6%,58.82,0,0,6
Daniel,Wyoming,143,28,None,8027993,78,26,52,12,87,235,65,34.3,21.7,6,23,29,46,N/A,$50259,0%,N/A,N/A,$292600,N/A,N/A,17,75.20%,-1%,11%,8%,96,21 mins,4.10%,1.50%,66.30%,Sublette County,14.70%,77.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.7,85.30%,7,N/A,25,N/A,73.26,0,0,9
Dayton,Wyoming,815,1523,Sheridan,21409,86,35,51,16,94,206,59,41.2,27.7,6,12,15,44,35.40%,$66583,4.4%,N/A,N/A,$206100,N/A,N/A,42,74.30%,3%,15%,8%,91,28 mins,3.50%,-1.80%,-7.70%,Sheridan County,20.20%,70.80%,N/A,N/A,98.57%,3.20%,0.4%,N/A,N/A,3.7,38.10%,28,N/A,36,16.0%,27.78,0,0,3
Deaver,Wyoming,173,171,None,8027993,87,32,55,6,44,207,11,41.9,28,7,15,18,35,11.34%,$45781,0%,N/A,N/A,$86100,N/A,N/A,39,62.40%,-1%,11%,8%,93,18 mins,4.40%,-3.30%,-7.50%,Big Horn County,11.40%,76.50%,N/A,N/A,98.57%,N/A,0.6%,N/A,N/A,3.6,52.70%,0,N/A,N/A,9.0%,61.35,0,0,0
Diamondville,Wyoming,743,637,None,8027993,81,29,52,10,63,210,46,34.8,23,8,6,5,49,5.62%,$70547,10.1%,N/A,N/A,$149600,N/A,N/A,42,65.90%,-1%,10%,12%,94,26 mins,3.20%,-0.60%,-4.90%,Lincoln County,12.50%,76.40%,N/A,N/A,88.48%,2.70%,1%,N/A,N/A,4.5,34.30%,12,N/A,30,14.0%,15.50,0,0,25
Dixon,Wyoming,77,588,None,8027993,86,31,55,14,73,225,67,36.7,24.5,6,20,25,36,22.41%,$79250,29.4%,N/A,N/A,$70700,N/A,N/A,57,46.40%,-1%,11%,8%,93,16 mins,3.30%,-3.20%,-34.80%,Carbon County,20.10%,69.20%,N/A,N/A,100.00%,10.40%,0%,N/A,N/A,4.6,55.00%,0,N/A,N/A,17.8%,0.00,0,0,7
Douglas,Wyoming,6465,994,None,8027993,88,37,51,14,73,217,59,43.5,29.2,11,20,35,41,14.95%,$57543,2.7%,N/A,N/A,$227900,N/A,N/A,40,58.20%,1%,15%,17%,89,23 mins,2.90%,0.00%,9.00%,Converse County,10.00%,83.00%,N/A,N/A,93.82%,12.30%,2.6%,N/A,N/A,4.9,40.90%,56,N/A,40,14.2%,76.84,0,1,8
Dubois,Wyoming,768,221,Riverton,26687,79,32,47,11,78,235,52,34,22.6,7,14,18,57,24.70%,$34457,7%,N/A,N/A,$236800,N/A,N/A,41,45.10%,3%,14%,8%,97,17 mins,4.60%,-2.40%,-11.30%,Fremont County,24.70%,65.60%,N/A,3.33%,94.54%,1.40%,0%,N/A,N/A,3.7,53.10%,37,N/A,29,16.5%,25.97,0,0,12
East Thermopolis,Wyoming,294,1624,None,8027993,90,34,56,11,61,232,22,40.6,27,N/A,20,25,50,15.38%,$16050,20.6%,N/A,N/A,$75100,N/A,N/A,46,36.00%,0%,8%,8%,94,19 mins,3.50%,-4.20%,-14.50%,Hot Springs County,15.50%,75.00%,N/A,N/A,94.12%,1.40%,1.6%,N/A,N/A,3.6,71.30%,33,N/A,37,16.7%,0.00,0,0,6
Eden,Wyoming,184,14,Rock Springs,43061,83,29,54,9,62,234,36,35.2,23.7,10,15,19,43,N/A,$57750,0%,N/A,N/A,$178900,N/A,N/A,44,45.60%,0%,17%,20%,93,20 mins,4.10%,-2.00%,-26.70%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,49.40%,1,N/A,N/A,23.4%,0.00,0,0,2
Edgerton,Wyoming,191,755,Casper,72826,88,35,53,13,68,217,49,41.9,28.4,10,17,22,44,3.60%,$46667,15.4%,N/A,N/A,$60100,N/A,N/A,44,37.10%,4%,14%,11%,92,17 mins,3.90%,-1.40%,-7.30%,Natrona County,19.70%,70.60%,N/A,N/A,100.00%,3.10%,0.6%,Mountain Standard Time,5237,4.9,36.10%,21,N/A,N/A,15.0%,65.36,0,0,7
Elk Mountain,Wyoming,193,697,None,8027993,83,32,51,11,73,220,61,38.4,24.9,10,11,14,41,N/A,$63250,0%,N/A,N/A,$169200,N/A,N/A,51,36.90%,-1%,11%,8%,96,16 mins,3.30%,-3.20%,-17.20%,Carbon County,20.10%,69.20%,N/A,N/A,100.00%,18.70%,0%,N/A,N/A,4.6,25.00%,9,N/A,33,22.7%,0.00,0,0,10
Encampment,Wyoming,511,320,None,8027993,82,35,47,12,78,223,74,37.9,24.4,6,16,20,54,41.91%,$41250,5.3%,N/A,N/A,$219500,N/A,N/A,43,44.30%,-1%,12%,8%,97,16 mins,3.30%,-3.20%,95.80%,Carbon County,20.10%,69.20%,N/A,N/A,98.19%,1.00%,0%,N/A,N/A,4.6,38.30%,15,N/A,26,17.3%,0.00,0,0,6
Esterbrook,Wyoming,34,10,None,8027993,88,37,51,14,73,219,59,43.5,28.9,N/A,17,21,54,N/A,$97750,0%,N/A,N/A,$325600,N/A,N/A,43,42.10%,1%,16%,17%,92,23 mins,2.90%,0.00%,47.80%,Converse County,10.00%,83.00%,N/A,N/A,80.46%,N/A,0%,N/A,N/A,4.9,64.70%,0,N/A,5,9.0%,0.00,0,0,17
Ethete,Wyoming,1747,54,Riverton,26687,87,33,54,11,53,231,58,37.9,25.1,7,21,26,25,11.00%,$53063,16.4%,N/A,N/A,$152000,N/A,N/A,39,51.60%,2%,15%,13%,96,16 mins,4.60%,-2.40%,-23.70%,Fremont County,24.70%,65.60%,N/A,N/A,3.30%,4.60%,0.3%,N/A,N/A,3.7,69.90%,11,N/A,N/A,9.0%,9.82,0,0,10
Etna,Wyoming,210,107,None,8027993,81,28,53,19,109,206,84,35.9,24.4,4,17,21,35,N/A,$71386,0%,N/A,N/A,$203200,N/A,N/A,32,0.56229,-1%,9%,13%,96,26 mins,3.20%,-0.60%,19.30%,Lincoln County,12.50%,76.40%,N/A,N/A,N/A,N/A,0%,N/A,N/A,4.5,84.80%,14,N/A,N/A,N/A,1,0,0,503
Evanston,Wyoming,12054,1172,Evanston,16858,80,32,48,13,78,227,63,34.9,23.9,7,11,41,35,13.40%,$49333,13%,N/A,N/A,$195700,N/A,N/A,35,59.50%,0%,11%,12%,89,16 mins,4.00%,-2.70%,0.30%,Uinta County,14.20%,72.70%,N/A,N/A,91.39%,13.70%,4.8%,N/A,N/A,4.6,44.90%,63,N/A,74,14.6%,18.78,0,0,36
