City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment Sqft,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home Ownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score, % of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Pine Haven,Wyoming,497,380,None,8027993,87,33,54,15,65,220,43,45.4,29.6,8,11,13,50,N/A,$85114,2.9%,N/A,N/A,$271900,N/A,N/A,20,70.20%,-1%,12%,8%,90,28 mins,3.60%,-1.00%,60.30%,Crook County,7.10%,87.50%,3.62%,N/A,95.57%,3.60%,3.9%,N/A,N/A,3.8,27.50%,7,N/A,N/A,17.6%,0.00,N/A,1,1
Pinedale,Wyoming,2003,930,None,8027993,79,27,52,11,82,234,59,34.6,22.3,7,16,20,35,22.88%,$72083,14.2%,N/A,N/A,$264700,N/A,N/A,39,45.70%,-1%,12%,8%,99,21 mins,4.10%,1.50%,2.80%,Sublette County,14.70%,77.70%,N/A,N/A,99.34%,18.80%,9.5%,N/A,N/A,4.7,40.90%,62,N/A,64,17.6%,38.68,N/A,0,4
Point of Rocks,Wyoming,81,37,Rock Springs,43061,85,32,53,9,62,234,32,34.6,23.6,10,23,29,44,N/A,$60455,0%,N/A,N/A,$20700,N/A,N/A,36,57.40%,0%,17%,19%,93,20 mins,4.10%,-2.00%,0.00%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,18.50%,0%,N/A,N/A,4.6,N/A,0,N/A,27,9.0%,N/A,N/A,0,N/A
Powell,Wyoming,6412,1512,None,8027993,86,33,53,7,54,215,19,40.9,27.2,6,21,34,33,30.38%,$47064,5.1%,N/A,N/A,$225100,N/A,N/A,48,55.50%,3%,18%,19%,79,20 mins,3.50%,-2.00%,4.70%,Park County,16.80%,73.60%,N/A,N/A,93.03%,9.30%,1%,N/A,N/A,3.6,56.60%,70,N/A,60,15.8%,22.36,N/A,0,0
Purple Sage,Wyoming,1019,3097,Rock Springs,43061,86,33,53,9,72,234,41,35.2,23.7,N/A,18,23,23,N/A,$26654,50.4%,N/A,N/A,$35600,N/A,N/A,14,66.10%,0%,17%,20%,90,20 mins,4.10%,-2.00%,156.00%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,41.40%,33.9%,N/A,N/A,4.6,69.40%,3,N/A,19,17.0%,0.00,N/A,0,10
Rafter J Ranch,Wyoming,1565,2397,Jackson,55341,81,27,54,20,113,219,109,34.9,23.5,N/A,9,12,50,64.53%,$123082,0%,N/A,N/A,$755600,N/A,N/A,29,79.60%,-1%,12%,8%,92,14 mins,2.00%,-1.60%,6.80%,Teton County,57.90%,31.10%,N/A,N/A,88.51%,17.60%,9.6%,N/A,N/A,3.7,28.90%,4,N/A,48,14.6%,0.00,N/A,0,325
Ralston,Wyoming,438,78,None,8027993,86,32,54,7,57,212,19,40.4,26.8,7,14,17,51,N/A,$27321,0%,N/A,N/A,$242300,N/A,N/A,30,100.00%,3%,19%,19%,94,17 mins,3.50%,-2.00%,147.50%,Park County,16.80%,73.60%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.6,47.60%,13,N/A,N/A,18.9%,106.38,N/A,0,0
Ranchester,Wyoming,1112,1568,Sheridan,21409,87,35,52,15,88,208,55,42.7,29.1,6,14,17,35,23.45%,$62153,9.1%,N/A,N/A,$225500,N/A,N/A,39,80.70%,3%,15%,8%,91,16 mins,3.50%,-1.80%,71.90%,Sheridan County,20.20%,70.80%,N/A,N/A,100.00%,1.20%,0.7%,N/A,N/A,3.7,36.00%,32,N/A,N/A,20.0%,14.64,N/A,0,4
Ranchettes,Wyoming,6001,122,Cheyenne,82593,84,39,45,17,92,234,59,44.9,29.2,N/A,9,20,49,N/A,$94067,2.1%,N/A,N/A,$458200,N/A,N/A,28,88.40%,8%,25%,35%,87,15 mins,3.60%,-2.10%,7.40%,Laramie County,28.20%,60.60%,N/A,N/A,95.82%,9.90%,1.6%,Mountain Standard Time,6115,4.7,30.40%,0,N/A,36,16.3%,0.00,N/A,1,0
Rawlins,Wyoming,9112,1105,None,8027993,84,32,52,11,79,227,53,36.5,24.8,12,19,37,33,17.59%,$57121,12%,N/A,N/A,$165300,N/A,N/A,51,53.90%,-1%,11%,8%,84,12 mins,3.30%,-3.20%,0.40%,Carbon County,20.10%,69.20%,1.58%,1.56%,87.76%,26.90%,8.5%,N/A,N/A,4.6,49.30%,55,N/A,N/A,14.6%,202.50,N/A,0,20
Red Butte,Wyoming,535,1219,Casper,72826,88,36,52,13,80,218,70,39.8,27,N/A,9,12,42,33.33%,$124250,0%,N/A,N/A,$299100,N/A,N/A,42,76.20%,4%,14%,11%,93,17 mins,3.90%,-1.40%,-12.00%,Natrona County,19.70%,70.60%,N/A,N/A,95.95%,17.20%,5.7%,Mountain Standard Time,5237,4.9,32.90%,0,N/A,25,16.3%,0.00,N/A,1,4
Reliance,Wyoming,521,126,Rock Springs,43061,86,33,53,9,70,234,39,34.5,23.7,10,13,16,56,N/A,$69750,0%,N/A,N/A,$101700,N/A,N/A,26,65.20%,0%,16%,20%,69,20 mins,4.10%,-2.00%,-26.30%,Sweetwater County,18.90%,71.00%,4.40%,N/A,83.94%,3.30%,3%,N/A,N/A,4.6,57.60%,6,N/A,19,14.1%,35.97,N/A,0,21
Riverside,Wyoming,43,159,None,8027993,82,35,47,12,78,225,74,37.1,24.6,6,9,11,66,N/A,$58125,0%,N/A,N/A,$211800,N/A,N/A,36,20.50%,-1%,11%,8%,97,16 mins,3.30%,-3.20%,34.40%,Carbon County,20.10%,69.20%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,32.60%,14,N/A,N/A,13.6%,0.00,N/A,0,6
Riverton,Wyoming,11113,935,Riverton,26687,87,32,55,10,45,231,46,38.6,25.6,6,19,68,37,19.48%,$42208,8.7%,N/A,N/A,$201600,N/A,N/A,46,56.90%,1%,16%,17%,83,14 mins,4.60%,-2.40%,8.50%,Fremont County,24.70%,65.60%,N/A,1.06%,76.04%,12.20%,1.8%,N/A,N/A,3.7,50.90%,63,N/A,52,14.7%,62.00,N/A,0,9
Robertson,Wyoming,95,31,Evanston,16858,82,32,50,10,68,227,45,34.4,22.3,8,17,20,48,N/A,$110000,0%,N/A,N/A,$1250200,N/A,N/A,35,100.00%,0%,12%,12%,96,19 mins,4.00%,-2.70%,-2.10%,Uinta County,14.20%,72.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,36.60%,0,N/A,26,N/A,65.36,N/A,0,15
Rock River,Wyoming,128,55,Laramie,32529,83,32,51,12,79,227,59,38.6,25,12,13,16,60,22.96%,$51136,0%,N/A,N/A,$67100,N/A,N/A,56,48.00%,4%,11%,12%,97,12 mins,4.00%,-2.20%,-49.20%,Albany County,40.40%,44.60%,3.43%,N/A,96.57%,5.50%,1.3%,N/A,N/A,5,42.30%,0,N/A,N/A,12.8%,37.88,N/A,0,3
Rock Springs,Wyoming,23820,1229,Rock Springs,43061,86,33,53,9,72,238,41,35,24.2,10,24,33,32,26.72%,$70918,9.6%,N/A,N/A,$221100,N/A,N/A,39,57.60%,1%,16%,19%,68,19 mins,4.10%,-2.00%,8.20%,Sweetwater County,18.90%,71.00%,N/A,2.11%,92.94%,15.90%,4.8%,N/A,N/A,4.6,45.30%,29,N/A,32,15.1%,30.23,0,0,14
Rolling Hills,Wyoming,344,524,None,8027993,88,37,51,12,72,221,64,43.5,28.9,11,9,11,36,N/A,$80083,0%,N/A,N/A,$249800,N/A,N/A,41,94.60%,1%,16%,17%,92,23 mins,2.90%,0.00%,-30.70%,Converse County,10.00%,83.00%,N/A,N/A,94.90%,3.20%,0.4%,N/A,N/A,4.9,27.90%,1,N/A,25,18.2%,0.00,0,1,7
Saratoga,Wyoming,1686,496,None,8027993,83,33,50,11,81,226,62,37.3,24.8,10,9,14,45,19.98%,$56761,4.3%,N/A,N/A,$189000,N/A,N/A,43,51.00%,-1%,12%,8%,97,16 mins,3.30%,-3.20%,-5.80%,Carbon County,20.10%,69.20%,N/A,N/A,94.12%,2.70%,2.8%,N/A,N/A,4.6,39.50%,38,N/A,53,18.3%,16.16,0,0,9
Shell,Wyoming,169,148,None,8027993,90,31,59,9,50,206,21,40.6,27.5,5,13,17,30,N/A,$91406,0%,N/A,N/A,$167800,N/A,N/A,44,100.00%,-1%,11%,8%,92,18 mins,4.40%,-3.30%,397.10%,Big Horn County,11.40%,76.50%,N/A,N/A,100.00%,19.50%,20.3%,N/A,N/A,3.6,47.30%,0,N/A,22,N/A,0.00,N/A,0,2
Sheridan,Wyoming,17816,1405,Sheridan,21409,87,35,52,13,80,208,35,43.9,29.9,6,10,32,38,30.29%,$49314,3.2%,N/A,N/A,$241700,N/A,N/A,41,55.70%,3%,15%,8%,67,12 mins,3.50%,-1.80%,4.80%,Sheridan County,20.20%,70.80%,N/A,N/A,95.58%,5.60%,2.4%,N/A,N/A,3.7,45.90%,30,N/A,45,17.2%,41.33,0,0,5
Shoshoni,Wyoming,508,142,Riverton,26687,90,30,60,8,49,234,24,40.1,26.5,6,18,22,50,7.05%,$42014,18.5%,N/A,N/A,$106500,N/A,N/A,44,51.20%,2%,15%,13%,96,17 mins,4.60%,-2.40%,-8.00%,Fremont County,24.70%,65.60%,N/A,N/A,94.95%,14.60%,0.4%,N/A,N/A,3.7,47.40%,9,N/A,N/A,16.9%,74.40,0,0,7
Sinclair,Wyoming,413,170,None,8027993,84,32,52,11,79,226,53,36.8,25,12,13,16,37,16.36%,$84722,5.6%,N/A,N/A,$152000,N/A,N/A,78,75.10%,-1%,11%,8%,93,16 mins,3.30%,-3.20%,-20.30%,Carbon County,20.10%,69.20%,N/A,N/A,98.33%,16.70%,2%,N/A,N/A,4.6,39.90%,4,N/A,N/A,12.0%,20.96,0,0,20
Slater,Wyoming,81,1,None,8027993,88,40,48,15,72,231,42,44.9,29.6,11,16,19,46,N/A,$16797,0%,N/A,N/A,$183900,N/A,N/A,43,100.00%,0%,10%,12%,94,16 mins,3.70%,-1.60%,58.80%,Platte County,15.90%,75.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,62.70%,0,N/A,N/A,N/A,0.00,0,1,1
Sleepy Hollow,Wyoming,952,2283,Gillette,36180,87,35,52,15,80,214,53,44,29.5,N/A,10,12,37,N/A,$106314,0%,N/A,N/A,$256900,N/A,N/A,26,81.40%,0%,10%,8%,85,20 mins,5.70%,-0.80%,-17.70%,Campbell County,7.30%,86.70%,N/A,N/A,99.05%,N/A,1.5%,N/A,N/A,3.6,32.40%,3,N/A,24,16.6%,0.00,0,1,16
Smoot,Wyoming,259,149,None,8027993,81,28,53,18,86,207,77,35.1,23.9,4,8,10,5,N/A,$66750,0%,N/A,N/A,$203200,N/A,N/A,32,100.00%,-1%,9%,13%,97,26 mins,3.20%,-0.60%,86.30%,Lincoln County,12.50%,76.40%,N/A,N/A,88.94%,N/A,0%,N/A,N/A,4.5,24.30%,9,N/A,N/A,N/A,181.82,0,0,636
South Greeley,Wyoming,4487,2690,Cheyenne,82593,84,39,45,17,92,230,58,44.9,29.2,N/A,16,35,32,8.60%,$51938,12.4%,N/A,N/A,$67200,N/A,N/A,34,66.40%,7%,26%,35%,81,15 mins,3.60%,-2.10%,-6.90%,Laramie County,28.20%,60.60%,N/A,1.21%,87.03%,27.50%,10.1%,Mountain Standard Time,6115,4.7,50.90%,16,N/A,53,19.5%,0.00,0,2,0
South Park,Wyoming,1579,138,Jackson,55341,81,27,54,20,113,219,109,34.9,23.5,N/A,14,18,41,N/A,$100050,0%,N/A,N/A,$966100,N/A,N/A,19,63.60%,-1%,11%,8%,92,14 mins,2.00%,-1.60%,42.40%,Teton County,57.90%,31.10%,N/A,8.06%,87.42%,5.60%,12.5%,N/A,N/A,3.7,41.30%,0,N/A,41,11.9%,0.00,0,0,326
Star Valley Ranch,Wyoming,1489,540,None,8027993,81,28,53,19,107,212,92,36.4,25.3,4,11,13,49,27.43%,$74191,1.9%,N/A,N/A,$262800,N/A,N/A,20,65.10%,-1%,9%,13%,96,47 mins,3.20%,-0.60%,-9.00%,Lincoln County,12.50%,76.40%,N/A,N/A,97.25%,2.30%,0.5%,N/A,N/A,4.5,29.20%,6,N/A,26,18.9%,0.00,0,0,508
Story,Wyoming,883,124,Sheridan,21409,82,36,46,19,98,208,87,40.9,27.4,6,13,16,40,N/A,$46049,0%,N/A,N/A,$289100,N/A,N/A,61,37.40%,3%,15%,8%,91,16 mins,3.50%,-1.80%,7.80%,Sheridan County,20.20%,70.80%,N/A,N/A,100.00%,2.20%,0%,N/A,N/A,3.7,25.00%,11,N/A,N/A,18.4%,15.50,0,0,1
Sundance,Wyoming,1464,480,None,8027993,81,34,47,22,107,226,113,44.2,28.1,8,11,20,39,25.48%,$55288,8.9%,N/A,N/A,$217700,N/A,N/A,44,63.60%,-1%,12%,8%,92,28 mins,3.60%,-1.00%,13.60%,Crook County,7.10%,87.50%,N/A,N/A,90.62%,N/A,0.2%,N/A,N/A,3.8,32.60%,40,N/A,36,15.3%,22.01,0,1,1
Superior,Wyoming,299,267,Rock Springs,43061,86,32,54,9,64,233,33,34,23.1,10,17,21,36,N/A,$89167,3.7%,N/A,N/A,$103400,N/A,N/A,71,43.90%,0%,17%,20%,93,20 mins,4.10%,-2.00%,40.40%,Sweetwater County,18.90%,71.00%,N/A,N/A,100.00%,20.40%,1.6%,N/A,N/A,4.6,63.30%,7,N/A,6,10.4%,50.00,N/A,0,18
Taylor,Wyoming,76,29,None,8027993,83,27,56,10,70,212,58,35.9,24.4,N/A,9,11,73,N/A,$53750,0%,N/A,N/A,$218700,N/A,N/A,51,100.00%,-1%,9%,13%,93,26 mins,3.20%,-0.60%,-22.50%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.5,0.00%,0,N/A,16,15.8%,0.00,0,0,67
Ten Sleep,Wyoming,210,1160,None,8027993,88,34,54,12,75,215,50,41.1,28.1,6,14,18,62,29.19%,$46250,3.7%,N/A,N/A,$121700,N/A,N/A,44,53.10%,2%,13%,11%,90,14 mins,4.40%,-1.70%,21.40%,Washakie County,13.90%,76.30%,N/A,N/A,98.13%,1.00%,0.6%,N/A,N/A,3.7,47.80%,35,N/A,27,17.5%,55.56,0,0,7
Teton Village,Wyoming,132,27,Jackson,55341,81,27,54,20,110,219,111,34.9,23.6,4,11,15,44,N/A,$21917,0%,N/A,N/A,$809500,N/A,N/A,27,16.00%,-1%,12%,8%,96,14 mins,2.00%,-1.60%,-43.10%,Teton County,57.90%,31.10%,N/A,N/A,98.64%,N/A,0%,N/A,N/A,3.7,19.50%,36,N/A,54,12.2%,0.00,0,0,297
Thayne,Wyoming,430,308,None,8027993,81,28,53,19,107,208,92,35.9,24.4,4,16,20,32,10.71%,$37750,4.3%,N/A,N/A,$101100,N/A,N/A,33,67.20%,-1%,9%,13%,96,26 mins,3.20%,-0.60%,3.90%,Lincoln County,12.50%,76.40%,N/A,N/A,96.30%,6.00%,4.9%,N/A,N/A,4.5,54.00%,39,N/A,39,13.7%,63.83,0,0,538
Thermopolis,Wyoming,2935,1230,None,8027993,90,34,56,11,61,235,22,39.8,26.5,5,10,20,48,25.34%,$41078,8.3%,N/A,N/A,$138300,N/A,N/A,56,62.80%,0%,8%,8%,86,17 mins,3.50%,-4.20%,-5.80%,Hot Springs County,15.50%,75.00%,N/A,N/A,97.74%,1.50%,0%,N/A,N/A,3.6,43.10%,62,N/A,N/A,13.3%,52.89,0,0,6
Torrington,Wyoming,6723,1451,None,8027993,90,40,50,14,69,224,32,48.7,31.8,10,19,24,35,24.49%,$43545,12.7%,N/A,N/A,$159100,N/A,N/A,49,59.80%,3%,8%,8%,87,18 mins,3.80%,-3.80%,7.00%,Goshen County,15.90%,76.20%,N/A,N/A,92.15%,11.90%,1.3%,N/A,N/A,4.9,47.20%,75,N/A,50,16.4%,412.09,0,2,0
Turnerville,Wyoming,112,23,None,8027993,80,27,53,20,110,212,112,35.9,24.4,4,10,13,68,N/A,$40833,0%,N/A,N/A,$203200,N/A,N/A,29,35.60%,-1%,9%,13%,96,26 mins,3.20%,-0.60%,-58.40%,Lincoln County,12.50%,76.40%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.5,32.10%,0,N/A,25,N/A,0.00,0,0,468
Upton,Wyoming,903,305,None,8027993,87,33,54,15,65,224,41,45.4,29.9,8,15,19,45,22.97%,$54267,17.5%,N/A,N/A,$119700,N/A,N/A,42,54.00%,-1%,12%,8%,90,0 mins,3.20%,-2.00%,5.40%,Weston County,8.50%,86.00%,N/A,N/A,93.40%,4.90%,0.5%,N/A,N/A,4.6,38.90%,40,N/A,N/A,18.3%,42.06,N/A,1,2
Urie,Wyoming,561,315,Evanston,16858,82,31,51,9,64,227,40,34.7,23.3,9,14,17,46,N/A,$87857,0%,N/A,N/A,$285600,N/A,N/A,38,100.00%,0%,11%,12%,96,19 mins,4.00%,-2.70%,183.30%,Uinta County,14.20%,72.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,54.90%,14,N/A,N/A,9.0%,0.00,0,0,14
Van Tassell,Wyoming,14,8,None,8027993,87,37,50,17,78,228,41,45.4,29.6,10,15,18,60,N/A,$53750,50%,N/A,N/A,$219500,N/A,N/A,15,85.70%,-1%,11%,8%,94,5 mins,2.90%,-2.60%,180.00%,Niobrara County,8.80%,84.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.9,25.00%,0,N/A,N/A,9.0%,1,0,1,4
Veteran,Wyoming,71,53,None,8027993,90,41,49,14,71,228,35,47.4,31.1,10,19,24,18,N/A,$0,0%,N/A,N/A,$170500,N/A,N/A,45,0.00%,3%,8%,8%,93,18 mins,3.80%,-3.80%,22.40%,Goshen County,15.90%,76.20%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.9,45.50%,0,N/A,N/A,N/A,416.67,0,2,1
Vista West,Wyoming,1030,213,Casper,72826,88,36,52,13,80,218,70,39.8,27,N/A,11,13,48,N/A,$89271,0%,N/A,N/A,$350000,N/A,N/A,39,96.90%,5%,14%,11%,93,17 mins,3.90%,-1.40%,-10.40%,Natrona County,19.70%,70.60%,N/A,N/A,93.11%,N/A,0.8%,Mountain Standard Time,5237,4.9,33.10%,0,N/A,25,14.2%,0.00,0,1,4
Wamsutter,Wyoming,226,132,Rock Springs,43061,85,31,54,8,55,237,28,36.4,24.2,12,12,16,40,N/A,$67321,0%,N/A,N/A,$220700,N/A,N/A,32,22.40%,0%,16%,20%,93,20 mins,4.10%,-2.00%,-30.70%,Sweetwater County,18.90%,71.00%,4.09%,N/A,90.06%,8.00%,15%,N/A,N/A,4.6,31.10%,14,N/A,N/A,20.3%,88.24,0,0,1
Warren AFB,Wyoming,2208,459,Cheyenne,82593,84,39,45,17,92,234,58,44.7,29,N/A,15,19,21,46.61%,$46689,0%,N/A,N/A,$250900,N/A,N/A,30,1.00%,8%,26%,34%,90,15 mins,3.60%,-2.10%,-23.60%,Laramie County,28.20%,60.60%,2.97%,14.70%,72.60%,18.10%,3.3%,Mountain Standard Time,6115,4.7,46.20%,16,N/A,32,N/A,0.00,0,2,0
Washam,Wyoming,69,22,Rock Springs,43061,82,33,49,9,59,234,41,35.2,23.6,N/A,13,16,21,N/A,$0,N/A,N/A,N/A,$220200,N/A,N/A,38,0.00%,0%,17%,20%,92,20 mins,4.10%,-2.00%,27.80%,Sweetwater County,18.90%,71.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.6,53.60%,0,N/A,18,N/A,0.00,0,0,3
Wheatland,Wyoming,3617,883,None,8027993,88,40,48,15,71,229,42,45.3,30.3,11,14,36,44,16.53%,$34941,5.1%,N/A,N/A,$192500,N/A,N/A,44,65.60%,0%,10%,12%,94,16 mins,3.70%,-1.60%,0.70%,Platte County,15.90%,75.90%,2.70%,N/A,92.33%,10.60%,4.2%,N/A,N/A,4.6,40.20%,55,N/A,57,14.5%,96.69,0,1,1
Whiting,Wyoming,78,67,None,8027993,88,40,48,15,71,231,42,44.9,29.6,N/A,10,13,62,N/A,$115000,0%,N/A,N/A,$163900,N/A,N/A,41,100.00%,0%,10%,12%,94,16 mins,3.70%,-1.60%,-8.20%,Platte County,15.90%,75.90%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.6,44.90%,0,N/A,29,13.8%,0.00,0,1,1
Wilson,Wyoming,1991,86,Jackson,55341,81,27,54,20,110,209,108,34.9,23.5,4,10,13,46,N/A,$90319,0%,N/A,N/A,$1228200,N/A,N/A,29,53.50%,-1%,12%,8%,93,14 mins,2.00%,-1.60%,41.60%,Teton County,57.90%,31.10%,N/A,5.33%,94.67%,1.80%,5.3%,N/A,N/A,3.7,29.00%,21,N/A,N/A,13.6%,17.05,0,0,320
Woods Landing-Jelm,Wyoming,56,3,Laramie,32529,79,33,46,13,96,230,72,37.5,23,N/A,14,17,56,N/A,$13958,0%,N/A,N/A,$279000,N/A,N/A,49,43.80%,3%,12%,12%,97,12 mins,4.00%,-2.20%,-60.60%,Albany County,40.40%,44.60%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,5,27.10%,0,N/A,22,19.5%,0.00,0,0,0
Worland,Wyoming,5310,1158,None,8027993,89,31,58,8,61,208,23,43.1,28.7,6,9,20,38,22.99%,$38652,11.1%,N/A,N/A,$168600,N/A,N/A,52,65.10%,2%,12%,11%,76,14 mins,4.40%,-1.70%,-0.20%,Washakie County,13.90%,76.30%,N/A,N/A,88.01%,19.80%,2%,N/A,N/A,3.7,46.80%,75,N/A,57,16.1%,36.86,0,0,7
Wright,Wyoming,1851,649,Gillette,36180,86,33,53,14,85,209,51,43.3,29,10,14,18,30,22.00%,$80272,9.6%,N/A,N/A,$214400,N/A,N/A,27,48.40%,0%,10%,8%,87,19 mins,5.70%,-0.80%,0.40%,Campbell County,7.30%,86.70%,3.40%,N/A,92.81%,9.20%,6.3%,N/A,N/A,3.6,37.00%,30,N/A,N/A,16.0%,18.05,0,1,71
Y-O Ranch,Wyoming,62,26,None,8027993,88,40,48,15,71,231,42,44.9,29.6,N/A,10,11,54,N/A,$51852,26.7%,N/A,N/A,$183900,N/A,N/A,43,53.10%,0%,11%,13%,94,16 mins,3.70%,-1.60%,-73.60%,Platte County,15.90%,75.90%,N/A,N/A,100.00%,N/A,16.7%,N/A,N/A,4.6,0.00%,0,N/A,22,9.0%,0.00,0,1,1
Yoder,Wyoming,150,704,None,8027993,90,41,49,14,72,226,38,47.7,31.3,10,12,15,52,20.32%,$36250,3.6%,N/A,N/A,$95100,N/A,N/A,43,71.40%,3%,8%,8%,93,18 mins,3.80%,-3.80%,-46.80%,Goshen County,15.90%,76.20%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,4.9,46.40%,10,N/A,27,19.4%,0.00,0,2,0
