City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930
Grants Pass,Oregon,Josephine County,36687,3185,91,46,45,30,104,196,3,48.1,41.5,3,22,77,38,15.80%,$33240,$929,$280500,N/A,N/A,37,5%,52%,24%,37,15 mins,5.00%,1.10%,8.30%,30.20%,60.40%,1.17%,N/A,90.34%,9.50%,Grants Pass,Pacific Standard Time,942,3.2,47.50%,52.30%,40,19,45,14.6%,19.9%,4.5%,2.88,N/A
Grass Valley,Oregon,Sherman County,160,314,84,38,46,16,87,201,15,43.6,35.6,6,12,33,41,9.43%,$47500,$950,$135700,N/A,N/A,66,8%,39%,15%,91,22 mins,3.90%,-1.50%,55.30%,19.90%,72.00%,N/A,1.68%,90.50%,6.30%,None,N/A,N/A,3,47.40%,48.60%,14,N/A,N/A,23.8%,18.5%,5%,0.00,N/A
Green,Oregon,Douglas County,7453,1642,85,48,37,35,146,180,1,50.4,43.2,N/A,14,44,41,12.73%,$39817,$1027,$139200,N/A,N/A,25,8%,45%,18%,53,19 mins,5.40%,0.00%,-4.60%,26.30%,64.60%,N/A,N/A,92.44%,8.70%,Roseburg,N/A,N/A,3.1,69.60%,47.40%,15,20,28,12.4%,21.9%,2.4%,0.00,N/A
Gresham,Oregon,Multnomah County,110336,4725,81,45,36,56,164,144,3,52.3,43.8,5,20,52,35,22.32%,$47706,$1178,$444900,1823,$244,37,5%,56%,41%,27,29 mins,4.10%,0.90%,8.80%,73.30%,17.00%,4.59%,4.81%,78.77%,19.60%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,51.00%,52.40%,45,40,65,14.2%,21.8%,16.2%,0.83,N/A
Haines,Oregon,Baker County,404,534,84,35,49,15,106,200,43,40.9,32.8,5,11,30,54,10.04%,$40536,$610,$143500,N/A,N/A,44,8%,42%,15%,96,16 mins,4.60%,-0.60%,19.50%,20.50%,70.80%,N/A,N/A,95.47%,1.00%,None,N/A,N/A,3.9,60.10%,44.90%,22,N/A,38,15.7%,21.0%,0%,0.00,N/A
Halfway,Oregon,Baker County,313,835,91,34,57,20,95,197,57,40.1,32.3,4,12,33,52,18.40%,$22788,$692,$155500,N/A,N/A,41,8%,41%,15%,92,16 mins,4.60%,-0.60%,-18.90%,20.50%,70.80%,N/A,N/A,91.72%,N/A,None,N/A,N/A,3.9,39.10%,51.50%,37,N/A,38,5%,17.7%,0%,0.00,N/A
Halsey,Oregon,Linn County,981,1752,83,46,37,45,152,159,3,51.5,44.2,4,10,26,36,13.15%,$51250,$975,$201000,N/A,N/A,43,12%,57%,41%,75,22 mins,5.00%,1.40%,7.70%,30.60%,57.00%,N/A,N/A,94.55%,8.20%,Albany,Pacific Standard Time,213,3,74.40%,38.10%,32,N/A,47,14.8%,21.1%,0.7%,0.00,N/A
Happy Valley,Oregon,Clackamas County,18477,2082,82,46,36,48,156,142,2,52.4,44.1,5,9,31,38,54.69%,$100438,$1598,$513900,N/A,N/A,15,5%,46%,43%,36,30 mins,3.90%,0.90%,46.80%,47.70%,41.30%,19.38%,N/A,72.80%,6.50%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,81.80%,37.30%,18,N/A,44,1.7%,18.7%,15.9%,1.42,N/A
Harbor,Oregon,Curry County,1973,1028,68,54,14,84,126,194,1,52.4,46.1,9,13,34,66,16.99%,$28225,$855,$125500,N/A,N/A,30,8%,35%,14%,88,14 mins,5.00%,-0.70%,-10.80%,34.10%,57.20%,N/A,N/A,91.93%,3.00%,Brookings,N/A,N/A,3.1,69.00%,63.40%,47,N/A,39,17.7%,16.7%,0.9%,0.00,N/A
Harper,Oregon,Malheur County,119,17,92,37,55,10,69,211,15,41.6,33,5,11,29,41,20.29%,$20625,$460,$137900,N/A,N/A,59,9%,43%,21%,89,18 mins,4.80%,-0.90%,-22.20%,21.50%,68.90%,N/A,N/A,99.26%,3.40%,Ontario,N/A,N/A,4,59.30%,31.00%,18,N/A,N/A,6.1%,9.0%,0.8%,0.00,N/A
Hayesville,Oregon,Marion County,21658,7153,81,46,35,42,148,156,3,51.9,44.2,N/A,17,56,32,14.91%,$41059,$941,$345000,1554,$222,38,11%,70%,41%,32,25 mins,4.50%,-0.10%,9.90%,42.20%,46.30%,3.04%,4.42%,65.81%,43.90%,Salem,Pacific Standard Time,196,2.9,47.20%,50.20%,36,35,61,16.4%,20.0%,22%,0.00,N/A
Hebo,Oregon,Tillamook County,194,119,71,49,22,76,169,141,1,52,44.9,4,7,19,63,N/A,$43185,N/A,$241700,N/A,N/A,53,7%,38%,16%,91,18 mins,4.00%,0.20%,-26.50%,41.80%,47.40%,N/A,N/A,100.00%,N/A,None,N/A,N/A,2.9,69.90%,12.40%,9,N/A,N/A,0%,22.5%,0%,0.00,N/A
Helix,Oregon,Umatilla County,156,1209,89,38,51,18,109,196,21,43.2,36.4,6,9,25,35,21.92%,$48958,$1304,$185500,N/A,N/A,48,11%,38%,26%,86,18 mins,6.30%,-0.20%,20.90%,27.80%,61.80%,N/A,N/A,94.21%,5.10%,Hermiston-Pendleton,N/A,N/A,3.2,56.50%,36.40%,10,N/A,32,2.5%,22.1%,0%,0.00,0
Heppner,Oregon,Morrow County,1162,945,88,42,46,14,85,194,13,42.3,36,8,9,32,43,14.32%,$34250,$531,$117100,N/A,N/A,70,8%,41%,15%,94,20 mins,5.50%,-0.40%,-21.60%,24.40%,65.30%,N/A,1.26%,96.58%,5.30%,Hermiston-Pendleton,N/A,N/A,2.9,49.60%,34.10%,44,N/A,N/A,7.9%,14.7%,1.3%,0.00,N/A
Hermiston,Oregon,Umatilla County,17241,2103,89,40,49,10,78,189,2,47.6,38.8,7,16,41,30,17.60%,$46655,$760,$206900,N/A,N/A,36,11%,39%,30%,72,17 mins,6.30%,-0.20%,7.70%,27.80%,61.80%,N/A,N/A,87.94%,36.70%,Hermiston-Pendleton,N/A,N/A,3.2,57.30%,46.10%,43,N/A,43,15.3%,18.3%,15.8%,3.00,0
Hillsboro,Oregon,Washington County,102396,3986,82,47,35,39,156,142,3,52.4,44.1,4,16,32,34,41.98%,$66668,$1453,$459900,1742,$264,23,6%,55%,49%,43,23 mins,3.40%,0.90%,16.20%,56.90%,30.90%,12.40%,2.24%,68.83%,23.20%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,50.60%,44.20%,44,39,72,7%,19.9%,20%,2.52,0
Hines,Oregon,Harney County,1534,738,86,37,49,10,70,214,22,34.3,28.5,8,19,32,46,20.73%,$26250,$766,$143400,N/A,N/A,54,8%,40%,16%,92,15 mins,4.60%,0.00%,-13.40%,17.20%,73.30%,N/A,N/A,93.53%,1.00%,None,N/A,N/A,3.8,70.30%,45.00%,N/A,N/A,N/A,6.6%,14.6%,0.7%,0.00,0
Holley,Oregon,Linn County,271,96,83,47,36,51,165,157,2,51.3,43.9,N/A,13,34,44,10.67%,$49643,$950,$298200,N/A,N/A,39,11%,58%,40%,75,22 mins,5.00%,1.40%,-42.60%,30.60%,57.00%,N/A,2.74%,90.80%,N/A,Albany,Pacific Standard Time,213,3,67.60%,52.70%,9,N/A,18,0%,15.2%,3.3%,0.00,0
Hood River,Oregon,Hood River County,7526,2896,85,41,44,22,114,144,17,50.4,41.1,5,8,36,34,41.16%,$49350,$1142,$449700,N/A,N/A,39,8%,48%,34%,64,16 mins,3.30%,1.00%,9.40%,59.70%,30.00%,1.26%,1.37%,93.13%,28.10%,Hood River,N/A,N/A,3,46.70%,56.20%,82,N/A,52,9.1%,17.7%,9.3%,0.00,0
Hubbard,Oregon,Marion County,3321,4658,82,46,36,43,140,156,1,52.5,44.5,5,8,16,29,18.57%,$48479,$1306,$425000,1800,$236,34,10%,68%,39%,57,25 mins,4.50%,-0.10%,8.40%,42.20%,46.30%,N/A,N/A,84.55%,34.40%,Salem,Pacific Standard Time,196,2.9,67.50%,37.50%,56,N/A,39,4.8%,22.1%,17%,0.00,0
Huntington,Oregon,Baker County,324,433,93,35,58,16,81,194,34,42.1,33.6,4,11,29,54,10.12%,$33929,$539,$98200,N/A,N/A,78,8%,39%,15%,88,16 mins,4.60%,-0.60%,-40.10%,20.50%,70.80%,1.23%,N/A,94.10%,2.80%,None,N/A,N/A,3.9,52.30%,49.00%,26,N/A,42,11.4%,15.3%,4.4%,0.00,0
Idanha,Oregon,Marion County,186,174,81,38,43,56,167,158,77,46.4,39,5,13,35,52,4.26%,$33438,$767,$139000,N/A,N/A,69,10%,63%,40%,76,23 mins,4.50%,-0.10%,-1.60%,42.20%,46.30%,N/A,N/A,91.98%,2.20%,Albany,Pacific Standard Time,213,2.9,49.00%,48.50%,7,N/A,4,0%,21.3%,0%,41.84,0
Idaville,Oregon,Tillamook County,296,607,70,50,20,94,178,134,1,53.1,45.9,N/A,10,26,61,N/A,$24306,N/A,$23100,N/A,N/A,43,7%,38%,16%,93,18 mins,4.00%,0.20%,-32.70%,41.80%,47.40%,N/A,N/A,78.21%,N/A,None,N/A,N/A,2.9,57.30%,26.40%,13,N/A,34,11%,21.3%,0%,0.00,0
Imbler,Oregon,Union County,338,1565,86,38,48,19,113,190,26,41.5,34.1,5,10,25,36,25.21%,$45250,$939,$242100,N/A,N/A,45,10%,44%,26%,92,25 mins,4.60%,-0.30%,64.10%,25.10%,65.00%,N/A,1.19%,98.22%,N/A,La Grande,N/A,N/A,3.9,79.20%,44.10%,17,N/A,N/A,6.7%,18.0%,0%,0.00,0
Independence,Oregon,Polk County,9246,3218,83,46,37,43,149,159,4,51.7,44.3,4,17,33,27,19.86%,$40904,$1048,$261900,N/A,N/A,22,9%,59%,39%,74,26 mins,4.80%,-0.10%,12.60%,40.70%,47.00%,N/A,N/A,88.27%,32.80%,Salem,Pacific Standard Time,196,3,52.70%,48.30%,76,N/A,62,10.6%,19.9%,12.2%,0.00,0
Ione,Oregon,Morrow County,271,390,86,40,46,13,80,191,11,45.4,37.6,8,9,25,48,9.81%,$53750,$967,$149000,N/A,N/A,54,8%,42%,15%,94,20 mins,5.50%,-0.40%,3.40%,24.40%,65.30%,N/A,N/A,87.63%,21.00%,Hermiston-Pendleton,N/A,N/A,2.9,53.70%,42.20%,23,N/A,N/A,11.2%,12.5%,13.6%,30.96,N/A
Irrigon,Oregon,Morrow County,2069,1594,89,40,49,9,76,195,2,48.6,39.3,7,11,28,33,6.06%,$49671,$787,$124200,N/A,N/A,26,8%,42%,15%,86,23 mins,5.50%,-0.40%,7.60%,24.40%,65.30%,1.56%,N/A,75.79%,43.90%,Hermiston-Pendleton,N/A,N/A,2.9,67.70%,41.00%,32,N/A,33,10.9%,14.5%,20.5%,4.45,0
Island City,Oregon,Union County,1208,1228,86,38,48,18,110,190,23,41.1,33.6,5,9,24,45,25.46%,$53750,$963,$193700,N/A,N/A,39,10%,44%,26%,81,18 mins,4.60%,-0.30%,17.10%,25.10%,65.00%,1.57%,N/A,90.41%,2.60%,La Grande,N/A,N/A,3.9,78.00%,36.20%,44,N/A,N/A,7.6%,16.8%,4.5%,0.00,0
Jacksonville,Oregon,Jackson County,2864,1514,89,47,42,23,110,199,4,44.9,37.8,4,7,20,61,51.47%,$45179,$1147,$429400,N/A,N/A,31,6%,48%,28%,68,21 mins,5.30%,1.50%,5.20%,40.70%,49.30%,N/A,N/A,97.61%,1.80%,Medford,Pacific Standard Time,1298,3.2,52.90%,34.60%,66,N/A,46,6.3%,18.1%,6.1%,0.00,0
Jeffers Gardens,Oregon,Clatsop County,285,504,68,48,20,86,190,126,1,53.6,45.8,N/A,12,33,49,28.14%,$41667,$990,$166700,N/A,N/A,67,9%,40%,16%,93,19 mins,3.80%,0.00%,-22.60%,47.10%,41.40%,3.45%,N/A,91.38%,3.50%,Astoria,N/A,N/A,3,69.70%,71.00%,12,N/A,39,0%,13.3%,3.6%,0.00,0
Jefferson,Oregon,Marion County,3238,3792,83,46,37,47,158,153,4,51.6,44.2,4,14,44,37,16.50%,$45781,$867,$349800,1416,$247,32,10%,59%,41%,67,24 mins,4.50%,-0.10%,8.40%,42.20%,46.30%,N/A,N/A,85.94%,27.30%,Salem,Pacific Standard Time,196,2.9,64.00%,46.70%,57,N/A,51,11.7%,16.9%,8.1%,0.00,0
John Day,Oregon,Grant County,2071,961,87,41,46,15,105,206,21,39.1,33.1,5,7,43,36,25.16%,$32614,$746,$144800,N/A,N/A,46,8%,41%,16%,92,17 mins,5.00%,-1.60%,1.80%,17.00%,74.00%,1.83%,N/A,92.65%,4.90%,None,N/A,N/A,3.9,55.10%,51.30%,47,N/A,40,11.4%,16.5%,2.3%,0.00,0
Johnson City,Oregon,Clackamas County,508,7257,82,46,36,43,147,141,2,51.4,43.2,5,12,31,56,N/A,$33269,N/A,$30500,N/A,N/A,30,5%,53%,44%,23,28 mins,3.90%,0.90%,-34.40%,47.70%,41.30%,N/A,1.95%,94.75%,7.30%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,93.40%,59.20%,N/A,N/A,N/A,11.3%,22.1%,6.4%,0.00,0
Jordan Valley,Oregon,Malheur County,138,66,88,38,50,11,77,214,11,33.3,28.1,7,11,31,54,16.82%,$38438,$600,$116500,N/A,N/A,41,9%,45%,21%,89,18 mins,4.80%,-0.90%,-11.50%,21.50%,68.90%,N/A,N/A,100.00%,2.20%,Ontario,N/A,N/A,4,32.90%,41.40%,17,N/A,38,11.5%,16.2%,2.6%,0.00,0
Joseph,Oregon,Wallowa County,1064,1157,81,34,47,17,121,173,52,38.5,30,5,12,31,57,22.02%,$38438,$735,$279200,N/A,N/A,38,8%,40%,16%,96,16 mins,4.60%,-1.90%,18.80%,25.60%,65.20%,N/A,N/A,97.88%,3.40%,None,N/A,N/A,4.1,55.80%,44.90%,50,N/A,N/A,22%,21.0%,2.5%,0.00,0
Junction City,Oregon,Lane County,5819,1774,83,46,37,47,152,155,5,51.1,44.2,4,8,14,35,21.22%,$40625,$769,$425000,1693,$251,41,6%,46%,26%,71,22 mins,4.60%,1.10%,8.60%,53.50%,35.00%,N/A,N/A,91.84%,13.10%,Eugene,Pacific Standard Time,373,3.1,56.60%,49.20%,81,N/A,74,10.8%,22.5%,4.3%,1.84,0
Juntura,Oregon,Malheur County,33,14,89,36,53,11,81,211,38,38.9,31.6,6,15,39,30,4.17%,$31250,$575,$131100,N/A,N/A,42,9%,44%,20%,89,18 mins,4.80%,-0.90%,-28.30%,21.50%,68.90%,N/A,N/A,100.00%,N/A,Ontario,N/A,N/A,4,30.00%,45.80%,16,N/A,29,0%,9.0%,0%,0.00,0
Keizer,Oregon,Marion County,37910,5302,83,46,37,40,137,153,4,51.8,44.2,5,15,32,37,27.00%,$50897,$1056,$393500,1772,$222,35,10%,68%,41%,48,22 mins,4.50%,-0.10%,6.10%,42.20%,46.30%,1.77%,N/A,85.17%,20.30%,Salem,Pacific Standard Time,196,2.9,56.50%,48.50%,35,32,58,9.3%,19.1%,9%,1.36,0
Kerby,Oregon,Josephine County,874,339,92,48,44,44,103,194,7,47.2,40.6,3,16,43,32,N/A,$13769,N/A,$273400,N/A,N/A,30,5%,51%,23%,88,20 mins,5.30%,1.10%,86.00%,30.20%,60.40%,N/A,N/A,86.85%,31.10%,Grants Pass,Pacific Standard Time,942,3.2,79.60%,91.10%,7,N/A,N/A,41.1%,20.2%,0%,25.19,N/A
King City,Oregon,Washington County,3715,5013,81,47,34,41,153,143,2,52.3,43.9,4,8,21,58,40.53%,$33662,$1435,$375300,1410,$266,42,4%,48%,45%,38,23 mins,3.50%,0.90%,22.90%,56.90%,30.90%,4.13%,3.27%,85.91%,10.00%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,80.00%,55.70%,56,N/A,N/A,12.8%,25.4%,15.3%,0.00,0
Kirkpatrick,Oregon,Umatilla County,136,38,89,40,49,14,103,192,15,44,36.4,N/A,10,28,35,N/A,$85000,N/A,$220500,N/A,N/A,36,10%,38%,27%,90,18 mins,6.30%,-0.20%,-36.20%,27.80%,61.80%,N/A,N/A,32.59%,N/A,Hermiston-Pendleton,N/A,N/A,3.2,80.80%,53.40%,0,N/A,21,16.7%,13.2%,0%,0.00,0
Klamath Falls,Oregon,Klamath County,21113,1054,86,40,46,16,95,218,38,41,32.5,5,26,54,34,21.81%,$33604,$765,$168300,N/A,N/A,53,8%,37%,10%,62,13 mins,6.00%,-0.40%,1.20%,23.60%,67.00%,N/A,1.59%,85.70%,13.20%,Klamath Falls,N/A,N/A,3.2,41.00%,54.30%,39,23,44,18.7%,17.7%,4.1%,3.82,0
La Grande,Oregon,Union County,12999,2856,86,38,48,18,110,192,23,40.6,33.3,5,10,38,34,25.92%,$36536,$789,$177800,N/A,N/A,47,11%,41%,24%,77,18 mins,4.60%,-0.30%,0.90%,25.10%,65.00%,1.04%,1.19%,88.58%,4.20%,La Grande,N/A,N/A,3.9,46.00%,55.20%,80,N/A,68,15.4%,17.3%,4.2%,2.30,0
La Pine,Oregon,Deschutes County,1957,281,82,37,45,23,110,157,95,38.4,30.7,5,13,35,45,14.22%,$29398,$1023,$250200,N/A,N/A,24,11%,77%,58%,88,23 mins,3.90%,2.60%,16.60%,43.10%,46.40%,N/A,N/A,93.51%,3.80%,Bend-Redmond,Pacific Standard Time,3623,3.2,41.30%,50.40%,49,N/A,49,16.4%,19.3%,4.4%,53.86,0
Labish Village,Oregon,Marion County,329,6093,81,46,35,42,148,156,3,51.5,43.7,N/A,9,24,35,N/A,$36607,N/A,$205100,N/A,N/A,43,10%,63%,38%,64,23 mins,4.50%,-0.10%,38.80%,42.20%,46.30%,N/A,N/A,74.52%,75.40%,Salem,Pacific Standard Time,196,2.9,78.00%,49.60%,27,0,32,18.5%,29.5%,28.5%,0.00,0
Lacomb,Oregon,Linn County,819,206,83,47,36,50,156,157,2,51.3,43.9,N/A,9,25,26,N/A,$41835,N/A,$377900,N/A,N/A,40,12%,60%,39%,77,22 mins,5.00%,1.40%,112.70%,30.60%,57.00%,N/A,N/A,90.44%,N/A,Albany,Pacific Standard Time,213,3,86.80%,23.50%,12,N/A,21,11.3%,21.0%,0.9%,0.00,0
Lafayette,Oregon,Yamhill County,3992,4615,82,46,36,42,144,156,3,51.9,44.2,4,12,36,36,13.72%,$53811,$1097,$302900,N/A,N/A,18,8%,62%,48%,66,27 mins,4.00%,0.90%,12.60%,39.60%,47.70%,N/A,N/A,86.79%,34.90%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,85.00%,41.40%,60,N/A,39,7.1%,23.6%,17.3%,0.00,0
Lake Oswego,Oregon,Clackamas County,38212,3546,82,47,35,42,147,141,2,52.7,44.4,5,8,22,46,71.40%,$84244,$1614,$866300,2489,$348,36,3%,49%,39%,28,24 mins,3.20%,0.90%,4.40%,47.70%,41.30%,6.14%,1.04%,85.79%,4.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,70.20%,38.80%,37,26,48,2.3%,18.6%,10.5%,N/A,N/A
Lakeside,Oregon,Coos County,1874,937,67,50,17,69,157,186,0,52.5,46,7,10,27,57,9.12%,$41037,$732,$176400,N/A,N/A,35,12%,45%,24%,85,19 mins,5.50%,-0.30%,25.60%,33.40%,57.10%,N/A,N/A,96.43%,1.00%,Coos Bay,N/A,N/A,3.3,64.60%,33.20%,38,N/A,N/A,5.7%,19.0%,2.4%,13.85,0
Lakeview,Oregon,Lake County,2768,1138,86,40,46,14,77,213,45,34.6,29.2,7,23,22,39,20.59%,$38067,$768,$147700,N/A,N/A,59,8%,42%,15%,91,0 mins,4.90%,-0.40%,-7.70%,16.30%,76.90%,1.67%,N/A,88.21%,12.70%,None,N/A,N/A,3.2,54.10%,50.10%,62,N/A,57,20.6%,18.1%,4.7%,0.00,0
Langlois,Oregon,Curry County,76,53,69,54,15,86,150,194,0,52.8,46.7,5,8,24,53,N/A,$35912,N/A,$314900,N/A,N/A,62,8%,37%,13%,94,14 mins,5.00%,-0.70%,-47.60%,34.10%,57.20%,N/A,N/A,100.00%,N/A,Brookings,N/A,N/A,3.1,56.40%,32.90%,27,N/A,33,0%,N/A,0%,0.00,0
Lebanon,Oregon,Linn County,16336,2343,83,47,36,50,156,157,2,51.6,44.1,4,13,57,37,16.08%,$40791,$938,$220500,N/A,N/A,42,13%,61%,47%,59,20 mins,5.00%,1.40%,8.40%,30.60%,57.00%,1.22%,N/A,91.15%,6.80%,Albany,Pacific Standard Time,213,3,49.00%,49.40%,83,N/A,80,13.4%,22.1%,4.2%,3.87,0
Lexington,Oregon,Morrow County,189,432,87,41,46,13,80,192,13,44.7,37.2,8,10,27,37,N/A,$45313,N/A,$130500,N/A,N/A,78,8%,39%,16%,94,20 mins,5.50%,-0.40%,-18.50%,24.40%,65.30%,N/A,N/A,89.04%,N/A,Hermiston-Pendleton,N/A,N/A,2.9,81.00%,44.30%,17,N/A,N/A,9.8%,21.6%,0%,0.00,0
Lincoln Beach,Oregon,Lincoln County,1571,486,69,49,20,81,178,154,1,53.7,47.2,N/A,11,30,63,33.95%,$47824,$680,$291900,N/A,N/A,32,10%,43%,15%,90,18 mins,4.50%,-0.20%,-33.50%,49.50%,39.70%,2.03%,N/A,94.16%,3.40%,Newport,N/A,N/A,2.9,35.80%,50.30%,38,N/A,33,4.2%,15.5%,6.8%,0.00,0
Lincoln City,Oregon,Lincoln County,8541,1411,69,49,20,82,179,157,1,53.1,46.7,8,34,70,48,25.50%,$35524,$933,$295000,N/A,N/A,41,11%,44%,15%,86,16 mins,4.50%,-0.20%,8.30%,49.50%,39.70%,2.84%,N/A,87.70%,12.70%,Newport,N/A,N/A,2.9,30.60%,52.20%,66,N/A,31,15.4%,23.6%,7%,2.52,0
Lonerock,Oregon,Gilliam County,17,17,85,40,45,14,91,195,18,44.6,36.6,N/A,15,38,73,N/A,$17917,N/A,$100600,N/A,N/A,78,8%,42%,15%,92,17 mins,3.90%,-0.40%,-51.40%,23.50%,65.80%,N/A,N/A,100.00%,N/A,None,N/A,N/A,2.9,31.30%,52.90%,0,N/A,5,0%,14.2%,0%,0.00,0
Long Creek,Oregon,Grant County,163,159,82,37,45,17,109,210,53,38.7,32.5,5,10,28,48,N/A,$36042,N/A,$125500,N/A,N/A,57,8%,41%,15%,93,17 mins,5.00%,-1.60%,-25.90%,17.00%,74.00%,N/A,N/A,97.97%,1.20%,None,N/A,N/A,3.9,52.10%,27.70%,0,N/A,N/A,22%,14.3%,0.6%,0.00,0
Lookingglass,Oregon,Douglas County,946,82,85,48,37,35,146,179,1,50.4,43.2,3,11,31,52,13.04%,$52935,$388,$265700,N/A,N/A,51,9%,45%,18%,81,19 mins,5.40%,0.00%,-6.90%,26.30%,64.60%,N/A,N/A,82.23%,N/A,Roseburg,N/A,N/A,3.1,62.00%,52.20%,13,N/A,29,4.4%,17.1%,0%,0.00,0
Lostine,Oregon,Wallowa County,250,871,84,35,49,17,111,169,44,39,30.8,5,9,24,41,8.04%,$45417,$680,$180800,N/A,N/A,46,8%,40%,15%,92,16 mins,4.60%,-1.90%,-24.50%,25.60%,65.20%,N/A,N/A,98.37%,3.20%,None,N/A,N/A,4.1,64.20%,28.60%,13,N/A,51,2.5%,12.5%,1.8%,0.00,0
Lowell,Oregon,Lane County,1240,1434,81,46,35,53,162,158,2,50.9,43.6,4,9,23,39,18.22%,$46125,$944,$425000,1976,$215,24,7%,48%,28%,75,27 mins,4.60%,1.10%,50.90%,53.50%,35.00%,1.84%,N/A,91.30%,8.20%,Eugene,Pacific Standard Time,373,3.1,75.10%,43.40%,14,N/A,N/A,6.1%,20.0%,4.9%,0.00,0
Lyons,Oregon,Linn County,1253,1442,78,44,34,60,166,159,4,51,43.5,5,10,26,42,14.34%,$56912,$794,$297400,N/A,N/A,40,7%,55%,38%,76,28 mins,5.00%,1.40%,20.30%,30.60%,57.00%,1.04%,N/A,83.76%,1.80%,Albany,Pacific Standard Time,213,3,70.50%,37.20%,38,N/A,42,8.5%,18.9%,0.8%,0.00,0
Madras,Oregon,Jefferson County,6552,1050,85,40,45,11,77,153,14,42.9,35.2,5,23,54,33,17.49%,$40631,$815,$170900,N/A,N/A,38,9%,46%,17%,68,18 mins,4.80%,1.50%,8.60%,31.50%,58.00%,1.20%,1.05%,72.98%,39.70%,None,N/A,N/A,3,38.30%,60.90%,77,N/A,81,16.6%,18.4%,13.5%,3.22,0
Malin,Oregon,Klamath County,889,1782,84,40,44,13,87,218,25,40.3,32.9,5,10,6,33,8.07%,$32981,$643,$101600,N/A,N/A,41,10%,36%,12%,89,16 mins,6.00%,-0.40%,46.70%,23.60%,67.00%,N/A,3.78%,82.98%,64.70%,Klamath Falls,N/A,N/A,3.2,60.90%,40.70%,21,N/A,38,11.3%,12.5%,35.1%,0.00,0
Manzanita,Oregon,Tillamook County,263,320,68,50,18,95,186,135,1,53.7,46.4,7,8,27,66,53.44%,$48036,$1050,$416400,N/A,N/A,31,7%,40%,16%,92,18 mins,4.00%,0.20%,-26.70%,41.80%,47.40%,2.04%,N/A,96.18%,N/A,None,N/A,N/A,2.9,14.00%,32.30%,59,N/A,N/A,0%,20.6%,10.5%,0.00,0
Marion,Oregon,Marion County,358,312,81,46,35,47,160,156,4,51.5,43.7,4,9,23,38,N/A,$45823,N/A,$217500,N/A,N/A,58,10%,67%,39%,71,23 mins,4.50%,-0.10%,0.60%,42.20%,46.30%,N/A,N/A,94.57%,N/A,Salem,Pacific Standard Time,196,2.9,67.00%,23.70%,2,N/A,32,10.9%,20.4%,0%,0.00,0
Maupin,Oregon,Wasco County,623,455,85,39,46,13,86,177,14,44.7,36.5,5,10,28,52,18.76%,$37917,$803,$205800,N/A,N/A,43,8%,47%,25%,89,23 mins,3.50%,-1.40%,66.60%,40.00%,48.80%,N/A,N/A,97.05%,N/A,The Dalles,N/A,N/A,2.8,45.90%,45.80%,38,N/A,27,0%,14.4%,0.4%,0.00,0
Maywood Park,Oregon,Multnomah County,1019,5924,81,45,36,41,158,144,3,52.7,44.1,5,8,23,42,43.99%,$71518,$1550,$499900,2474,$202,74,4%,54%,43%,19,26 mins,3.70%,0.90%,23.40%,73.30%,17.00%,3.42%,N/A,88.54%,12.10%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,83.60%,44.10%,60,58,77,4.6%,18.3%,7%,0.00,0
McMinnville,Oregon,Yamhill County,33211,3140,82,46,36,43,143,154,3,51.8,44.1,5,13,40,36,25.99%,$44451,$987,$321100,N/A,N/A,29,8%,62%,45%,49,22 mins,4.30%,0.90%,6.20%,39.60%,47.70%,1.23%,1.18%,85.96%,21.70%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,58.70%,48.30%,40,18,53,12.8%,19.3%,12.5%,3.09,0
Medford,Oregon,Jackson County,79246,3076,90,46,44,23,96,195,3,47.5,40.2,4,28,87,37,25.18%,$42366,$972,$277700,N/A,N/A,37,7%,50%,28%,32,16 mins,5.30%,1.50%,7.40%,40.70%,49.30%,1.48%,N/A,88.85%,15.90%,Medford,Pacific Standard Time,1298,3.2,48.20%,51.30%,37,25,54,14.6%,21.4%,7.7%,2.62,0
