City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930
Biggs Junction,Oregon,Sherman County,29,33,86,38,48,12,86,200,13,45.2,37.1,N/A,16,43,7,N/A,$0,N/A,$183800,N/A,N/A,63,8%,42%,15%,91,22 mins,3.90%,-1.50%,45.00%,19.90%,72.00%,N/A,N/A,N/A,N/A,None,N/A,N/A,3,0.56229,100.00%,28,N/A,9,N/A,N/A,0%,0.00,0
Black Butte Ranch,Oregon,Deschutes County,308,38,84,40,44,11,73,162,16,39.2,31.5,N/A,9,26,70,N/A,$73701,N/A,$779200,N/A,N/A,35,9%,67%,54%,85,18 mins,3.90%,2.60%,10.00%,43.10%,46.40%,N/A,N/A,100.00%,N/A,Bend-Redmond,Pacific Standard Time,3623,3.2,12.20%,50.60%,11,N/A,70,0%,28.1%,0%,0.00,0
Boardman,Oregon,Morrow County,3310,878,89,40,49,9,70,192,4,48.3,39.1,8,22,25,28,7.25%,$46438,$722,$153100,N/A,N/A,34,8%,42%,16%,86,19 mins,5.50%,-0.40%,5.10%,24.40%,65.30%,N/A,N/A,87.73%,61.40%,Hermiston-Pendleton,N/A,N/A,2.9,56.40%,47.60%,45,N/A,42,16.5%,14.3%,33.9%,3.10,0
Bonanza,Oregon,Klamath County,640,780,85,40,45,15,76,214,29,38.4,31.3,5,9,24,38,19.36%,$35109,$867,$147400,N/A,N/A,42,10%,36%,14%,93,16 mins,6.00%,-0.40%,39.40%,23.60%,67.00%,N/A,N/A,93.10%,18.10%,Klamath Falls,N/A,N/A,3.2,62.40%,34.50%,31,N/A,36,0%,18.6%,14.8%,0.00,0
Brogan,Oregon,Malheur County,196,69,91,37,54,11,69,211,21,41.4,33.1,5,9,26,32,N/A,$77692,N/A,$286200,N/A,N/A,78,9%,42%,19%,89,18 mins,4.80%,-0.90%,38.00%,21.50%,68.90%,N/A,N/A,100.00%,N/A,Ontario,N/A,N/A,4,33.30%,26.20%,0,N/A,N/A,0%,20.3%,0%,0.00,0
Brookings,Oregon,Curry County,6366,1535,68,54,14,84,126,191,1,52.1,45.9,9,9,20,49,25.41%,$41704,$981,$348400,N/A,N/A,34,7%,38%,14%,75,14 mins,5.00%,-0.70%,1.50%,34.10%,57.20%,N/A,1.12%,91.87%,7.90%,Brookings,N/A,N/A,3.1,49.10%,49.40%,74,N/A,56,7%,23.4%,4.8%,3.17,0
Brooks,Oregon,Marion County,791,1533,81,46,35,42,148,156,3,51.5,43.7,5,12,31,27,N/A,$49375,N/A,$303200,N/A,N/A,33,10%,64%,39%,64,23 mins,4.50%,-0.10%,130.60%,42.20%,46.30%,1.22%,N/A,98.78%,38.20%,Salem,Pacific Standard Time,196,2.9,89.40%,55.10%,32,16,35,8%,17.6%,11.8%,0.00,0
Brownsville,Oregon,Linn County,1683,1257,83,47,36,47,163,160,3,51.5,44.1,4,10,27,39,23.08%,$44861,$959,$256400,N/A,N/A,45,10%,59%,44%,77,30 mins,5.00%,1.40%,-5.90%,30.60%,57.00%,N/A,N/A,91.56%,4.90%,Albany,Pacific Standard Time,213,3,76.20%,43.60%,46,N/A,38,9.7%,20.9%,1.8%,6.56,0
Bull Mountain,Oregon,Washington County,9698,4966,81,47,34,41,151,143,2,52.3,43.9,N/A,9,28,39,54.30%,$95556,$1824,$600000,2419,$248,21,4%,51%,44%,42,28 mins,3.50%,0.90%,5.80%,56.90%,30.90%,10.15%,2.17%,83.45%,6.60%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,87.10%,37.20%,5,0,40,0.6%,20.1%,14.4%,0.00,0
Bunker Hill,Oregon,Coos County,1517,1040,68,52,16,64,153,185,0,52.6,46.1,N/A,15,39,31,7.36%,$21033,$892,$178900,N/A,N/A,41,10%,39%,18%,82,19 mins,5.50%,-0.30%,26.10%,33.40%,57.10%,N/A,N/A,61.46%,22.40%,Coos Bay,N/A,N/A,3.3,47.60%,52.90%,41,N/A,N/A,26.1%,21.9%,2.5%,0.00,0
Burns,Oregon,Harney County,2736,765,86,37,49,10,71,211,23,35.7,29.1,8,12,43,42,15.12%,$34952,$636,$86600,N/A,N/A,63,8%,40%,16%,92,15 mins,4.60%,0.00%,-2.50%,17.20%,73.30%,N/A,N/A,96.64%,5.40%,None,N/A,N/A,3.8,57.10%,48.10%,72,N/A,N/A,19.5%,14.2%,2.4%,0.00,0
Butte Falls,Oregon,Jackson County,432,1009,88,47,41,33,120,196,19,44.6,36.8,4,55,48,38,13.90%,$35208,$827,$161900,N/A,N/A,54,6%,51%,26%,82,18 mins,5.30%,1.50%,-17.40%,40.70%,49.30%,1.09%,N/A,93.99%,8.30%,Medford,Pacific Standard Time,1298,3.2,55.20%,64.10%,22,N/A,44,20.6%,24.4%,0.7%,0.00,0
Butteville,Oregon,Marion County,134,128,82,46,36,43,141,156,1,51.5,43.7,4,10,26,43,N/A,$128036,N/A,$710400,N/A,N/A,36,10%,63%,38%,62,23 mins,4.50%,-0.10%,16.50%,42.20%,46.30%,N/A,N/A,98.22%,N/A,Salem,Pacific Standard Time,196,2.9,76.80%,45.20%,10,N/A,N/A,0%,12.1%,5.4%,0.00,0
Camp Sherman,Oregon,Jefferson County,250,79,84,39,45,11,103,155,39,39.7,32.7,5,8,22,61,N/A,$58542,N/A,$487700,N/A,N/A,34,9%,44%,17%,82,20 mins,4.80%,1.50%,-2.70%,31.50%,58.00%,N/A,N/A,98.60%,10.00%,None,N/A,N/A,3,19.80%,18.00%,9,N/A,18,3.4%,13.4%,2.6%,0.00,0
Canby,Oregon,Clackamas County,17337,3870,82,46,36,43,148,140,2,52.6,44.5,5,12,23,36,26.44%,$58653,$1055,$380200,N/A,N/A,27,5%,57%,42%,44,26 mins,3.90%,0.90%,12.70%,47.70%,41.30%,2.06%,N/A,86.40%,17.50%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,2.8,65.60%,41.90%,88,N/A,86,7.1%,19.3%,10.2%,1.27,0
Cannon Beach,Oregon,Clatsop County,1517,966,68,48,20,92,185,124,1,54,46.3,8,14,37,49,30.68%,$44423,$839,$582500,N/A,N/A,33,9%,38%,14%,93,19 mins,3.80%,0.00%,38.70%,47.10%,41.40%,2.08%,N/A,84.57%,14.70%,Astoria,N/A,N/A,3,12.20%,52.00%,65,N/A,63,12.9%,25.0%,5.5%,0.00,0
Canyon City,Oregon,Grant County,832,591,87,40,47,14,101,207,22,36.9,30.5,5,10,27,37,28.00%,$36691,$592,$161300,N/A,N/A,60,8%,41%,15%,92,17 mins,5.00%,-1.60%,49.10%,17.00%,74.00%,N/A,1.00%,96.58%,1.80%,None,N/A,N/A,3.9,67.60%,40.50%,0,N/A,N/A,5.3%,19.0%,2.8%,0.00,0
Canyonville,Oregon,Douglas County,2043,1854,86,48,38,35,143,180,2,50,43.1,3,12,33,40,14.50%,$36429,$792,$142200,N/A,N/A,43,7%,31%,12%,79,19 mins,5.40%,0.00%,65.00%,26.30%,64.60%,1.20%,N/A,89.65%,4.50%,Roseburg,N/A,N/A,3.1,50.50%,40.50%,57,N/A,N/A,15.4%,16.8%,2.5%,4.91,0
Cape Meares,Oregon,Tillamook County,115,46,70,50,20,94,178,134,1,53.1,45.9,7,8,21,67,N/A,$51250,N/A,$380200,N/A,N/A,46,7%,40%,16%,89,18 mins,4.00%,0.20%,47.40%,41.80%,47.40%,N/A,N/A,100.00%,N/A,None,N/A,N/A,2.9,22.90%,27.80%,2,N/A,14,0%,9.0%,19.3%,0.00,0
Carlton,Oregon,Yamhill County,1937,2201,82,45,37,42,144,156,3,52,44.2,4,9,14,36,17.05%,$51685,$1239,$350100,N/A,N/A,41,9%,64%,52%,80,24 mins,4.00%,0.90%,11.40%,39.60%,47.70%,3.03%,N/A,87.43%,9.00%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,74.70%,42.50%,62,N/A,N/A,7.7%,23.4%,3.9%,0.00,0
Cascade Locks,Oregon,Hood River County,1289,620,81,43,38,67,166,146,13,51.9,43.5,5,11,31,44,15.34%,$36250,$1019,$231500,N/A,N/A,41,8%,49%,32%,91,17 mins,3.30%,1.00%,35.00%,59.70%,30.00%,4.28%,N/A,90.66%,6.50%,Hood River,N/A,N/A,3,54.50%,47.60%,42,N/A,36,8.2%,18.6%,5.1%,30.61,0
Cascadia,Oregon,Linn County,183,36,82,45,37,61,167,157,3,51,43.1,4,10,28,49,N/A,$48125,$1118,$380600,N/A,N/A,24,11%,60%,42%,78,22 mins,5.00%,1.40%,1043.80%,30.60%,57.00%,5.13%,N/A,88.03%,42.60%,Albany,Pacific Standard Time,213,3,16.40%,39.90%,2,N/A,N/A,0%,9.0%,3.1%,0.00,0
Cave Junction,Oregon,Josephine County,2229,1234,92,48,44,44,103,196,7,46.8,40.2,3,15,39,45,11.88%,$26172,$874,$199600,N/A,N/A,36,5%,52%,24%,88,20 mins,5.30%,1.10%,30.70%,30.20%,60.40%,2.34%,1.05%,95.93%,4.30%,Grants Pass,Pacific Standard Time,942,3.2,49.60%,56.60%,50,N/A,49,29.9%,25.5%,5.7%,5.50,0
Cayuse,Oregon,Umatilla County,77,27,89,40,49,14,103,192,15,44,36.4,6,12,33,48,N/A,$92500,N/A,$224800,N/A,N/A,58,10%,37%,26%,90,18 mins,6.30%,-0.20%,57.10%,27.80%,61.80%,N/A,N/A,75.56%,N/A,Hermiston-Pendleton,N/A,N/A,3.2,90.00%,69.10%,0,N/A,N/A,27.8%,13.9%,0%,0.00,0
Cedar Hills,Oregon,Washington County,8054,4255,81,47,34,41,155,141,2,52.3,43.9,N/A,12,38,38,48.50%,$65396,$1213,$537000,1593,$337,53,3%,50%,51%,28,23 mins,3.50%,0.90%,-3.20%,56.90%,30.90%,6.87%,N/A,86.30%,12.00%,Portland-Vancouver-Hillsboro,Pacific Standard Time,39,3,58.20%,51.60%,44,34,75,3.7%,15.7%,13.2%,0.00,0
