City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year
Mayville,Michigan,Tuscola County,853,792,82,29,53,33,127,169,36,57.3,38.5,9,16,22,43,12.36%,$36083,$623,$78100,N/A,N/A,64,12%,28%,14%,85,27 mins,6.20%,-0.20%,-20.10%,28.70%,66.00%,N/A,2.65%,96.35%,1.30%,None,N/A,N/A,3.2,61.40%,60.60%,49,N/A,39,9.2%,16.8%,0.7%,269.02,6,1
McBain,Michigan,Missaukee County,630,500,80,27,53,33,150,164,69,54.9,35.8,7,15,34,49,13.64%,$33542,$341,$104600,N/A,N/A,53,7%,30%,16%,89,15 mins,5.00%,0.40%,-9.60%,21.40%,73.60%,N/A,2.58%,91.96%,N/A,Cadillac,N/A,N/A,3.3,49.80%,57.30%,36,N/A,N/A,9.4%,15.7%,0.5%,169.27,3,1
McBride,Michigan,Montcalm County,172,443,83,29,54,34,113,163,54,57,38.2,N/A,15,32,48,7.38%,$33750,$769,$51500,N/A,N/A,67,12%,51%,43%,86,30 mins,5.30%,1.80%,22.00%,29.40%,63.20%,N/A,N/A,96.36%,N/A,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,62.90%,41.80%,0,N/A,46,32.1%,13.3%,0.5%,450.45,5,1
Meade township (Mason Cnty),Michigan,Mason County,201,5,80,30,50,35,137,163,90,N/A,N/A,N/A,12,27,48,N/A,$42500,N/A,$120600,N/A,N/A,34,9%,33%,20%,90,17 mins,5.10%,0.30%,111.60%,35.70%,57.50%,N/A,N/A,N/A,1.50%,Ludington,N/A,N/A,3.3,39.30%,49.10%,0,N/A,23,N/A,N/A,N/A,N/A,N/A,0
Mecosta,Michigan,Mecosta County,474,426,82,29,53,36,124,165,58,56,37.1,8,15,33,40,21.13%,$29028,$648,$98200,N/A,N/A,46,8%,31%,21%,87,23 mins,5.80%,0.20%,5.10%,33.80%,59.70%,N/A,1.80%,95.26%,4.20%,Big Rapids,N/A,N/A,3.3,69.40%,57.00%,16,N/A,34,20.7%,17.2%,0%,474.23,5,1
Mecosta township,Michigan,Mecosta County,2651,78,82,29,53,36,128,162,63,N/A,N/A,N/A,12,25,43,N/A,$41848,N/A,$127800,N/A,N/A,31,9%,34%,19%,86,27 mins,5.80%,0.20%,1.70%,33.80%,59.70%,N/A,N/A,N/A,N/A,Big Rapids,N/A,N/A,3.3,63.00%,45.00%,0,N/A,25,N/A,N/A,N/A,0.00,4,1
Medina,Michigan,Lenawee County,990,21,84,31,53,36,119,180,34,N/A,N/A,N/A,12,26,45,15.60%,$55909,$908,$106500,N/A,N/A,57,8%,35%,26%,82,29 mins,5.00%,0.80%,-9.50%,36.20%,57.10%,N/A,1.52%,97.36%,N/A,Adrian,N/A,N/A,3.4,72.60%,41.50%,0,N/A,21,N/A,N/A,N/A,N/A,N/A,2
Mellen,Michigan,Menominee County,1146,37,80,26,54,31,112,187,48,N/A,N/A,N/A,11,25,51,15.03%,$45563,$571,$121900,N/A,N/A,40,7%,30%,16%,89,26 mins,5.00%,-0.50%,-6.70%,32.70%,61.90%,N/A,N/A,97.72%,4.40%,Marinette,N/A,N/A,3.2,58.30%,41.50%,4,N/A,26,N/A,N/A,N/A,N/A,N/A,0
Melvin,Michigan,Sanilac County,163,168,82,30,52,32,111,174,36,57.3,38.3,9,15,33,46,4.73%,$41000,$767,$98600,N/A,N/A,56,9%,35%,20%,88,27 mins,5.60%,0.10%,-4.70%,25.30%,69.90%,N/A,N/A,96.74%,6.70%,None,N/A,N/A,3.2,83.60%,64.40%,12,N/A,25,19%,15.0%,0%,611.11,6,1
Melvindale,Michigan,Wayne County,10432,3831,84,33,51,34,126,183,34,58.9,40.2,9,31,37,33,12.51%,$33834,$856,$66700,N/A,N/A,61,8%,47%,27%,59,22 mins,6.50%,0.70%,-3.00%,66.40%,29.30%,1.62%,16.24%,68.16%,19.80%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,47.20%,56.90%,68,N/A,56,21.7%,15.0%,15.5%,47.95,4,1
Memphis,Michigan,Macomb County,1250,1114,82,30,52,33,127,176,37,58.4,39.7,N/A,24,21,38,12.90%,$43393,$723,$185300,N/A,N/A,63,14%,41%,29%,81,33 mins,5.00%,0.20%,10.40%,42.00%,53.60%,N/A,N/A,99.27%,1.40%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,61.30%,51.00%,36,N/A,36,4.2%,18.2%,0.9%,75.69,7,1
Mendon,Michigan,St. Joseph County,894,914,83,32,51,36,139,174,45,58.9,40.2,9,10,23,35,15.44%,$59167,$850,$134300,N/A,N/A,70,12%,32%,15%,82,21 mins,6.60%,0.60%,-3.90%,31.40%,62.10%,N/A,N/A,98.66%,2.90%,Sturgis,N/A,N/A,3.5,70.30%,43.00%,30,N/A,36,6.4%,15.1%,2.1%,212.05,7,2
Mendon township,Michigan,St. Joseph County,2688,77,83,32,51,37,139,174,45,N/A,N/A,N/A,12,26,42,N/A,$43266,N/A,$134300,N/A,N/A,45,12%,31%,15%,82,20 mins,6.60%,0.60%,-2.20%,31.40%,62.10%,N/A,N/A,N/A,2.00%,Sturgis,N/A,N/A,3.5,70.00%,42.90%,0,N/A,27,N/A,N/A,N/A,0.00,7,2
Menominee,Michigan,Menominee County,8298,1610,80,25,55,32,114,184,48,54.1,33.4,10,20,32,40,16.33%,$34836,$576,$83800,N/A,N/A,66,7%,30%,16%,68,15 mins,5.00%,-0.50%,-4.50%,32.70%,61.90%,N/A,N/A,96.29%,2.10%,Marinette,N/A,N/A,3.2,59.30%,55.30%,42,N/A,57,15.1%,15.9%,1.1%,77.88,1,1
Menominee township,Michigan,Menominee County,3403,47,80,25,55,32,114,187,47,N/A,N/A,N/A,9,18,54,N/A,$60114,N/A,$156300,N/A,N/A,45,7%,30%,15%,85,20 mins,5.00%,-0.50%,-4.50%,32.70%,61.90%,N/A,N/A,N/A,N/A,Marinette,N/A,N/A,3.2,80.10%,34.20%,0,N/A,25,N/A,N/A,N/A,0.00,1,0
Merrill,Michigan,Saginaw County,720,1036,82,30,52,32,128,171,41,57.4,38.7,8,13,28,37,15.95%,$43438,$711,$81000,N/A,N/A,64,7%,30%,17%,84,25 mins,5.70%,0.40%,-8.30%,46.80%,48.00%,N/A,N/A,94.48%,10.80%,Saginaw,Eastern Standard Time,595,3.3,77.00%,45.30%,37,N/A,39,10.9%,17.0%,1.7%,104.01,4,1
Merritt,Michigan,Bay County,1306,41,82,29,53,33,118,170,41,N/A,N/A,7,10,22,50,18.06%,$58438,$671,$103000,N/A,N/A,57,6%,23%,7%,80,28 mins,5.50%,0.30%,-7.40%,40.60%,53.20%,N/A,N/A,97.66%,1.20%,Bay City,Eastern Standard Time,595,3.3,84.30%,36.50%,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Mesick,Michigan,Wexford County,387,294,82,29,53,35,143,163,101,55.3,36.3,8,16,34,45,9.72%,$27250,$833,$67700,N/A,N/A,48,7%,30%,16%,91,21 mins,5.10%,1.20%,-14.80%,28.90%,65.10%,N/A,N/A,89.62%,1.30%,Cadillac,N/A,N/A,3.3,60.10%,48.10%,36,N/A,N/A,12.5%,19.5%,0.8%,603.62,2,1
Metamora,Michigan,Lapeer County,641,771,82,30,52,33,122,174,37,57.5,38.7,8,13,28,39,27.69%,$70156,$827,$248500,N/A,N/A,58,7%,37%,25%,83,30 mins,6.10%,0.10%,15.10%,28.20%,66.50%,1.22%,N/A,96.34%,5.80%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,73.40%,54.70%,25,N/A,36,5.9%,20.4%,1.1%,309.65,7,2
Metamora township,Michigan,Lapeer County,4258,124,82,30,52,33,122,172,37,N/A,N/A,N/A,10,19,48,N/A,$68766,N/A,$251600,N/A,N/A,38,8%,36%,25%,83,36 mins,6.10%,0.10%,-1.20%,28.20%,66.50%,N/A,N/A,N/A,3.30%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,76.90%,38.60%,0,N/A,18,N/A,N/A,N/A,0.00,7,2
Meyer,Michigan,Menominee County,1033,12,80,26,54,30,128,187,59,N/A,N/A,N/A,12,27,50,10.96%,$42813,$543,$96600,N/A,N/A,51,7%,30%,15%,91,23 mins,5.00%,-0.50%,26.90%,32.70%,61.90%,N/A,N/A,93.19%,1.00%,Marinette,N/A,N/A,3.2,48.90%,46.90%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Michiana,Michigan,Berrien County,185,507,82,31,51,40,139,172,54,59.5,40.4,10,5,31,66,N/A,$69583,N/A,$493500,N/A,N/A,57,11%,31%,17%,81,32 mins,5.00%,0.10%,22.50%,40.90%,53.70%,5.00%,N/A,92.00%,2.70%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,29.80%,30.60%,3,N/A,24,0%,19.6%,2.7%,0.00,7,1
Michigamme,Michigan,Marquette County,250,105,77,21,56,33,155,187,175,53,32.5,8,11,25,60,N/A,$43897,N/A,$107400,N/A,N/A,55,7%,34%,30%,95,17 mins,5.60%,0.00%,-12.90%,48.30%,44.10%,N/A,N/A,98.31%,2.80%,Marquette,N/A,N/A,3.1,42.00%,38.20%,9,N/A,N/A,7.2%,21.6%,0.8%,121.58,0,0
Michigamme township,Michigan,Marquette County,296,2,77,21,56,33,155,186,174,N/A,N/A,N/A,11,26,61,N/A,$43824,N/A,$120300,N/A,N/A,55,7%,35%,31%,95,17 mins,5.60%,0.00%,-15.90%,48.30%,44.10%,N/A,N/A,N/A,3.00%,Marquette,N/A,N/A,3.1,25.80%,36.50%,0,N/A,N/A,N/A,N/A,N/A,0.00,0,0
Michigan Center,Michigan,Jackson County,4707,934,83,31,52,34,123,179,37,58.3,39.4,8,13,24,43,17.88%,$37098,$817,$122000,N/A,N/A,51,10%,53%,22%,77,20 mins,4.90%,0.40%,-1.40%,36.80%,56.70%,N/A,1.06%,97.54%,3.40%,Jackson,Eastern Standard Time,841,3.2,78.90%,49.00%,32,N/A,N/A,5.6%,16.4%,1%,36.69,5,2
Middlebury,Michigan,Shiawassee County,1528,62,82,30,52,33,125,172,41,N/A,N/A,N/A,10,22,44,17.72%,$58636,$725,$137300,N/A,N/A,46,7%,31%,16%,84,29 mins,5.30%,0.80%,3.40%,36.80%,56.40%,2.58%,N/A,95.82%,4.70%,Owosso,N/A,N/A,3.2,85.90%,42.10%,0,N/A,27,N/A,N/A,N/A,N/A,N/A,2
Middletown,Michigan,Shiawassee County,686,1463,82,30,52,33,120,170,35,57.8,39.1,N/A,15,33,51,7.40%,$26439,$578,$66400,N/A,N/A,64,7%,30%,16%,76,27 mins,5.30%,0.80%,-30.90%,36.80%,56.40%,1.32%,N/A,95.80%,9.30%,Owosso,N/A,N/A,3.2,71.70%,53.80%,14,N/A,39,17.9%,16.4%,4.4%,0.00,7,2
Middleville,Michigan,Barry County,3362,1460,82,30,52,37,130,162,72,58.5,39.6,9,12,24,29,20.64%,$49716,$1015,$211700,N/A,N/A,38,10%,51%,48%,81,23 mins,4.10%,1.90%,2.80%,29.90%,62.90%,N/A,N/A,97.48%,7.20%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,71.20%,43.90%,37,N/A,54,5.1%,17.4%,0.4%,90.83,6,2
Midland,Michigan,Midland County,41958,1221,83,29,54,32,125,169,41,57.7,38.8,8,9,21,38,44.87%,$50433,$788,$189000,1524,$124,47,9%,19%,12%,62,18 mins,3.60%,0.00%,0.00%,36.60%,55.70%,3.99%,2.14%,89.91%,3.10%,Bay City,Eastern Standard Time,595,3.3,61.30%,47.40%,30,N/A,50,7.1%,15.7%,6.6%,N/A,N/A,1
Midland charter township,Michigan,Midland County,2245,294,83,29,54,32,125,166,41,N/A,N/A,N/A,10,22,40,N/A,$56818,N/A,$121200,N/A,N/A,49,9%,25%,17%,76,18 mins,4.50%,0.00%,5.70%,36.60%,55.70%,N/A,N/A,N/A,4.20%,Midland,Eastern Standard Time,627,3.3,88.90%,35.90%,3,N/A,26,N/A,N/A,N/A,0.00,3,1
Milan,Michigan,Washtenaw County,5965,1727,84,32,52,35,137,182,43,58.2,39.4,9,12,28,36,28.49%,$64000,$921,$172200,N/A,N/A,44,6%,37%,45%,72,24 mins,4.20%,1.30%,5.20%,67.60%,26.60%,N/A,2.33%,94.53%,3.50%,Monroe,Central Standard Time,593,3.3,69.20%,49.00%,59,N/A,48,3.7%,19.0%,2%,N/A,N/A,2
Milan township,Michigan,Monroe County,1521,44,84,32,52,35,134,180,41,N/A,N/A,9,9,19,48,N/A,$66875,N/A,$171200,N/A,N/A,56,5%,45%,27%,78,29 mins,5.70%,0.90%,-10.10%,36.00%,57.90%,N/A,N/A,N/A,1.60%,Monroe,Central Standard Time,593,3.6,88.00%,37.20%,0,N/A,28,N/A,N/A,N/A,0.00,5,2
Milford,Michigan,Oakland County,6449,2640,81,30,51,33,136,181,41,57.7,39.1,8,8,12,42,43.26%,$69472,$1117,$334900,N/A,N/A,45,6%,31%,36%,76,31 mins,4.10%,0.30%,4.10%,51.30%,43.20%,1.32%,1.00%,95.03%,1.30%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,68.20%,43.10%,73,N/A,51,4.5%,17.6%,4.6%,33.81,6,2
Milford charter township,Michigan,Oakland County,16518,501,81,30,51,33,136,178,41,N/A,N/A,N/A,16,27,45,N/A,$81756,N/A,$333900,N/A,N/A,33,6%,38%,37%,77,31 mins,4.10%,0.30%,5.70%,51.30%,43.20%,N/A,N/A,N/A,1.70%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,76.10%,39.80%,3,N/A,18,N/A,N/A,N/A,0.00,6,2
Millbrook,Michigan,Mecosta County,1174,33,83,29,54,34,113,162,60,N/A,N/A,8,12,27,39,14.59%,$38516,$692,$96200,N/A,N/A,36,9%,32%,19%,88,27 mins,5.80%,0.20%,11.90%,33.80%,59.70%,N/A,N/A,100.00%,1.50%,Big Rapids,N/A,N/A,3.3,77.10%,46.80%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Millersburg,Michigan,Presque Isle County,198,200,81,28,53,30,145,171,88,54.9,35.4,10,14,31,41,N/A,$30972,N/A,$75100,N/A,N/A,47,3%,30%,10%,90,24 mins,7.10%,-0.70%,10.00%,33.10%,61.80%,N/A,1.86%,83.72%,7.10%,None,N/A,N/A,3.2,56.10%,59.60%,15,N/A,31,16.7%,24.4%,0%,950.23,3,0
Millington,Michigan,Tuscola County,968,711,82,30,52,34,118,173,32,57.3,38.5,9,9,19,38,15.69%,$34688,$769,$58100,N/A,N/A,63,10%,29%,15%,83,29 mins,6.20%,-0.20%,-3.60%,28.70%,66.00%,1.14%,N/A,97.65%,N/A,None,N/A,N/A,3.2,47.60%,51.60%,42,N/A,N/A,17.9%,13.8%,0.9%,315.89,5,2
Mills township (Midland Cnty),Michigan,Midland County,1737,49,83,29,54,32,124,166,41,N/A,N/A,N/A,10,22,46,N/A,$50625,N/A,$117100,N/A,N/A,33,9%,25%,18%,85,25 mins,4.50%,0.00%,-15.70%,36.60%,55.70%,N/A,N/A,N/A,N/A,Midland,Eastern Standard Time,627,3.3,88.70%,39.70%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Milton township (Cass Cnty),Michigan,Cass County,3831,181,83,32,51,40,140,173,64,N/A,N/A,N/A,9,17,49,N/A,$54297,N/A,$185800,N/A,N/A,34,9%,31%,20%,79,25 mins,5.50%,0.90%,4.10%,32.20%,63.00%,N/A,N/A,N/A,8.30%,South Bend-Mishawaka,Eastern Standard Time,700,3.5,88.50%,28.90%,0,N/A,26,N/A,N/A,N/A,N/A,N/A,2
Minden City,Michigan,Sanilac County,171,173,79,28,51,33,126,171,44,57.3,38.3,10,13,29,42,7.07%,$43125,$600,$73200,N/A,N/A,74,9%,37%,20%,91,27 mins,5.60%,0.10%,29.60%,25.30%,69.90%,N/A,N/A,100.00%,N/A,None,N/A,N/A,3.2,75.90%,45.70%,15,N/A,30,14%,16.9%,1.2%,297.03,8,1
Mio,Michigan,Oscoda County,1884,225,81,28,53,30,124,168,67,54.7,35.5,7,16,35,42,14.88%,$26729,$604,$75500,N/A,N/A,49,7%,30%,16%,87,20 mins,8.10%,1.00%,-14.50%,25.50%,69.50%,N/A,N/A,95.58%,1.50%,None,N/A,N/A,3.4,48.10%,60.40%,48,N/A,N/A,16.3%,18.5%,0.3%,188.49,3,1
Monitor charter township,Michigan,Bay County,10571,287,82,29,53,32,118,170,41,N/A,N/A,N/A,16,26,49,N/A,$57869,N/A,$114200,N/A,N/A,46,6%,23%,7%,78,21 mins,5.50%,0.30%,-0.40%,40.60%,53.20%,N/A,N/A,N/A,4.30%,Bay City,Eastern Standard Time,595,3.3,86.00%,41.50%,0,N/A,25,N/A,N/A,N/A,0.00,4,1
Monroe,Michigan,Monroe County,20128,2225,84,32,52,34,123,183,37,59.3,40.5,9,28,39,35,20.91%,$45037,$741,$140400,N/A,N/A,63,4%,48%,21%,62,21 mins,5.70%,0.90%,-5.00%,36.00%,57.90%,N/A,5.14%,89.57%,4.20%,Monroe,Central Standard Time,593,3.6,56.00%,53.90%,46,N/A,49,12.8%,16.2%,1.7%,121.18,5,1
Monroe charter township,Michigan,Monroe County,14236,842,84,32,52,35,123,180,38,N/A,N/A,N/A,21,34,43,N/A,$44512,N/A,$117800,N/A,N/A,39,5%,46%,28%,69,21 mins,5.70%,0.90%,-2.20%,36.00%,57.90%,N/A,N/A,N/A,2.70%,Monroe,Central Standard Time,593,3.6,69.50%,52.40%,24,N/A,33,N/A,N/A,N/A,0.00,5,1
Montague,Michigan,Muskegon County,2636,1003,80,30,50,35,112,162,73,57.4,38.2,10,10,21,38,21.64%,$45227,$637,$133200,N/A,N/A,60,8%,50%,36%,85,19 mins,5.40%,0.20%,24.20%,47.40%,45.90%,N/A,N/A,97.91%,9.20%,Muskegon,Eastern Standard Time,620,3.4,61.40%,48.10%,59,N/A,70,8.5%,16.0%,0.4%,170.45,5,0
Montague township,Michigan,Muskegon County,1508,80,80,30,50,35,112,163,73,N/A,N/A,N/A,11,24,49,N/A,$51042,N/A,$136500,N/A,N/A,43,11%,51%,39%,86,23 mins,5.40%,0.20%,-13.40%,47.40%,45.90%,N/A,N/A,N/A,6.80%,Muskegon,Eastern Standard Time,620,3.4,77.40%,41.30%,6,N/A,42,N/A,N/A,N/A,0.00,4,0
Montcalm,Michigan,Montcalm County,3352,95,83,30,53,35,125,164,64,N/A,N/A,9,13,25,47,13.21%,$46201,$752,$102800,N/A,N/A,38,12%,50%,41%,85,28 mins,5.30%,1.80%,-0.10%,29.40%,63.20%,1.92%,N/A,96.06%,N/A,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,67.10%,45.70%,6,N/A,41,N/A,N/A,N/A,N/A,N/A,1
Monterey,Michigan,Allegan County,2489,70,82,31,51,39,133,161,83,N/A,N/A,N/A,11,24,34,10.12%,$55789,$1059,$161100,N/A,N/A,28,7%,40%,27%,83,28 mins,3.90%,0.90%,-4.50%,32.20%,60.90%,N/A,1.67%,95.14%,1.00%,Holland,N/A,N/A,3.4,81.60%,42.70%,0,N/A,18,N/A,N/A,N/A,N/A,N/A,0
Montgomery,Michigan,Hillsdale County,328,328,82,30,52,38,135,181,45,58.7,39.8,8,17,37,29,7.96%,$27000,$811,$68400,N/A,N/A,78,11%,34%,20%,84,31 mins,5.20%,0.80%,-4.10%,24.10%,70.70%,N/A,N/A,98.73%,1.50%,Hillsdale,N/A,N/A,3.5,59.50%,56.60%,7,N/A,27,24.3%,15.3%,0.6%,235.60,6,1
Montrose,Michigan,Genesee County,1560,1597,82,30,52,33,121,173,39,57.7,38.9,9,14,31,41,15.68%,$34063,$630,$114300,N/A,N/A,57,3%,39%,24%,59,20 mins,6.10%,0.40%,-7.70%,52.00%,42.60%,N/A,2.29%,95.06%,5.20%,Flint,Eastern Standard Time,771,3.3,56.70%,51.60%,48,N/A,40,11.7%,19.0%,0.3%,173.91,5,2
Montrose charter township,Michigan,Genesee County,6008,175,82,30,52,33,121,171,39,N/A,N/A,N/A,8,21,44,N/A,$41473,N/A,$108600,N/A,N/A,44,7%,49%,32%,79,32 mins,6.10%,0.40%,-5.10%,52.00%,42.60%,N/A,N/A,N/A,1.60%,Flint,Eastern Standard Time,771,3.3,84.90%,42.50%,1,N/A,24,N/A,N/A,N/A,0.00,5,2
Moorland,Michigan,Muskegon County,1534,43,80,30,50,36,128,163,71,N/A,N/A,N/A,10,21,40,7.66%,$51071,$854,$139300,N/A,N/A,37,10%,54%,37%,84,33 mins,5.40%,0.20%,-1.30%,47.40%,45.90%,1.09%,N/A,96.27%,5.70%,Muskegon,Eastern Standard Time,620,3.4,82.60%,36.80%,5,N/A,28,N/A,N/A,N/A,N/A,N/A,0
Morenci,Michigan,Lenawee County,2567,1211,84,31,53,36,116,180,32,58.7,39.9,8,15,18,34,12.57%,$38798,$759,$105900,N/A,N/A,75,8%,36%,28%,82,26 mins,5.00%,0.80%,6.30%,36.20%,57.10%,N/A,N/A,93.95%,5.90%,Adrian,N/A,N/A,3.4,64.90%,58.60%,57,N/A,45,22.4%,17.4%,2.8%,93.13,6,1
Morley,Michigan,Mecosta County,574,641,82,29,53,36,135,160,67,56,37.1,9,16,35,37,9.21%,$35066,$682,$86600,N/A,N/A,57,9%,34%,20%,87,23 mins,5.80%,0.20%,24.50%,33.80%,59.70%,N/A,1.51%,94.14%,6.10%,Big Rapids,N/A,N/A,3.3,53.20%,59.80%,24,N/A,30,19.6%,19.4%,1.4%,893.76,5,1
Morrice,Michigan,Shiawassee County,1227,942,82,30,52,33,122,173,39,57.8,39.1,8,10,23,33,17.62%,$53068,$693,$101500,N/A,N/A,38,7%,29%,15%,80,26 mins,5.30%,0.80%,4.60%,36.80%,56.40%,N/A,N/A,95.35%,3.10%,Owosso,N/A,N/A,3.2,65.60%,41.00%,37,N/A,39,4.8%,16.5%,0.5%,75.47,6,2
Morton,Michigan,Mecosta County,4353,132,82,29,53,36,124,162,59,N/A,N/A,N/A,11,22,57,29.88%,$50815,$702,$96200,N/A,N/A,30,10%,33%,19%,87,36 mins,5.80%,0.20%,3.10%,33.80%,59.70%,N/A,N/A,96.59%,1.80%,Big Rapids,N/A,N/A,3.3,50.50%,37.40%,2,N/A,32,N/A,N/A,N/A,N/A,N/A,1
Moscow,Michigan,Hillsdale County,1494,43,82,30,52,36,135,178,44,N/A,N/A,8,11,24,44,11.10%,$42105,$815,$127200,N/A,N/A,38,12%,32%,20%,85,32 mins,5.20%,0.80%,0.40%,24.10%,70.70%,N/A,N/A,98.85%,3.70%,Hillsdale,N/A,N/A,3.5,75.50%,31.70%,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Mottville,Michigan,St. Joseph County,1377,71,83,31,52,39,136,174,35,N/A,N/A,N/A,11,25,46,6.85%,$43935,$781,$115600,N/A,N/A,44,12%,31%,15%,77,24 mins,6.60%,0.60%,-8.80%,31.40%,62.10%,1.40%,N/A,93.15%,N/A,Sturgis,N/A,N/A,3.5,76.80%,39.30%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Mount Clemens,Michigan,Macomb County,16383,4003,82,32,50,33,125,177,31,58.9,40,9,33,51,41,16.44%,$36348,$746,$149900,1400,$107,64,8%,58%,19%,61,22 mins,5.00%,0.20%,-1.40%,42.00%,53.60%,N/A,24.60%,70.25%,2.10%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,51.30%,67.70%,73,N/A,47,16.7%,18.3%,1.8%,107.36,6,1
Mount Forest,Michigan,Bay County,1465,41,82,29,53,32,119,170,41,N/A,N/A,N/A,10,22,46,9.24%,$44427,$1161,$87100,N/A,N/A,41,5%,23%,7%,87,39 mins,5.50%,0.30%,7.60%,40.60%,53.20%,N/A,N/A,97.71%,3.30%,Bay City,Eastern Standard Time,595,3.3,87.30%,37.60%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Mount Haley,Michigan,Midland County,1850,78,83,29,54,32,125,166,41,N/A,N/A,N/A,11,24,39,24.85%,$50625,$840,$122100,N/A,N/A,40,9%,24%,18%,83,24 mins,4.50%,0.00%,16.10%,36.60%,55.70%,N/A,N/A,96.06%,2.20%,Midland,Eastern Standard Time,627,3.3,82.10%,38.30%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Mount Morris,Michigan,Genesee County,2920,2544,82,30,52,33,120,172,36,57.7,38.9,9,39,47,32,8.05%,$18438,$697,$68300,N/A,N/A,63,7%,47%,32%,61,26 mins,6.10%,0.40%,-7.00%,52.00%,42.60%,1.08%,16.63%,80.28%,2.40%,Flint,Eastern Standard Time,771,3.3,47.20%,63.50%,55,N/A,47,26.5%,20.6%,3.5%,314.12,6,2
Mount Morris township,Michigan,Genesee County,20698,657,82,30,52,32,121,171,36,N/A,N/A,N/A,32,43,37,N/A,$33480,N/A,$69000,N/A,N/A,53,7%,49%,31%,71,24 mins,6.10%,0.40%,-6.90%,52.00%,42.60%,N/A,N/A,N/A,4.10%,Flint,Eastern Standard Time,771,3.3,56.60%,58.30%,2,N/A,25,N/A,N/A,N/A,0.00,6,2
Muir,Michigan,Ionia County,683,959,82,30,52,34,126,165,45,57.8,39,9,17,38,30,5.34%,$41042,$420,$72700,N/A,N/A,52,8%,36%,27%,84,27 mins,5.00%,1.30%,58.80%,30.90%,61.50%,N/A,N/A,91.68%,9.20%,Ionia,N/A,N/A,3.4,61.40%,58.70%,20,N/A,37,34.1%,18.1%,0%,157.34,5,1
Mulliken,Michigan,Eaton County,598,573,82,30,52,34,133,177,47,58.1,39.4,9,12,26,37,14.61%,$50938,$775,$127700,N/A,N/A,59,5%,33%,18%,82,25 mins,4.60%,1.30%,18.00%,44.10%,48.80%,N/A,N/A,92.87%,N/A,Lansing-East Lansing,Eastern Standard Time,841,3.4,80.10%,41.50%,19,N/A,N/A,6.5%,17.9%,0.4%,232.56,7,1
Mundy,Michigan,Genesee County,14616,406,82,30,52,32,122,171,37,N/A,N/A,N/A,13,32,44,23.73%,$55888,$957,$155600,N/A,N/A,38,6%,42%,30%,75,25 mins,6.10%,0.40%,-0.80%,52.00%,42.60%,1.88%,6.99%,88.55%,2.60%,Flint,Eastern Standard Time,771,3.3,79.30%,41.80%,0,N/A,30,N/A,N/A,N/A,N/A,N/A,2
Munising,Michigan,Alger County,2307,439,76,25,51,36,160,174,153,54.7,34.5,10,9,24,46,20.04%,$36583,$612,$102300,N/A,N/A,59,7%,30%,15%,96,21 mins,7.00%,1.70%,-9.20%,36.80%,57.20%,N/A,N/A,90.73%,N/A,None,N/A,N/A,3.1,40.70%,56.40%,55,N/A,N/A,13.6%,18.4%,0.4%,44.60,0,0
Muskegon,Michigan,Muskegon County,38189,2700,80,30,50,34,119,164,76,58.2,39.2,10,38,65,35,12.97%,$25989,$706,$80300,N/A,N/A,68,15%,56%,39%,69,19 mins,9.10%,0.20%,-2.10%,47.40%,45.90%,N/A,31.98%,58.79%,8.60%,Muskegon,Eastern Standard Time,620,3.4,42.70%,70.60%,44,N/A,52,25.7%,17.1%,2.2%,279.18,6,1
