City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Little Mahanoy,Pennsylvania,406,39,Sunbury,103432,$45500,14.91%,N/A,N/A,N/A,N/A,50,54.90%,N/A,43.00%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,86,36,50,43.27,23.9,6.5,80,384,3.8,10.41,PA-43912,40.7558765,-76.7624727,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Lower Augusta,Pennsylvania,878,46,Sunbury,103432,$51875,14.49%,N/A,N/A,N/A,N/A,40,81.00%,N/A,27.20%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,1.10%,N/A,N/A,86,36,50,43.27,23.9,6.5,76,384,3.8,19.09,PA-44856,40.7847887,-76.8101873,50%,62%,42%,56%,55%,33.5,40,61,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Lower Mahanoy,Pennsylvania,1443,66,Sunbury,103432,$52404,14.14%,N/A,N/A,N/A,N/A,47,70.30%,N/A,36.80%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,21.86,PA-44960,40.6490787,-76.8768017,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Marion Heights,Pennsylvania,665,4433,Sunbury,103432,$35938,13.32%,44,$61000,2259,$27,80,87.67%,$1080,57.24%,N/A,N/A,13.04%,9.03%,52.64%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.15,PA-47480,40.8036513,-76.4643388,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Marshallton,Pennsylvania,1151,1323,Sunbury,103432,$37250,10.27%,54,N/A,N/A,N/A,75,63.08%,$568,44.22%,N/A,N/A,10.51%,6.1%,54.13%,Northumberland County,26.50%,68.90%,0.87%,0.09%,99.04%,0.0%,0.87%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.87,PA-47736,40.7853323,-76.5366688,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
McEwensville,Pennsylvania,338,2817,Sunbury,103432,$60536,24.02%,39,$121000,1952,$62,72,71.3%,$703,38.63%,N/A,N/A,3.55%,1.55%,71.75%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.3%,N/A,85,35,50,44.62,28.0,6.5,70,456,3.8,0.12,PA-46120,41.0723243,-76.8187621,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Milton,Pennsylvania,6558,1890,Sunbury,103432,$47520,16.32%,36,$184000,1573,$117,63,47.9%,$788,48.93%,N/A,N/A,14.85%,5.02%,66.92%,Northumberland County,26.50%,68.90%,0.23%,0.67%,89.23%,7.73%,4.79%,N/A,85,35,50,44.62,28.0,6.5,54,456,3.8,3.47,PA-50016,41.0086835,-76.8507373,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Montandon,Pennsylvania,892,1014,Sunbury,103432,$54417,15.94%,40,N/A,N/A,N/A,43,67.31%,N/A,53.45%,N/A,N/A,13.99%,0.44%,62.85%,Northumberland County,26.50%,68.90%,0.0%,0.45%,90.92%,3.14%,0.0%,N/A,85,35,50,44.62,28.0,6.5,69,456,3.8,0.88,PA-50552,40.9654611,-76.8529528,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Mount Carmel,Pennsylvania,3064,4642,Sunbury,103432,$42333,10.69%,N/A,$95000,1439,$66,72,66.80%,N/A,53.90%,N/A,N/A,12.8%,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,4%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.66,PA-51504,40.7947971,-76.441327,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Mount Carmel borough,Pennsylvania,5724,8673,Sunbury,103432,$32278,N/A,N/A,$95000,1439,$66,78,49.60%,N/A,51.80%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,3.60%,N/A,N/A,84,35,49,50.06,36.6,6.5,51,927,3.8,0.66,PA-51504,40.7947971,-76.441327,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Northumberland,Pennsylvania,3732,2318,Sunbury,103432,$63668,23.33%,44,$176000,1492,$118,69,71.59%,$784,37.77%,N/A,N/A,8.68%,2.19%,65.42%,Northumberland County,26.50%,68.90%,0.0%,4.9%,91.08%,5.36%,1.88%,N/A,85,36,49,45.25,28.1,6.5,54,525,3.8,1.61,PA-55456,40.8965254,-76.7932942,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Point,Pennsylvania,3677,146,Sunbury,103432,$56786,23.91%,N/A,N/A,N/A,N/A,39,71.00%,N/A,39.30%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,2.00%,N/A,N/A,85,36,49,45.25,28.1,6.5,69,525,3.8,25.18,PA-61832,40.9297622,-76.7655571,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Ralpho,Pennsylvania,4281,232,Sunbury,103432,$53952,34.74%,N/A,N/A,N/A,N/A,39,78.50%,N/A,41.40%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,1.18%,N/A,N/A,1.20%,N/A,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,18.45,PA-63328,40.8495613,-76.5466081,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Ranshaw,Pennsylvania,176,1257,Sunbury,103432,$32083,1.83%,63,N/A,N/A,N/A,78,75.0%,N/A,47.06%,N/A,N/A,15.34%,6.9%,53.05%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.14,PA-63416,40.785554,-76.517437,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Riverside borough,Pennsylvania,2217,449,Sunbury,103432,$68636,43.11%,47,$275000,1846,$149,61,91.66%,$823,32.4%,N/A,N/A,2.57%,1.43%,66.18%,Northumberland County,26.50%,68.90%,3.88%,1.31%,88.18%,2.48%,5.28%,N/A,85,36,49,45.25,28.1,6.5,76,525,3.8,4.94,PA-65112,40.9458929,-76.6460375,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Rockefeller,Pennsylvania,2380,117,Sunbury,103432,$64333,13.07%,N/A,N/A,N/A,N/A,37,78.50%,N/A,35.30%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,1.60%,N/A,N/A,85,36,49,45.25,28.1,6.5,76,525,3.8,20.34,PA-65472,40.8224228,-76.7351452,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Rush township (Northumberland Cnty),Pennsylvania,1225,46,Sunbury,103432,$63438,N/A,N/A,N/A,N/A,N/A,45,80.60%,N/A,26.40%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,4.60%,N/A,N/A,84,35,49,50.06,36.6,6.5,76,927,3.8,26.63,PA-66752,40.9096957,-76.6268915,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Shamokin,Pennsylvania,7165,8633,Sunbury,103432,$31938,13.18%,N/A,$67000,1396,$48,78,38.60%,N/A,58.60%,N/A,N/A,20%,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,6.00%,0.9%,N/A,84,35,49,50.06,36.6,6.5,51,927,3.8,0.83,PA-69608,40.8354552,-76.6402988,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Shamokin township,Pennsylvania,2494,3005,Sunbury,103432,$50972,N/A,N/A,$67000,1396,$48,44,82.00%,N/A,29.10%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.83,PA-69608,40.8354552,-76.6402988,50%,62%,42%,56%,55%,33.5,40,61,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Snydertown borough,Pennsylvania,331,97,Sunbury,103432,$51500,18.15%,57,N/A,N/A,N/A,63,99.7%,N/A,44.59%,N/A,N/A,3.32%,7.25%,62.46%,Northumberland County,26.50%,68.90%,0.6%,0.0%,99.09%,0.0%,1.21%,N/A,85,36,49,45.25,28.1,6.5,79,525,3.8,3.43,PA-71688,40.8727825,-76.6723677,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Strong,Pennsylvania,193,4825,Sunbury,103432,$20893,0.0%,62,$42000,1355,$31,67,100.0%,N/A,29.53%,N/A,N/A,0.0%,0.0%,36.79%,Northumberland County,26.50%,68.90%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,35,49,50.06,36.6,6.5,79,927,3.8,0.04,PA-74864,40.7974815,-76.4400684,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Sunbury,Pennsylvania,9446,4700,Sunbury,103432,$34303,9.54%,38,$96000,1745,$55,77,46.75%,$666,60.49%,N/A,N/A,20.7%,7.42%,60.18%,Northumberland County,26.50%,68.90%,0.0%,1.03%,89.33%,6.31%,0.52%,N/A,85,36,49,45.25,28.1,6.5,48,525,3.8,2.01,PA-75304,40.8616448,-76.7870515,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Tharp(Uniontown),Pennsylvania,548,5480,Sunbury,103432,$39297,N/A,N/A,N/A,N/A,N/A,78,71.10%,N/A,33.20%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,N/A,3.8,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trevorton,Pennsylvania,1624,381,Sunbury,103432,$56364,8.76%,48,$101000,721,$140,78,87.32%,$651,46.51%,N/A,N/A,8.44%,2.94%,61.37%,Northumberland County,26.50%,68.90%,0.31%,0.0%,95.07%,0.8%,0.86%,N/A,85,36,49,45.25,28.1,6.5,80,525,3.8,4.26,PA-77448,40.7841265,-76.6710428,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Turbot,Pennsylvania,1583,114,Sunbury,103432,$54375,20.56%,N/A,N/A,N/A,N/A,46,77.90%,N/A,37.00%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,1.27%,N/A,1.30%,N/A,N/A,85,35,50,44.62,28.0,6.5,70,456,3.8,13.89,PA-77830,41.0359606,-76.8062575,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Turbotville,Pennsylvania,779,1731,Sunbury,103432,$101932,42.75%,61,$300000,1899,$158,68,83.95%,$603,51.05%,N/A,N/A,9.88%,4.11%,41.01%,Northumberland County,26.50%,68.90%,0.39%,0.39%,76.12%,2.31%,1.03%,N/A,85,35,50,44.62,28.0,6.5,70,456,3.8,0.45,PA-77832,41.1018968,-76.7694091,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Upper Augusta,Pennsylvania,2545,130,Sunbury,103432,$57321,20.22%,N/A,N/A,N/A,N/A,51,86.50%,N/A,34.50%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,45.25,28.1,6.5,76,525,3.8,19.58,PA-78744,40.8715604,-76.7565312,50%,62%,42%,56%,55%,33.5,40,61,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
Upper Mahanoy,Pennsylvania,710,30,Sunbury,103432,$50455,10.62%,N/A,N/A,N/A,N/A,63,73.70%,N/A,34.50%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,N/A,N/A,N/A,84,35,49,50.06,36.6,6.5,78,927,3.8,23.67,PA-79112,40.710271,-76.6275642,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
Washington township (Northumberland Cnty),Pennsylvania,733,251,Sunbury,103432,$52000,N/A,N/A,$190000,1242,$153,46,76.50%,N/A,33.00%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,1.40%,N/A,N/A,86,36,50,43.27,23.9,6.5,78,384,3.8,2.92,PA-81304,40.7130162,-76.7350342,50%,62%,42%,56%,55%,30.2,41,62,63,20,13.11,8.51,37.37%,38.68%,37.67%,14
Watsontown,Pennsylvania,2117,2982,Sunbury,103432,$45773,18.07%,44,$122000,830,$147,78,60.67%,$728,52.65%,N/A,N/A,7.71%,1.72%,60.4%,Northumberland County,26.50%,68.90%,0.24%,0.33%,88.19%,10.16%,0.28%,N/A,85,35,50,44.62,28.0,6.5,70,456,3.8,0.71,PA-81616,41.0852627,-76.8645476,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
West Cameron,Pennsylvania,519,44,Sunbury,103432,$55500,N/A,N/A,N/A,N/A,N/A,33,70.60%,N/A,45.60%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,4.18%,N/A,4.20%,N/A,N/A,84,35,49,50.06,36.6,6.5,80,927,3.8,11.8,PA-82680,40.7478595,-76.648427,50%,62%,42%,56%,55%,30.2,41,62,62,20,14.48,9.9,37.01%,40.33%,35.33%,16
West Chillisquaque,Pennsylvania,2587,201,Sunbury,103432,$38488,14.65%,N/A,N/A,N/A,N/A,40,76.70%,N/A,43.60%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,1.42%,N/A,2.00%,N/A,N/A,85,35,50,44.62,28.0,6.5,69,456,3.8,12.87,PA-82712,40.9695123,-76.8443295,50%,62%,42%,56%,55%,33.5,40,61,62,19,12.75,9.24,38.77%,40.99%,37.22%,12
Zerbe,Pennsylvania,1637,141,Sunbury,103432,$38839,9.06%,N/A,N/A,N/A,N/A,78,65.90%,N/A,48.50%,N/A,N/A,N/A,5.40%,N/A,Northumberland County,26.50%,68.90%,N/A,N/A,N/A,1.80%,N/A,N/A,85,36,49,45.25,28.1,6.5,80,525,3.8,11.61,PA-87280,40.7751245,-76.665399,50%,62%,42%,56%,55%,30.2,41,62,61,19,13.68,9.0,36.33%,38.79%,36.0%,12
