City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Grand Blanc,Michigan,7964,2206,Flint,406400,N/A,N/A,N/A,$235000,1478,$159,N/A,N/A,N/A,N/A,167,1100,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,60,16,61%,55%,38,58,85,52%,67%,39%,33.68,10.93,5.5,37.75%,34.07%,40.44%,57.1,46,8.1,32.3,61,831,3.3,3.61,MI-33300,42.9154169,-83.6332514
Grand Blanc charter township,Michigan,36720,10172,Flint,406400,N/A,N/A,N/A,$235000,1478,$159,N/A,N/A,N/A,N/A,167,1100,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,60,16,61%,55%,38,58,85,52%,67%,39%,33.68,10.93,5.5,37.75%,34.07%,40.44%,57.1,46,8.1,32.3,69,831,3.3,3.61,MI-33300,42.9154169,-83.6332514
Lake Fenton,Michigan,6092,1104,Flint,406400,$100712,48.19%,50,$483000,1008,$479,29,93.85%,$999,38.1%,N/A,N/A,5.42%,1.18%,49.65%,Genesee County,52.00%,42.60%,1.46%,0.0%,94.99%,2.91%,1.76%,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,52%,67%,39%,36.6,10.71,6.91,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,73,789,3.3,5.52,MI-44520,42.8452697,-83.7086294
Linden,Michigan,4124,1747,Flint,406400,$80686,26.75%,39,$319000,1443,$221,29,92.46%,$806,43.81%,76,383,5.36%,11.8%,58.31%,Genesee County,52.00%,42.60%,0.15%,2.11%,94.01%,1.48%,0.24%,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,50%,66%,39%,36.6,10.71,6.91,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,76,789,3.3,2.36,MI-47820,42.8193793,-83.7810708
Montrose,Michigan,1560,1592,Flint,406400,N/A,N/A,N/A,$220000,1401,$157,N/A,N/A,N/A,N/A,80,792,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,59,621,3.3,0.98,MI-55300,43.1771477,-83.8717612
Montrose charter township,Michigan,6008,6131,Flint,406400,N/A,N/A,N/A,$220000,1401,$157,N/A,N/A,N/A,N/A,80,792,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,79,621,3.3,0.98,MI-55300,43.1771477,-83.8717612
Mount Morris,Michigan,2920,2539,Flint,406400,N/A,N/A,N/A,$112000,1493,$75,N/A,N/A,N/A,N/A,641,1696,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,61,621,3.3,1.15,MI-55980,43.0931449,-83.7603416
Mount Morris township,Michigan,20698,17998,Flint,406400,N/A,N/A,N/A,$112000,1493,$75,N/A,N/A,N/A,N/A,641,1696,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,71,621,3.3,1.15,MI-55980,43.0931449,-83.7603416
Mundy,Michigan,14616,406,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,60,17,61%,55%,38,58,85,50%,66%,39%,33.92,10.12,6.09,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,75,705,3.3,36.0,MI-56160,42.913826,-83.7505502
Otisville,Michigan,887,1008,Flint,406400,$53958,15.94%,46,N/A,N/A,N/A,63,85.85%,$677,54.99%,0,0,18.47%,2.46%,57.16%,Genesee County,52.00%,42.60%,0.0%,0.0%,95.72%,1.58%,1.13%,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,36.28,10.6,6.72,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,80,693,3.3,0.88,MI-61600,43.1661128,-83.5246984
Richfield township (Genesee Cnty),Michigan,8433,241,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,36.28,10.6,6.72,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,75,693,3.3,34.99,MI-68180,43.0930596,-83.5187223
Swartz Creek,Michigan,5839,1394,Flint,406400,$58220,20.81%,42,$222000,1521,$146,48,77.15%,$837,52.14%,N/A,N/A,6.96%,3.21%,55.73%,Genesee County,52.00%,42.60%,0.72%,1.01%,92.88%,3.46%,1.46%,Eastern Standard Time,83,31,52,60,17,61%,55%,38,58,85,50%,66%,39%,33.92,10.12,6.09,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,70,705,3.3,4.19,MI-77700,42.9631357,-83.8250683
Thetford,Michigan,6794,197,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,50%,66%,39%,36.28,10.6,6.72,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,75,693,3.3,34.49,MI-79460,43.1786747,-83.6378654
Vienna charter township,Michigan,12804,366,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,73,621,3.3,34.98,MI-82380,43.1776448,-83.7552857
