City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year
Shorewood Hills,Wisconsin,2085,2606,Madison,670447,$136750,92.59%,39,$1095000,2844,$385,60,75.38%,$1774,32.34%,48,1924,4.18%,2.15%,65.79%,Dane County,70.40%,23.00%,9.59%,1.82%,82.45%,3.02%,12.95%,Central Standard Time,82,27,55,36,116,42,8.1,65,863,3.3,0.8,WI-73750,43.0788928,-89.4469634,52%,64%,45%,60%,57%,40.5
Springdale,Wisconsin,2104,60,Madison,670447,$82500,46.93%,N/A,N/A,N/A,N/A,26,87.40%,N/A,28.20%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,1.5%,0.3%,96.2%,0.5%,N/A,Central Standard Time,82,27,55,37,107,43,8.1,82,863,3.3,35.07,WI-75850,42.9877912,-89.6605093,52%,64%,45%,60%,57%,40.5
Springfield (Dane Cnty),Wisconsin,2895,4321,Madison,670447,$97273,N/A,N/A,N/A,N/A,N/A,38,85.90%,N/A,30.80%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.7%,0.2%,94.2%,3.6%,N/A,Central Standard Time,82,27,55,36,116,43,8.1,74,863,3.3,0.67,WI-75875,43.1627639,-89.5412571,52%,64%,45%,60%,57%,40.5
Stoughton,Wisconsin,13146,2184,Madison,670447,$65878,36.79%,40,$321000,1745,$184,38,78.19%,$933,45.28%,228,1449,6.11%,1.8%,69.4%,Dane County,70.40%,23.00%,0.0%,0.85%,95.31%,1.95%,3.0%,Central Standard Time,82,27,55,36,111,41,8.1,67,863,3.3,6.02,WI-77675,42.9237494,-89.2224597,52%,64%,45%,60%,57%,40.5
Sun Prairie,Wisconsin,32112,2487,Madison,670447,$66956,44.73%,N/A,$381000,2093,$182,24,56.90%,$1194,47.60%,95,1440,5.8%,2.70%,N/A,Dane County,70.40%,23.00%,5.1%,7.6%,79.3%,4.9%,7.5%,Central Standard Time,81,26,55,35,113,43,8.1,69,863,3.3,12.91,WI-78625,43.1471041,-89.1804045,52%,64%,45%,60%,57%,40.5
Sun Prairie town,Wisconsin,2426,188,Madison,670447,$77381,N/A,N/A,$381000,2093,$182,39,79.30%,N/A,40.70%,95,1440,N/A,2.60%,N/A,Dane County,70.40%,23.00%,1.2%,0.9%,84.2%,12.5%,N/A,Central Standard Time,82,27,55,35,114,43,8.1,78,863,3.3,12.91,WI-78625,43.1471041,-89.1804045,52%,64%,45%,60%,57%,40.5
Vermont,Wisconsin,866,24,Madison,670447,$81071,52.80%,N/A,N/A,N/A,N/A,40,84.80%,N/A,29.50%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.3%,0.0%,97.0%,0.3%,N/A,Central Standard Time,83,27,56,36,107,42,8.1,82,863,3.3,36.08,WI-82525,43.0753621,-89.7791427,52%,64%,45%,60%,57%,40.5
Verona,Wisconsin,12465,1666,Madison,670447,$81474,59.54%,N/A,$479000,2218,$216,21,66.80%,$1340,43.60%,133,1398,1.6%,2.60%,N/A,Dane County,70.40%,23.00%,3.7%,3.5%,89.0%,0.7%,3.5%,Central Standard Time,82,27,55,37,108,44,8.1,75,863,3.3,7.48,WI-82625,42.9685823,-89.5732687,52%,64%,45%,60%,57%,40.5
Verona town,Wisconsin,2107,282,Madison,670447,$96750,N/A,N/A,$479000,2218,$216,38,83.60%,N/A,37.40%,133,1398,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.9%,1.4%,95.6%,1.5%,N/A,Central Standard Time,82,27,55,37,108,44,8.1,75,863,3.3,7.48,WI-82625,42.9685823,-89.5732687,52%,64%,45%,60%,57%,40.5
Vienna,Wisconsin,1749,50,Madison,670447,$92798,30.82%,N/A,N/A,N/A,N/A,36,88.90%,N/A,30.50%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.5%,0.0%,97.9%,1.6%,N/A,Central Standard Time,82,27,55,35,114,43,8.1,75,863,3.3,34.98,WI-82750,43.2504156,-89.4231959,52%,64%,45%,60%,57%,40.5
Waunakee,Wisconsin,13903,1939,Madison,670447,$114983,57.19%,39,$442000,2483,$178,25,83.44%,$1022,38.06%,105,946,4.97%,1.62%,71.36%,Dane County,70.40%,23.00%,1.77%,1.32%,91.4%,4.1%,3.88%,Central Standard Time,82,27,55,36,116,43,8.1,72,863,3.3,7.17,WI-84350,43.1828522,-89.4446747,52%,64%,45%,60%,57%,40.5
York (Dane Cnty),Wisconsin,690,19,Madison,670447,$78250,N/A,N/A,N/A,N/A,N/A,65,77.20%,N/A,26.90%,N/A,N/A,N/A,2.60%,N/A,Dane County,70.40%,23.00%,0.4%,1.6%,95.2%,1.4%,N/A,Central Standard Time,82,27,55,35,115,41,8.1,80,863,3.3,36.32,WI-89450,43.2396769,-89.0679388,52%,64%,45%,60%,57%,40.5
