City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Penn township (Cumberland Cnty),Pennsylvania,2977,1474,Harrisburg-Carlisle,661513,$60700,N/A,N/A,$230000,1691,$136,34,79.50%,N/A,36.40%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,49.84,29.0,7.2,79,810,4,2.02,PA-58824,40.1033326,-77.341081,55%,61%,52%,53%,53%,30.2,41,62,65,22,13.19,10.46,37.67%,39.23%,35.67%,11,94
Plainfield,Pennsylvania,278,428,Harrisburg-Carlisle,661513,$37604,5.76%,73,$235000,1926,$122,60,87.41%,N/A,50.36%,N/A,N/A,12.59%,29.91%,42.09%,Cumberland County,38.10%,55.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,38,49,47.73,27.7,7.2,75,393,4,0.65,PA-61080,40.2011722,-77.2832786,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
Schlusser,Pennsylvania,5927,1723,Harrisburg-Carlisle,661513,$81090,36.32%,40,$325000,1994,$163,38,84.79%,$817,34.74%,N/A,N/A,6.24%,4.56%,67.79%,Cumberland County,38.10%,55.90%,1.35%,5.96%,87.87%,2.87%,7.04%,Eastern Standard Time,87,38,49,47.73,27.7,6.5,61,393,4,3.44,PA-68188,40.243357,-77.1801387,55%,61%,52%,56%,55%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,91
Shippensburg,Pennsylvania,5621,2769,Harrisburg-Carlisle,661513,$42605,35.92%,35,$235000,1942,$121,70,46.01%,$793,64.27%,N/A,N/A,17.2%,4.65%,63.94%,Cumberland County,38.10%,55.90%,1.71%,4.07%,84.84%,7.6%,7.01%,Eastern Standard Time,89,39,50,43.24,29.2,7.2,66,621,4,2.03,PA-70352,40.0484046,-77.522782,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Shippensburg borough,Pennsylvania,5621,2769,Harrisburg-Carlisle,661513,$42605,35.92%,35,$235000,1942,$121,70,46.01%,$793,64.27%,N/A,N/A,17.2%,4.65%,63.94%,Cumberland County,38.10%,55.90%,1.71%,4.07%,84.84%,7.6%,7.01%,Eastern Standard Time,89,39,50,43.24,29.2,7.2,61,621,4,2.03,PA-70352,40.0484046,-77.522782,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Shippensburg University,Pennsylvania,1887,6739,Harrisburg-Carlisle,661513,$17067,69.12%,19,N/A,N/A,N/A,43,0.0%,$1397,97.4%,N/A,N/A,76.35%,16.05%,47.85%,Cumberland County,38.10%,55.90%,2.76%,14.79%,74.83%,7.21%,2.81%,Eastern Standard Time,89,39,50,43.24,29.2,7.2,66,621,4,0.28,PA-70362,40.0617325,-77.5227893,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Shiremanstown,Pennsylvania,1611,5197,Harrisburg-Carlisle,661513,$58750,32.25%,41,$229000,2045,$112,63,71.64%,$809,53.39%,N/A,N/A,6.21%,10.32%,67.53%,Cumberland County,38.10%,55.90%,2.79%,3.35%,85.04%,6.58%,8.01%,Eastern Standard Time,89,41,48,47.09,22.6,7.2,48,402,4,0.31,PA-70384,40.2223545,-76.9555656,55%,61%,52%,53%,53%,30.2,41,62,68,25,13.85,9.67,35.07%,38.24%,32.78%,11,94
Silver Spring,Pennsylvania,16302,504,Harrisburg-Carlisle,661513,$77500,46.20%,N/A,N/A,N/A,N/A,26,76.10%,N/A,38.00%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,9.47%,1.37%,N/A,2.00%,N/A,Eastern Standard Time,87,38,49,47.09,27.7,6.5,64,402,4,32.35,PA-70792,40.2502693,-77.056658,55%,61%,52%,56%,55%,30.2,41,62,63,21,13.85,9.67,34.27%,37.47%,31.44%,8,91
South Middleton,Pennsylvania,15189,312,Harrisburg-Carlisle,661513,$69300,35.89%,N/A,N/A,N/A,N/A,33,78.50%,N/A,39.60%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,1.08%,1.75%,N/A,2.60%,N/A,Eastern Standard Time,87,38,49,47.73,27.7,7.2,69,393,4,48.68,PA-72336,40.1324338,-77.164228,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
South Newton,Pennsylvania,1297,115,Harrisburg-Carlisle,661513,$69688,12.29%,N/A,N/A,N/A,N/A,43,72.50%,N/A,38.10%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,49.84,29.0,7.2,79,810,4,11.28,PA-72384,40.0723631,-77.4006254,55%,61%,52%,53%,53%,30.2,41,62,65,22,13.19,10.46,37.67%,39.23%,35.67%,11,94
Southampton township (Cumberland Cnty),Pennsylvania,6820,133,Harrisburg-Carlisle,661513,$60077,N/A,N/A,N/A,N/A,N/A,22,77.20%,N/A,43.90%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,1.30%,N/A,Eastern Standard Time,89,39,50,43.24,29.2,7.2,78,621,4,51.28,PA-71904,40.0423473,-77.4569496,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Upper Allen,Pennsylvania,19308,1463,Harrisburg-Carlisle,661513,$66058,47.53%,N/A,N/A,N/A,N/A,31,72.80%,N/A,48.50%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,4.70%,5.13%,N/A,N/A,N/A,Eastern Standard Time,89,41,48,47.09,22.6,7.2,59,402,4,13.2,PA-78736,40.180002,-76.9807888,55%,61%,52%,53%,53%,30.2,41,62,68,25,13.85,9.67,35.07%,38.24%,32.78%,11,94
Upper Frankford,Pennsylvania,1961,101,Harrisburg-Carlisle,661513,$46289,13.18%,N/A,N/A,N/A,N/A,33,78.30%,N/A,34.60%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,1.97%,N/A,N/A,1.50%,N/A,Eastern Standard Time,87,38,49,47.73,27.7,6.5,78,393,4,19.42,PA-79032,40.2393119,-77.3690306,55%,61%,52%,56%,55%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,91
Upper Mifflin,Pennsylvania,1380,64,Harrisburg-Carlisle,661513,$53385,12.15%,N/A,N/A,N/A,N/A,40,82.90%,N/A,38.60%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,43.24,29.2,6.5,78,621,4,21.56,PA-79152,40.1937202,-77.5025707,55%,61%,52%,56%,55%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
West Fairview,Pennsylvania,1244,3888,Harrisburg-Carlisle,661513,$55938,9.65%,37,$131000,1310,$100,78,52.41%,$1020,63.75%,N/A,N/A,17.68%,5.9%,76.63%,Cumberland County,38.10%,55.90%,1.69%,4.26%,85.53%,4.18%,1.69%,Eastern Standard Time,86,37,49,46.99,22.6,6.5,47,384,4,0.32,PA-82920,40.2777663,-76.9196036,55%,61%,52%,56%,55%,30.2,41,62,65,22,14.65,9.21,35.26%,39.01%,32.89%,11,89
West Pennsboro,Pennsylvania,5595,185,Harrisburg-Carlisle,661513,$69259,17.77%,N/A,N/A,N/A,N/A,43,77.40%,N/A,39.10%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,2.76%,N/A,2.50%,N/A,Eastern Standard Time,87,38,49,47.73,27.7,7.2,75,393,4,30.24,PA-83800,40.1798175,-77.3331909,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
Wormleysburg,Pennsylvania,3031,3886,Harrisburg-Carlisle,661513,$70000,42.14%,33,$263000,1920,$137,54,52.91%,$1065,64.53%,N/A,N/A,7.85%,6.21%,73.86%,Cumberland County,38.10%,55.90%,13.56%,5.58%,64.27%,8.78%,13.79%,Eastern Standard Time,86,37,49,46.99,22.6,6.5,47,384,4,0.78,PA-86528,40.2604143,-76.9094727,55%,61%,52%,56%,55%,30.2,41,62,65,22,14.65,9.21,35.26%,39.01%,32.89%,11,89
