City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Harwich,Massachusetts,12143,581,Barnstable Town,213164,78,38,40,48,107,201,25,N/A,N/A,15,12,24,55,47.57%,$67332,N/A,N/A,N/A,$442200,N/A,N/A,43,43.50%,5%,27%,20%,91,20 mins,2.60%,3.80%,-1.20%,Barnstable County,53.30%,39.80%,1.1%,2.0%,92.9%,1.7%,N/A,Eastern Standard Time,60,3.4,44.00%,28,N/A,28,N/A,0.00,38,0,2,N/A,N/A,MA-29020,20.9
Harwich Center,Massachusetts,1383,615,Barnstable Town,213164,78,38,40,48,108,205,26,60.7,41.9,N/A,10,16,48,56.76%,$72530,0.0%,N/A,N/A,$401000,N/A,N/A,41,46.40%,5%,26%,20%,91,23 mins,2.60%,3.70%,-23.80%,Barnstable County,53.30%,39.80%,0.0%,8.24%,90.53%,1.23%,5.78%,Eastern Standard Time,60,3.4,44.10%,31,N/A,49,22.5%,0.00,38,0,2,N/A,N/A,MA-29055,2.25
Harwich Port,Massachusetts,1906,725,Barnstable Town,213164,78,38,40,48,107,199,23,60.7,41.9,15,12,19,63,58.94%,$62794,9.64%,N/A,N/A,$484900,N/A,N/A,59,30.60%,5%,25%,22%,91,23 mins,2.60%,3.70%,10.60%,Barnstable County,53.30%,39.80%,0.0%,1.15%,94.91%,2.26%,1.94%,Eastern Standard Time,60,3.4,49.30%,47,N/A,42,23.0%,0.00,38,0,2,N/A,N/A,MA-29090,2.63
Mashpee,Massachusetts,14054,601,Barnstable Town,213164,79,38,41,47,104,201,25,N/A,N/A,14,22,24,52,41.36%,$65768,N/A,N/A,N/A,$411300,N/A,N/A,32,53.60%,5%,26%,21%,89,26 mins,2.60%,3.70%,1.50%,Barnstable County,53.30%,39.80%,1.0%,2.5%,85.9%,2.0%,N/A,Eastern Standard Time,60,3.4,44.80%,28,N/A,37,N/A,0.00,41,0,15,N/A,N/A,MA-39100,23.38
Monomoscoy Island,Massachusetts,114,496,Barnstable Town,213164,79,38,41,47,104,201,25,60.7,41.9,N/A,8,12,55,34.02%,$75278,0.0%,N/A,N/A,$640400,N/A,N/A,54,21.90%,5%,25%,22%,89,23 mins,2.60%,3.70%,11.30%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,60,3.4,29.70%,2,N/A,26,27.4%,0.00,42,0,15,N/A,N/A,MA-41960,0.23
Monument Beach,Massachusetts,3173,1230,Barnstable Town,213164,80,38,42,50,106,202,30,60.3,41.2,13,10,16,51,39.77%,$91319,2.02%,N/A,N/A,$379800,N/A,N/A,36,59.40%,5%,25%,22%,87,22 mins,2.60%,3.70%,18.10%,Barnstable County,53.30%,39.80%,0.0%,0.0%,86.92%,6.21%,5.01%,Eastern Standard Time,60,3.4,49.20%,29,N/A,38,19.1%,0.00,39,0,16,N/A,N/A,MA-42670,2.58
North Eastham,Massachusetts,1741,506,Barnstable Town,213164,78,38,40,48,108,200,26,60.9,42.4,15,12,19,64,50.6%,$74436,8.62%,N/A,N/A,$498600,N/A,N/A,46,25.90%,5%,26%,21%,89,23 mins,2.60%,3.70%,-12.20%,Barnstable County,53.30%,39.80%,0.63%,0.0%,95.0%,1.32%,3.1%,Eastern Standard Time,60,3.4,47.60%,9,N/A,N/A,24.9%,0.00,37,0,1,N/A,N/A,MA-47590,3.44
North Falmouth,Massachusetts,2572,661,Barnstable Town,213164,80,38,42,48,105,202,29,60.7,41.9,13,9,15,51,63.88%,$97407,2.21%,N/A,N/A,$534300,N/A,N/A,47,43.80%,7%,25%,21%,87,23 mins,2.60%,3.70%,-11.80%,Barnstable County,53.30%,39.80%,1.17%,0.27%,97.86%,0.08%,4.7%,Eastern Standard Time,60,3.4,37.00%,14,N/A,30,19.6%,0.00,39,0,16,N/A,N/A,MA-47730,3.89
Northwest Harwich,Massachusetts,4123,517,Barnstable Town,213164,78,38,40,48,107,198,25,61.2,42.4,N/A,10,17,54,43.66%,$78293,7.93%,N/A,N/A,$402800,N/A,N/A,45,42.20%,5%,24%,21%,91,23 mins,2.60%,3.70%,-6.70%,Barnstable County,53.30%,39.80%,0.34%,1.07%,89.59%,4.63%,1.89%,Eastern Standard Time,60,3.4,44.30%,6,N/A,35,22.7%,0.00,39,0,3,N/A,N/A,MA-49700,7.98
Orleans,Massachusetts,1519,655,Barnstable Town,213164,78,38,40,48,108,201,26,N/A,N/A,15,11,29,63,45.52%,$57176,13.17%,N/A,N/A,$627400,N/A,N/A,40,39.40%,4%,20%,17%,89,17 mins,2.60%,3.70%,-2.60%,Barnstable County,53.30%,39.80%,0.0%,7.57%,88.55%,3.88%,9.48%,Eastern Standard Time,60,3.4,45.00%,66,N/A,72,29.4%,0.00,N/A,0,1,N/A,N/A,MA-51405,2.32
Pocasset,Massachusetts,2596,702,Barnstable Town,213164,79,38,41,48,105,203,29,60.7,41.9,13,11,17,60,40.91%,$60847,5.93%,N/A,N/A,$364300,N/A,N/A,48,45.20%,5%,25%,21%,87,25 mins,2.60%,3.70%,7.80%,Barnstable County,53.30%,39.80%,0.0%,0.39%,99.27%,0.35%,2.2%,Eastern Standard Time,60,3.4,45.70%,21,N/A,20,21.7%,6.36,38,0,16,N/A,N/A,MA-54450,3.7
Popponesset,Massachusetts,202,652,Barnstable Town,213164,79,38,41,47,104,201,25,60.7,41.9,N/A,10,16,35,79.88%,$250001,0.0%,N/A,N/A,$708700,N/A,N/A,50,13.30%,5%,25%,21%,89,23 mins,2.60%,3.70%,25.50%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,23.76%,Eastern Standard Time,60,3.4,38.60%,11,N/A,23,51.0%,0.00,41,0,14,N/A,N/A,MA-55070,0.31
Popponesset Island,Massachusetts,35,500,Barnstable Town,213164,79,38,41,47,104,201,25,60.7,41.9,N/A,12,19,81,77.14%,$0,0.0%,N/A,N/A,$426900,N/A,N/A,25,36.20%,5%,24%,21%,89,23 mins,2.60%,3.70%,-90.90%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,60,3.4,100.00%,4,N/A,22,N/A,0.00,41,0,14,N/A,N/A,MA-55090,0.07
Provincetown,Massachusetts,2730,1525,Barnstable Town,213164,80,39,41,48,121,201,27,N/A,N/A,N/A,38,48,56,60.61%,$69063,10.45%,N/A,N/A,$605800,N/A,N/A,67,28.60%,6%,32%,36%,87,23 mins,2.60%,3.70%,-2.90%,Barnstable County,53.30%,39.80%,1.39%,2.12%,87.25%,6.89%,11.65%,Eastern Standard Time,60,3.4,58.20%,52,N/A,69,28.7%,0.00,40,0,4,N/A,N/A,MA-55535,1.79
Sagamore,Massachusetts,3792,1139,Barnstable Town,213164,80,38,42,48,106,198,30,60.3,41.2,12,10,15,39,45.93%,$96250,5.48%,N/A,N/A,$398600,N/A,N/A,41,61.70%,5%,25%,21%,86,24 mins,2.60%,3.70%,-1.40%,Barnstable County,53.30%,39.80%,4.38%,1.93%,78.9%,2.56%,6.96%,Eastern Standard Time,60,3.4,45.00%,30,N/A,42,21.7%,0.00,39,0,16,N/A,N/A,MA-58965,3.33
Sandwich,Massachusetts,2928,807,Barnstable Town,213164,79,38,41,47,104,201,28,N/A,N/A,12,12,19,56,56.73%,$96198,7.02%,N/A,N/A,$378800,N/A,N/A,36,71.30%,4%,25%,23%,88,28 mins,2.60%,3.70%,-1.00%,Barnstable County,53.30%,39.80%,3.38%,0.0%,93.44%,2.87%,5.23%,Eastern Standard Time,60,3.4,40.30%,57,N/A,56,20.9%,0.00,40,0,17,N/A,N/A,MA-59700,3.63
Seabrook,Massachusetts,520,1486,Barnstable Town,213164,79,38,41,47,104,201,25,60.7,41.9,N/A,9,14,59,59.38%,$108601,3.31%,N/A,N/A,$441700,N/A,N/A,29,74.30%,5%,25%,21%,89,23 mins,2.60%,3.70%,36.70%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,9.81%,Eastern Standard Time,60,3.4,35.80%,4,N/A,N/A,19.3%,0.00,42,0,15,N/A,N/A,MA-60505,0.35
Seconsett Island,Massachusetts,37,370,Barnstable Town,213164,79,38,41,47,104,201,25,60.7,41.9,N/A,17,28,75,24.32%,$0,0.0%,N/A,N/A,$426900,N/A,N/A,78,0.00%,5%,25%,21%,89,23 mins,2.60%,3.70%,-28.00%,Barnstable County,53.30%,39.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,60,3.4,100.00%,3,N/A,21,N/A,0.00,42,0,15,N/A,N/A,MA-60627,0.1
South Dennis,Massachusetts,2895,636,Barnstable Town,213164,79,39,40,46,106,200,26,60.7,41.9,15,12,19,55,30.83%,$61971,7.83%,N/A,N/A,$305500,N/A,N/A,44,43.80%,5%,24%,21%,90,23 mins,2.60%,3.70%,-4.30%,Barnstable County,53.30%,39.80%,2.0%,0.45%,95.68%,0.45%,4.63%,Eastern Standard Time,60,3.4,50.60%,16,N/A,29,21.4%,14.84,40,0,4,N/A,N/A,MA-63655,4.55
South Yarmouth,Massachusetts,10598,1523,Barnstable Town,213164,79,39,40,46,106,199,26,60.7,41.9,15,13,20,56,28.93%,$67408,3.8%,N/A,N/A,$335700,N/A,N/A,48,46.00%,5%,25%,20%,88,20 mins,2.60%,3.70%,-0.70%,Barnstable County,53.30%,39.80%,1.92%,4.93%,85.94%,3.63%,12.06%,Eastern Standard Time,60,3.4,50.10%,54,N/A,51,22.5%,2.57,40,0,5,N/A,N/A,MA-66035,6.96
Teaticket,Massachusetts,1608,1531,Barnstable Town,213164,80,38,42,49,112,197,25,60.7,41.9,13,11,18,61,47.7%,$68553,6.65%,N/A,N/A,$377800,N/A,N/A,46,43.50%,5%,26%,21%,84,23 mins,2.60%,3.70%,-12.80%,Barnstable County,53.30%,39.80%,0.0%,1.93%,90.73%,4.6%,2.99%,Eastern Standard Time,60,3.4,47.30%,61,N/A,55,20.0%,0.00,40,0,15,N/A,N/A,MA-69205,1.05
Truro,Massachusetts,1580,75,Barnstable Town,213164,78,38,40,48,121,201,27,N/A,N/A,15,24,22,60,48.46%,$58060,N/A,N/A,N/A,$697100,N/A,N/A,45,15.20%,2%,23%,20%,89,23 mins,2.60%,3.70%,-13.70%,Barnstable County,53.30%,39.80%,0.0%,1.3%,97.2%,0.6%,N/A,Eastern Standard Time,60,3.4,38.80%,36,N/A,27,N/A,0.00,39,0,3,N/A,N/A,MA-70605,21.07
Wellfleet,Massachusetts,3171,160,Barnstable Town,213164,78,38,40,48,116,201,26,N/A,N/A,15,12,21,57,53.57%,$45746,N/A,N/A,N/A,$571600,N/A,N/A,42,28.90%,5%,20%,18%,89,23 mins,2.60%,3.70%,7.60%,Barnstable County,53.30%,39.80%,3.4%,2.2%,90.8%,0.3%,N/A,Eastern Standard Time,60,3.4,57.60%,26,N/A,48,N/A,0.00,37,0,3,N/A,N/A,MA-74385,19.82
West Chatham,Massachusetts,1224,419,Barnstable Town,213164,78,38,40,48,109,200,23,61.3,42.7,15,11,18,57,65.94%,$84412,17.16%,N/A,N/A,$632400,N/A,N/A,46,21.00%,5%,25%,22%,90,23 mins,2.60%,3.70%,18.80%,Barnstable County,53.30%,39.80%,9.31%,1.06%,89.62%,0.0%,8.5%,Eastern Standard Time,60,3.4,35.00%,34,N/A,28,19.9%,0.00,37,0,1,N/A,N/A,MA-75505,2.92
West Dennis,Massachusetts,2479,760,Barnstable Town,213164,79,39,40,46,106,205,24,61.1,42.3,15,11,18,58,46.15%,$73913,6.7%,N/A,N/A,$373300,N/A,N/A,55,27.60%,5%,25%,21%,91,23 mins,2.60%,3.70%,14.10%,Barnstable County,53.30%,39.80%,0.0%,4.68%,82.17%,12.22%,8.59%,Eastern Standard Time,60,3.4,40.00%,49,N/A,46,17.2%,0.00,N/A,0,3,N/A,N/A,MA-75820,3.26
West Falmouth,Massachusetts,1836,596,Barnstable Town,213164,79,38,41,48,112,202,31,60.7,41.9,13,9,14,56,72.29%,$129688,1.85%,N/A,N/A,$681100,N/A,N/A,43,39.20%,5%,25%,20%,87,23 mins,2.60%,3.70%,23.30%,Barnstable County,53.30%,39.80%,1.96%,0.0%,94.06%,0.0%,11.66%,Eastern Standard Time,60,3.4,32.40%,30,N/A,33,17.0%,0.00,39,0,16,N/A,N/A,MA-75960,3.08
West Yarmouth,Massachusetts,6388,955,Barnstable Town,213164,79,39,40,46,105,204,26,60.7,41.9,15,11,18,47,37.92%,$57852,6.77%,N/A,N/A,$308600,N/A,N/A,50,37.10%,5%,25%,20%,87,24 mins,2.60%,3.70%,-8.00%,Barnstable County,53.30%,39.80%,1.94%,8.99%,76.58%,7.47%,15.95%,Eastern Standard Time,60,3.4,49.30%,47,N/A,47,23.4%,3.49,40,0,5,N/A,N/A,MA-78795,6.69
Woods Hole,Massachusetts,933,438,Barnstable Town,213164,80,38,42,48,113,201,31,61,42.2,13,11,18,62,76.81%,$74550,7.18%,N/A,N/A,$912800,N/A,N/A,67,33.80%,5%,25%,20%,85,23 mins,2.60%,3.70%,57.10%,Barnstable County,53.30%,39.80%,0.0%,0.0%,96.25%,0.0%,8.68%,Eastern Standard Time,60,3.4,38.80%,50,N/A,58,16.5%,0.00,41,0,17,N/A,N/A,MA-81245,2.13
Yarmouth,Massachusetts,23459,971,Barnstable Town,213164,79,39,40,46,106,201,26,N/A,N/A,15,41,32,52,36.81%,$55858,N/A,N/A,N/A,$333300,N/A,N/A,46,49.20%,6%,29%,22%,88,22 mins,2.50%,3.70%,-2.40%,Barnstable County,53.30%,39.80%,2.1%,1.9%,92.1%,1.7%,N/A,Eastern Standard Time,60,3.4,48.50%,34,N/A,44,N/A,0.00,40,0,5,N/A,N/A,MA-82525,24.16
Yarmouth Port,Massachusetts,5202,864,Barnstable Town,213164,79,39,40,46,106,198,26,60.7,41.9,15,10,16,61,53.03%,$83056,9.02%,N/A,N/A,$399400,N/A,N/A,38,73.10%,5%,24%,22%,89,24 mins,2.60%,3.70%,-4.40%,Barnstable County,53.30%,39.80%,0.17%,0.96%,97.1%,1.44%,3.31%,Eastern Standard Time,60,3.4,46.80%,42,N/A,41,21.4%,6.04,40,0,6,N/A,N/A,MA-82595,6.02
