City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Elephant Head,Arizona,558,99,Tucson,1061175,97,65,32,16,58,285,0,54.6,37.2,N/A,22,34,46,7.03%,$43409,3.05%,N/A,N/A,$203400,N/A,N/A,24,86.90%,7%,31%,8%,80,24 mins,5.30%,2.00%,34.10%,Pima County,53.30%,39.70%,0.7%,0.0%,62.7%,35.9%,12.19%,Mountain Standard Time,2555,6.5,39.80%,0,N/A,7,14.1%,0.00,6,0,0,N/A,N/A,AZ-21980
Flowing Wells,Arizona,17227,3932,Tucson,1061175,101,66,35,12,48,287,0,54.6,37.2,N/A,23,47,38,12.18%,$34581,25.14%,$926,650,$73700,N/A,N/A,38,63.70%,7%,31%,8%,48,22 mins,5.30%,2.00%,-7.30%,Pima County,53.30%,39.70%,3.9%,1.2%,45.2%,46.6%,16.74%,Mountain Standard Time,2555,6.5,55.80%,54,31,82,19.1%,0.00,5,0,0,N/A,N/A,AZ-23960
Green Valley,Arizona,20857,680,Tucson,1061175,99,65,34,14,54,280,0,54.6,37.2,7,16,33,72,42.37%,$50511,5.57%,$1086,938,$280000,1489,$188,31,62.40%,10%,29%,7%,73,21 mins,5.30%,2.00%,2.40%,Pima County,53.30%,39.70%,0.4%,0.2%,92.9%,5.9%,7.81%,Mountain Standard Time,2555,6.5,32.80%,12,N/A,31,13.7%,7.52,6,0,0,N/A,N/A,AZ-29710
Gu Oidak,Arizona,126,14,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,27,42,40,0.0%,$34286,86.51%,N/A,N/A,$207100,N/A,N/A,41,49.20%,7%,32%,8%,83,24 mins,5.30%,2.00%,84.90%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,51.30%,0,N/A,25,N/A,0.00,7,0,0,N/A,N/A,AZ-30550
Haivana Nakya,Arizona,232,77,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,27,42,33,0.0%,$11094,95.69%,N/A,N/A,$178000,N/A,N/A,70,32.80%,7%,31%,8%,83,24 mins,5.30%,2.00%,204.30%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,87.90%,0,N/A,25,N/A,0.00,N/A,0,0,N/A,N/A,AZ-30850
Ko Vaya,Arizona,26,7,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,23,36,7,0.0%,$0,0.0%,N/A,N/A,$207100,N/A,N/A,33,44.40%,7%,32%,8%,80,24 mins,5.30%,2.00%,0.00%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,N/A,0,N/A,15,N/A,0.00,6,0,0,N/A,N/A,AZ-38950
Littletown,Arizona,610,4880,Tucson,1061175,100,65,35,12,54,285,1,54.6,37.2,N/A,19,30,30,N/A,$40859,N/A,N/A,N/A,$96900,N/A,N/A,44,N/A,7%,32%,8%,61,24 mins,5.30%,2.00%,-20.80%,Pima County,53.30%,39.70%,0.0%,0.0%,42.5%,57.5%,N/A,Mountain Standard Time,2555,6.5,32.30%,36,25,55,N/A,0.00,5,0,0,N/A,N/A,AZ-41540
Maish Vaya,Arizona,179,44,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,34,52,34,0.0%,$19500,78.77%,N/A,N/A,$89400,N/A,N/A,45,58.30%,6%,30%,8%,80,24 mins,5.30%,2.00%,1988.90%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,66.40%,0,N/A,14,16.8%,0.00,6,0,0,N/A,N/A,AZ-43920
Marana,Arizona,47164,345,Tucson,1061175,101,66,35,12,48,282,0,54.6,37.2,6,10,37,37,46.54%,$89689,5.6%,$1355,945,$370800,1882,$197,13,71.90%,7%,30%,11%,67,29 mins,4.10%,2.00%,32.70%,Pima County,53.30%,39.70%,4.2%,2.0%,63.6%,25.9%,8.68%,Mountain Standard Time,2555,6.5,35.80%,12,N/A,38,17.4%,9.77,5,0,0,N/A,N/A,AZ-44270
Nelson,Arizona,775,992,Tucson,1061175,103,66,37,11,45,285,0,54.6,37.2,N/A,32,49,15,7.12%,$46984,33.68%,N/A,N/A,$101000,N/A,N/A,21,67.10%,7%,31%,8%,70,24 mins,5.30%,2.00%,224.00%,Pima County,53.30%,39.70%,0.0%,0.0%,38.9%,56.7%,1.68%,Mountain Standard Time,2555,6.5,69.20%,0,N/A,N/A,17.8%,0.00,5,0,0,N/A,N/A,AZ-49100
Oro Valley,Arizona,45303,1204,Tucson,1061175,101,65,36,14,51,279,0,54.6,37.2,6,9,23,52,55.45%,$86863,7.23%,$1264,916,$460000,2035,$226,22,65.90%,6%,27%,8%,76,28 mins,5.00%,2.00%,7.80%,Pima County,53.30%,39.70%,3.0%,1.8%,78.2%,14.9%,9.72%,Mountain Standard Time,2555,6.5,37.20%,12,N/A,41,16.6%,0.00,5,0,0,N/A,N/A,AZ-51600
Picture Rocks,Arizona,8955,122,Tucson,1061175,101,65,36,13,48,290,0,54.6,37.2,N/A,33,61,46,15.01%,$53359,12.92%,$1605,1055,$179000,1234,$145,23,74.30%,12%,38%,12%,71,39 mins,5.30%,2.00%,3.40%,Pima County,53.30%,39.70%,0.0%,0.6%,79.7%,16.8%,6.4%,Mountain Standard Time,2555,6.5,46.50%,4,N/A,N/A,18.4%,0.00,5,0,0,N/A,N/A,AZ-55300
Pimaco Two,Arizona,669,147,Tucson,1061175,97,63,34,13,56,285,2,54.6,37.2,N/A,19,30,53,N/A,$32500,0%,N/A,N/A,$186000,N/A,N/A,25,76.20%,6%,32%,8%,80,24 mins,5.30%,2.00%,-3.60%,Pima County,53.30%,39.70%,0.0%,0.0%,88.0%,9.1%,2.7%,Mountain Standard Time,2555,6.5,35.20%,0,N/A,22,15.3%,0.00,5,0,0,N/A,N/A,AZ-55575
