City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Linwood,Pennsylvania,3473,5343,Philadelphia-Camden-Wilmington,6215222,$62656,11.61%,36,$149000,1080,$138,72,52.77%,$965,70.33%,N/A,N/A,14.63%,3.68%,72.22%,Delaware County,59.30%,37.00%,0.81%,6.02%,88.8%,3.08%,0.92%,Eastern Standard Time,85,38,47,68,25,55%,55%,43,63,87,55%,62%,50%,50.38,15.33,11.26,28.88%,29.01%,30.44%,25.2,10,7.4,29.3,57,300,3.8,0.65,PA-43720,39.8253739,-75.4252387
Lower Chichester,Pennsylvania,3479,3251,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,38,47,68,25,55%,55%,43,63,87,55%,62%,50%,50.38,15.33,11.26,28.88%,29.01%,30.44%,25.2,10,7.4,29.3,57,300,3.8,1.07,PA-44888,39.8219059,-75.4324186
Marcus Hook,Pennsylvania,2334,2103,Philadelphia-Camden-Wilmington,6215222,$37149,13.3%,31,$175000,1199,$146,78,41.22%,$928,74.73%,N/A,N/A,20.47%,10.39%,63.98%,Delaware County,59.30%,37.00%,3.13%,9.64%,75.92%,10.88%,3.0%,Eastern Standard Time,85,38,47,68,25,55%,55%,43,63,87,55%,62%,50%,50.38,15.33,11.26,28.88%,29.01%,30.44%,25.2,10,7.4,29.3,37,300,3.8,1.11,PA-47344,39.8131619,-75.4163361
Marple,Pennsylvania,23685,2322,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,1328,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,50.29,15.12,11.31,32.27%,31.87%,33.56%,25.2,10,7.4,28.3,55,357,3.8,10.2,PA-47616,39.9654332,-75.3657451
Media,Pennsylvania,5658,7445,Philadelphia-Camden-Wilmington,6215222,$76658,54.34%,43,$460000,1797,$256,65,51.33%,$1168,57.16%,N/A,N/A,6.41%,4.92%,78.13%,Delaware County,59.30%,37.00%,4.42%,6.01%,80.45%,2.1%,8.27%,Eastern Standard Time,89,42,47,71,27,55%,55%,43,63,94,55%,62%,50%,50.29,15.12,11.31,33.42%,33.3%,36.56%,25.2,10,7.4,29.3,46,357,3.8,0.76,PA-48480,39.9198724,-75.3888835
Middletown township (Delaware Cnty),Pennsylvania,15942,6108,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,$270000,1492,$181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,71,27,55%,55%,43,63,94,55%,62%,50%,50.29,15.12,11.31,33.42%,33.3%,36.56%,25.2,10,7.4,29.3,61,357,3.8,2.61,PA-49136,39.9094374,-75.4311815
Millbourne,Pennsylvania,1258,17971,Philadelphia-Camden-Wilmington,6215222,$53162,30.19%,34,N/A,N/A,N/A,79,47.14%,$952,48.97%,N/A,N/A,19.63%,3.66%,56.68%,Delaware County,59.30%,37.00%,67.17%,21.94%,9.14%,1.75%,62.32%,Eastern Standard Time,90,43,47,72,28,54%,53%,42,62,96,55%,62%,50%,52.92,15.96,11.88,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,41,297,3.8,0.07,PA-49504,39.9637348,-75.2526154
Morton,Pennsylvania,2671,7419,Philadelphia-Camden-Wilmington,6215222,$77500,37.98%,40,$325000,1693,$192,50,62.12%,$1077,53.64%,N/A,N/A,6.1%,7.4%,72.06%,Delaware County,59.30%,37.00%,2.02%,24.71%,69.82%,2.73%,3.41%,Eastern Standard Time,89,42,47,71,27,54%,53%,42,62,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,28.3,46,9,3.8,0.36,PA-51176,39.9115831,-75.326754
Nether Providence,Pennsylvania,13777,2925,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,$400000,1600,$250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,71,27,55%,55%,43,63,94,55%,62%,50%,47.62,14.67,10.58,33.42%,33.3%,36.56%,25.2,10,7.4,29.3,56,9,3.8,4.71,PA-53112,39.8969245,-75.36948
Newtown township (Delaware Cnty),Pennsylvania,12759,19936,Philadelphia-Camden-Wilmington,6215222,N/A,N/A,N/A,$736000,2777,$265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,42,47,68,23,54%,53%,42,62,94,55%,62%,50%,50.29,15.12,11.31,32.27%,31.87%,33.56%,25.2,10,7.4,28.3,61,357,3.8,0.64,PA-54224,39.9920263,-75.4106479
