City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
East Cocalico,Pennsylvania,10460,512,Lancaster,546192,$62549,19.50%,N/A,N/A,N/A,N/A,35,76.90%,N/A,41.50%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.5%,0.6%,89.5%,7.6%,N/A,Eastern Standard Time,85,38,47,45,119,198,26,N/A,N/A,N/A,64,351,3.8,20.43,PA-20984
East Donegal,Pennsylvania,8202,383,Lancaster,546192,$71639,29.23%,N/A,N/A,N/A,N/A,28,75.90%,N/A,40.60%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.0%,0.5%,95.5%,1.6%,N/A,Eastern Standard Time,86,38,48,42,121,198,23,N/A,N/A,N/A,65,351,3.8,21.42,PA-21032
East Drumore,Pennsylvania,3849,166,Lancaster,546192,$53638,16.13%,N/A,N/A,N/A,N/A,35,73.90%,N/A,33.10%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.7%,93.8%,5.3%,N/A,Eastern Standard Time,85,38,47,46,127,198,29,N/A,N/A,N/A,72,351,3.8,23.19,PA-21040
East Earl,Pennsylvania,1388,1477,Lancaster,546192,$87877,17.99%,41,$334000,1796,$186,19,100.0%,N/A,20.10%,N/A,N/A,0.0%,0.0%,69.62%,Lancaster County,37.20%,56.30%,0.0%,0.0%,95.75%,4.25%,17.07%,Eastern Standard Time,85,38,47,47,126,198,28,61.3,42.3,7,70,351,3.8,0.94,PA-21064
East Earl township,Pennsylvania,1388,1477,Lancaster,546192,$87877,17.99%,41,$334000,1796,$186,19,100.0%,N/A,39.40%,N/A,N/A,0.0%,0.0%,69.62%,Lancaster County,37.20%,56.30%,0.0%,0.0%,95.75%,4.25%,17.07%,Eastern Standard Time,85,38,47,46,126,198,28,N/A,N/A,N/A,70,351,3.8,0.94,PA-21064
East Hempfield,Pennsylvania,24218,1149,Lancaster,546192,$68031,46.89%,N/A,N/A,N/A,N/A,37,64.80%,N/A,37.20%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,4.0%,3.5%,84.5%,6.4%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,N/A,52,351,3.8,21.08,PA-21232
East Lampeter,Pennsylvania,16942,862,Lancaster,546192,$56094,27.74%,N/A,N/A,N/A,N/A,37,55.80%,N/A,41.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,4.1%,6.1%,79.1%,8.9%,N/A,Eastern Standard Time,85,38,47,43,122,198,21,N/A,N/A,N/A,56,351,3.8,19.65,PA-21344
East Petersburg,Pennsylvania,4507,3725,Lancaster,546192,$77223,33.2%,44,$275000,1618,$170,55,77.29%,$1242,37.70%,N/A,N/A,8.36%,1.28%,73.86%,Lancaster County,37.20%,56.30%,1.38%,7.74%,78.3%,8.96%,4.28%,Eastern Standard Time,85,38,47,43,121,198,21,61.2,42.3,7,57,351,3.8,1.21,PA-21688
Eden,Pennsylvania,2039,163,Lancaster,546192,$54444,12.98%,N/A,N/A,N/A,N/A,34,82.00%,N/A,39.20%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.3%,2.3%,92.2%,5.1%,N/A,Eastern Standard Time,85,38,47,47,127,198,29,N/A,N/A,7,70,351,3.8,12.51,PA-22336
Elizabeth township (Lancaster Cnty),Pennsylvania,3963,11656,Lancaster,546192,$69712,N/A,N/A,$137000,1202,$114,39,82.60%,N/A,36.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.5%,0.0%,98.4%,0.2%,N/A,Eastern Standard Time,85,38,47,43,121,198,21,N/A,N/A,N/A,68,351,3.8,0.34,PA-23008
Elizabethtown,Pennsylvania,11445,4319,Lancaster,546192,$59960,31.37%,36,$265000,1523,$174,60,57.78%,$957,57.60%,N/A,N/A,9.32%,4.11%,66.08%,Lancaster County,37.20%,56.30%,1.1%,3.23%,92.07%,2.72%,5.71%,Eastern Standard Time,85,37,48,42,121,196,24,61.1,42,7,50,351,3.8,2.65,PA-23016
Ephrata,Pennsylvania,10189,2979,Lancaster,546192,$61753,22.78%,N/A,$273000,1596,$171,29,70.80%,$1319,40.40%,N/A,N/A,7%,3.80%,N/A,Lancaster County,37.20%,56.30%,1.0%,0.8%,91.2%,6.0%,4.8%,Eastern Standard Time,85,38,47,43,124,198,25,61.1,42.1,7,67,351,3.8,3.42,PA-23840
Ephrata borough,Pennsylvania,13785,4031,Lancaster,546192,$50417,N/A,N/A,$273000,1596,$171,52,55.40%,N/A,45.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.8%,2.8%,88.4%,6.1%,N/A,Eastern Standard Time,85,38,47,43,124,195,25,N/A,N/A,N/A,57,351,3.8,3.42,PA-23840
Falmouth,Pennsylvania,569,575,Lancaster,546192,$91818,27.84%,40,N/A,N/A,N/A,32,86.82%,$1187,55.40%,N/A,N/A,20.91%,4.67%,66.67%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,42,121,198,24,61.3,42.3,7,66,351,3.8,0.99,PA-25168
Farmersville,Pennsylvania,958,388,Lancaster,546192,$40417,19.01%,56,N/A,N/A,N/A,50,48.68%,$785,57.90%,N/A,N/A,8.07%,0.0%,32.26%,Lancaster County,37.20%,56.30%,0.0%,1.04%,98.96%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,124,198,25,61.3,42.3,7,68,351,3.8,2.47,PA-25248
Fivepointville,Pennsylvania,1236,1005,Lancaster,546192,$102857,8.45%,35,N/A,N/A,N/A,28,98.62%,N/A,40.40%,N/A,N/A,1.78%,0.0%,66.7%,Lancaster County,37.20%,56.30%,0.0%,0.0%,88.11%,11.89%,0.89%,Eastern Standard Time,85,38,47,45,119,198,28,61.3,42.3,7,69,351,3.8,1.23,PA-26232
Fulton,Pennsylvania,3159,122,Lancaster,546192,$52137,15.60%,N/A,N/A,N/A,N/A,40,74.40%,N/A,49.60%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.7%,92.5%,6.8%,N/A,Eastern Standard Time,86,39,47,44,120,198,18,N/A,N/A,7,74,351,3.8,25.89,PA-28168
Gap,Pennsylvania,2609,900,Lancaster,546192,$95370,24.54%,34,$112000,1577,$71,48,78.65%,$1238,26.70%,N/A,N/A,2.3%,1.67%,75.67%,Lancaster County,37.20%,56.30%,1.15%,5.17%,84.44%,4.06%,2.8%,Eastern Standard Time,85,38,47,46,127,197,29,61.3,42.3,7,72,351,3.8,2.9,PA-28376
George (Lancaster Cnty),Pennsylvania,1207,296,Lancaster,546192,$48000,N/A,N/A,N/A,N/A,N/A,52,73.90%,N/A,37.00%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,1.1%,0.0%,98.6%,0.3%,N/A,Eastern Standard Time,85,38,47,47,127,198,29,N/A,N/A,N/A,73,351,3.8,4.08,N/A
Goodville,Pennsylvania,334,217,Lancaster,546192,$65729,33.74%,19,$302000,1776,$170,43,39.22%,$909,43.40%,N/A,N/A,11.98%,0.0%,92.9%,Lancaster County,37.20%,56.30%,17.07%,0.0%,82.93%,0.0%,17.07%,Eastern Standard Time,85,38,47,47,126,198,28,61.3,42.3,7,70,351,3.8,1.54,PA-30096
Gordonville,Pennsylvania,703,740,Lancaster,546192,$60417,6.72%,25,$410000,2040,$201,48,60.6%,$967,32.10%,N/A,N/A,0.43%,0.0%,54.75%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,126,198,25,61.3,42.3,7,70,351,3.8,0.95,PA-30136
Hopeland,Pennsylvania,614,930,Lancaster,546192,$51071,8.47%,58,N/A,N/A,N/A,48,95.93%,$1356,39.00%,N/A,N/A,0.0%,0.0%,55.14%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,119,198,23,61.3,42.3,7,68,351,3.8,0.66,PA-35632
Intercourse,Pennsylvania,1899,900,Lancaster,546192,$57377,16.24%,29,$418000,2080,$201,32,86.57%,$969,42.30%,N/A,N/A,0.68%,5.09%,63.77%,Lancaster County,37.20%,56.30%,0.0%,1.32%,90.21%,8.48%,0.47%,Eastern Standard Time,85,38,47,43,125,198,25,61.3,42.3,7,70,351,3.8,2.11,PA-37016
Kirkwood,Pennsylvania,377,170,Lancaster,546192,$66500,24.41%,29,$325000,1847,$176,62,58.89%,N/A,29.40%,N/A,N/A,31.56%,6.03%,72.63%,Lancaster County,37.20%,56.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,84,38,46,47,126,198,27,61.3,42.3,7,73,351,3.8,2.22,PA-39944
Lampeter,Pennsylvania,1778,1034,Lancaster,546192,$68669,27.54%,33,$388000,2440,$159,32,72.78%,$1108,45.00%,N/A,N/A,4.56%,1.14%,81.16%,Lancaster County,37.20%,56.30%,2.59%,1.07%,95.61%,0.0%,2.59%,Eastern Standard Time,85,38,47,43,122,198,20,61.3,42.3,7,62,351,3.8,1.72,PA-41192
Lancaster,Pennsylvania,59556,8237,Lancaster,546192,$33772,22.87%,N/A,$265000,1606,$165,78,40.40%,$1358,63.50%,N/A,N/A,19.3%,5.20%,N/A,Lancaster County,37.20%,56.30%,3.9%,14.3%,40.4%,38.7%,11.6%,Eastern Standard Time,85,38,47,43,122,202,20,61.2,42.2,7,19,351,3.8,7.23,PA-41224
Lancaster township (Lancaster Cnty),Pennsylvania,17038,2357,Lancaster,546192,$52535,N/A,N/A,$265000,1606,$165,45,58.40%,N/A,49.50%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,3.0%,8.8%,59.8%,27.0%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,N/A,46,351,3.8,7.23,PA-41224
Landisville,Pennsylvania,2338,1827,Lancaster,546192,$85330,45.59%,53,$404000,2748,$147,51,86.76%,$906,28.70%,N/A,N/A,8.17%,3.65%,58.24%,Lancaster County,37.20%,56.30%,0.0%,0.0%,93.33%,6.67%,1.11%,Eastern Standard Time,85,38,47,43,121,198,21,61.3,42.3,7,59,351,3.8,1.28,PA-41304
Leacock,Pennsylvania,5479,267,Lancaster,546192,$54417,12.79%,N/A,N/A,N/A,N/A,41,62.10%,N/A,36.40%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,3.0%,0.9%,92.2%,3.8%,N/A,Eastern Standard Time,85,38,47,43,125,198,25,N/A,N/A,7,70,351,3.8,20.52,PA-42080
Leola,Pennsylvania,7720,1285,Lancaster,546192,$73833,25.25%,34,$340000,1709,$199,44,55.84%,$1112,39.90%,N/A,N/A,11.24%,6.92%,71.12%,Lancaster County,37.20%,56.30%,5.74%,5.19%,74.03%,12.44%,7.95%,Eastern Standard Time,85,38,47,43,124,198,25,61.3,42.3,7,66,351,3.8,6.01,PA-42776
Lititz,Pennsylvania,9503,4096,Lancaster,546192,$70119,35.99%,41,$333000,1753,$190,54,75.97%,$1001,42.60%,N/A,N/A,2.57%,3.56%,66.96%,Lancaster County,37.20%,56.30%,1.24%,2.98%,88.62%,6.04%,5.38%,Eastern Standard Time,85,38,47,43,121,195,21,61.3,42.3,7,49,351,3.8,2.32,PA-43816
Little Britain,Pennsylvania,209,144,Lancaster,546192,$38207,0.0%,36,N/A,N/A,N/A,78,68.42%,N/A,56.40%,N/A,N/A,13.88%,0.0%,51.18%,Lancaster County,37.20%,56.30%,0.0%,0.0%,99.04%,0.0%,0.0%,Eastern Standard Time,86,39,47,45,121,198,20,61.3,42.3,7,73,351,3.8,1.45,PA-43828
Little Britain township,Pennsylvania,209,144,Lancaster,546192,$62089,0.0%,36,N/A,N/A,N/A,26,68.42%,N/A,38.60%,N/A,N/A,13.88%,0.0%,51.18%,Lancaster County,37.20%,56.30%,0.0%,0.0%,99.04%,0.0%,0.0%,Eastern Standard Time,85,38,47,45,123,198,22,N/A,N/A,N/A,73,351,3.8,1.45,PA-43828
Manheim borough,Pennsylvania,4881,3537,Lancaster,546192,$43477,N/A,N/A,$240000,1500,$160,73,61.70%,N/A,49.60%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,1.5%,94.6%,2.3%,N/A,Eastern Standard Time,85,38,47,43,121,196,21,N/A,N/A,N/A,27,351,3.8,1.38,PA-46896
Manheim township (Lancaster Cnty),Pennsylvania,39568,28672,Lancaster,546192,$67796,N/A,N/A,$240000,1500,$160,39,69.70%,N/A,38.50%,N/A,N/A,N/A,3.40%,N/A,Lancaster County,37.20%,56.30%,5.3%,2.7%,79.1%,10.4%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,N/A,49,351,3.8,1.38,PA-46896
Manor township (Lancaster Cnty),Pennsylvania,20571,10770,Lancaster,546192,$59860,N/A,N/A,$305000,1894,$161,33,69.10%,N/A,42.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,2.0%,3.7%,83.4%,9.1%,N/A,Eastern Standard Time,85,38,47,43,122,198,20,N/A,N/A,N/A,60,351,3.8,1.91,PA-46992
Marietta,Pennsylvania,2616,3488,Lancaster,546192,$44732,20.79%,41,$363000,2503,$145,78,73.43%,$805,51.20%,N/A,N/A,16.92%,5.57%,58.67%,Lancaster County,37.20%,56.30%,0.0%,3.06%,81.73%,5.77%,0.84%,Eastern Standard Time,86,38,48,42,121,196,24,61.3,42.3,7,60,351,3.8,0.75,PA-47424
Martic,Pennsylvania,5232,180,Lancaster,546192,$64714,18.23%,N/A,N/A,N/A,N/A,37,85.60%,N/A,35.10%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.0%,0.0%,96.8%,2.6%,N/A,Eastern Standard Time,86,38,48,43,119,198,24,N/A,N/A,7,70,351,3.8,29.07,PA-47824
Maytown,Pennsylvania,4130,1122,Lancaster,546192,$100670,31.9%,33,$260000,1436,$181,26,94.06%,$989,38.50%,N/A,N/A,7.74%,1.93%,76.07%,Lancaster County,37.20%,56.30%,0.0%,2.71%,84.62%,5.04%,0.0%,Eastern Standard Time,86,38,48,42,121,202,24,61.4,42.4,7,65,351,3.8,3.68,PA-48224
Millersville,Pennsylvania,8309,4305,Lancaster,546192,$55756,37.04%,28,$280000,1697,$165,53,54.06%,$1158,70.50%,N/A,N/A,22.79%,3.66%,61.23%,Lancaster County,37.20%,56.30%,2.67%,5.28%,77.6%,12.24%,6.08%,Eastern Standard Time,85,38,47,43,122,194,20,61.4,42.4,7,58,351,3.8,1.93,PA-49728
Mount Joy borough,Pennsylvania,8071,3349,Lancaster,546192,$54629,N/A,N/A,$293000,1765,$166,43,57.20%,N/A,47.70%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.8%,2.8%,83.3%,10.2%,N/A,Eastern Standard Time,85,38,47,42,121,196,20,N/A,N/A,N/A,55,351,3.8,2.41,PA-51664
Mount Joy township (Lancaster Cnty),Pennsylvania,10790,4477,Lancaster,546192,$62842,N/A,N/A,$293000,1765,$166,26,73.80%,N/A,37.80%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,0.6%,1.0%,91.4%,6.0%,N/A,Eastern Standard Time,85,38,47,42,121,198,23,N/A,N/A,N/A,63,351,3.8,2.41,PA-51664
Mountville,Pennsylvania,2850,3314,Lancaster,546192,$63696,22.74%,42,$315000,1750,$180,48,77.67%,$917,51.40%,N/A,N/A,24.6%,1.5%,62.97%,Lancaster County,37.20%,56.30%,0.18%,0.98%,91.4%,4.6%,6.25%,Eastern Standard Time,85,38,47,43,122,196,20,61.3,42.3,7,59,351,3.8,0.86,PA-52016
New Holland,Pennsylvania,5479,2824,Lancaster,546192,$52334,22.21%,44,$395000,2112,$187,49,72.66%,$1021,44.30%,N/A,N/A,8.4%,2.95%,57.32%,Lancaster County,37.20%,56.30%,1.2%,1.53%,81.75%,9.69%,3.71%,Eastern Standard Time,85,38,47,45,126,200,28,61.3,42.3,7,60,351,3.8,1.94,PA-53696
Paradise,Pennsylvania,1124,969,Lancaster,546192,$83824,14.99%,37,$321000,2019,$159,79,83.58%,$725,49.50%,N/A,N/A,5.31%,8.21%,73.85%,Lancaster County,37.20%,56.30%,0.0%,1.6%,88.08%,6.67%,3.2%,Eastern Standard Time,85,38,47,46,126,197,28,61.3,42.3,7,69,351,3.8,1.16,PA-57840
Paradise township (Lancaster Cnty),Pennsylvania,1124,969,Lancaster,546192,$83824,14.99%,37,$321000,2019,$159,79,83.58%,$725,41.40%,N/A,N/A,5.31%,8.21%,73.85%,Lancaster County,37.20%,56.30%,0.0%,1.6%,88.08%,6.67%,3.2%,Eastern Standard Time,85,38,47,45,126,198,28,N/A,N/A,N/A,69,351,3.8,1.16,PA-57840
Penn township (Lancaster Cnty),Pennsylvania,9337,58356,Lancaster,546192,$68000,N/A,N/A,$230000,1691,$136,31,76.90%,N/A,40.40%,N/A,N/A,N/A,3.80%,N/A,Lancaster County,37.20%,56.30%,2.1%,1.5%,89.1%,5.4%,N/A,Eastern Standard Time,85,38,47,43,121,198,21,N/A,N/A,N/A,65,351,3.8,0.16,PA-58840
Penryn,Pennsylvania,1058,560,Lancaster,546192,$121176,23.56%,47,N/A,N/A,N/A,34,95.18%,$1348,35.90%,N/A,N/A,0.0%,0.0%,77.05%,Lancaster County,37.20%,56.30%,0.0%,0.0%,99.24%,0.0%,0.0%,Eastern Standard Time,85,38,47,43,121,198,21,61.3,42.3,7,65,351,3.8,1.89,PA-59344
