City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Havensville,Kansas,127,907,Manhattan,130142,88,38,50,35,85,208,21,62.3,42.6,9,6,5,50,22.77%,$101250,14.96%,$575,N/A,N/A,N/A,N/A,78,95.28%,3%,19%,20%,75,21 mins,0.0%,0.80%,51.20%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,85.04%,10.24%,1.57%,Central Standard Time,1024,4.5,42.90%,2,N/A,N/A,9.0%,0.00,0,2,0,0,0,KS-30775,0.14,74.26%
Lincoln township (Pottawatomie Cnty),Kansas,108,4,Manhattan,130142,88,38,50,35,83,212,20,N/A,N/A,N/A,8,16,N/A,N/A,$90208,N/A,N/A,N/A,N/A,N/A,N/A,27,78.90%,3%,20%,20%,75,21 mins,3.50%,0.80%,33.30%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,86.1%,0.0%,N/A,Central Standard Time,1024,4.5,33.30%,0,N/A,15,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-41000,27.0,N/A
Lone Tree township (Pottawatomie Cnty),Kansas,188,5,Manhattan,130142,89,38,51,34,79,212,17,N/A,N/A,N/A,6,11,N/A,N/A,$66250,N/A,N/A,N/A,N/A,N/A,N/A,46,50.50%,3%,19%,21%,75,21 mins,3.50%,0.80%,-17.90%,Pottawatomie County,20.80%,71.20%,1.1%,0.0%,94.1%,4.8%,N/A,Central Standard Time,1024,4.5,12.40%,0,N/A,9,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-42550,37.6,N/A
Louisville,Kansas,140,280,Manhattan,130142,90,40,50,36,92,212,17,62.3,42.6,9,13,26,64,10.77%,$47500,6.43%,$550,N/A,N/A,N/A,N/A,45,77.14%,3%,18%,20%,73,21 mins,5.26%,0.80%,28.30%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,93.57%,5.0%,0.0%,Central Standard Time,1024,4.5,52.40%,0,N/A,23,16.7%,73.53,0,2,0,N/A,N/A,KS-42925,0.5,41.3%
Louisville township,Kansas,140,280,Manhattan,130142,90,40,50,36,92,212,17,N/A,N/A,N/A,10,20,64,10.77%,$47500,6.43%,$550,N/A,N/A,N/A,N/A,25,77.14%,3%,19%,20%,73,21 mins,5.26%,0.80%,30.80%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,93.57%,5.0%,0.0%,Central Standard Time,1024,4.5,32.60%,0,N/A,25,N/A,0.00,0,2,0,N/A,N/A,KS-42925,0.5,41.3%
Mill Creek township (Pottawatomie Cnty),Kansas,1273,30,Manhattan,130142,88,38,50,34,79,212,17,N/A,N/A,N/A,11,22,N/A,N/A,$50875,N/A,N/A,N/A,N/A,N/A,N/A,70,57.20%,3%,20%,21%,75,22 mins,3.50%,0.80%,11.00%,Pottawatomie County,20.80%,71.20%,0.2%,1.3%,87.6%,4.6%,N/A,Central Standard Time,1024,4.5,48.40%,0,N/A,13,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-46700,42.43,N/A
Olsburg,Kansas,276,1150,Manhattan,130142,90,40,50,33,77,211,17,62.3,42.6,9,9,18,38,20.41%,$66500,5.07%,$583,N/A,N/A,N/A,N/A,62,78.26%,3%,19%,21%,75,21 mins,0.0%,0.80%,12.00%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,97.83%,0.0%,0.72%,Central Standard Time,1024,4.5,35.10%,10,N/A,31,19.4%,90.50,1,2,0,N/A,N/A,KS-52825,0.24,74.4%
Onaga,Kansas,709,1074,Manhattan,130142,88,38,50,34,79,209,16,62.3,42.6,9,5,9,59,26.36%,$41583,12.11%,$669,N/A,N/A,N/A,N/A,72,67.0%,3%,19%,20%,75,22 mins,0.0%,0.80%,13.90%,Pottawatomie County,20.80%,71.20%,0.0%,1.27%,94.78%,0.56%,0.28%,Central Standard Time,1024,4.5,54.90%,21,N/A,30,12.6%,55.48,0,2,0,N/A,N/A,KS-52875,0.66,40.32%
Pottawatomie township (Pottawatomie Cnty),Kansas,754,13,Manhattan,130142,90,40,50,34,84,212,17,N/A,N/A,N/A,9,18,N/A,N/A,$62054,N/A,N/A,N/A,N/A,N/A,N/A,26,73.90%,3%,19%,21%,74,21 mins,3.50%,0.80%,26.30%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,97.1%,2.9%,N/A,Central Standard Time,1024,4.5,32.40%,0,N/A,22,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-57250,58.0,N/A
Rock Creek township (Pottawatomie Cnty),Kansas,524,15,Manhattan,130142,90,40,50,34,81,212,18,N/A,N/A,N/A,10,20,N/A,N/A,$38077,N/A,N/A,N/A,N/A,N/A,N/A,47,69.80%,3%,19%,20%,75,21 mins,3.50%,0.80%,-18.80%,Pottawatomie County,20.80%,71.20%,0.0%,0.8%,96.8%,1.9%,N/A,Central Standard Time,1024,4.5,50.60%,29,N/A,27,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-60625,34.93,N/A
Shannon township (Pottawatomie Cnty),Kansas,207,5,Manhattan,130142,90,40,50,34,80,212,18,N/A,N/A,N/A,7,13,N/A,N/A,$77969,N/A,N/A,N/A,N/A,N/A,N/A,34,87.10%,3%,18%,20%,75,21 mins,3.50%,0.80%,1.00%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,1024,4.5,33.30%,0,N/A,20,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-64300,41.4,N/A
