City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Litchfield,Maine,3611,97,Augusta-Waterville,122955,79,28,51,44,124,200,67,N/A,N/A,7,7,22,45,25.59%,$54978,N/A,N/A,N/A,$179500,N/A,N/A,32,67.70%,6%,19%,19%,87,32 mins,2.40%,0.20%,1.70%,Kennebec County,44.30%,47.80%,0.0%,0.0%,99.8%,0.0%,N/A,N/A,N/A,2.8,37.30%,2,N/A,16,N/A,0.00,N/A,0,25,N/A,N/A,N/A
Manchester,Maine,2557,120,Augusta-Waterville,122955,79,28,51,45,125,200,67,N/A,N/A,N/A,7,23,46,40.17%,$66774,N/A,N/A,N/A,$204500,N/A,N/A,39,71.10%,7%,19%,21%,87,21 mins,2.40%,0.20%,-0.90%,Kennebec County,44.30%,47.80%,0.9%,0.4%,95.2%,1.6%,N/A,N/A,N/A,2.8,37.90%,30,N/A,29,N/A,0.00,21,0,29,N/A,N/A,N/A
Monmouth,Maine,4083,120,Augusta-Waterville,122955,79,28,51,44,124,200,67,N/A,N/A,7,8,18,47,19.62%,$60100,N/A,N/A,N/A,$196500,N/A,N/A,38,64.00%,6%,20%,24%,88,33 mins,2.40%,0.20%,0.30%,Kennebec County,44.30%,47.80%,0.0%,0.0%,96.5%,3.0%,N/A,N/A,N/A,2.8,42.40%,8,N/A,23,N/A,0.00,20,0,27,24,387,N/A
Mount Vernon,Maine,1583,42,Augusta-Waterville,122955,79,27,52,45,134,200,82,N/A,N/A,6,9,28,47,34.71%,$48977,N/A,N/A,N/A,$178400,N/A,N/A,37,51.20%,6%,19%,20%,91,30 mins,2.40%,0.20%,16.00%,Kennebec County,44.30%,47.80%,0.0%,0.0%,98.0%,0.0%,N/A,N/A,N/A,2.8,45.60%,0,N/A,14,N/A,0.00,18,0,24,N/A,N/A,N/A
Oakland,Maine,6218,242,Augusta-Waterville,122955,79,28,51,44,133,200,73,N/A,N/A,7,11,20,45,28.83%,$58897,17%,N/A,N/A,$157200,N/A,N/A,36,73.20%,9%,20%,26%,85,23 mins,2.40%,0.20%,-0.10%,Kennebec County,44.30%,47.80%,0.3%,0.0%,98.8%,0.5%,1.4%,N/A,N/A,2.8,42.10%,26,N/A,13,19.6%,0.00,20,0,15,111,952,N/A
Pittston,Maine,2629,82,Augusta-Waterville,122955,79,29,50,45,128,200,69,N/A,N/A,N/A,8,25,47,17.29%,$52574,N/A,N/A,N/A,$156600,N/A,N/A,36,65.50%,6%,18%,19%,87,30 mins,2.40%,0.20%,-1.20%,Kennebec County,44.30%,47.80%,0.7%,0.2%,96.5%,1.1%,N/A,N/A,N/A,2.8,46.20%,0,N/A,18,N/A,0.00,22,0,25,N/A,N/A,N/A
Randolph,Maine,2011,942,Augusta-Waterville,122955,79,29,50,45,128,200,69,N/A,N/A,9,10,32,40,16.74%,$45513,16.8%,N/A,N/A,$117200,N/A,N/A,52,65.00%,6%,18%,20%,87,26 mins,2.40%,0.20%,1.90%,Kennebec County,44.30%,47.80%,2.9%,0.2%,96.0%,0.6%,3.8%,N/A,N/A,2.8,56.40%,43,N/A,N/A,17.5%,0.00,21,0,26,N/A,N/A,N/A
Readfield,Maine,2556,88,Augusta-Waterville,122955,79,28,51,45,125,200,67,N/A,N/A,7,7,22,46,40.41%,$67974,N/A,N/A,N/A,$164400,N/A,N/A,38,65.60%,6%,20%,25%,89,32 mins,2.40%,0.20%,-0.40%,Kennebec County,44.30%,47.80%,0.0%,0.6%,96.9%,1.9%,N/A,N/A,N/A,2.8,37.30%,23,N/A,23,N/A,0.00,19,0,29,N/A,N/A,N/A
Rome,Maine,1061,42,Augusta-Waterville,122955,79,28,51,44,133,200,73,N/A,N/A,6,9,28,45,36.47%,$53185,N/A,N/A,N/A,$188200,N/A,N/A,25,34.50%,6%,19%,19%,91,31 mins,2.40%,0.20%,0.30%,Kennebec County,44.30%,47.80%,0.0%,0.7%,96.7%,1.7%,N/A,N/A,N/A,2.8,37.10%,6,N/A,N/A,N/A,0.00,18,0,19,N/A,N/A,N/A
Sidney,Maine,4277,101,Augusta-Waterville,122955,79,28,51,44,125,200,67,N/A,N/A,9,8,25,42,28.42%,$58370,N/A,N/A,N/A,$183800,N/A,N/A,32,71.50%,6%,20%,19%,87,22 mins,2.40%,0.20%,4.00%,Kennebec County,44.30%,47.80%,0.0%,1.1%,96.3%,1.2%,N/A,N/A,N/A,2.8,44.40%,0,N/A,9,N/A,0.00,21,0,22,N/A,N/A,N/A
Vassalboro,Maine,4330,98,Augusta-Waterville,122955,79,28,51,44,133,200,73,N/A,N/A,9,9,28,39,21.02%,$50000,N/A,N/A,N/A,$141700,N/A,N/A,42,69.90%,6%,20%,20%,88,23 mins,2.40%,0.20%,0.40%,Kennebec County,44.30%,47.80%,0.0%,0.4%,96.2%,0.8%,N/A,N/A,N/A,2.8,51.10%,12,N/A,32,N/A,0.00,21,0,19,N/A,N/A,N/A
Vienna,Maine,449,18,Augusta-Waterville,122955,79,27,52,47,134,200,83,N/A,N/A,6,7,24,53,42.34%,$40000,N/A,N/A,N/A,$160600,N/A,N/A,34,47.40%,6%,18%,19%,91,23 mins,2.40%,0.20%,-31.10%,Kennebec County,44.30%,47.80%,0.4%,0.0%,93.3%,5.1%,N/A,N/A,N/A,2.8,33.10%,6,N/A,14,N/A,0.00,18,0,18,N/A,N/A,N/A
Waterville,Maine,16374,1210,Augusta-Waterville,122955,80,28,52,45,127,196,71,55.2,34,7,19,61,41,31.10%,$31995,14%,$1087,824,$116200,N/A,N/A,65,42.50%,5%,18%,14%,69,16 mins,3.20%,0.50%,3.80%,Kennebec County,44.30%,47.80%,2.4%,2.2%,89.7%,2.4%,5.3%,N/A,N/A,2.8,62.50%,30,N/A,28,18.6%,25.35,21,0,15,220,2636,N/A
Wayne,Maine,1091,57,Augusta-Waterville,122955,79,28,51,45,125,200,68,N/A,N/A,7,7,22,54,43.67%,$59531,N/A,N/A,N/A,$247100,N/A,N/A,41,51.90%,6%,19%,18%,90,40 mins,2.40%,0.20%,15.20%,Kennebec County,44.30%,47.80%,0.0%,0.0%,99.5%,0.5%,N/A,N/A,N/A,2.8,38.00%,29,N/A,N/A,N/A,0.00,19,0,27,N/A,N/A,N/A
West Gardiner,Maine,3381,137,Augusta-Waterville,122955,79,29,50,45,128,200,69,N/A,N/A,9,7,23,41,28.05%,$53571,N/A,N/A,N/A,$175100,N/A,N/A,29,77.50%,6%,19%,19%,83,27 mins,2.40%,0.20%,-0.20%,Kennebec County,44.30%,47.80%,4.2%,0.4%,90.0%,4.1%,N/A,N/A,N/A,2.8,42.10%,9,N/A,15,N/A,0.00,21,0,26,N/A,N/A,N/A
Windsor,Maine,2561,74,Augusta-Waterville,122955,79,29,50,45,129,200,74,N/A,N/A,9,8,26,42,15.87%,$48750,N/A,N/A,N/A,$140200,N/A,N/A,39,71.50%,6%,18%,19%,90,26 mins,2.40%,0.20%,1.70%,Kennebec County,44.30%,47.80%,0.0%,0.5%,95.5%,1.1%,N/A,N/A,N/A,2.8,44.90%,19,N/A,23,N/A,0.00,23,0,22,N/A,N/A,N/A
Winslow,Maine,7608,207,Augusta-Waterville,122955,80,28,52,45,127,200,71,N/A,N/A,7,7,23,42,24.32%,$42459,6.7%,$1087,824,$142600,N/A,N/A,49,69.00%,5%,21%,18%,83,20 mins,2.40%,0.20%,-2.80%,Kennebec County,44.30%,47.80%,1.2%,1.1%,95.9%,0.7%,1.5%,N/A,N/A,2.8,51.80%,49,N/A,N/A,17.7%,0.00,22,0,14,92,894,N/A
Winthrop,Maine,6006,193,Augusta-Waterville,122955,79,28,51,45,124,200,67,N/A,N/A,7,10,24,47,36.30%,$63246,1.7%,N/A,N/A,$195800,N/A,N/A,46,54.00%,6%,18%,15%,87,27 mins,2.40%,0.20%,-2.30%,Kennebec County,44.30%,47.80%,0.2%,1.0%,94.7%,2.0%,1.4%,N/A,N/A,2.8,46.20%,37,N/A,30,18.2%,0.00,21,0,28,83,752,N/A
