City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Greenbriar,Florida,2764,4607,Tampa-St. Petersburg-Clearwater,2519689,$66181,31.37%,51,$408000,1347,$303,44,86.11%,$1381,62.1%,N/A,N/A,7.38%,1.75%,70.48%,Pinellas County,47.00%,48.10%,0.83%,6.11%,74.67%,11.87%,6.3%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,66,69,6.3,0.6,FL-27360,28.0111283,-82.7523032,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Gulfport,Florida,12334,4453,Tampa-St. Petersburg-Clearwater,2519689,$53869,41.65%,58,$365000,1109,$329,57,73.1%,$1119,55.67%,224,3140,11.87%,5.06%,48.74%,Pinellas County,47.00%,48.10%,1.63%,8.29%,83.61%,3.55%,8.25%,Eastern Standard Time,90,69,21,56.5,0.0,6.8,76,3,6.3,2.77,FL-28175,27.7462868,-82.7099294,69%,67%,65%,58%,62%,82.7,62,72,78,55,27.69,7.19,30.99%,52.53%,23.22%,0,102
Harbor Bluffs,Florida,3116,4516,Tampa-St. Petersburg-Clearwater,2519689,$97629,41.02%,47,$1800000,2253,$799,56,81.61%,$1591,49.83%,N/A,N/A,7.06%,4.02%,62.78%,Pinellas County,47.00%,48.10%,0.67%,6.16%,89.89%,1.32%,9.08%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,70,69,6.3,0.69,FL-28650,27.9080557,-82.8270175,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Indian Rocks Beach,Florida,4269,5022,Tampa-St. Petersburg-Clearwater,2519689,$72303,45.75%,59,$905000,1613,$561,42,69.74%,$1214,41.9%,185,1552,9.32%,4.95%,55.06%,Pinellas County,47.00%,48.10%,2.08%,0.0%,93.49%,3.96%,7.87%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,81,69,6.3,0.85,FL-33625,27.8958805,-82.8460115,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Indian Shores,Florida,1232,3733,Tampa-St. Petersburg-Clearwater,2519689,$84500,55.6%,60,$679000,1018,$667,39,89.94%,$1904,35.9%,26,602,6.33%,0.0%,49.32%,Pinellas County,47.00%,48.10%,0.73%,1.87%,91.96%,5.44%,5.68%,Eastern Standard Time,91,71,20,54.57,0.0,6.8,75,18,6.3,0.33,FL-33675,27.8534688,-82.8454094,69%,67%,65%,58%,62%,82.7,62,72,77,53,26.88,7.42,30.99%,52.53%,23.22%,0,105
Kenneth City,Florida,5119,7210,Tampa-St. Petersburg-Clearwater,2519689,$47282,18.43%,52,$138000,836,$165,56,72.15%,$1094,67.49%,354,2640,10.93%,2.48%,55.15%,Pinellas County,47.00%,48.10%,5.72%,7.46%,68.04%,13.05%,15.43%,Eastern Standard Time,90,69,21,54.57,0.0,6.8,65,18,6.3,0.71,FL-36175,27.8155101,-82.7162853,69%,67%,65%,58%,62%,82.7,62,72,78,55,26.88,7.42,30.99%,52.53%,23.22%,0,102
Largo,Florida,84666,4567,Tampa-St. Petersburg-Clearwater,2519689,$46733,24.02%,49,$363000,1391,$261,43,58.01%,$1131,57.99%,383,2738,12.3%,5.31%,58.76%,Pinellas County,47.00%,48.10%,2.76%,7.03%,76.06%,11.71%,12.76%,Eastern Standard Time,91,71,20,52.53,0.0,6.8,67,9,6.3,18.54,FL-39425,27.9088647,-82.7708337,69%,67%,65%,58%,62%,82.7,62,72,77,53,27.87,7.13,31.64%,55.71%,24.22%,0,105
Lealman,Florida,21621,5378,Tampa-St. Petersburg-Clearwater,2519689,$35092,13.33%,41,$327000,1229,$266,54,58.81%,$1015,66.71%,N/A,N/A,19.95%,8.17%,59.98%,Pinellas County,47.00%,48.10%,8.4%,9.83%,64.1%,12.36%,17.19%,Eastern Standard Time,90,69,21,56.21,0.0,6.8,64,48,6.3,4.02,FL-39775,27.8196607,-82.6847407,69%,67%,65%,58%,62%,82.7,62,72,78,55,28.11,7.45,30.99%,52.53%,23.22%,0,102
Madeira Beach,Florida,4303,4391,Tampa-St. Petersburg-Clearwater,2519689,$57670,38.04%,60,$900000,1378,$653,47,62.75%,$1509,43.27%,322,3267,9.2%,5.58%,48.47%,Pinellas County,47.00%,48.10%,0.21%,0.28%,92.26%,6.0%,8.11%,Eastern Standard Time,91,71,20,54.95,0.0,6.8,73,12,6.3,0.98,FL-42400,27.7957937,-82.7921729,69%,67%,65%,58%,62%,82.7,62,72,77,53,25.67,7.3,30.99%,52.53%,23.22%,0,105
North Redington Beach,Florida,1246,4792,Tampa-St. Petersburg-Clearwater,2519689,$66321,44.58%,64,$1290000,1734,$744,42,70.06%,$1447,34.25%,67,471,5.95%,7.83%,42.82%,Pinellas County,47.00%,48.10%,2.25%,0.0%,89.41%,7.46%,9.23%,Eastern Standard Time,91,71,20,54.95,0.0,6.8,73,12,6.3,0.26,FL-49725,27.8190698,-82.822827,69%,67%,65%,58%,62%,82.7,62,72,77,53,25.67,7.3,30.99%,52.53%,23.22%,0,105
Oldsmar,Florida,14824,1656,Tampa-St. Petersburg-Clearwater,2519689,$63088,33.13%,38,$450000,1724,$261,33,70.16%,$1153,52.03%,113,1434,9.22%,4.14%,67.49%,Pinellas County,47.00%,48.10%,3.52%,6.24%,70.44%,16.64%,10.16%,Eastern Standard Time,92,70,22,56.09,0.0,6.8,65,60,6.3,8.95,FL-51350,28.0484979,-82.6698038,69%,67%,65%,58%,62%,82.7,62,72,77,51,28.35,7.64,33.64%,60.44%,22.33%,0,108
Palm Harbor,Florida,61787,3563,Tampa-St. Petersburg-Clearwater,2519689,$61572,34.13%,50,$430000,1604,$268,35,74.07%,$1373,48.89%,N/A,N/A,8.43%,3.74%,57.32%,Pinellas County,47.00%,48.10%,2.92%,2.07%,85.09%,7.63%,13.28%,Eastern Standard Time,92,70,22,56.09,0.0,6.8,66,60,6.3,17.34,FL-54350,28.0863742,-82.7639081,69%,67%,65%,58%,62%,82.7,62,72,77,51,28.35,7.64,30.03%,48.68%,23.78%,0,108
Pinellas Park,Florida,53486,3320,Tampa-St. Petersburg-Clearwater,2519689,$50546,22.96%,44,$303000,1289,$235,43,65.54%,$1126,52.67%,384,3803,13.16%,5.98%,59.67%,Pinellas County,47.00%,48.10%,9.91%,5.11%,68.2%,13.88%,16.12%,Eastern Standard Time,91,71,20,52.53,0.0,6.8,64,9,6.3,16.11,FL-56975,27.8588115,-82.7077968,69%,67%,65%,58%,62%,82.7,62,72,77,53,27.87,7.13,31.64%,55.71%,24.22%,0,105
Redington Beach,Florida,1233,3425,Tampa-St. Petersburg-Clearwater,2519689,$86250,44.61%,60,$1575000,2476,$636,62,89.62%,$2266,34.23%,N/A,N/A,4.46%,7.36%,52.81%,Pinellas County,47.00%,48.10%,1.7%,0.0%,90.02%,5.76%,9.08%,Eastern Standard Time,91,71,20,54.95,0.0,6.8,74,12,6.3,0.36,FL-59725,27.8099165,-82.8127253,69%,67%,65%,58%,62%,82.7,62,72,77,53,25.67,7.3,30.99%,52.53%,23.22%,0,105
Redington Shores,Florida,2115,6409,Tampa-St. Petersburg-Clearwater,2519689,$78590,47.9%,60,$715000,1212,$590,43,80.71%,$1786,44.68%,N/A,N/A,3.88%,1.33%,48.73%,Pinellas County,47.00%,48.10%,3.88%,0.33%,87.28%,7.9%,12.34%,Eastern Standard Time,91,71,20,54.95,0.0,6.8,72,12,6.3,0.33,FL-59750,27.829134,-82.8324666,69%,67%,65%,58%,62%,82.7,62,72,77,53,25.67,7.3,30.99%,52.53%,23.22%,0,105
Ridgecrest,Florida,3865,4343,Tampa-St. Petersburg-Clearwater,2519689,$37233,6.93%,33,$380000,1526,$249,44,60.75%,$963,57.45%,N/A,N/A,24.55%,17.5%,59.08%,Pinellas County,47.00%,48.10%,0.26%,57.05%,22.66%,11.41%,7.84%,Eastern Standard Time,91,71,20,52.53,0.0,6.8,70,9,6.3,0.89,FL-60275,27.8923103,-82.8074219,69%,67%,65%,58%,62%,82.7,62,72,77,53,27.87,7.13,31.64%,55.71%,24.22%,0,105
