City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon)
Harristown township,Illinois,1294,719,Decatur,103015,$49542,16.89%,47,N/A,N/A,N/A,60,91.96%,$625,41.49%,N/A,N/A,12.63%,6.43%,56.29%,Macon County,38.20%,55.90%,0.7%,0.62%,97.06%,0.46%,0.7%,Central Standard Time,87,35,52,39,99,15,N/A,82,613,3.9,1.8,IL-33227,39.8428465,-89.0607136,54%,65%,46%,61%,58%
Hickory Point,Illinois,18084,509,Decatur,103015,$53949,27.70%,N/A,N/A,N/A,N/A,42,60.10%,N/A,49.20%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,2.6%,10.3%,79.6%,1.6%,N/A,Central Standard Time,87,35,52,40,109,13,N/A,74,613,3.9,35.53,IL-34527,39.9200037,-88.9733655,54%,65%,46%,61%,58%
Illini,Illinois,1752,48,Decatur,103015,$55167,23.57%,N/A,N/A,N/A,N/A,48,73.00%,N/A,44.70%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.0%,1.0%,89.4%,4.5%,N/A,Central Standard Time,87,35,52,39,107,17,N/A,82,613,3.9,36.5,IL-37023,39.9183888,-89.0861633,54%,65%,46%,61%,58%
Long Creek,Illinois,1454,514,Decatur,103015,$78977,23.59%,50,N/A,N/A,N/A,49,91.82%,$650,35.19%,N/A,N/A,8.47%,5.45%,65.12%,Macon County,38.20%,55.90%,0.0%,0.0%,97.46%,0.41%,3.44%,Central Standard Time,87,35,52,39,101,12,N/A,78,613,3.9,2.83,IL-44498,39.805231,-88.8473321,54%,65%,46%,61%,58%
Long Creek township,Illinois,1454,514,Decatur,103015,$78977,23.59%,50,N/A,N/A,N/A,49,91.82%,$650,35.19%,N/A,N/A,8.47%,5.45%,65.12%,Macon County,38.20%,55.90%,0.0%,0.0%,97.46%,0.41%,3.44%,Central Standard Time,87,35,52,39,101,12,N/A,75,613,3.9,2.83,IL-44498,39.805231,-88.8473321,54%,65%,46%,61%,58%
Macon,Illinois,1091,752,Decatur,103015,$64766,16.58%,42,N/A,N/A,N/A,61,87.53%,$647,38.14%,N/A,N/A,3.49%,0.82%,69.53%,Macon County,38.20%,55.90%,0.0%,0.73%,96.06%,0.73%,0.73%,Central Standard Time,87,35,52,39,106,16,8,81,613,3.9,1.45,IL-45941,39.7116676,-88.9965613,54%,65%,46%,61%,58%
Maroa,Illinois,1982,1126,Decatur,103015,$62708,31.08%,32,N/A,N/A,N/A,60,68.87%,$687,38.56%,N/A,N/A,4.19%,1.87%,66.82%,Macon County,38.20%,55.90%,5.3%,3.23%,70.99%,7.42%,7.77%,Central Standard Time,86,35,51,40,108,17,9,81,613,3.9,1.76,IL-47072,40.0364669,-88.9561715,54%,65%,46%,61%,58%
Maroa township,Illinois,1982,1126,Decatur,103015,$62708,31.08%,32,N/A,N/A,N/A,60,68.87%,$687,38.56%,N/A,N/A,4.19%,1.87%,66.82%,Macon County,38.20%,55.90%,5.3%,3.23%,70.99%,7.42%,7.77%,Central Standard Time,86,35,51,40,108,17,N/A,81,613,3.9,1.76,IL-47072,40.0364669,-88.9561715,54%,65%,46%,61%,58%
Mount Zion,Illinois,5707,1349,Decatur,103015,$79154,32.2%,41,N/A,N/A,N/A,42,79.95%,$687,32.87%,N/A,N/A,6.46%,4.82%,67.15%,Macon County,38.20%,55.90%,0.63%,2.33%,92.22%,1.17%,0.77%,Central Standard Time,87,35,52,40,101,12,N/A,80,613,3.9,4.23,IL-51206,39.7792173,-88.8833136,54%,65%,46%,61%,58%
Mount Zion township,Illinois,5707,1349,Decatur,103015,$79154,32.2%,41,N/A,N/A,N/A,42,79.95%,$687,32.87%,N/A,N/A,6.46%,4.82%,67.15%,Macon County,38.20%,55.90%,0.63%,2.33%,92.22%,1.17%,0.77%,Central Standard Time,87,35,52,40,101,12,N/A,80,613,3.9,4.23,IL-51206,39.7792173,-88.8833136,54%,65%,46%,61%,58%
Niantic,Illinois,657,632,Decatur,103015,$53500,9.84%,33,N/A,N/A,N/A,72,85.54%,$493,49.77%,N/A,N/A,3.82%,7.27%,68.0%,Macon County,38.20%,55.90%,0.0%,0.0%,78.08%,12.94%,2.89%,Central Standard Time,87,35,52,39,98,15,9,82,613,3.9,1.04,IL-52961,39.8540658,-89.1652611,54%,65%,46%,61%,58%
Niantic township,Illinois,657,632,Decatur,103015,$53500,9.84%,33,N/A,N/A,N/A,78,85.54%,$493,49.77%,N/A,N/A,3.82%,7.27%,68.0%,Macon County,38.20%,55.90%,0.0%,0.0%,78.08%,12.94%,2.89%,Central Standard Time,87,35,52,39,99,15,N/A,82,613,3.9,1.04,IL-52961,39.8540658,-89.1652611,54%,65%,46%,61%,58%
Oakley,Illinois,1013,35,Decatur,103015,$52679,N/A,N/A,N/A,N/A,N/A,36,74.10%,N/A,23.80%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.0%,0.0%,84.2%,0.0%,N/A,Central Standard Time,86,35,51,40,108,14,9,77,613,3.9,28.94,IL-54859,39.890455,-88.8013376,54%,65%,46%,61%,58%
Oreana,Illinois,954,2030,Decatur,103015,$74643,27.17%,38,N/A,N/A,N/A,54,94.97%,$782,34.69%,N/A,N/A,4.55%,5.56%,67.22%,Macon County,38.20%,55.90%,9.33%,2.83%,85.32%,0.63%,7.65%,Central Standard Time,86,35,51,40,110,14,9,77,613,3.9,0.47,IL-56471,39.9378221,-88.8684889,54%,65%,46%,61%,58%
Pleasant View,Illinois,1496,49,Decatur,103015,$53553,16.28%,N/A,N/A,N/A,N/A,55,68.30%,N/A,43.30%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.0%,0.0%,95.7%,0.7%,N/A,Central Standard Time,87,35,52,40,100,14,8,82,613,3.9,30.53,IL-60677,39.6915779,-89.083118,54%,65%,46%,61%,58%
Warrensburg,Illinois,1261,1727,Decatur,103015,$62917,27.16%,37,N/A,N/A,N/A,55,87.94%,$606,49.95%,N/A,N/A,7.38%,8.27%,70.87%,Macon County,38.20%,55.90%,0.0%,0.0%,93.26%,3.25%,1.19%,Central Standard Time,87,35,52,39,107,17,9,82,613,3.9,0.73,IL-78916,39.9319528,-89.0627609,54%,65%,46%,61%,58%
Whitmore,Illinois,4346,121,Decatur,103015,$38702,16.16%,N/A,N/A,N/A,N/A,42,77.50%,N/A,49.30%,N/A,N/A,N/A,5.40%,N/A,Macon County,38.20%,55.90%,0.7%,8.7%,80.4%,1.2%,N/A,Central Standard Time,87,35,52,40,109,13,N/A,77,613,3.9,35.92,IL-81464,39.9330988,-88.8500252,54%,65%,46%,61%,58%
