City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Moxee,Washington,4111,1735,Yakima,251879,$83649,27.58%,33,$425000,1728,$246,19,80.36%,$1340,39.14%,24,505,13.28%,0.53%,73.54%,Yakima County,39.20%,52.30%,1.44%,4.48%,45.71%,45.22%,12.21%,Pacific Standard Time,88,36,52,9,74,199,17,46,35.9,6,86,1066,2.6,2.37,WA-47665,46.5639779,-120.396591
Naches,Washington,650,747,Yakima,251879,$68214,25.05%,51,$289000,1214,$238,60,76.31%,$1036,50.95%,N/A,N/A,9.72%,2.98%,60.04%,Yakima County,39.20%,52.30%,0.0%,3.38%,82.31%,10.92%,3.54%,Pacific Standard Time,89,37,52,9,82,203,22,45.5,35.4,5,82,1066,2.6,0.87,WA-47805,46.7259849,-120.6912111
Nile,Washington,90,98,Yakima,251879,$75609,12.86%,61,N/A,N/A,N/A,38,100.0%,N/A,31.43%,N/A,N/A,0.0%,0.0%,51.43%,Yakima County,39.20%,52.30%,0.0%,0.0%,100.0%,0.0%,11.11%,Pacific Standard Time,89,37,52,9,82,201,22,46.5,36.4,5,91,1066,2.6,0.92,WA-49030,46.8348701,-120.9437555
Parker,Washington,49,408,Yakima,251879,$26250,0.0%,65,N/A,N/A,N/A,69,100.0%,N/A,18.37%,N/A,N/A,0.0%,0.0%,40.82%,Yakima County,39.20%,52.30%,0.0%,0.0%,0.0%,100.0%,100.0%,Pacific Standard Time,88,36,52,8,72,201,17,46.7,36.4,6,85,1066,2.6,0.12,WA-53265,46.502157,-120.4668132
Summitview,Washington,1892,428,Yakima,251879,$60855,38.47%,52,$1660000,8177,$203,29,88.9%,$908,43.27%,N/A,N/A,5.44%,0.0%,52.45%,Yakima County,39.20%,52.30%,0.0%,0.0%,74.68%,20.03%,3.12%,Pacific Standard Time,88,36,52,9,72,201,18,46.5,36.4,N/A,77,1066,2.6,4.42,WA-68417,46.5982799,-120.656401
Sunnyside,Washington,16703,2218,Yakima,251879,$40766,6.13%,26,$300000,1685,$178,45,59.6%,$755,49.31%,142,3206,19.24%,10.26%,62.76%,Yakima County,39.20%,52.30%,0.0%,0.21%,15.03%,84.74%,27.39%,Pacific Standard Time,90,38,52,8,63,203,10,46.8,37.2,6,71,1066,2.6,7.53,WA-68750,46.3157592,-120.0058349
Tampico,Washington,286,69,Yakima,251879,$89375,7.95%,33,$250000,1082,$231,34,97.9%,N/A,26.7%,N/A,N/A,0.0%,0.0%,71.59%,Yakima County,39.20%,52.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,88,36,52,9,74,201,18,46.5,36.4,5,91,1066,2.6,4.13,WA-70245,46.5331699,-120.8741465
Terrace Heights,Washington,8917,848,Yakima,251879,$71356,32.91%,40,$365000,1644,$222,30,69.46%,$919,36.15%,N/A,N/A,10.28%,1.77%,60.25%,Yakima County,39.20%,52.30%,2.37%,1.18%,69.12%,25.95%,11.39%,Pacific Standard Time,88,37,51,9,74,199,18,46.5,36.4,N/A,73,1066,2.6,10.52,WA-70805,46.604449,-120.4392244
Tieton,Washington,2053,2387,Yakima,251879,$49085,4.36%,23,N/A,N/A,N/A,31,45.15%,$750,53.69%,N/A,N/A,26.94%,3.67%,70.57%,Yakima County,39.20%,52.30%,0.73%,1.12%,4.58%,90.36%,41.84%,Pacific Standard Time,84,34,50,13,108,203,50,45.7,35.5,5,90,1066,2.6,0.86,WA-71400,46.7026029,-120.7557847
Toppenish,Washington,8872,4165,Yakima,251879,$52981,6.55%,28,$245000,1441,$170,59,65.59%,$741,49.02%,607,6088,14.49%,9.19%,65.07%,Yakima County,39.20%,52.30%,0.28%,0.19%,7.89%,88.2%,34.92%,Pacific Standard Time,89,37,52,8,65,201,16,47.4,37.4,6,67,1066,2.6,2.13,WA-71960,46.3804991,-120.3122019
Union Gap,Washington,6167,1105,Yakima,251879,$51200,6.83%,35,$231000,1069,$216,51,64.6%,$917,53.73%,243,9412,21.88%,7.19%,61.89%,Yakima County,39.20%,52.30%,0.92%,0.0%,41.74%,50.72%,19.85%,Pacific Standard Time,88,36,52,9,74,202,18,46.4,36,6,61,1066,2.6,5.58,WA-73290,46.556599,-120.4978971
Wapato,Washington,5018,4326,Yakima,251879,$42981,4.48%,27,$155000,749,$207,54,55.73%,$752,50.06%,N/A,N/A,24.08%,8.44%,64.39%,Yakima County,39.20%,52.30%,1.65%,0.0%,5.8%,83.96%,31.91%,Pacific Standard Time,88,36,52,8,72,205,17,47,36.8,6,68,1066,2.6,1.16,WA-76125,46.4436327,-120.421507
White Swan,Washington,793,297,Yakima,251879,$46442,3.01%,23,N/A,N/A,N/A,42,46.78%,$607,74.96%,N/A,N/A,30.01%,19.14%,46.38%,Yakima County,39.20%,52.30%,0.0%,0.0%,5.93%,16.27%,3.66%,Pacific Standard Time,89,37,52,8,73,205,18,46.8,36.7,6,89,1066,2.6,2.67,WA-78365,46.3769789,-120.7381212
Yakima,Washington,93829,3374,Yakima,251879,$48220,19.26%,34,$347000,1637,$212,50,56.04%,$879,53.55%,446,2891,19.18%,6.22%,60.2%,Yakima County,39.20%,52.30%,0.99%,1.81%,46.44%,45.77%,17.04%,Pacific Standard Time,88,36,52,9,73,199,18,46.3,35.9,5,40,1066,2.6,27.81,WA-80010,46.5923607,-120.5495663
