City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Economy,Indiana,123,1367,Richmond,112496,$48750,10.59%,40,N/A,N/A,N/A,78,67.48%,$642,41.28%,N/A,N/A,11.38%,7.46%,62.62%,Wayne County,32.50%,62.70%,0.0%,0.0%,97.56%,0.0%,0.0%,N/A,85,37,48,44.67,124,24.9,8.3,79,1068,3.8,0.09,IN-20152,39.9772963,-85.0868458,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,32.36%,33.52%,30.22%,15
Fountain City,Indiana,702,2700,Richmond,112496,$47250,11.66%,43,N/A,N/A,N/A,68,74.93%,$760,47.42%,N/A,N/A,13.96%,2.9%,74.73%,Wayne County,32.50%,62.70%,0.85%,0.0%,98.43%,0.85%,0.57%,N/A,85,37,48,44.67,120,29.3,8.3,80,1068,3.8,0.26,IN-25090,39.9547386,-84.9191334,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,35.48%,33.63%,37.0%,16
Franklin township (Wayne Cnty),Indiana,1562,111,Richmond,112496,$46016,N/A,N/A,$237000,1549,$153,51,82.50%,N/A,40.40%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,44.37,126,29.3,8.3,80,918,3.8,14.04,IN-25666,39.9542258,-84.8494773,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,35.48%,33.63%,37.0%,16
Green township (Wayne Cnty),Indiana,1277,45,Richmond,112496,$56691,N/A,N/A,N/A,N/A,N/A,78,74.50%,N/A,N/A,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,1.40%,N/A,N/A,85,37,48,44.67,123,29.3,8.3,79,1068,3.8,28.38,IN-29250,39.9632559,-85.0055434,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,32.36%,33.52%,30.22%,16
Greens Fork,Indiana,519,3707,Richmond,112496,$55313,16.53%,36,N/A,N/A,N/A,78,85.74%,$542,44.31%,N/A,N/A,8.48%,3.26%,71.5%,Wayne County,32.50%,62.70%,0.0%,0.0%,95.95%,1.73%,0.19%,N/A,85,37,48,44.37,128,24.9,8.3,78,918,3.8,0.14,IN-29754,39.8916465,-85.0411704,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Hagerstown,Indiana,1970,1492,Richmond,112496,$58482,18.64%,34,N/A,N/A,N/A,70,75.94%,$723,52.31%,N/A,N/A,13.01%,3.46%,61.78%,Wayne County,32.50%,62.70%,0.0%,0.3%,95.48%,2.79%,0.51%,N/A,83,34,49,43.72,128,24.9,8.3,79,1005,3.8,1.32,IN-30402,39.9114517,-85.1554709,53%,66%,41%,60%,55%,38.6,41,61,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
Harrison township (Wayne Cnty),Indiana,472,29,Richmond,112496,$47321,N/A,N/A,N/A,N/A,N/A,24,95.30%,N/A,28.10%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,44.37,128,24.9,8.3,73,918,3.8,16.28,IN-32044,39.8521859,-85.1021405,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Jackson township (Wayne Cnty),Indiana,4494,161,Richmond,112496,$35412,N/A,N/A,N/A,N/A,N/A,62,64.90%,N/A,49.80%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,83,34,49,43.72,127,24.9,8.3,77,1005,3.8,27.91,IN-37530,39.8297887,-85.1675665,53%,66%,41%,60%,55%,38.6,41,61,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
Jefferson township (Wayne Cnty),Indiana,3349,121,Richmond,112496,$51762,N/A,N/A,N/A,N/A,N/A,60,73.00%,N/A,45.60%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,83,34,49,43.72,128,24.9,8.3,79,1005,3.8,27.68,IN-38286,39.9122741,-85.1482053,53%,66%,41%,60%,55%,38.6,41,61,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
Milton,Indiana,321,1146,Richmond,112496,$39688,13.91%,47,$250000,2336,$107,78,76.01%,$771,51.69%,N/A,N/A,15.11%,2.56%,58.87%,Wayne County,32.50%,62.70%,0.0%,0.93%,97.51%,0.93%,0.62%,N/A,83,34,49,43.72,128,24.9,8.3,77,1005,3.8,0.28,IN-49860,39.786219,-85.156292,53%,66%,41%,60%,55%,38.6,41,61,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
Mount Auburn,Indiana,92,484,Richmond,112496,$58125,19.12%,45,N/A,N/A,N/A,67,79.35%,N/A,38.67%,N/A,N/A,9.78%,2.44%,56.16%,Wayne County,32.50%,62.70%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,83,34,49,43.72,128,24.9,8.3,77,1005,3.8,0.19,IN-51318,39.8122568,-85.1905658,51%,64%,41%,60%,57%,41.0,42,63,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
New Garden,Indiana,1578,67,Richmond,112496,$44904,6.95%,N/A,N/A,N/A,N/A,58,66.60%,N/A,42.00%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,44.67,121,29.3,8.3,80,1068,3.8,23.55,IN-52938,39.9603299,-84.9207097,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,35.48%,33.63%,37.0%,16
Perry township (Wayne Cnty),Indiana,825,47,Richmond,112496,$37813,N/A,N/A,N/A,N/A,N/A,74,74.60%,N/A,45.90%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,44.67,124,24.9,8.3,79,1068,3.8,17.55,IN-59184,39.9713816,-85.0876138,53%,66%,41%,60%,55%,38.6,41,61,64,20,13.03,8.9,32.36%,33.52%,30.22%,15
Richmond,Indiana,35467,1477,Richmond,112496,$40871,20.36%,39,$104000,1051,$99,63,56.68%,$704,57.98%,N/A,N/A,22.08%,5.61%,57.58%,Wayne County,32.50%,62.70%,1.84%,8.42%,80.89%,4.81%,3.57%,N/A,85,37,48,44.37,130,24.9,8.3,62,918,3.8,24.01,IN-64260,39.8317713,-84.8904528,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,38.6%,37.47%,40.78%,15
Spring Grove,Indiana,435,1450,Richmond,112496,$38750,25.95%,53,N/A,N/A,N/A,60,66.18%,N/A,59.68%,N/A,N/A,22.74%,5.18%,51.19%,Wayne County,32.50%,62.70%,2.76%,3.91%,86.21%,2.53%,6.67%,N/A,85,37,48,44.37,130,24.9,8.3,67,918,3.8,0.3,IN-72206,39.8472164,-84.8912217,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,38.6%,37.47%,40.78%,15
Washington township (Wayne Cnty),Indiana,1210,183,Richmond,112496,$62500,N/A,N/A,$145000,1160,$125,61,73.90%,N/A,36.90%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,43.72,128,24.9,8.3,78,1005,3.8,6.63,IN-81134,39.7585042,-85.1185508,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.51,8.64,32.36%,33.52%,30.22%,15
Wayne township (Wayne Cnty),Indiana,40119,769,Richmond,112496,$31810,N/A,N/A,N/A,N/A,N/A,60,48.10%,N/A,56.40%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,4.10%,N/A,N/A,85,37,48,44.37,130,24.9,8.3,63,918,3.8,52.17,IN-81944,39.8412191,-84.8754037,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,38.6%,37.47%,40.78%,15
Webster township (Wayne Cnty),Indiana,1328,89,Richmond,112496,$52500,N/A,N/A,N/A,N/A,N/A,43,75.30%,N/A,48.00%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,4.40%,N/A,N/A,85,37,48,44.37,128,24.9,8.3,76,918,3.8,14.92,IN-82160,39.8997675,-84.9561228,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Whitewater,Indiana,40,500,Richmond,112496,$63125,0.0%,63,N/A,N/A,N/A,75,97.5%,N/A,17.95%,N/A,N/A,10.0%,0.0%,53.85%,Wayne County,32.50%,62.70%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,85,37,48,44.37,130,29.3,8.3,80,918,3.8,0.08,IN-84086,39.9448044,-84.8310983,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,35.48%,33.63%,37.0%,16
