City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Hansville,Washington,3858,364,Bremerton-Silverdale,272787,$69716,45.9%,67,$500000,1319,$379,28,81.65%,$1627,29.55%,N/A,N/A,4.02%,0.91%,33.94%,Kitsap County,49.00%,38.10%,1.89%,0.0%,90.46%,4.02%,5.55%,Pacific Standard Time,74,44,30,31,151,2,7.9,69,125,2.7,10.6,WA-29430,47.9159071,-122.5734253,45%,60%,27%,63%,50%,6.8,42,51
Indianola,Washington,3564,678,Bremerton-Silverdale,272787,$74453,36.28%,44,$400000,1338,$299,30,80.11%,$1249,43.43%,N/A,N/A,9.86%,3.84%,60.27%,Kitsap County,49.00%,38.10%,2.19%,0.42%,79.85%,8.5%,6.23%,Pacific Standard Time,78,46,32,42,156,3,7.9,61,125,2.7,5.26,WA-33280,47.7542674,-122.5155096,45%,60%,27%,63%,50%,6.8,42,51
Keyport,Washington,339,678,Bremerton-Silverdale,272787,$47650,36.56%,30,N/A,N/A,N/A,54,25.07%,$979,37.78%,N/A,N/A,2.36%,0.0%,76.19%,Kitsap County,49.00%,38.10%,0.0%,0.0%,88.5%,11.5%,0.0%,Pacific Standard Time,78,45,33,44,157,4,7.9,67,125,2.7,0.5,WA-35625,47.699906,-122.623923,45%,60%,27%,63%,50%,6.8,42,51
Kingston,Washington,2836,1344,Bremerton-Silverdale,272787,$77008,41.63%,44,$635000,1918,$331,26,67.07%,$1399,45.96%,N/A,N/A,5.29%,2.66%,64.34%,Kitsap County,49.00%,38.10%,3.35%,0.0%,73.38%,7.23%,6.52%,Pacific Standard Time,74,44,30,40,155,3,7.9,64,125,2.7,2.11,WA-35870,47.7927789,-122.5065817,45%,60%,27%,63%,50%,6.8,42,51
Lofall,Washington,2119,1060,Bremerton-Silverdale,272787,$97685,49.94%,50,$703000,1880,$374,36,84.99%,$1387,28.98%,N/A,N/A,1.34%,3.81%,62.76%,Kitsap County,49.00%,38.10%,0.24%,2.27%,88.53%,2.64%,1.89%,Pacific Standard Time,78,44,34,41,156,3,7.9,68,125,2.7,2.0,WA-39930,47.8114149,-122.656044,45%,60%,27%,63%,50%,6.8,42,51
Manchester,Washington,6050,2072,Bremerton-Silverdale,272787,$77841,27.59%,39,$450000,1343,$335,35,71.43%,$1371,40.58%,N/A,N/A,14.82%,1.37%,66.84%,Kitsap County,49.00%,38.10%,4.38%,0.96%,78.2%,9.55%,3.44%,Pacific Standard Time,78,45,33,46,158,4,7.9,61,125,2.7,2.92,WA-42450,47.5508297,-122.5423335,45%,60%,27%,63%,50%,6.8,42,51
Navy Yard City,Washington,2973,4874,Bremerton-Silverdale,272787,$55250,16.23%,32,$335000,1250,$268,58,62.19%,$1189,59.0%,N/A,N/A,16.01%,1.45%,59.81%,Kitsap County,49.00%,38.10%,2.12%,0.5%,78.0%,8.58%,3.7%,Pacific Standard Time,78,45,33,50,158,3,7.9,58,125,2.7,0.61,WA-48225,47.5507691,-122.6654847,45%,60%,27%,63%,50%,6.8,42,51
Parkwood,Washington,6758,2589,Bremerton-Silverdale,272787,$62778,21.16%,39,$441000,1328,$332,41,54.55%,$1228,43.72%,N/A,N/A,7.74%,2.25%,62.51%,Kitsap County,49.00%,38.10%,4.54%,2.35%,75.79%,7.04%,4.71%,Pacific Standard Time,78,45,33,46,158,4,7.9,57,125,2.7,2.61,WA-53440,47.5265653,-122.598664,45%,60%,27%,63%,50%,6.8,42,51
Port Gamble Tribal Community,Washington,783,185,Bremerton-Silverdale,272787,$73000,31.01%,36,N/A,N/A,N/A,22,64.11%,$733,58.31%,N/A,N/A,19.17%,10.1%,50.86%,Kitsap County,49.00%,38.10%,0.0%,0.77%,24.01%,7.79%,2.55%,Pacific Standard Time,74,44,30,40,155,3,7.9,70,125,2.7,4.23,WA-55612,47.8493436,-122.5578723,45%,60%,27%,63%,50%,6.8,42,51
Port Orchard,Washington,14303,1484,Bremerton-Silverdale,272787,$71719,27.86%,34,$513000,1951,$263,28,62.56%,$1343,44.32%,449,3350,13.59%,4.77%,58.48%,Kitsap County,49.00%,38.10%,4.8%,3.54%,67.28%,12.77%,7.21%,Pacific Standard Time,78,45,33,47,158,4,7.9,62,125,2.7,9.64,WA-55785,47.49753,-122.6916853,45%,60%,27%,63%,50%,6.8,42,51
Poulsbo,Washington,10869,2293,Bremerton-Silverdale,272787,$72813,39.63%,45,$574000,1729,$332,28,62.66%,$1427,44.88%,170,2375,10.68%,4.6%,60.99%,Kitsap County,49.00%,38.10%,3.37%,1.12%,80.17%,10.38%,7.62%,Pacific Standard Time,78,45,33,41,156,3,7.9,66,125,2.7,4.74,WA-55995,47.7417205,-122.6406614,45%,60%,27%,63%,50%,6.8,42,51
Rocky Point,Washington,1418,1997,Bremerton-Silverdale,272787,$80531,31.56%,51,$458000,1537,$298,42,79.76%,$995,50.54%,N/A,N/A,4.51%,5.48%,63.54%,Kitsap County,49.00%,38.10%,1.62%,1.2%,77.72%,13.54%,11.99%,Pacific Standard Time,78,45,33,50,158,3,7.9,62,125,2.7,0.71,WA-59390,47.5885286,-122.6672428,45%,60%,27%,63%,50%,6.8,42,51
Seabeck,Washington,854,257,Bremerton-Silverdale,272787,$100387,52.05%,48,$762000,2117,$360,47,76.23%,$2182,37.0%,N/A,N/A,6.44%,11.9%,55.2%,Kitsap County,49.00%,38.10%,2.11%,0.0%,80.56%,10.66%,4.1%,Pacific Standard Time,78,45,33,49,159,4,7.9,78,125,2.7,3.32,WA-62120,47.6454333,-122.8243856,45%,60%,27%,63%,50%,6.8,42,51
Silverdale,Washington,21858,1731,Bremerton-Silverdale,272787,$81458,32.54%,38,$575000,2114,$272,29,56.67%,$1610,45.69%,N/A,N/A,5.99%,5.55%,64.78%,Kitsap County,49.00%,38.10%,10.2%,5.64%,66.64%,8.64%,9.23%,Pacific Standard Time,78,45,33,43,155,3,7.9,64,125,2.7,12.63,WA-64365,47.6663522,-122.6827933,45%,60%,27%,63%,50%,6.8,42,51
Southworth,Washington,2300,680,Bremerton-Silverdale,272787,$103333,35.21%,51,$580000,1841,$315,34,81.07%,$1658,36.73%,N/A,N/A,6.09%,0.79%,59.38%,Kitsap County,49.00%,38.10%,1.52%,0.22%,89.09%,6.04%,3.52%,Pacific Standard Time,78,45,33,46,158,4,7.9,63,125,2.7,3.38,WA-66220,47.5125882,-122.5303308,45%,60%,27%,63%,50%,6.8,42,51
Suquamish,Washington,4327,634,Bremerton-Silverdale,272787,$67596,34.5%,48,$528000,2200,$240,38,74.05%,$1157,49.59%,N/A,N/A,8.71%,5.62%,60.02%,Kitsap County,49.00%,38.10%,2.7%,0.88%,68.69%,7.83%,6.22%,Pacific Standard Time,78,45,33,43,157,4,7.9,68,125,2.7,6.83,WA-69170,47.7241145,-122.5816367,45%,60%,27%,63%,50%,6.8,42,51
Tracyton,Washington,5494,2861,Bremerton-Silverdale,272787,$73790,27.33%,40,$484000,2086,$232,34,74.07%,$1378,48.64%,N/A,N/A,2.64%,3.76%,63.54%,Kitsap County,49.00%,38.10%,17.24%,2.38%,57.81%,9.46%,17.73%,Pacific Standard Time,78,45,33,45,158,4,7.9,59,125,2.7,1.92,WA-72205,47.6094788,-122.6532602,45%,60%,27%,63%,50%,6.8,42,51
