City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation
Linglestown,Pennsylvania,5811,1517,Harrisburg-Carlisle,581943,$77500,28.46%,46,$195000,1477,$132,48,90.7%,$1300,36.39%,N/A,N/A,2.17%,5.31%,63.92%,Dauphin County,49.10%,46.20%,1.89%,13.65%,78.7%,4.65%,4.9%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,54,351,4.1,3.83,PA-43672,40.3443512,-76.7948256,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Londonderry township (Dauphin Cnty),Pennsylvania,5246,231,Harrisburg-Carlisle,581943,$55639,N/A,N/A,N/A,N/A,N/A,46,83.20%,N/A,40.30%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,0.0%,0.0%,99.0%,1.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.2,60,351,4.1,22.71,PA-44464,40.1813888,-76.6963751,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.64%,37.25%,36.67%
Lower Paxton,Pennsylvania,48381,1717,Harrisburg-Carlisle,581943,$67839,37.31%,N/A,N/A,N/A,N/A,39,63.80%,N/A,47.20%,N/A,N/A,N/A,3.30%,N/A,Dauphin County,49.10%,46.20%,6.1%,11.6%,73.7%,4.8%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,53,351,4.1,28.18,PA-45056,40.3182789,-76.7983274,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Lower Swatara,Pennsylvania,8750,710,Harrisburg-Carlisle,581943,$67369,28.25%,N/A,N/A,N/A,N/A,34,83.70%,N/A,47.10%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,2.3%,6.2%,81.2%,8.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.2,51,351,4.1,12.32,PA-45120,40.2188042,-76.7601588,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.64%,37.25%,36.67%
Lykens,Pennsylvania,1932,1584,Harrisburg-Carlisle,581943,$46920,13.85%,37,$110000,1692,$65,52,65.11%,$874,49.13%,N/A,N/A,30.64%,5.08%,60.54%,Dauphin County,49.10%,46.20%,11.85%,0.26%,79.45%,1.71%,0.41%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,78,351,4.1,1.22,PA-45592,40.56411,-76.6983802,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,31.4%,33.96%,29.67%
Lykens borough,Pennsylvania,1932,1584,Harrisburg-Carlisle,581943,$46920,13.85%,37,$110000,1692,$65,78,65.11%,$874,49.13%,N/A,N/A,30.64%,5.08%,60.54%,Dauphin County,49.10%,46.20%,11.85%,0.26%,79.45%,1.71%,0.41%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,N/A,6.5,72,351,4.1,1.22,PA-45592,40.56411,-76.6983802,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,31.4%,33.96%,29.67%
Middle Paxton,Pennsylvania,5060,93,Harrisburg-Carlisle,581943,$66086,35.59%,N/A,N/A,N/A,N/A,51,75.00%,N/A,42.80%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,0.3%,2.1%,90.3%,2.7%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,6.5,70,351,4.1,54.41,PA-49040,40.393451,-76.8753575,55%,61%,52%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,35.26%,39.01%,32.89%
Middletown borough,Pennsylvania,9410,4635,Harrisburg-Carlisle,581943,$51222,18.54%,35,$270000,1492,$181,65,50.23%,$963,60.85%,N/A,N/A,16.55%,4.32%,62.21%,Dauphin County,49.10%,46.20%,4.92%,10.48%,73.55%,8.91%,6.79%,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.2,42,351,4.1,2.03,PA-49128,40.2010061,-76.7288956,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.64%,37.25%,36.67%
Mifflin township (Dauphin Cnty),Pennsylvania,734,4318,Harrisburg-Carlisle,581943,$56429,N/A,N/A,N/A,N/A,N/A,50,74.70%,N/A,32.70%,N/A,N/A,N/A,4.30%,N/A,Dauphin County,49.10%,46.20%,0.0%,0.0%,98.6%,1.4%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,121,N/A,6.5,78,351,4.1,0.17,PA-49264,40.6037447,-76.8377246,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,31.4%,33.96%,29.67%
Millersburg,Pennsylvania,2514,3308,Harrisburg-Carlisle,581943,$58618,19.48%,41,$85000,1604,$53,67,57.79%,$667,43.58%,N/A,N/A,10.42%,0.67%,65.55%,Dauphin County,49.10%,46.20%,2.23%,0.0%,91.17%,2.47%,1.95%,Eastern Standard Time,N/A,N/A,N/A,N/A,118,N/A,6.5,58,351,4.1,0.76,PA-49680,40.5421879,-76.9553094,50%,62%,42%,56%,55%,30.2,41,62,N/A,N/A,N/A,N/A,31.4%,33.96%,29.67%
Oberlin,Pennsylvania,374,2877,Harrisburg-Carlisle,581943,$46613,11.4%,45,N/A,N/A,N/A,78,75.94%,N/A,50.74%,N/A,N/A,0.0%,0.0%,73.53%,Dauphin County,49.10%,46.20%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.2,53,351,4.1,0.13,PA-56264,40.2398183,-76.8157373,55%,61%,52%,53%,53%,30.2,41,62,N/A,N/A,N/A,N/A,35.07%,38.24%,32.78%
Palmdale,Pennsylvania,1359,912,Harrisburg-Carlisle,581943,$50625,42.97%,36,$255000,1992,$128,61,65.79%,$1066,47.91%,N/A,N/A,22.0%,2.38%,70.61%,Dauphin County,49.10%,46.20%,3.09%,4.19%,81.9%,10.3%,5.37%,Eastern Standard Time,N/A,N/A,N/A,N/A,122,N/A,7.4,60,351,4.1,1.49,PA-57648,40.2962437,-76.6233125,55%,61%,52%,55%,54%,30.2,41,62,N/A,N/A,N/A,N/A,36.05%,38.68%,34.78%
