City ▾,State,County,Population,People per sq mi,August high (F),December high (F),Aug Hi Minus Dec Hi,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Average August humidity,Average December humidity,Average yearly humidity,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,,,,,,
Algonquin township,Illinois,McHenry County,87632,"1,887",81,33,48,37,117,190,35,N/A,N/A,N/A,N/A,11,23,39,N/A,"$83,824.00 ",N/A,"$233,300.00 ",32,3%,19%,2%,72,33 mins,3.50%,-0.20%,-2.30%,42.20%,49.80%,N/A,N/A,N/A,11.20%,59.80%,35.40%,7.65%,10.71%,72.03%,36.60%
Alhambra,California,Los Angeles County,85168,"11,161",87,69,18,16,30,281,0,52%,48%,52%,5,12,33,40,35.46%,"$53,195.00 ","$1,436.00 ","$663,400.00 ",59,5%,38%,34%,36,30 mins,4.20%,0.70%,2.10%,71.80%,22.40%,51.17%,2.24%,22.89%,37.60%,78.10%,14.50%,30.33%,7.36%,48.24%,11.50%
Aliso Viejo,California,Orange County,50691,"7,326",86,66,20,14,37,281,0,70%,62%,67%,5,8,16,36,56.25%,"$102,325.00 ","$2,258.00 ","$636,600.00 ",23,5%,33%,26%,60,26 mins,2.80%,0.60%,9.40%,50.90%,42.30%,15.60%,2.44%,69.97%,17.60%,59.40%,34.20%,6.89%,28.94%,55.02%,9.80%
Allen,Texas,Collin County,96865,"3,671",95,56,39,41,83,232,2,59%,71%,69%,8,8,20,36,54.53%,"$102,120.00 ","$1,487.00 ","$321,200.00 ",17,3%,37%,46%,61,27 mins,3.00%,3.30%,24.40%,38.60%,55.20%,17.85%,9.36%,68.10%,10.90%,30.60%,57.00%,1.59%,N/A,86.58%,12.10%
Allentown,Pennsylvania,Lehigh County,120128,"6,846",84,42,42,47,122,201,29,76%,80%,77%,15,26,43,31,15.26%,"$36,578.00 ","$1,004.00 ","$133,100.00 ",64,6%,29%,0%,27,23 mins,6.30%,0.50%,3.20%,50.00%,45.30%,2.87%,14.74%,62.28%,50.60%,52.20%,34.50%,2.92%,3.31%,73.89%,48.50%
Aloha,Oregon,Washington County,55205,"7,511",81,47,34,40,156,141,2,65%,85%,77%,4,13,45,34,31.10%,"$62,988.00 ","$1,386.00 ","$338,100.00 ",37,4%,48%,45%,36,26 mins,3.50%,0.90%,16.00%,56.90%,30.90%,10.24%,4.21%,71.58%,22.30%,75.60%,17.50%,5.89%,21.75%,62.19%,16.70%
Alpharetta,Georgia,Fulton County,63929,"2,377",87,52,35,53,108,218,2,68%,75%,70%,6,7,29,38,69.23%,"$87,837.00 ","$1,451.00 ","$389,500.00 ",23,7%,43%,33%,51,27 mins,2.80%,2.90%,16.80%,67.70%,26.80%,20.35%,12.07%,63.33%,8.60%,42.20%,49.80%,N/A,N/A,N/A,11.20%
Amarillo,Texas,Potter County,197823,"1,947",90,50,40,21,60,259,15,N/A,N/A,N/A,N/A,36,63,33,23.67%,"$47,053.00 ",$850.00 ,"$136,900.00 ",47,4%,21%,24%,74,17 mins,2.80%,1.90%,5.70%,26.60%,68.10%,4.27%,6.60%,82.15%,31.80%,71.80%,22.40%,51.17%,2.24%,22.89%,37.60%
Ames,Iowa,Story County,65005,"2,368",82,32,50,36,109,202,30,81%,79%,77%,9,11,30,23,62.66%,"$42,373.00 ",$930.00 ,"$183,400.00 ",34,3%,22%,28%,65,16 mins,2.20%,2.30%,13.40%,50.70%,38.40%,11.39%,3.19%,81.28%,3.50%,50.90%,42.30%,15.60%,2.44%,69.97%,17.60%
Amherst,New York,Erie County,125024,"2,350",80,37,43,39,162,157,84,N/A,N/A,N/A,N/A,11,26,40,55.85%,"$68,106.00 ","$1,102.00 ","$235,000.00 ",47,6%,27%,37%,71,19 mins,3.50%,1.00%,3.40%,50.90%,44.50%,9.26%,6.62%,80.17%,3.70%,38.60%,55.20%,17.85%,9.36%,68.10%,10.90%
Anaheim,California,Orange County,349007,"6,936",86,69,17,14,35,280,0,62%,57%,61%,5,22,39,34,25.50%,"$59,707.00 ","$1,651.00 ","$594,400.00 ",45,4%,37%,28%,51,28 mins,3.40%,0.60%,4.80%,50.90%,42.30%,16.82%,2.70%,66.42%,53.80%,50.00%,45.30%,2.87%,14.74%,62.28%,50.60%
Anchorage,Alaska,Anchorage Municipality,298225,175,65,24,41,17,112,126,79,86%,92%,87%,5,50,61,33,36.11%,"$78,121.00 ","$1,320.00 ","$334,300.00 ",36,2%,8%,14%,38,18 mins,4.70%,-0.80%,4.90%,40.20%,48.30%,9.63%,5.57%,62.60%,8.90%,56.90%,30.90%,10.24%,4.21%,71.58%,22.30%
Anderson,Indiana,Madison County,54986,"1,289",83,38,45,41,119,187,19,82%,83%,79%,8,18,61,37,16.90%,"$33,854.00 ",$759.00 ,"$59,100.00 ",57,12%,38%,22%,67,23 mins,4.30%,2.50%,-3.10%,34.20%,59.50%,N/A,14.66%,78.19%,5.30%,67.70%,26.80%,20.35%,12.07%,63.33%,8.60%
Anderson township (Madison Cnty),Indiana,Madison County,55483,"1,493",83,38,45,41,119,187,19,N/A,N/A,N/A,N/A,30,55,37,N/A,"$35,035.00 ",N/A,"$104,200.00 ",57,13%,36%,23%,67,23 mins,3.80%,2.50%,-2.40%,34.20%,59.50%,N/A,N/A,N/A,5.30%,26.60%,68.10%,4.27%,6.60%,82.15%,31.80%
Ankeny,Iowa,Polk County,56237,"1,879",84,34,50,36,109,204,34,79%,77%,77%,9,11,21,32,50.78%,"$75,069.00 ","$1,073.00 ","$232,300.00 ",18,3%,29%,34%,70,21 mins,2.30%,2.70%,33.20%,51.70%,40.40%,2.40%,1.75%,93.15%,2.60%,50.70%,38.40%,11.39%,3.19%,81.28%,3.50%
Ann Arbor,Michigan,Washtenaw County,119303,"4,276",81,35,46,36,137,178,43,78%,82%,78%,8,15,29,27,75.98%,"$56,835.00 ","$1,237.00 ","$379,600.00 ",49,9%,44%,61%,52,20 mins,3.50%,1.30%,3.60%,67.60%,26.60%,16.87%,6.80%,71.05%,4.40%,50.90%,44.50%,9.26%,6.62%,80.17%,3.70%
Antioch,California,Contra Costa County,110026,"3,749",89,56,33,15,57,263,0,57%,70%,63%,5,37,52,35,20.91%,"$65,770.00 ","$1,790.00 ","$438,800.00 ",33,5%,48%,41%,64,45 mins,4.40%,1.40%,10.30%,67.50%,24.50%,11.69%,21.47%,40.61%,33.30%,50.90%,42.30%,16.82%,2.70%,66.42%,53.80%
Apple Valley,California,San Bernardino County,71916,960,97,58,39,14,33,283,0,26%,49%,37%,8,19,35,37,17.94%,"$48,337.00 ","$1,060.00 ","$261,100.00 ",30,6%,49%,52%,76,32 mins,5.20%,2.30%,6.70%,52.10%,41.50%,2.56%,8.85%,78.42%,35.10%,40.20%,48.30%,9.63%,5.57%,62.60%,8.90%
Apple Valley,Minnesota,Dakota County,51109,"3,013",80,26,54,32,105,197,45,79%,87%,80%,8,7,33,38,45.03%,"$80,609.00 ","$1,353.00 ","$278,300.00 ",30,6%,32%,24%,53,24 mins,3.10%,1.80%,4.80%,47.70%,43.10%,5.98%,8.67%,78.35%,5.10%,34.20%,59.50%,N/A,14.66%,78.19%,5.30%
Appleton,Wisconsin,Outagamie County,73832,"3,019",79,29,50,32,115,189,41,79%,85%,80%,9,20,27,35,33.41%,"$53,439.00 ",$808.00 ,"$155,900.00 ",48,9%,29%,22%,63,18 mins,3.30%,N/A,1.70%,40.50%,53.10%,7.37%,3.36%,84.27%,6.10%,34.20%,59.50%,N/A,N/A,N/A,5.30%
Arcadia,California,Los Angeles County,58156,"5,323",87,68,19,16,32,287,0,N/A,N/A,N/A,N/A,11,36,43,54.81%,"$80,147.00 ","$1,662.00 ","$1,077,800.00 ",52,4%,31%,37%,53,30 mins,3.60%,0.70%,4.40%,71.80%,22.40%,61.59%,1.95%,28.45%,11.70%,51.70%,40.40%,2.40%,1.75%,93.15%,2.60%
Arden-Arcade,California,Sacramento County,98616,"5,523",92,54,38,20,61,268,0,N/A,N/A,N/A,N/A,22,43,37,34.77%,"$45,750.00 ","$1,080.00 ","$372,900.00 ",52,5%,43%,48%,23,24 mins,4.10%,1.40%,8.50%,58.00%,33.80%,6.44%,9.86%,62.96%,18.80%,67.60%,26.60%,16.87%,6.80%,71.05%,4.40%
Arlington,Texas,Tarrant County,388225,"4,052",96,58,38,40,77,235,1,58%,69%,68%,8,30,49,33,30.32%,"$53,055.00 ","$1,055.00 ","$204,600.00 ",33,8%,44%,46%,46,27 mins,3.50%,2.70%,8.00%,43.10%,51.70%,6.55%,22.75%,59.92%,28.90%,67.50%,24.50%,11.69%,21.47%,40.61%,33.30%
Arlington,Virginia,Arlington County,229534,"8,829",86,47,39,43,117,201,15,72%,75%,73%,6,21,43,34,75.30%,"$105,120.00 ","$1,970.00 ","$681,600.00 ",46,3%,15%,14%,22,28 mins,1.90%,1.90%,16.20%,75.80%,16.60%,10.26%,9.15%,71.49%,15.50%,52.10%,41.50%,2.56%,8.85%,78.42%,35.10%
Arlington Heights,Illinois,Cook County,75911,"4,573",82,35,47,36,125,185,36,74%,79%,76%,10,7,17,44,57.95%,"$78,865.00 ","$1,368.00 ","$324,300.00 ",46,0%,13%,4%,56,29 mins,3.10%,-0.20%,1.30%,73.90%,20.80%,10.16%,1.75%,84.19%,5.60%,47.70%,43.10%,5.98%,8.67%,78.35%,5.10%
Arvada,Colorado,Jefferson County,115320,"2,974",87,46,41,17,81,246,61,N/A,N/A,N/A,N/A,10,37,40,41.14%,"$69,550.00 ","$1,358.00 ","$409,000.00 ",40,6%,65%,84%,62,27 mins,2.70%,2.80%,10.00%,48.90%,42.00%,2.03%,1.29%,91.09%,14.50%,40.50%,53.10%,7.37%,3.36%,84.27%,6.10%
Asheville,North Carolina,Buncombe County,89318,"1,960",83,49,34,44,118,212,10,77%,78%,76%,5,33,67,38,48.87%,"$44,077.00 ","$1,043.00 ","$286,900.00 ",44,6%,50%,37%,62,17 mins,3.30%,1.60%,9.00%,54.30%,40.10%,1.71%,11.23%,84.03%,5.90%,71.80%,22.40%,61.59%,1.95%,28.45%,11.70%
Aspen Hill,Maryland,Montgomery County,52386,"5,451",85,45,40,43,109,198,16,70%,74%,71%,6,18,28,37,42.92%,"$82,030.00 ","$1,684.00 ","$387,800.00 ",47,2%,11%,0%,41,36 mins,3.30%,0.80%,11.40%,74.70%,19.40%,11.15%,18.12%,41.64%,31.70%,58.00%,33.80%,6.44%,9.86%,62.96%,18.80%
Atascocita,Texas,Harris County,75114,"3,153",94,64,30,55,107,204,0,72%,77%,75%,7,13,32,33,37.70%,"$82,361.00 ","$1,470.00 ","$210,800.00 ",17,5%,35%,44%,53,34 mins,4.00%,3.20%,21.60%,54.00%,41.60%,2.87%,22.36%,67.88%,26.40%,43.10%,51.70%,6.55%,22.75%,59.92%,28.90%
Athens-Clarke County,Georgia,Clarke County,122292,"1,051",89,55,34,48,110,216,1,N/A,N/A,N/A,N/A,22,47,27,N/A,"$33,293.00 ",N/A,"$180,200.00 ",34,10%,41%,23%,48,19 mins,3.80%,4.00%,7.60%,65.10%,28.00%,N/A,N/A,N/A,10.70%,75.80%,16.60%,10.26%,9.15%,71.49%,15.50%
Atlanta,Georgia,Fulton County,465230,"3,431",87,54,33,52,109,217,1,69%,75%,71%,6,55,75,33,51.78%,"$46,439.00 ","$1,153.00 ","$259,000.00 ",41,11%,63%,37%,32,26 mins,4.00%,2.90%,12.50%,67.70%,26.80%,4.44%,50.95%,40.90%,4.60%,73.90%,20.80%,10.16%,1.75%,84.19%,5.60%
Auburn,Alabama,Lee County,61462,"1,022",89,58,31,54,108,217,1,74%,77%,73%,6,13,38,24,57.97%,"$37,406.00 ",$884.00 ,"$260,200.00 ",22,6%,24%,11%,40,19 mins,2.90%,1.70%,20.40%,35.90%,58.50%,8.73%,18.36%,71.21%,5.00%,48.90%,42.00%,2.03%,1.29%,91.09%,14.50%
Auburn,Washington,King County,77440,"2,625",77,45,32,43,160,151,5,N/A,N/A,N/A,N/A,21,73,34,26.48%,"$57,635.00 ","$1,245.00 ","$370,100.00 ",30,6%,50%,25%,37,31 mins,3.80%,2.50%,15.60%,69.80%,21.00%,11.45%,6.12%,62.33%,14.40%,54.30%,40.10%,1.71%,11.23%,84.03%,5.90%
Augusta-Richmond County,Georgia,Richmond County,196899,651,91,59,32,45,102,222,1,N/A,N/A,N/A,N/A,27,59,33,N/A,"$37,593.00 ",N/A,"$115,900.00 ",40,0%,19%,1%,47,20 mins,5.00%,3.50%,1.70%,64.20%,32.20%,N/A,N/A,N/A,4.80%,74.70%,19.40%,11.15%,18.12%,41.64%,31.70%
Aurora,Colorado,Arapahoe County,357323,"2,327",86,44,42,17,80,243,62,46%,60%,52%,8,29,43,34,29.74%,"$52,275.00 ","$1,328.00 ","$327,300.00 ",34,6%,72%,93%,48,29 mins,3.10%,2.80%,13.80%,52.80%,38.60%,6.48%,16.50%,60.38%,28.60%,54.00%,41.60%,2.87%,22.36%,67.88%,26.40%
Aurora,Illinois,Kane County,200946,"4,465",82,34,48,38,120,192,28,82%,81%,79%,8,18,23,32,31.21%,"$63,569.00 ","$1,228.00 ","$181,100.00 ",36,3%,23%,6%,64,28 mins,4.20%,1.30%,5.50%,51.90%,41.40%,8.86%,10.09%,59.49%,42.90%,65.10%,28.00%,N/A,N/A,N/A,10.70%
Aurora township,Illinois,Kane County,148576,"4,285",82,34,48,38,120,189,28,N/A,N/A,N/A,N/A,35,46,32,N/A,"$48,735.00 ",N/A,"$133,000.00 ",55,3%,19%,5%,62,24 mins,4.20%,2.30%,4.10%,51.90%,41.40%,N/A,N/A,N/A,57.90%,67.70%,26.80%,4.44%,50.95%,40.90%,4.60%
Austin,Texas,Travis County,916906,"2,858",96,62,34,35,79,228,0,59%,69%,68%,8,24,55,32,51.72%,"$55,216.00 ","$1,280.00 ","$369,000.00 ",30,8%,49%,70%,58,24 mins,2.60%,3.50%,20.00%,65.80%,27.10%,7.59%,7.83%,72.63%,34.50%,35.90%,58.50%,8.73%,18.36%,71.21%,5.00%
Avon township,Illinois,Lake County,64782,"2,884",81,33,48,37,121,189,43,N/A,N/A,N/A,N/A,13,26,34,N/A,"$63,376.00 ",N/A,"$179,300.00 ",28,2%,19%,1%,72,32 mins,3.80%,2.40%,1.80%,56.40%,36.20%,N/A,N/A,N/A,35.30%,69.80%,21.00%,11.45%,6.12%,62.33%,14.40%
Avondale,Arizona,Maricopa County,81590,"1,803",104,65,39,9,32,291,0,31%,41%,29%,5,21,55,31,18.59%,"$57,170.00 ","$1,185.00 ","$232,900.00 ",15,8%,48%,44%,45,28 mins,5.10%,3.30%,16.10%,44.80%,47.70%,3.19%,10.97%,69.38%,50.20%,64.20%,32.20%,N/A,N/A,N/A,4.80%
Babylon,New York,Suffolk County,213199,"4,073",81,43,38,45,121,206,23,74%,73%,73%,11,27,35,39,28.22%,"$81,000.00 ","$1,677.00 ","$421,800.00 ",57,6%,20%,10%,63,30 mins,3.80%,N/A,-0.20%,44.60%,51.50%,3.66%,16.92%,66.95%,22.10%,52.80%,38.60%,6.48%,16.50%,60.38%,28.60%
Bakersfield,California,Kern County,372680,"2,489",96,57,39,7,38,272,0,29%,57%,45%,4,24,60,30,21.88%,"$56,842.00 ","$1,104.00 ","$242,800.00 ",30,5%,24%,29%,43,22 mins,6.10%,1.20%,12.30%,40.40%,53.10%,7.42%,7.62%,67.65%,49.20%,51.90%,41.40%,8.86%,10.09%,59.49%,42.90%
Baldwin Park,California,Los Angeles County,76572,"11,548",89,69,20,16,30,288,0,47%,47%,50%,5,23,28,33,13.18%,"$51,189.00 ","$1,471.00 ","$467,400.00 ",53,6%,45%,31%,50,30 mins,5.20%,0.70%,1.60%,71.80%,22.40%,19.39%,1.54%,41.89%,74.00%,51.90%,41.40%,N/A,N/A,N/A,57.90%
Baltimore,Maryland,Baltimore city County,619796,"7,657",86,46,40,42,114,213,19,73%,75%,73%,8,77,67,35,31.91%,"$41,819.00 ","$1,073.00 ","$114,300.00 ",74,11%,35%,-1%,42,30 mins,5.70%,0.60%,-0.10%,84.70%,10.50%,2.58%,62.35%,30.46%,5.00%,65.80%,27.10%,7.59%,7.83%,72.63%,34.50%
Bartlett,Tennessee,Shelby County,58640,"1,817",91,52,39,55,112,217,3,75%,78%,75%,7,16,28,42,36.37%,"$80,240.00 ","$1,383.00 ","$206,200.00 ",26,9%,30%,20%,55,25 mins,3.70%,2.10%,11.20%,61.90%,34.50%,3.48%,21.32%,72.53%,3.40%,56.40%,36.20%,N/A,N/A,N/A,35.30%
Baton Rouge,Louisiana,East Baton Rouge County,227549,"2,633",92,64,28,63,109,214,0,78%,80%,77%,6,47,66,31,33.21%,"$38,790.00 ",$879.00 ,"$164,200.00 ",43,4%,20%,15%,37,21 mins,5.30%,N/A,-0.70%,52.30%,43.10%,3.49%,54.66%,38.68%,3.40%,44.80%,47.70%,3.19%,10.97%,69.38%,50.20%
Battle Creek,Michigan,Calhoun County,51505,"1,209",82,36,46,36,135,166,53,81%,84%,81%,8,44,53,36,21.85%,"$37,885.00 ",$754.00 ,"$80,200.00 ",61,9%,43%,18%,65,18 mins,6.20%,0.10%,-2.40%,41.00%,53.50%,3.56%,17.84%,70.01%,6.50%,44.60%,51.50%,3.66%,16.92%,66.95%,22.10%
Bayonne,New Jersey,Hudson County,66719,"11,462",84,44,40,47,117,220,26,N/A,N/A,N/A,N/A,12,20,38,37.24%,"$55,224.00 ","$1,255.00 ","$385,800.00 ",68,8%,46%,12%,41,35 mins,3.90%,N/A,7.60%,74.30%,22.20%,9.93%,10.58%,62.64%,29.60%,40.40%,53.10%,7.42%,7.62%,67.65%,49.20%
Baytown,Texas,Harris County,76205,"2,066",93,64,29,56,104,207,0,75%,79%,77%,8,25,56,32,15.02%,"$46,776.00 ",$945.00 ,"$148,800.00 ",40,5%,46%,48%,37,24 mins,8.20%,3.20%,8.20%,54.00%,41.60%,1.83%,17.52%,71.02%,45.70%,71.80%,22.40%,19.39%,1.54%,41.89%,74.00%
Beaumont,Texas,Jefferson County,118424,"1,438",93,63,30,60,112,213,0,74%,78%,75%,8,50,63,34,24.52%,"$39,191.00 ",$868.00 ,"$108,900.00 ",42,11%,30%,24%,32,18 mins,5.50%,0.00%,2.00%,48.40%,48.90%,3.18%,46.88%,45.97%,14.80%,84.70%,10.50%,2.58%,62.35%,30.46%,5.00%
Beavercreek township,Ohio,Greene County,53422,"1,094",84,40,44,41,124,177,17,N/A,N/A,N/A,N/A,15,37,40,N/A,"$83,449.00 ",N/A,"$182,500.00 ",33,8%,27%,21%,62,19 mins,4.30%,0.50%,5.90%,34.90%,58.50%,N/A,N/A,N/A,3.00%,61.90%,34.50%,3.48%,21.32%,72.53%,3.40%
Beaverton,Oregon,Washington County,95710,"4,887",81,47,34,41,155,141,2,65%,85%,77%,4,11,25,36,46.49%,"$57,068.00 ","$1,338.00 ","$389,900.00 ",32,5%,54%,48%,31,24 mins,3.50%,0.90%,8.70%,56.90%,30.90%,12.87%,2.33%,73.95%,16.40%,52.30%,43.10%,3.49%,54.66%,38.68%,3.40%
Bellevue,Nebraska,Sarpy County,53040,"3,201",84,35,49,32,92,213,29,78%,77%,73%,9,8,28,34,28.50%,"$59,123.00 ",$944.00 ,"$180,700.00 ",41,6%,29%,30%,68,20 mins,3.30%,1.90%,5.60%,34.80%,56.00%,2.94%,6.37%,81.82%,15.70%,41.00%,53.50%,3.56%,17.84%,70.01%,6.50%
Bellevue,Washington,King County,139014,"4,155",76,46,30,42,161,155,5,70%,85%,78%,4,9,45,38,68.68%,"$92,524.00 ","$1,947.00 ","$905,400.00 ",39,6%,57%,48%,30,23 mins,2.70%,2.60%,16.40%,69.80%,21.00%,35.78%,2.50%,54.54%,7.20%,74.30%,22.20%,9.93%,10.58%,62.64%,29.60%
Bellflower,California,Los Angeles County,77852,"12,723",83,67,16,14,32,287,0,65%,56%,62%,5,29,35,34,18.49%,"$49,360.00 ","$1,368.00 ","$515,200.00 ",55,4%,40%,27%,47,30 mins,5.60%,0.70%,2.50%,71.80%,22.40%,12.24%,13.33%,31.64%,55.10%,54.00%,41.60%,1.83%,17.52%,71.02%,45.70%
Bellingham,Washington,Whatcom County,85388,"3,083",73,45,28,39,158,157,9,75%,83%,80%,5,18,71,31,44.28%,"$42,440.00 ","$1,056.00 ","$429,900.00 ",38,10%,52%,40%,52,17 mins,5.10%,1.70%,8.10%,53.20%,35.80%,5.94%,1.60%,83.20%,8.30%,48.40%,48.90%,3.18%,46.88%,45.97%,14.80%
Bend,Oregon,Deschutes County,87167,"2,635",82,39,43,11,72,162,21,49%,81%,65%,6,12,37,38,43.96%,"$52,471.00 ","$1,276.00 ","$447,200.00 ",22,9%,60%,57%,55,15 mins,3.60%,2.60%,17.30%,43.10%,46.40%,1.75%,N/A,92.53%,9.10%,34.90%,58.50%,N/A,N/A,N/A,3.00%
Bensalem,Pennsylvania,Bucks County,60418,"3,046",85,44,41,48,120,205,11,74%,76%,74%,7,10,42,40,28.66%,"$60,401.00 ","$1,185.00 ","$258,300.00 ",43,1%,11%,7%,49,28 mins,4.00%,0.40%,0.20%,48.40%,47.60%,12.62%,8.60%,70.75%,9.40%,56.90%,30.90%,12.87%,2.33%,73.95%,16.40%
Berkeley,California,Alameda County,120179,"11,474",73,58,15,26,67,256,0,70%,70%,69%,6,28,64,31,73.83%,"$65,283.00 ","$1,722.00 ","$1,197,700.00 ",76,1%,44%,48%,51,28 mins,3.20%,1.40%,9.80%,78.10%,14.50%,20.97%,7.90%,58.81%,11.00%,34.80%,56.00%,2.94%,6.37%,81.82%,15.70%
Berwyn,Illinois,Cook County,56367,"14,438",82,36,46,39,124,190,34,75%,79%,76%,9,14,31,34,22.64%,"$54,392.00 ",$969.00 ,"$208,900.00 ",78,5%,30%,5%,59,32 mins,4.40%,-0.20%,1.40%,73.90%,20.80%,2.72%,7.08%,51.15%,63.70%,69.80%,21.00%,35.78%,2.50%,54.54%,7.20%
Berwyn township,Illinois,Cook County,56367,"14,435",82,36,46,39,124,189,34,N/A,N/A,N/A,N/A,15,31,34,N/A,"$54,392.00 ",N/A,"$176,900.00 ",78,2%,18%,0%,59,32 mins,4.20%,-0.20%,1.40%,73.90%,20.80%,N/A,N/A,N/A,63.70%,71.80%,22.40%,12.24%,13.33%,31.64%,55.10%
Bethesda,Maryland,Montgomery County,63168,"4,763",85,46,39,43,114,197,17,N/A,N/A,N/A,N/A,14,21,43,85.86%,"$145,288.00 ","$2,026.00 ","$846,400.00 ",53,1%,10%,4%,30,29 mins,3.30%,0.80%,7.90%,74.70%,19.40%,9.82%,4.23%,81.60%,7.20%,53.20%,35.80%,5.94%,1.60%,83.20%,8.30%
Bethlehem,Pennsylvania,Northampton County,75240,"3,936",83,41,42,48,120,202,30,76%,80%,77%,15,22,33,35,29.20%,"$46,902.00 ","$1,038.00 ","$167,100.00 ",61,5%,20%,1%,36,23 mins,5.30%,0.50%,0.70%,45.80%,49.60%,3.12%,8.38%,76.90%,28.50%,43.10%,46.40%,1.75%,N/A,92.53%,9.10%
Billings,Montana,Yellowstone County,109082,"2,480",87,37,50,14,88,205,46,40%,73%,59%,8,23,68,37,35.04%,"$49,265.00 ",$899.00 ,"$230,500.00 ",41,6%,17%,26%,71,16 mins,2.90%,-0.30%,7.40%,31.50%,58.10%,N/A,1.02%,89.14%,6.30%,48.40%,47.60%,12.62%,8.60%,70.75%,9.40%
